scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,47.62,70.0,37.0,38.0,0.0
2023-09-06,45.74,60.0,37.0,38.0,0.0
2023-09-07,41.0,60.0,37.0,20.0,0.0
2023-09-08,49.13,75.0,37.0,38.0,0.0
2023-09-11,50.53,80.0,37.0,38.0,0.0
2023-09-12,43.76,57.0,37.0,38.0,0.0
2023-09-13,43.99,57.0,37.0,38.0,0.0
2023-09-14,47.93,70.0,37.0,38.0,0.0
2023-09-15,47.6,70.0,37.0,38.0,0.0
2023-09-18,44.78,60.0,37.0,38.0,0.0
2023-09-20,33.39,32.0,37.0,20.0,0.0
2023-09-21,30.06,32.0,37.0,20.0,3.0
2023-09-22,33.05,32.0,37.0,20.0,0.0
2023-09-25,30.53,32.0,37.0,20.0,3.0
2023-09-26,33.74,27.0,37.0,38.0,3.0
2023-09-27,29.31,27.0,37.0,20.0,3.0
2023-09-28,32.47,28.0,37.0,20.0,0.0
2023-09-29,34.98,32.0,37.0,38.0,3.0
2023-10-03,47.45,70.0,37.0,38.0,0.0
2023-10-04,28.73,27.0,37.0,20.0,3.0
2023-10-05,28.86,27.0,37.0,20.0,3.0
2023-10-06,54.58,85.0,37.0,53.0,0.0
2023-10-09,37.92,75.0,37.0,20.0,5.0
2023-10-10,42.08,70.0,37.0,20.0,0.0
2023-10-11,39.61,60.0,37.0,20.0,0.0
2023-10-12,46.96,70.0,37.0,38.0,0.0
2023-10-13,45.77,65.0,37.0,38.0,0.0
2023-10-16,39.96,42.0,37.0,38.0,0.0
2023-10-17,39.02,65.0,37.0,10.0,0.0
2023-10-18,33.21,42.0,37.0,10.0,0.0
2023-10-19,32.46,32.0,37.0,18.0,0.0
2023-10-20,32.99,27.0,37.0,38.0,3.0
2023-10-23,27.74,28.0,37.0,10.0,0.0
2023-10-25,24.57,28.0,37.0,10.0,3.0
2023-10-26,24.79,28.0,37.0,10.0,3.0
2023-10-27,26.5,33.0,37.0,10.0,3.0
2023-10-30,26.58,33.0,37.0,10.0,3.0
2023-10-31,25.18,28.0,37.0,10.0,3.0
2023-11-01,25.08,28.0,37.0,10.0,3.0
2023-11-02,26.77,33.0,37.0,10.0,3.0
2023-11-03,27.77,37.0,37.0,10.0,3.0
2023-11-06,44.48,80.0,37.0,20.0,0.0
2023-11-07,33.43,45.0,37.0,10.0,0.0
2023-11-08,30.18,32.0,37.0,10.0,0.0
2023-11-09,35.71,55.0,37.0,10.0,0.0
2023-11-10,29.77,32.0,37.0,10.0,0.0
2023-11-13,35.26,55.0,37.0,20.0,3.0
2023-11-15,36.99,50.0,37.0,20.0,0.0
2023-11-16,36.93,50.0,37.0,20.0,0.0
2023-11-17,41.3,50.0,37.0,38.0,0.0
2023-11-20,45.45,65.0,37.0,38.0,0.0
2023-11-21,48.2,75.0,37.0,38.0,0.0
2023-11-22,49.39,80.0,37.0,38.0,0.0
2023-11-23,51.29,85.0,37.0,38.0,0.0
2023-11-24,47.13,70.0,37.0,38.0,0.0
2023-11-28,48.43,75.0,37.0,38.0,0.0
2023-11-29,48.35,75.0,37.0,38.0,0.0
2023-11-30,44.42,60.0,37.0,38.0,0.0
2023-12-01,48.28,75.0,37.0,38.0,0.0
2023-12-04,47.11,70.0,37.0,38.0,0.0
2023-12-05,44.97,62.0,37.0,38.0,0.0
2023-12-06,43.51,57.0,37.0,38.0,0.0
2023-12-07,43.56,57.0,37.0,38.0,0.0
2023-12-08,44.32,62.0,37.0,38.0,0.0
2023-12-11,41.95,52.0,37.0,38.0,0.0
2023-12-12,43.67,52.0,37.0,45.0,0.0
2023-12-13,51.22,72.0,37.0,55.0,0.0
2023-12-14,46.37,52.0,37.0,55.0,0.0
2023-12-15,51.24,72.0,37.0,55.0,0.0
2023-12-18,46.38,52.0,37.0,55.0,0.0
2023-12-19,45.04,47.0,37.0,55.0,0.0
2023-12-20,42.99,52.0,37.0,45.0,0.0
2023-12-21,43.52,52.0,37.0,45.0,0.0
2023-12-22,40.74,60.0,37.0,38.0,3.0
2023-12-26,40.6,52.0,37.0,45.0,3.0
2023-12-27,40.7,60.0,37.0,38.0,3.0
2023-12-28,40.67,60.0,37.0,38.0,3.0
2023-12-29,48.75,72.0,37.0,45.0,0.0
2024-01-01,39.63,47.0,37.0,45.0,3.0
2024-01-02,47.6,57.0,37.0,55.0,0.0
2024-01-03,43.53,47.0,37.0,48.0,0.0
2024-01-04,47.88,57.0,37.0,55.0,0.0
2024-01-05,40.69,47.0,37.0,48.0,3.0
2024-01-08,41.39,60.0,37.0,38.0,3.0
2024-01-09,41.3,60.0,37.0,38.0,3.0
2024-01-10,44.41,60.0,37.0,38.0,0.0
2024-01-11,45.77,65.0,37.0,38.0,0.0
2024-01-12,50.78,85.0,37.0,38.0,0.0
2024-01-15,44.36,60.0,37.0,38.0,0.0
2024-01-16,39.7,60.0,37.0,20.0,0.0
2024-01-17,39.53,60.0,37.0,20.0,0.0
2024-01-18,35.37,42.0,37.0,20.0,0.0
2024-01-19,32.34,42.0,37.0,20.0,3.0
2024-01-23,30.72,38.0,37.0,20.0,3.0
2024-01-24,27.36,23.0,37.0,20.0,3.0
2024-01-25,32.69,43.0,37.0,20.0,3.0
2024-01-29,30.96,23.0,37.0,20.0,0.0
2024-01-30,36.82,47.0,37.0,20.0,0.0
2024-01-31,45.42,80.0,37.0,20.0,0.0
2024-02-01,52.25,80.0,37.0,48.0,0.0
2024-02-02,38.2,52.0,37.0,20.0,0.0
2024-02-05,30.36,23.0,37.0,20.0,0.0
2024-02-06,32.82,32.0,37.0,20.0,0.0
2024-02-07,28.64,27.0,37.0,20.0,3.0
2024-02-08,28.2,27.0,37.0,20.0,3.0
2024-02-09,29.87,23.0,37.0,20.0,0.0
2024-02-12,29.2,23.0,37.0,20.0,0.0
2024-02-13,30.24,28.0,37.0,20.0,0.0
2024-02-14,29.39,23.0,37.0,20.0,0.0
2024-02-15,30.68,28.0,37.0,20.0,0.0
2024-02-16,30.62,28.0,37.0,20.0,0.0
2024-02-19,30.84,28.0,37.0,20.0,0.0
2024-02-20,29.55,23.0,37.0,20.0,0.0
2024-02-21,29.53,23.0,37.0,20.0,0.0
2024-02-22,30.66,28.0,37.0,20.0,0.0
2024-02-23,31.84,32.0,37.0,20.0,0.0
2024-02-26,26.38,23.0,37.0,20.0,3.0
2024-02-27,32.86,38.0,37.0,20.0,0.0
2024-02-28,28.64,23.0,37.0,20.0,0.0
2024-02-29,30.08,28.0,37.0,20.0,0.0
2024-03-01,39.66,65.0,37.0,20.0,0.0
2024-03-04,27.13,27.0,37.0,20.0,3.0
2024-03-05,25.5,23.0,37.0,20.0,3.0
2024-03-06,25.66,23.0,37.0,10.0,0.0
2024-03-07,24.05,28.0,37.0,10.0,3.0
2024-03-11,27.77,33.0,37.0,10.0,0.0
2024-03-12,26.19,28.0,37.0,10.0,0.0
2024-03-13,15.33,18.0,37.0,10.0,8.0
2024-03-14,28.93,38.0,37.0,10.0,0.0
2024-03-15,30.73,47.0,37.0,10.0,0.0
2024-03-18,26.32,28.0,37.0,10.0,0.0
2024-03-19,28.6,38.0,37.0,10.0,0.0
2024-03-20,24.8,23.0,37.0,10.0,0.0
2024-03-21,28.86,38.0,37.0,10.0,0.0
2024-03-22,29.02,38.0,37.0,10.0,0.0
2024-03-26,16.88,23.0,37.0,10.0,8.0
2024-03-27,13.22,8.0,37.0,10.0,8.0
2024-03-28,18.15,28.0,37.0,10.0,8.0
2024-04-01,33.04,37.0,47.0,10.0,0.0
2024-04-02,36.57,50.0,47.0,10.0,0.0
2024-04-03,46.08,80.0,47.0,18.0,0.0
2024-04-04,47.52,85.0,47.0,18.0,0.0
2024-04-05,38.38,60.0,47.0,18.0,3.0
2024-04-08,45.02,65.0,47.0,28.0,0.0
2024-04-09,38.32,60.0,47.0,18.0,3.0
2024-04-10,38.47,60.0,47.0,18.0,3.0
2024-04-12,40.8,60.0,47.0,28.0,3.0
2024-04-15,32.7,27.0,47.0,18.0,0.0
2024-04-16,46.13,70.0,47.0,28.0,0.0
2024-04-18,48.54,80.0,47.0,28.0,0.0
2024-04-19,43.65,60.0,47.0,28.0,0.0
2024-04-22,52.28,65.0,47.0,55.0,0.0
2024-04-23,48.27,60.0,47.0,55.0,3.0
2024-04-24,46.63,60.0,47.0,48.0,3.0
2024-04-25,46.59,60.0,47.0,48.0,3.0
2024-04-26,52.78,65.0,47.0,55.0,0.0
2024-04-29,53.31,65.0,47.0,55.0,0.0
2024-04-30,52.12,60.0,47.0,55.0,0.0
2024-05-02,57.95,85.0,47.0,55.0,0.0
2024-05-03,49.58,60.0,47.0,48.0,0.0
2024-05-06,53.99,80.0,47.0,48.0,0.0
2024-05-07,45.12,75.0,47.0,18.0,0.0
2024-05-08,55.55,85.0,47.0,48.0,0.0
2024-05-09,47.41,75.0,47.0,48.0,5.0
2024-05-10,50.03,65.0,47.0,48.0,0.0
2024-05-13,48.52,60.0,47.0,48.0,0.0
2024-05-14,47.26,65.0,47.0,48.0,3.0
2024-05-15,45.99,60.0,47.0,48.0,3.0
2024-05-16,44.89,65.0,47.0,38.0,3.0
2024-05-17,43.98,60.0,47.0,38.0,3.0
2024-05-21,46.84,60.0,47.0,38.0,0.0
2024-05-22,39.02,60.0,47.0,20.0,3.0
2024-05-23,38.89,42.0,47.0,38.0,3.0
2024-05-24,43.01,47.0,47.0,38.0,0.0
2024-05-27,38.43,42.0,47.0,38.0,3.0
2024-05-28,32.65,38.0,47.0,20.0,3.0
2024-05-29,28.97,23.0,47.0,20.0,3.0
2024-05-30,28.68,23.0,47.0,20.0,3.0
2024-05-31,28.92,23.0,47.0,20.0,3.0
2024-06-03,30.32,28.0,47.0,20.0,3.0
2024-06-04,13.42,4.0,47.0,0.0,8.0
2024-06-05,46.49,80.0,47.0,20.0,0.0
2024-06-06,46.58,80.0,47.0,20.0,0.0
2024-06-07,50.5,75.0,47.0,38.0,0.0
2024-06-10,52.95,85.0,47.0,38.0,0.0
