scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,48.52,42.0,55.0,45.0,0.0
2023-09-05,53.51,47.0,55.0,60.0,0.0
2023-09-06,46.02,42.0,55.0,35.0,0.0
2023-09-07,46.1,42.0,55.0,35.0,0.0
2023-09-08,47.32,47.0,55.0,35.0,0.0
2023-09-11,46.24,43.0,55.0,35.0,0.0
2023-09-12,39.03,33.0,55.0,20.0,0.0
2023-09-13,40.29,37.0,55.0,20.0,0.0
2023-09-14,37.04,23.0,55.0,20.0,0.0
2023-09-15,34.09,23.0,55.0,20.0,3.0
2023-09-18,33.92,23.0,55.0,20.0,3.0
2023-09-20,36.76,23.0,55.0,20.0,0.0
2023-09-21,40.18,38.0,55.0,20.0,0.0
2023-09-22,36.44,23.0,55.0,20.0,0.0
2023-09-25,34.65,28.0,55.0,20.0,3.0
2023-09-26,34.68,28.0,55.0,20.0,3.0
2023-09-27,36.42,23.0,55.0,20.0,0.0
2023-09-28,33.38,23.0,55.0,20.0,3.0
2023-09-29,37.83,28.0,55.0,20.0,0.0
2023-10-03,52.27,70.0,55.0,35.0,0.0
2023-10-04,41.07,27.0,55.0,35.0,0.0
2023-10-05,45.72,60.0,55.0,20.0,0.0
2023-10-06,37.63,27.0,55.0,20.0,0.0
2023-10-09,35.87,23.0,55.0,20.0,0.0
2023-10-10,35.52,32.0,55.0,20.0,3.0
2023-10-11,50.83,65.0,55.0,35.0,0.0
2023-10-12,62.03,80.0,55.0,63.0,0.0
2023-10-13,57.05,70.0,55.0,53.0,0.0
2023-10-16,50.71,45.0,55.0,53.0,0.0
2023-10-17,63.41,85.0,55.0,63.0,0.0
2023-10-18,51.89,70.0,55.0,33.0,0.0
2023-10-19,55.75,65.0,55.0,53.0,0.0
2023-10-20,39.85,37.0,55.0,18.0,0.0
2023-10-23,33.16,23.0,55.0,10.0,0.0
2023-10-25,34.29,28.0,55.0,10.0,0.0
2023-10-26,30.1,23.0,55.0,10.0,3.0
2023-10-27,30.53,23.0,55.0,10.0,3.0
2023-10-30,30.44,23.0,55.0,10.0,3.0
2023-10-31,30.41,23.0,55.0,10.0,3.0
2023-11-01,30.27,23.0,55.0,10.0,3.0
2023-11-02,30.52,23.0,55.0,10.0,3.0
2023-11-03,30.71,23.0,55.0,10.0,3.0
2023-11-06,30.76,23.0,55.0,10.0,3.0
2023-11-07,30.99,23.0,55.0,10.0,3.0
2023-11-08,30.78,23.0,55.0,10.0,3.0
2023-11-09,30.7,23.0,55.0,10.0,3.0
2023-11-10,30.53,23.0,55.0,10.0,3.0
2023-11-13,30.75,23.0,55.0,10.0,3.0
2023-11-15,31.01,23.0,55.0,10.0,3.0
2023-11-16,30.95,23.0,55.0,10.0,3.0
2023-11-17,30.99,23.0,55.0,10.0,3.0
2023-11-20,31.16,23.0,55.0,10.0,3.0
2023-11-21,31.28,23.0,55.0,10.0,3.0
2023-11-22,31.45,23.0,55.0,10.0,3.0
2023-11-23,31.57,23.0,55.0,10.0,3.0
2023-11-24,31.62,23.0,55.0,10.0,3.0
2023-11-28,31.47,23.0,55.0,10.0,3.0
2023-11-29,31.3,23.0,55.0,10.0,3.0
2023-11-30,31.37,23.0,55.0,10.0,3.0
2023-12-01,31.33,23.0,55.0,10.0,3.0
2023-12-04,31.35,23.0,55.0,10.0,3.0
2023-12-05,31.07,23.0,55.0,10.0,3.0
2023-12-06,31.02,23.0,55.0,10.0,3.0
2023-12-07,31.34,23.0,55.0,10.0,3.0
2023-12-08,31.09,23.0,55.0,10.0,3.0
2023-12-11,31.28,23.0,55.0,10.0,3.0
2023-12-12,31.1,23.0,55.0,10.0,3.0
2023-12-13,31.08,23.0,55.0,10.0,3.0
2023-12-14,31.13,23.0,55.0,10.0,3.0
2023-12-15,31.13,23.0,55.0,10.0,3.0
2023-12-18,31.3,23.0,55.0,10.0,3.0
2023-12-19,31.29,23.0,55.0,10.0,3.0
2023-12-20,30.34,23.0,55.0,10.0,3.0
2023-12-21,30.74,23.0,55.0,10.0,3.0
2023-12-22,30.92,23.0,55.0,10.0,3.0
2023-12-26,30.93,23.0,55.0,10.0,3.0
2023-12-27,30.89,23.0,55.0,10.0,3.0
2023-12-28,30.83,23.0,55.0,10.0,3.0
2023-12-29,31.04,23.0,55.0,10.0,3.0
2024-01-01,31.34,23.0,55.0,10.0,3.0
2024-01-02,31.37,23.0,55.0,10.0,3.0
2024-01-03,31.42,23.0,55.0,10.0,3.0
2024-01-04,31.73,23.0,55.0,10.0,3.0
2024-01-05,31.45,23.0,55.0,10.0,3.0
2024-01-08,31.4,23.0,55.0,10.0,3.0
2024-01-09,31.63,23.0,55.0,10.0,3.0
2024-01-10,31.81,23.0,55.0,10.0,3.0
2024-01-11,31.88,23.0,55.0,10.0,3.0
2024-01-12,31.74,23.0,55.0,10.0,3.0
2024-01-15,31.69,23.0,55.0,10.0,3.0
2024-01-16,31.51,23.0,55.0,10.0,3.0
2024-01-17,31.24,23.0,55.0,10.0,3.0
2024-01-18,31.59,23.0,55.0,10.0,3.0
2024-01-19,31.66,23.0,55.0,10.0,3.0
2024-01-23,31.21,23.0,55.0,10.0,3.0
2024-01-24,31.78,23.0,55.0,10.0,3.0
2024-01-25,31.91,23.0,55.0,10.0,3.0
2024-01-29,31.83,23.0,55.0,10.0,3.0
2024-01-30,31.78,23.0,55.0,10.0,3.0
2024-01-31,31.98,23.0,55.0,10.0,3.0
2024-02-01,31.7,23.0,55.0,10.0,3.0
2024-02-02,31.66,23.0,55.0,10.0,3.0
2024-02-05,31.38,23.0,55.0,10.0,3.0
2024-02-06,31.77,23.0,55.0,10.0,3.0
2024-02-07,31.75,23.0,55.0,10.0,3.0
2024-02-08,31.37,23.0,55.0,10.0,3.0
2024-02-09,31.04,23.0,55.0,10.0,3.0
2024-02-12,30.45,23.0,55.0,10.0,3.0
2024-02-13,30.48,23.0,55.0,10.0,3.0
2024-02-14,30.78,23.0,55.0,10.0,3.0
2024-02-15,30.75,23.0,55.0,10.0,3.0
2024-02-16,30.92,23.0,55.0,10.0,3.0
2024-02-19,31.06,23.0,55.0,10.0,3.0
2024-02-20,31.07,23.0,55.0,10.0,3.0
2024-02-21,30.92,23.0,55.0,10.0,3.0
2024-02-22,30.78,23.0,55.0,10.0,3.0
2024-02-23,30.91,23.0,55.0,10.0,3.0
2024-02-26,30.97,23.0,55.0,10.0,3.0
2024-02-27,30.73,23.0,55.0,10.0,3.0
2024-02-28,30.41,23.0,55.0,10.0,3.0
2024-02-29,30.46,23.0,55.0,10.0,3.0
2024-03-01,30.59,23.0,55.0,10.0,3.0
2024-03-04,30.52,23.0,55.0,10.0,3.0
2024-03-05,30.26,23.0,55.0,10.0,3.0
2024-03-06,29.59,23.0,55.0,10.0,3.0
2024-03-07,29.81,23.0,55.0,10.0,3.0
2024-03-11,29.35,23.0,55.0,10.0,3.0
2024-03-12,29.04,23.0,55.0,10.0,3.0
