scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,46.29,52.0,28.0,98.0,9.0
2023-09-05,42.88,60.0,28.0,88.0,12.0
2023-09-06,48.25,60.0,28.0,98.0,9.0
2023-09-07,50.05,65.0,28.0,100.0,9.0
2023-09-08,51.87,72.0,28.0,100.0,9.0
2023-09-11,45.65,47.0,28.0,100.0,9.0
2023-09-12,42.62,60.0,28.0,98.0,14.0
2023-09-13,53.15,80.0,28.0,100.0,9.0
2023-09-14,46.49,65.0,28.0,100.0,12.0
2023-09-15,46.6,65.0,28.0,100.0,12.0
2023-09-18,43.82,60.0,28.0,95.0,12.0
2023-09-20,51.69,75.0,28.0,100.0,9.0
2023-09-21,47.22,60.0,28.0,98.0,9.0
2023-09-22,44.12,60.0,28.0,98.0,12.0
2023-09-25,44.29,60.0,28.0,98.0,12.0
2023-09-26,41.85,60.0,28.0,88.0,12.0
2023-09-27,41.75,60.0,28.0,88.0,12.0
2023-09-28,37.17,42.0,28.0,88.0,12.0
2023-09-29,47.33,70.0,28.0,88.0,9.0
2023-10-03,43.22,65.0,28.0,88.0,12.0
2023-10-04,49.67,80.0,28.0,88.0,9.0
2023-10-05,41.85,60.0,28.0,88.0,12.0
2023-10-06,48.87,65.0,28.0,98.0,9.0
2023-10-09,41.56,60.0,28.0,88.0,12.0
2023-10-10,38.72,65.0,28.0,70.0,12.0
2023-10-11,40.38,60.0,28.0,70.0,9.0
2023-10-12,54.04,85.0,28.0,98.0,9.0
2023-10-13,37.67,60.0,28.0,70.0,12.0
2023-10-16,40.76,60.0,28.0,70.0,9.0
2023-10-17,39.28,65.0,28.0,70.0,12.0
2023-10-18,33.87,42.0,28.0,60.0,9.0
2023-10-19,42.12,65.0,28.0,70.0,9.0
2023-10-20,38.24,60.0,28.0,60.0,9.0
2023-10-23,24.25,28.0,28.0,60.0,14.0
2023-10-25,27.72,23.0,28.0,60.0,9.0
2023-10-26,30.32,33.0,28.0,60.0,9.0
2023-10-27,29.57,28.0,28.0,60.0,9.0
2023-10-30,26.55,28.0,28.0,60.0,12.0
2023-10-31,29.38,28.0,28.0,60.0,9.0
2023-11-01,25.0,23.0,28.0,60.0,12.0
2023-11-02,25.14,23.0,28.0,60.0,12.0
2023-11-03,25.18,23.0,28.0,60.0,12.0
2023-11-06,24.62,23.0,28.0,45.0,9.0
2023-11-07,20.28,28.0,28.0,35.0,12.0
2023-11-08,22.94,28.0,28.0,45.0,12.0
2023-11-09,24.51,23.0,28.0,45.0,9.0
2023-11-10,29.26,42.0,28.0,45.0,9.0
2023-11-13,29.55,42.0,28.0,45.0,9.0
2023-11-15,28.68,50.0,28.0,45.0,12.0
2023-11-16,27.05,32.0,28.0,45.0,9.0
2023-11-17,40.37,70.0,28.0,60.0,9.0
2023-11-20,27.28,45.0,28.0,45.0,12.0
2023-11-21,27.54,45.0,28.0,45.0,12.0
2023-11-22,27.45,27.0,28.0,63.0,12.0
2023-11-23,36.26,50.0,28.0,63.0,9.0
2023-11-24,32.23,45.0,28.0,63.0,12.0
2023-11-28,36.35,50.0,28.0,63.0,9.0
2023-11-29,45.02,85.0,28.0,63.0,9.0
2023-11-30,44.0,80.0,28.0,63.0,9.0
2023-12-01,44.46,75.0,28.0,70.0,9.0
2023-12-04,46.16,72.0,28.0,80.0,9.0
2023-12-05,42.14,57.0,28.0,80.0,9.0
2023-12-06,40.25,60.0,28.0,70.0,9.0
2023-12-07,40.46,60.0,28.0,70.0,9.0
2023-12-08,40.3,60.0,28.0,70.0,9.0
2023-12-11,44.22,65.0,28.0,80.0,9.0
2023-12-12,35.25,60.0,28.0,50.0,9.0
2023-12-13,40.05,65.0,28.0,63.0,9.0
2023-12-14,42.6,75.0,28.0,63.0,9.0
2023-12-15,46.07,72.0,28.0,80.0,9.0
2023-12-18,45.97,72.0,28.0,80.0,9.0
2023-12-19,39.6,47.0,28.0,80.0,9.0
2023-12-20,26.49,60.0,28.0,38.0,14.0
2023-12-21,30.33,65.0,28.0,38.0,12.0
2023-12-22,34.13,65.0,28.0,53.0,12.0
2023-12-26,45.35,70.0,28.0,80.0,9.0
2023-12-27,46.56,75.0,28.0,80.0,9.0
2023-12-28,41.48,65.0,28.0,70.0,9.0
2023-12-29,38.52,60.0,28.0,63.0,9.0
2024-01-01,36.96,65.0,28.0,63.0,12.0
2024-01-02,38.58,60.0,28.0,63.0,9.0
2024-01-03,35.62,60.0,28.0,63.0,12.0
2024-01-04,41.39,70.0,28.0,63.0,9.0
2024-01-05,36.01,60.0,28.0,63.0,12.0
2024-01-08,35.75,60.0,28.0,63.0,12.0
2024-01-09,37.18,65.0,28.0,63.0,12.0
2024-01-10,45.24,85.0,28.0,63.0,9.0
2024-01-11,42.88,75.0,28.0,63.0,9.0
2024-01-12,39.16,60.0,28.0,63.0,9.0
2024-01-15,40.25,65.0,28.0,63.0,9.0
2024-01-16,35.64,65.0,28.0,45.0,9.0
2024-01-17,41.14,70.0,28.0,63.0,9.0
2024-01-18,38.89,60.0,28.0,63.0,9.0
2024-01-19,37.31,65.0,28.0,63.0,12.0
2024-01-23,25.96,38.0,28.0,35.0,9.0
2024-01-24,25.82,47.0,28.0,35.0,12.0
2024-01-25,26.05,47.0,28.0,35.0,12.0
2024-01-29,24.85,42.0,28.0,35.0,12.0
2024-01-30,33.48,65.0,28.0,35.0,9.0
2024-01-31,36.22,65.0,28.0,45.0,9.0
2024-02-01,45.55,75.0,28.0,73.0,9.0
2024-02-02,37.86,65.0,28.0,53.0,9.0
2024-02-05,54.06,85.0,28.0,98.0,9.0
2024-02-06,51.56,72.0,28.0,100.0,9.0
2024-02-07,48.98,62.0,28.0,100.0,9.0
2024-02-08,48.32,60.0,28.0,100.0,9.0
2024-02-09,41.29,60.0,28.0,73.0,9.0
2024-02-12,21.5,42.0,28.0,35.0,14.0
2024-02-13,22.66,27.0,28.0,35.0,9.0
2024-02-14,27.88,47.0,28.0,35.0,9.0
2024-02-15,21.25,47.0,28.0,20.0,12.0
2024-02-16,49.63,80.0,28.0,88.0,9.0
2024-02-19,35.48,60.0,28.0,63.0,12.0
2024-02-20,36.54,65.0,28.0,63.0,12.0
2024-02-21,20.5,27.0,28.0,38.0,12.0
2024-02-22,53.69,85.0,28.0,100.0,9.0
2024-02-23,49.92,70.0,28.0,100.0,9.0
2024-02-26,43.08,60.0,28.0,95.0,12.0
2024-02-27,47.21,60.0,28.0,100.0,9.0
2024-02-28,30.77,60.0,28.0,48.0,12.0
2024-02-29,32.18,65.0,28.0,48.0,12.0
2024-03-01,35.33,65.0,28.0,48.0,9.0
2024-03-04,47.77,85.0,28.0,78.0,9.0
2024-03-05,37.51,60.0,28.0,63.0,9.0
2024-03-06,26.15,60.0,28.0,20.0,9.0
2024-03-07,49.77,85.0,28.0,88.0,9.0
2024-03-11,42.88,60.0,28.0,88.0,9.0
2024-03-12,49.39,75.0,28.0,100.0,9.0
2024-03-13,33.78,65.0,28.0,70.0,14.0
2024-03-14,39.42,65.0,28.0,70.0,9.0
2024-03-15,39.35,65.0,28.0,70.0,9.0
2024-03-18,36.34,60.0,28.0,63.0,9.0
2024-03-19,24.85,42.0,28.0,48.0,12.0
2024-03-20,24.76,42.0,28.0,48.0,12.0
2024-03-21,46.08,80.0,28.0,80.0,9.0
2024-03-22,40.56,70.0,28.0,68.0,9.0
2024-03-26,34.15,60.0,28.0,53.0,9.0
2024-03-27,27.62,60.0,28.0,38.0,12.0
2024-03-28,27.59,60.0,28.0,38.0,12.0
2024-04-01,63.06,70.0,66.0,63.0,0.0
2024-04-02,64.63,70.0,66.0,68.0,0.0
2024-04-03,72.31,80.0,66.0,88.0,0.0
2024-04-04,71.08,75.0,66.0,88.0,0.0
2024-04-05,70.09,60.0,66.0,98.0,0.0
2024-04-08,70.61,65.0,66.0,95.0,0.0
2024-04-09,69.87,70.0,66.0,88.0,0.0
2024-04-10,76.26,85.0,66.0,98.0,0.0
2024-04-12,64.98,60.0,66.0,78.0,0.0
2024-04-15,68.53,65.0,66.0,88.0,0.0
2024-04-16,67.53,60.0,66.0,88.0,0.0
2024-04-18,76.17,85.0,66.0,98.0,0.0
2024-04-19,71.49,65.0,66.0,100.0,0.0
2024-04-22,72.13,65.0,66.0,100.0,0.0
2024-04-23,72.19,65.0,66.0,100.0,0.0
2024-04-24,70.54,60.0,66.0,98.0,0.0
2024-04-25,74.73,75.0,66.0,100.0,0.0
2024-04-26,68.17,60.0,66.0,100.0,3.0
2024-04-29,68.08,60.0,66.0,100.0,3.0
2024-04-30,68.16,60.0,66.0,100.0,3.0
2024-05-02,65.01,60.0,66.0,88.0,3.0
2024-05-03,64.73,60.0,66.0,88.0,3.0
2024-05-06,55.69,42.0,66.0,60.0,0.0
2024-05-07,47.98,28.0,66.0,45.0,0.0
2024-05-08,40.82,23.0,66.0,20.0,0.0
2024-05-09,32.89,24.0,66.0,10.0,5.0
2024-05-10,33.88,19.0,66.0,10.0,3.0
