scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,14.29,19.0,23.0,10.0,9.0
2023-09-05,21.63,48.0,23.0,10.0,9.0
2023-09-06,16.5,28.0,23.0,10.0,9.0
2023-09-07,17.55,32.0,23.0,10.0,9.0
2023-09-08,30.87,60.0,23.0,35.0,9.0
2023-09-11,39.15,85.0,23.0,43.0,9.0
2023-09-12,35.87,75.0,23.0,43.0,9.0
2023-09-13,39.65,80.0,23.0,53.0,9.0
2023-09-14,38.99,70.0,23.0,60.0,9.0
2023-09-15,41.6,80.0,23.0,60.0,9.0
2023-09-18,36.82,62.0,23.0,60.0,9.0
2023-09-20,36.19,60.0,23.0,60.0,9.0
2023-09-21,39.72,75.0,23.0,60.0,9.0
2023-09-22,35.87,60.0,23.0,60.0,9.0
2023-09-25,36.04,60.0,23.0,60.0,9.0
2023-09-26,46.1,80.0,23.0,80.0,9.0
2023-09-27,36.0,60.0,23.0,60.0,9.0
2023-09-28,32.92,60.0,23.0,60.0,12.0
2023-09-29,42.33,65.0,23.0,80.0,9.0
2023-10-03,37.47,65.0,23.0,60.0,9.0
2023-10-04,27.67,27.0,23.0,60.0,9.0
2023-10-05,23.85,23.0,23.0,60.0,12.0
2023-10-06,40.12,75.0,23.0,60.0,9.0
2023-10-09,30.81,47.0,23.0,53.0,9.0
2023-10-10,36.97,70.0,23.0,53.0,9.0
2023-10-11,25.38,42.0,23.0,35.0,9.0
2023-10-12,21.04,33.0,23.0,25.0,9.0
2023-10-13,15.42,23.0,23.0,25.0,12.0
2023-10-16,11.76,23.0,23.0,10.0,12.0
2023-10-17,31.02,62.0,23.0,35.0,9.0
2023-10-18,18.62,23.0,23.0,25.0,9.0
2023-10-19,13.12,28.0,23.0,10.0,12.0
2023-10-20,11.74,23.0,23.0,10.0,12.0
2023-10-23,16.25,33.0,23.0,10.0,9.0
2023-10-25,10.47,23.0,23.0,10.0,12.0
2023-10-26,14.82,38.0,23.0,0.0,9.0
2023-10-27,11.07,23.0,23.0,10.0,12.0
2023-10-30,8.55,23.0,23.0,0.0,12.0
2023-10-31,13.88,33.0,23.0,0.0,9.0
2023-11-01,8.25,23.0,23.0,0.0,12.0
2023-11-02,9.63,28.0,23.0,0.0,12.0
2023-11-03,11.43,23.0,23.0,0.0,9.0
2023-11-06,28.38,80.0,23.0,10.0,9.0
2023-11-07,15.03,27.0,23.0,10.0,9.0
2023-11-08,11.69,23.0,23.0,0.0,9.0
2023-11-09,11.51,23.0,23.0,0.0,9.0
2023-11-10,20.01,47.0,23.0,10.0,9.0
2023-11-13,15.55,28.0,23.0,10.0,9.0
2023-11-15,11.43,23.0,23.0,10.0,12.0
2023-11-16,15.55,28.0,23.0,10.0,9.0
2023-11-17,18.12,38.0,23.0,10.0,9.0
2023-11-20,0.03,8.0,23.0,0.0,17.0
2023-11-21,19.29,52.0,23.0,0.0,9.0
2023-11-22,12.95,27.0,23.0,0.0,9.0
2023-11-23,0.0,8.0,23.0,0.0,20.0
2023-11-24,28.48,70.0,23.0,18.0,9.0
2023-11-28,17.6,27.0,23.0,18.0,9.0
2023-11-29,14.52,27.0,23.0,18.0,12.0
2023-11-30,4.0,12.0,23.0,10.0,17.0
2023-12-01,2.96,8.0,23.0,10.0,17.0
2023-12-04,4.16,13.0,23.0,10.0,17.0
2023-12-05,6.89,17.0,23.0,18.0,17.0
2023-12-06,2.5,8.0,23.0,10.0,17.0
2023-12-07,2.71,18.0,23.0,0.0,17.0
2023-12-08,2.55,18.0,23.0,0.0,17.0
2023-12-11,1.47,13.0,23.0,0.0,17.0
2023-12-12,0.0,8.0,23.0,0.0,17.0
2023-12-13,5.05,27.0,23.0,0.0,17.0
2023-12-14,1.6,13.0,23.0,0.0,17.0
2023-12-15,2.82,18.0,23.0,0.0,17.0
2023-12-18,0.22,8.0,23.0,0.0,17.0
2023-12-19,0.0,13.0,23.0,0.0,20.0
2023-12-20,1.74,18.0,23.0,0.0,17.0
2023-12-21,1.08,13.0,23.0,0.0,17.0
2023-12-22,1.13,13.0,23.0,0.0,17.0
2023-12-26,0.1,8.0,23.0,0.0,17.0
2023-12-27,5.06,28.0,23.0,0.0,17.0
2023-12-28,2.73,19.0,23.0,0.0,17.0
