scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-08-25,40.58,32.0,59.0,20.0,0.0
2023-08-28,47.26,57.0,59.0,20.0,0.0
2023-08-29,40.34,27.0,59.0,20.0,0.0
2023-08-30,52.41,75.0,59.0,20.0,0.0
2023-08-31,48.73,60.0,59.0,20.0,0.0
2023-09-01,54.65,65.0,59.0,38.0,0.0
2023-09-04,58.69,80.0,59.0,38.0,0.0
2023-09-05,57.24,75.0,59.0,38.0,0.0
2023-09-06,53.43,60.0,59.0,38.0,0.0
2023-09-07,53.43,60.0,59.0,38.0,0.0
2023-09-08,53.42,60.0,59.0,38.0,0.0
2023-09-11,54.7,65.0,59.0,38.0,0.0
2023-09-12,40.27,28.0,59.0,20.0,0.0
2023-09-13,44.01,23.0,59.0,38.0,0.0
2023-09-14,58.53,80.0,59.0,38.0,0.0
2023-09-15,57.11,75.0,59.0,38.0,0.0
2023-09-18,44.65,27.0,59.0,38.0,0.0
2023-09-20,39.74,27.0,59.0,20.0,0.0
2023-09-21,38.5,23.0,59.0,20.0,0.0
2023-09-22,39.7,28.0,59.0,20.0,0.0
2023-09-25,38.69,23.0,59.0,20.0,0.0
2023-09-26,38.65,23.0,59.0,20.0,0.0
2023-09-27,38.8,23.0,59.0,20.0,0.0
2023-09-28,18.65,19.0,59.0,10.0,16.0
2023-09-29,44.96,48.0,59.0,20.0,0.0
2023-10-03,40.99,33.0,59.0,20.0,0.0
2023-10-04,39.14,28.0,59.0,20.0,0.0
2023-10-05,35.44,23.0,59.0,10.0,0.0
2023-10-06,36.72,28.0,59.0,10.0,0.0
2023-10-09,42.1,52.0,59.0,10.0,0.0
2023-10-10,47.14,70.0,59.0,10.0,0.0
2023-10-11,46.19,65.0,59.0,10.0,0.0
2023-10-12,49.9,70.0,59.0,18.0,0.0
2023-10-13,48.25,65.0,59.0,18.0,0.0
2023-10-16,49.78,70.0,59.0,18.0,0.0
2023-10-17,47.83,60.0,59.0,20.0,0.0
2023-10-18,37.99,42.0,59.0,0.0,0.0
2023-10-19,32.48,32.0,59.0,0.0,3.0
2023-10-20,36.57,38.0,59.0,0.0,0.0
2023-10-23,20.25,8.0,59.0,0.0,8.0
2023-10-25,20.13,8.0,59.0,0.0,8.0
2023-10-26,19.93,8.0,59.0,0.0,8.0
