scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,45.74,60.0,25.0,100.0,11.0
2023-09-05,45.83,60.0,25.0,100.0,11.0
2023-09-06,45.2,60.0,25.0,98.0,11.0
2023-09-07,45.25,60.0,25.0,98.0,11.0
2023-09-08,49.57,65.0,25.0,98.0,8.0
2023-09-11,49.6,75.0,25.0,88.0,8.0
2023-09-12,42.07,60.0,25.0,88.0,11.0
2023-09-13,35.1,60.0,25.0,60.0,11.0
2023-09-14,39.44,65.0,25.0,60.0,8.0
2023-09-15,33.3,42.0,25.0,70.0,11.0
2023-09-18,43.77,65.0,25.0,78.0,8.0
2023-09-20,47.39,70.0,25.0,88.0,8.0
2023-09-21,37.17,60.0,25.0,70.0,11.0
2023-09-22,32.57,42.0,25.0,70.0,11.0
2023-09-25,33.99,47.0,25.0,70.0,11.0
2023-09-26,33.3,42.0,25.0,60.0,8.0
2023-09-27,25.45,38.0,25.0,45.0,11.0
2023-09-28,24.62,23.0,25.0,45.0,8.0
2023-09-29,38.28,62.0,25.0,60.0,8.0
2023-10-03,25.67,23.0,25.0,60.0,11.0
2023-10-04,25.37,23.0,25.0,60.0,11.0
2023-10-05,35.8,52.0,25.0,60.0,8.0
2023-10-06,41.82,65.0,25.0,70.0,8.0
2023-10-09,49.51,80.0,25.0,88.0,8.0
2023-10-10,49.92,80.0,25.0,88.0,8.0
2023-10-11,47.33,70.0,25.0,88.0,8.0
2023-10-12,52.74,80.0,25.0,98.0,8.0
2023-10-13,51.37,75.0,25.0,98.0,8.0
2023-10-16,47.71,60.0,25.0,98.0,8.0
2023-10-17,52.98,80.0,25.0,98.0,8.0
2023-10-18,47.82,60.0,25.0,98.0,8.0
2023-10-19,45.32,60.0,25.0,88.0,8.0
2023-10-20,45.19,60.0,25.0,88.0,8.0
2023-10-23,50.2,72.0,25.0,100.0,8.0
2023-10-25,49.92,72.0,25.0,100.0,8.0
2023-10-26,45.77,75.0,25.0,100.0,13.0
2023-10-27,50.52,72.0,25.0,100.0,8.0
2023-10-30,49.25,67.0,25.0,100.0,8.0
2023-10-31,48.58,65.0,25.0,100.0,8.0
2023-11-01,46.45,57.0,25.0,100.0,8.0
2023-11-02,49.08,67.0,25.0,100.0,8.0
2023-11-03,50.38,72.0,25.0,100.0,8.0
2023-11-06,50.58,72.0,25.0,100.0,8.0
2023-11-07,47.98,62.0,25.0,100.0,8.0
2023-11-08,44.39,47.0,25.0,100.0,8.0
2023-11-09,41.21,47.0,25.0,100.0,11.0
2023-11-10,47.96,62.0,25.0,100.0,8.0
2023-11-13,42.75,52.0,25.0,100.0,11.0
2023-11-15,44.13,65.0,25.0,100.0,13.0
2023-11-16,50.25,70.0,25.0,100.0,8.0
2023-11-17,47.82,60.0,25.0,100.0,8.0
2023-11-20,50.23,70.0,25.0,100.0,8.0
2023-11-21,47.24,57.0,25.0,100.0,8.0
2023-11-22,44.9,60.0,25.0,100.0,11.0
2023-11-23,44.96,60.0,25.0,100.0,11.0
2023-11-24,45.18,60.0,25.0,100.0,11.0
2023-11-28,45.05,60.0,25.0,100.0,11.0
2023-11-29,46.22,65.0,25.0,100.0,11.0
2023-11-30,45.2,60.0,25.0,100.0,11.0
2023-12-01,45.16,60.0,25.0,100.0,11.0
2023-12-04,47.61,70.0,25.0,100.0,11.0
2023-12-05,41.84,60.0,25.0,88.0,11.0
2023-12-06,37.2,60.0,25.0,70.0,11.0
2023-12-07,38.66,65.0,25.0,70.0,11.0
2023-12-08,34.75,50.0,25.0,70.0,11.0
2023-12-11,35.92,42.0,25.0,70.0,8.0
2023-12-12,32.7,42.0,25.0,70.0,11.0
2023-12-13,32.0,38.0,25.0,70.0,11.0
2023-12-14,37.3,47.0,25.0,70.0,8.0
2023-12-15,38.52,52.0,25.0,70.0,8.0
2023-12-18,32.92,42.0,25.0,70.0,11.0
2023-12-19,34.8,38.0,25.0,70.0,8.0
