scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2024-02-05,2.41,28.0,25.0,0.0,20.0
2024-02-06,0.0,8.0,25.0,0.0,20.0
2024-02-07,0.0,8.0,25.0,0.0,20.0
2024-02-08,1.5,13.0,25.0,0.0,17.0
2024-02-09,11.17,18.0,25.0,35.0,17.0
2024-02-12,17.75,47.0,25.0,35.0,17.0
2024-02-13,10.29,18.0,25.0,35.0,17.0
2024-02-14,15.44,37.0,25.0,35.0,17.0
2024-02-15,15.73,50.0,25.0,35.0,20.0
2024-02-16,12.92,27.0,25.0,35.0,17.0
2024-02-19,6.4,12.0,25.0,35.0,20.0
2024-02-20,6.35,12.0,25.0,35.0,20.0
2024-02-21,0.0,8.0,25.0,10.0,20.0
2024-02-22,7.46,17.0,25.0,35.0,20.0
2024-02-23,15.14,60.0,25.0,10.0,17.0
2024-02-26,0.43,12.0,25.0,0.0,17.0
2024-02-27,0.0,12.0,25.0,0.0,20.0
2024-02-28,0.0,8.0,25.0,0.0,20.0
2024-02-29,2.63,23.0,25.0,0.0,17.0
2024-03-01,2.96,13.0,25.0,10.0,17.0
2024-03-04,1.68,8.0,25.0,10.0,17.0
2024-03-05,2.3,13.0,25.0,10.0,17.0
2024-03-06,3.21,18.0,25.0,10.0,17.0
2024-03-07,0.85,8.0,25.0,10.0,17.0
2024-03-11,0.0,4.0,25.0,0.0,20.0
2024-03-12,0.0,4.0,25.0,0.0,20.0
2024-03-13,0.0,9.0,25.0,0.0,17.0
2024-03-14,0.23,18.0,25.0,0.0,17.0
2024-03-15,0.0,8.0,25.0,0.0,17.0
2024-03-18,0.0,13.0,25.0,0.0,20.0
2024-03-19,0.0,9.0,25.0,0.0,17.0
2024-03-20,0.1,19.0,25.0,0.0,17.0
2024-03-21,1.66,24.0,25.0,0.0,17.0
2024-03-22,0.0,9.0,25.0,0.0,20.0
2024-03-26,0.0,18.0,25.0,0.0,20.0
2024-03-27,1.02,22.0,25.0,0.0,17.0
2024-03-28,1.7,25.0,25.0,0.0,17.0
2024-04-01,31.19,25.0,66.0,0.0,3.0
2024-04-02,34.47,25.0,66.0,0.0,0.0
2024-04-03,30.23,20.0,66.0,0.0,3.0
2024-04-04,33.67,25.0,66.0,8.0,3.0
2024-04-05,30.53,20.0,66.0,0.0,3.0
2024-04-08,33.42,12.0,66.0,8.0,0.0
2024-04-09,31.72,17.0,66.0,8.0,3.0
2024-04-10,32.62,8.0,66.0,8.0,0.0
2024-04-12,31.7,17.0,66.0,8.0,3.0
2024-04-15,30.1,12.0,66.0,8.0,3.0
2024-04-16,34.03,23.0,66.0,0.0,0.0
2024-04-18,33.44,13.0,66.0,8.0,0.0
2024-04-19,33.55,13.0,66.0,8.0,0.0
2024-04-22,42.18,35.0,66.0,18.0,0.0
2024-04-23,52.92,70.0,66.0,25.0,0.0
2024-04-24,44.28,35.0,66.0,25.0,0.0
2024-04-25,41.24,35.0,66.0,25.0,3.0
2024-04-26,42.68,40.0,66.0,25.0,3.0
2024-04-29,43.21,35.0,66.0,18.0,0.0
2024-04-30,44.52,40.0,66.0,18.0,0.0
2024-05-02,37.35,35.0,66.0,8.0,3.0
2024-05-03,36.98,35.0,66.0,8.0,3.0
2024-05-06,37.64,40.0,66.0,8.0,3.0
2024-05-07,37.52,40.0,66.0,8.0,3.0
2024-05-08,43.45,40.0,66.0,18.0,0.0
2024-05-09,41.56,35.0,66.0,18.0,0.0
2024-05-10,42.93,40.0,66.0,18.0,0.0
2024-05-13,38.42,35.0,66.0,18.0,3.0
2024-05-14,41.41,35.0,66.0,28.0,3.0
2024-05-15,36.89,27.0,66.0,18.0,3.0
2024-05-16,45.04,37.0,66.0,28.0,0.0
2024-05-17,45.63,23.0,66.0,43.0,0.0
2024-05-21,55.99,55.0,66.0,53.0,0.0
2024-05-22,49.42,40.0,66.0,43.0,0.0
2024-05-23,46.04,35.0,66.0,35.0,0.0
2024-05-24,47.91,60.0,66.0,18.0,0.0
2024-05-27,41.33,35.0,66.0,18.0,0.0
2024-05-28,39.05,35.0,66.0,10.0,0.0
2024-05-29,39.37,40.0,66.0,18.0,3.0
2024-05-30,35.83,35.0,66.0,10.0,3.0
2024-05-31,54.82,70.0,66.0,38.0,0.0
2024-06-03,48.72,55.0,66.0,28.0,0.0
2024-06-04,28.82,27.0,66.0,0.0,5.0
2024-06-05,56.39,65.0,66.0,48.0,0.0
2024-06-06,51.48,55.0,66.0,38.0,0.0
