scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-01-16,47.12,53.0,79.0,8.0,0.0
2025-01-17,42.53,35.0,79.0,8.0,0.0
2025-01-20,41.42,30.0,79.0,8.0,0.0
2025-01-21,37.74,26.0,79.0,0.0,0.0
2025-01-22,39.06,31.0,79.0,0.0,0.0
2025-01-23,39.32,31.0,79.0,0.0,0.0
2025-01-24,36.4,21.0,79.0,0.0,0.0
2025-01-27,36.99,24.0,79.0,0.0,0.0
2025-01-28,35.92,19.0,79.0,0.0,0.0
2025-01-29,36.86,21.0,79.0,0.0,0.0
2025-01-30,32.27,16.0,79.0,0.0,3.0
2025-01-31,38.26,26.0,79.0,0.0,0.0
2025-02-01,45.66,53.0,79.0,0.0,0.0
2025-02-03,51.22,75.0,79.0,0.0,0.0
2025-02-04,50.66,65.0,79.0,8.0,0.0
2025-02-05,49.26,50.0,79.0,18.0,0.0
2025-02-06,46.44,50.0,79.0,8.0,0.0
2025-02-07,57.95,75.0,79.0,28.0,0.0
2025-02-10,48.63,50.0,79.0,18.0,0.0
2025-02-11,50.67,60.0,79.0,18.0,0.0
2025-02-12,48.8,60.0,79.0,10.0,0.0
2025-02-13,48.13,50.0,79.0,18.0,0.0
2025-02-14,47.7,60.0,79.0,8.0,0.0
2025-02-17,55.43,70.0,79.0,28.0,0.0
2025-02-18,47.82,50.0,79.0,18.0,0.0
2025-02-19,55.01,60.0,79.0,35.0,0.0
2025-02-20,48.43,50.0,79.0,18.0,0.0
2025-02-21,43.63,32.0,79.0,18.0,0.0
2025-02-24,45.23,32.0,79.0,25.0,0.0
2025-02-25,51.1,55.0,79.0,25.0,0.0
2025-02-27,35.49,21.0,79.0,18.0,5.0
2025-02-28,44.22,36.0,79.0,18.0,0.0
2025-03-03,31.81,16.0,79.0,0.0,3.0
2025-03-04,33.09,21.0,79.0,0.0,3.0
2025-03-05,33.51,21.0,79.0,0.0,3.0
2025-03-06,32.36,16.0,79.0,0.0,3.0
2025-03-07,32.18,16.0,79.0,0.0,3.0
2025-03-10,31.81,16.0,79.0,0.0,3.0
2025-03-11,31.94,16.0,79.0,0.0,3.0
2025-03-12,32.18,16.0,79.0,0.0,3.0
2025-03-13,32.06,16.0,79.0,0.0,3.0
2025-03-17,32.22,16.0,79.0,0.0,3.0
