scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,66.06,60.0,53.0,100.0,0.0
2023-09-05,67.31,65.0,53.0,100.0,0.0
2023-09-06,64.32,65.0,53.0,100.0,3.0
2023-09-07,70.65,80.0,53.0,98.0,0.0
2023-09-08,61.88,65.0,53.0,78.0,0.0
2023-09-11,60.54,60.0,53.0,78.0,0.0
2023-09-12,52.58,47.0,53.0,63.0,0.0
2023-09-13,57.34,65.0,53.0,63.0,0.0
2023-09-14,58.84,70.0,53.0,63.0,0.0
2023-09-15,63.89,65.0,53.0,88.0,0.0
2023-09-18,66.22,75.0,53.0,88.0,0.0
2023-09-20,52.31,60.0,53.0,60.0,3.0
2023-09-21,58.73,65.0,53.0,70.0,0.0
2023-09-22,58.74,65.0,53.0,70.0,0.0
2023-09-25,49.45,38.0,53.0,60.0,0.0
2023-09-26,49.48,38.0,53.0,60.0,0.0
2023-09-27,42.72,38.0,53.0,45.0,3.0
2023-09-28,42.68,23.0,53.0,60.0,3.0
2023-09-29,43.38,28.0,53.0,45.0,0.0
2023-10-03,42.32,23.0,53.0,45.0,0.0
2023-10-04,43.12,28.0,53.0,45.0,0.0
2023-10-05,40.27,28.0,53.0,45.0,3.0
2023-10-06,44.68,33.0,53.0,45.0,0.0
2023-10-09,38.42,23.0,53.0,45.0,3.0
2023-10-10,45.32,37.0,53.0,45.0,0.0
2023-10-11,57.63,85.0,53.0,45.0,0.0
2023-10-12,62.58,70.0,53.0,78.0,0.0
2023-10-13,65.1,80.0,53.0,78.0,0.0
2023-10-16,56.26,60.0,53.0,63.0,0.0
2023-10-17,61.46,65.0,53.0,78.0,0.0
2023-10-18,61.19,65.0,53.0,78.0,0.0
2023-10-19,60.05,60.0,53.0,78.0,0.0
2023-10-20,59.9,60.0,53.0,78.0,0.0
2023-10-23,39.96,23.0,53.0,60.0,5.0
2023-10-25,47.34,33.0,53.0,60.0,0.0
2023-10-26,67.4,85.0,53.0,88.0,0.0
2023-10-27,70.83,85.0,53.0,100.0,0.0
