scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,45.48,55.0,54.0,20.0,0.0
2023-09-05,44.07,50.0,54.0,20.0,0.0
2023-09-06,52.94,65.0,54.0,38.0,0.0
2023-09-07,56.45,80.0,54.0,38.0,0.0
2023-09-08,45.08,55.0,54.0,18.0,0.0
2023-09-11,38.23,35.0,54.0,10.0,0.0
2023-09-12,37.71,37.0,54.0,10.0,0.0
2023-09-13,41.94,45.0,54.0,18.0,0.0
2023-09-14,52.63,65.0,54.0,38.0,0.0
2023-09-15,48.55,50.0,54.0,38.0,0.0
2023-09-18,41.48,35.0,54.0,38.0,3.0
2023-09-20,37.59,27.0,54.0,18.0,0.0
2023-09-21,34.26,27.0,54.0,18.0,3.0
2023-09-22,34.5,28.0,54.0,18.0,3.0
2023-09-25,38.98,32.0,54.0,18.0,0.0
2023-09-26,52.19,65.0,54.0,38.0,0.0
2023-09-27,39.76,35.0,54.0,18.0,0.0
2023-09-28,38.92,32.0,54.0,18.0,0.0
2023-09-29,35.93,32.0,54.0,18.0,3.0
2023-10-03,35.9,32.0,54.0,18.0,3.0
2023-10-04,32.18,27.0,54.0,10.0,3.0
2023-10-05,35.31,27.0,54.0,10.0,0.0
2023-10-06,36.53,32.0,54.0,10.0,0.0
2023-10-09,31.37,27.0,54.0,10.0,3.0
2023-10-10,36.03,32.0,54.0,10.0,0.0
2023-10-11,36.06,32.0,54.0,10.0,0.0
2023-10-12,35.41,28.0,54.0,10.0,0.0
2023-10-13,33.47,32.0,54.0,10.0,3.0
2023-10-16,33.41,32.0,54.0,10.0,3.0
2023-10-17,35.47,27.0,54.0,10.0,0.0
2023-10-18,35.41,27.0,54.0,10.0,0.0
2023-10-19,37.66,37.0,54.0,10.0,0.0
2023-10-20,36.19,32.0,54.0,10.0,0.0
2023-10-23,24.44,23.0,54.0,10.0,8.0
2023-10-25,23.02,18.0,54.0,10.0,8.0
2023-10-26,24.49,23.0,54.0,10.0,8.0
2023-10-27,23.7,28.0,54.0,0.0,8.0
2023-10-30,20.03,13.0,54.0,0.0,8.0
2023-10-31,24.88,23.0,54.0,10.0,8.0
2023-11-01,23.53,28.0,54.0,0.0,8.0
2023-11-02,18.47,18.0,54.0,0.0,11.0
2023-11-03,22.72,23.0,54.0,0.0,8.0
2023-11-06,24.43,28.0,54.0,0.0,8.0
2023-11-07,24.63,28.0,54.0,0.0,8.0
2023-11-08,20.88,13.0,54.0,0.0,8.0
2023-11-09,21.91,18.0,54.0,0.0,8.0
2023-11-10,24.22,28.0,54.0,0.0,8.0
2023-11-13,24.46,28.0,54.0,0.0,8.0
2023-11-15,21.94,18.0,54.0,0.0,8.0
2023-11-16,24.38,28.0,54.0,0.0,8.0
2023-11-17,22.99,23.0,54.0,0.0,8.0
2023-11-20,22.15,18.0,54.0,0.0,8.0
2023-11-21,24.9,28.0,54.0,0.0,8.0
2023-11-22,21.09,13.0,54.0,0.0,8.0
2023-11-23,22.99,18.0,54.0,0.0,8.0
