scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-06-04,18.26,13.0,59.0,0.0,12.0
2026-06-05,19.83,8.0,59.0,0.0,9.0
2026-06-08,16.49,8.0,59.0,0.0,12.0
2026-06-09,22.67,18.0,59.0,0.0,9.0
2026-06-10,23.03,8.0,59.0,25.0,12.0
2026-06-11,22.79,8.0,59.0,25.0,12.0
2026-06-12,31.5,28.0,59.0,25.0,9.0
2026-06-15,31.47,17.0,59.0,35.0,9.0
2026-06-16,29.27,8.0,59.0,35.0,9.0
2026-06-17,26.38,8.0,59.0,35.0,12.0
2026-06-18,28.16,13.0,59.0,25.0,9.0
2026-06-19,26.57,8.0,59.0,35.0,12.0
2026-06-22,30.46,22.0,59.0,25.0,9.0
2026-06-23,29.24,8.0,59.0,35.0,9.0
2026-06-24,29.16,8.0,59.0,35.0,9.0
2026-06-25,26.33,8.0,59.0,25.0,9.0
2026-06-26,25.75,8.0,59.0,35.0,12.0
2026-06-29,30.28,13.0,59.0,35.0,9.0
2026-06-30,31.62,22.0,59.0,35.0,9.0
2026-07-01,25.09,8.0,59.0,35.0,12.0
2026-07-02,30.59,17.0,59.0,35.0,9.0
2026-07-03,28.13,8.0,59.0,35.0,9.0
2026-07-06,21.77,8.0,59.0,10.0,9.0
2026-07-07,21.45,8.0,59.0,10.0,9.0
2026-07-08,18.52,8.0,59.0,0.0,9.0
2026-07-09,30.62,45.0,59.0,8.0,9.0
2026-07-10,34.39,60.0,59.0,8.0,9.0
2026-07-13,24.57,20.0,59.0,8.0,9.0
2026-07-14,19.81,12.0,59.0,0.0,9.0
2026-07-15,22.15,25.0,59.0,8.0,12.0
2026-07-16,16.9,12.0,59.0,0.0,12.0
2026-07-17,23.19,30.0,59.0,8.0,12.0
2026-07-20,20.11,25.0,59.0,0.0,12.0
2026-07-21,22.08,25.0,59.0,8.0,12.0
2026-07-22,18.52,12.0,59.0,8.0,12.0
2026-07-23,15.3,8.0,59.0,0.0,12.0
2026-07-24,15.68,8.0,59.0,0.0,12.0
2026-07-27,16.06,8.0,59.0,0.0,12.0
2026-07-28,15.79,8.0,59.0,0.0,12.0
2026-07-29,17.19,13.0,59.0,0.0,12.0
2026-07-30,15.53,8.0,59.0,0.0,12.0
2026-07-31,17.1,13.0,59.0,0.0,12.0
2026-08-03,20.41,17.0,59.0,8.0,12.0
2026-08-04,23.52,30.0,59.0,8.0,12.0
2026-08-05,19.28,12.0,59.0,8.0,12.0
2026-08-06,17.14,12.0,59.0,0.0,12.0
2026-08-07,19.03,8.0,59.0,0.0,9.0
2026-08-10,19.0,8.0,59.0,0.0,9.0
2026-08-11,22.75,23.0,59.0,0.0,9.0
2026-08-12,22.66,23.0,59.0,0.0,9.0
2026-08-13,17.92,24.0,59.0,0.0,14.0
2026-08-14,22.6,23.0,59.0,0.0,9.0
2026-08-17,20.08,13.0,59.0,0.0,9.0
2026-08-18,20.28,14.0,59.0,0.0,9.0
2026-08-19,18.93,9.0,59.0,0.0,9.0
2026-08-20,24.01,29.0,59.0,0.0,9.0
2026-08-21,20.37,14.0,59.0,0.0,9.0
2026-08-24,22.53,23.0,59.0,0.0,9.0
2026-08-25,18.96,9.0,59.0,0.0,9.0
2026-08-26,18.97,9.0,59.0,0.0,9.0
2026-08-27,21.34,19.0,59.0,0.0,9.0
2026-08-28,19.85,23.0,59.0,0.0,12.0
2026-08-31,17.09,13.0,59.0,0.0,12.0
2026-09-01,18.23,9.0,59.0,0.0,9.0
2026-09-03,16.03,9.0,25.0,0.0,0.0
2026-09-04,16.75,23.0,25.0,0.0,3.0
