scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,49.72,50.0,24.0,100.0,4.0
2023-09-06,48.11,55.0,24.0,100.0,7.0
2023-09-07,46.02,55.0,24.0,80.0,4.0
2023-09-08,43.07,50.0,24.0,73.0,4.0
2023-09-11,45.6,70.0,24.0,63.0,4.0
2023-09-12,23.39,48.0,24.0,20.0,9.0
2023-09-13,28.39,47.0,24.0,20.0,4.0
2023-09-14,33.32,47.0,24.0,38.0,4.0
2023-09-15,28.84,42.0,24.0,38.0,7.0
2023-09-18,33.67,47.0,24.0,53.0,7.0
2023-09-20,27.76,42.0,24.0,35.0,7.0
2023-09-21,22.75,38.0,24.0,20.0,7.0
2023-09-22,25.79,38.0,24.0,20.0,4.0
2023-09-25,31.82,47.0,24.0,35.0,4.0
2023-09-26,27.52,42.0,24.0,35.0,7.0
2023-09-27,28.86,47.0,24.0,35.0,7.0
2023-09-28,26.35,38.0,24.0,35.0,7.0
2023-09-29,28.98,47.0,24.0,35.0,7.0
2023-10-03,30.95,55.0,24.0,35.0,7.0
2023-10-04,27.31,42.0,24.0,35.0,7.0
2023-10-05,28.92,47.0,24.0,35.0,7.0
2023-10-06,28.22,32.0,24.0,35.0,4.0
2023-10-09,25.25,23.0,24.0,35.0,4.0
2023-10-10,33.74,55.0,24.0,35.0,4.0
2023-10-11,27.07,27.0,24.0,35.0,4.0
2023-10-12,36.71,32.0,24.0,68.0,4.0
2023-10-13,28.02,27.0,24.0,50.0,7.0
2023-10-16,32.21,32.0,24.0,50.0,4.0
2023-10-17,33.62,27.0,24.0,60.0,4.0
2023-10-18,27.93,27.0,24.0,50.0,7.0
2023-10-19,30.04,23.0,24.0,50.0,4.0
2023-10-20,29.84,23.0,24.0,50.0,4.0
2023-10-23,23.86,19.0,24.0,35.0,4.0
2023-10-25,8.06,4.0,24.0,20.0,12.0
2023-10-26,33.44,43.0,24.0,50.0,4.0
2023-10-27,32.3,37.0,24.0,50.0,4.0
2023-10-30,21.99,23.0,24.0,35.0,7.0
2023-10-31,21.99,23.0,24.0,35.0,7.0
2023-11-01,25.93,28.0,24.0,35.0,4.0
2023-11-02,34.43,45.0,24.0,50.0,4.0
2023-11-03,44.0,55.0,24.0,78.0,4.0
2023-11-06,40.49,50.0,24.0,68.0,4.0
2023-11-07,40.63,50.0,24.0,68.0,4.0
2023-11-08,44.52,65.0,24.0,68.0,4.0
2023-11-09,30.37,40.0,24.0,38.0,4.0
2023-11-10,24.67,35.0,24.0,20.0,4.0
2023-11-13,21.32,35.0,24.0,18.0,7.0
2023-11-15,20.43,27.0,24.0,10.0,4.0
2023-11-16,23.52,40.0,24.0,10.0,4.0
2023-11-17,25.65,40.0,24.0,18.0,4.0
2023-11-20,39.27,75.0,24.0,38.0,4.0
2023-11-21,36.92,65.0,24.0,38.0,4.0
2023-11-22,30.76,50.0,24.0,28.0,4.0
2023-11-23,36.45,65.0,24.0,35.0,4.0
2023-11-24,30.83,60.0,24.0,18.0,4.0
2023-11-28,29.67,55.0,24.0,18.0,4.0
2023-11-29,29.64,55.0,24.0,18.0,4.0
2023-11-30,28.44,50.0,24.0,18.0,4.0
2023-12-01,28.5,50.0,24.0,18.0,4.0
2023-12-04,32.34,65.0,24.0,18.0,4.0
2023-12-05,28.51,50.0,24.0,18.0,4.0
2023-12-06,30.06,55.0,24.0,18.0,4.0
2023-12-07,30.04,55.0,24.0,18.0,4.0
2023-12-08,30.98,60.0,24.0,18.0,4.0
2023-12-11,24.72,42.0,24.0,10.0,4.0
2023-12-12,22.37,33.0,24.0,10.0,4.0
2023-12-13,19.85,23.0,24.0,10.0,4.0
2023-12-14,24.48,33.0,24.0,18.0,4.0
2023-12-15,22.41,32.0,24.0,10.0,4.0
2023-12-18,29.37,52.0,24.0,18.0,4.0
2023-12-19,40.25,75.0,24.0,38.0,4.0
2023-12-20,35.66,60.0,24.0,38.0,4.0
2023-12-21,35.0,55.0,24.0,38.0,4.0
2023-12-22,35.16,55.0,24.0,38.0,4.0
2023-12-26,36.7,60.0,24.0,38.0,4.0
2023-12-27,34.13,50.0,24.0,38.0,4.0
2023-12-28,34.0,50.0,24.0,38.0,4.0
2023-12-29,39.09,70.0,24.0,38.0,4.0
2024-01-01,50.46,72.0,24.0,80.0,4.0
2024-01-02,52.77,62.0,24.0,100.0,4.0
2024-01-03,51.53,57.0,24.0,100.0,4.0
2024-01-04,55.42,72.0,24.0,100.0,4.0
2024-01-05,55.16,72.0,24.0,100.0,4.0
2024-01-08,48.69,47.0,24.0,100.0,4.0
2024-01-09,47.17,52.0,24.0,100.0,7.0
2024-01-10,45.79,47.0,24.0,100.0,7.0
2024-01-11,45.87,47.0,24.0,100.0,7.0
2024-01-12,45.91,47.0,24.0,100.0,7.0
2024-01-15,49.01,60.0,24.0,100.0,7.0
2024-01-16,50.12,65.0,24.0,100.0,7.0
2024-01-17,48.45,60.0,24.0,100.0,7.0
2024-01-18,53.08,65.0,24.0,100.0,4.0
2024-01-19,50.47,65.0,24.0,100.0,7.0
2024-01-23,48.24,60.0,24.0,100.0,7.0
2024-01-24,51.17,70.0,24.0,100.0,7.0
2024-01-25,50.09,65.0,24.0,100.0,7.0
2024-01-29,54.54,70.0,24.0,100.0,4.0
2024-01-30,48.88,60.0,24.0,100.0,7.0
2024-01-31,49.83,65.0,24.0,98.0,7.0
2024-02-01,51.37,60.0,24.0,98.0,4.0
2024-02-02,56.83,80.0,24.0,100.0,4.0
2024-02-05,52.11,75.0,24.0,88.0,4.0
2024-02-06,43.97,60.0,24.0,70.0,4.0
2024-02-07,43.92,60.0,24.0,70.0,4.0
2024-02-08,45.01,65.0,24.0,70.0,4.0
2024-02-09,38.98,42.0,24.0,70.0,4.0
2024-02-12,31.28,38.0,24.0,45.0,4.0
2024-02-13,46.8,75.0,24.0,70.0,4.0
2024-02-14,36.97,60.0,24.0,45.0,4.0
2024-02-15,35.34,65.0,24.0,45.0,7.0
2024-02-16,29.67,42.0,24.0,45.0,7.0
2024-02-19,31.2,47.0,24.0,45.0,7.0
2024-02-20,31.89,65.0,24.0,30.0,7.0
2024-02-21,43.19,65.0,24.0,63.0,4.0
2024-02-22,29.92,42.0,24.0,45.0,7.0
2024-02-23,34.89,65.0,24.0,30.0,4.0
2024-02-26,25.95,42.0,24.0,30.0,7.0
2024-02-27,23.19,42.0,24.0,20.0,7.0
2024-02-28,17.88,23.0,24.0,20.0,7.0
2024-02-29,22.95,28.0,24.0,35.0,7.0
2024-03-01,21.14,23.0,24.0,20.0,4.0
2024-03-04,22.2,28.0,24.0,20.0,4.0
2024-03-05,20.78,23.0,24.0,20.0,4.0
2024-03-06,20.36,23.0,24.0,20.0,4.0
2024-03-07,20.35,23.0,24.0,20.0,4.0
2024-03-11,22.34,33.0,24.0,20.0,4.0
2024-03-12,20.99,29.0,24.0,20.0,4.0
2024-03-13,13.86,34.0,24.0,20.0,12.0
2024-03-14,24.64,43.0,24.0,20.0,4.0
2024-03-15,19.29,23.0,24.0,20.0,4.0
2024-03-18,20.68,28.0,24.0,20.0,4.0
2024-03-19,19.17,23.0,24.0,20.0,4.0
2024-03-20,20.37,28.0,24.0,20.0,4.0
2024-03-21,22.11,33.0,24.0,20.0,4.0
2024-03-22,21.02,28.0,24.0,20.0,4.0
2024-03-26,21.92,33.0,24.0,20.0,4.0
2024-03-27,19.55,33.0,24.0,10.0,4.0
2024-03-28,22.05,33.0,24.0,20.0,4.0
2024-04-01,33.1,42.0,46.0,20.0,4.0
2024-04-02,32.91,40.0,46.0,20.0,4.0
2024-04-03,49.04,85.0,46.0,38.0,4.0
2024-04-04,42.8,60.0,46.0,38.0,4.0
2024-04-05,44.18,65.0,46.0,38.0,4.0
2024-04-08,37.68,60.0,46.0,18.0,4.0
2024-04-09,37.54,60.0,46.0,18.0,4.0
2024-04-10,39.38,65.0,46.0,18.0,4.0
2024-04-12,34.33,45.0,46.0,18.0,4.0
2024-04-15,32.17,27.0,46.0,28.0,4.0
2024-04-16,39.2,55.0,46.0,28.0,4.0
2024-04-18,36.62,45.0,46.0,28.0,4.0
2024-04-19,36.58,45.0,46.0,28.0,4.0
2024-04-22,39.05,65.0,46.0,28.0,7.0
2024-04-23,34.22,45.0,46.0,28.0,7.0
2024-04-24,42.29,65.0,46.0,28.0,4.0
2024-04-25,42.14,65.0,46.0,28.0,4.0
2024-04-26,39.93,60.0,46.0,35.0,7.0
2024-04-29,42.83,60.0,46.0,35.0,4.0
2024-04-30,44.14,65.0,46.0,35.0,4.0
2024-05-02,30.13,27.0,46.0,18.0,4.0
2024-05-03,29.82,27.0,46.0,18.0,4.0
2024-05-06,26.42,23.0,46.0,10.0,4.0
2024-05-07,25.95,23.0,46.0,10.0,4.0
2024-05-08,27.35,28.0,46.0,10.0,4.0
2024-05-09,25.42,23.0,46.0,10.0,4.0
2024-05-10,13.94,8.0,46.0,10.0,12.0
2024-05-13,29.36,38.0,46.0,10.0,4.0
2024-05-14,27.15,28.0,46.0,10.0,4.0
2024-05-15,27.56,28.0,46.0,10.0,4.0
2024-05-16,26.18,23.0,46.0,10.0,4.0
2024-05-17,27.8,28.0,46.0,10.0,4.0
2024-05-21,27.63,28.0,46.0,10.0,4.0
2024-05-22,31.01,42.0,46.0,10.0,4.0
2024-05-23,27.02,27.0,46.0,10.0,4.0
2024-05-24,29.34,37.0,46.0,10.0,4.0
2024-05-27,30.36,42.0,46.0,10.0,4.0
2024-05-28,32.08,50.0,46.0,10.0,4.0
2024-05-29,17.51,23.0,46.0,10.0,12.0
2024-05-30,13.38,8.0,46.0,10.0,12.0
2024-05-31,13.44,8.0,46.0,10.0,12.0
2024-06-03,17.65,23.0,46.0,10.0,12.0
2024-06-04,8.16,19.0,46.0,0.0,17.0
2024-06-05,20.91,37.0,46.0,10.0,12.0
2024-06-06,43.41,85.0,46.0,18.0,4.0
2024-06-07,53.15,85.0,46.0,55.0,4.0
2024-06-10,50.03,70.0,46.0,55.0,4.0
2024-06-11,53.93,85.0,46.0,55.0,4.0
2024-06-12,51.38,75.0,46.0,55.0,4.0
2024-06-13,53.09,80.0,46.0,55.0,4.0
2024-06-14,48.24,60.0,46.0,55.0,4.0
2024-06-18,57.28,65.0,46.0,85.0,4.0
2024-06-19,62.18,75.0,46.0,95.0,4.0
2024-06-20,60.25,65.0,46.0,95.0,4.0
2024-06-21,52.39,60.0,46.0,70.0,4.0
2024-06-24,53.59,65.0,46.0,70.0,4.0
2024-06-25,49.24,60.0,46.0,70.0,7.0
2024-06-26,46.97,65.0,46.0,55.0,7.0
2024-06-27,45.3,60.0,46.0,55.0,7.0
2024-06-28,48.48,60.0,46.0,55.0,4.0
2024-07-01,61.4,85.0,46.0,80.0,4.0
2024-07-02,55.19,60.0,46.0,80.0,4.0
2024-07-03,45.95,60.0,46.0,55.0,7.0
2024-07-04,48.94,60.0,46.0,55.0,4.0
2024-07-05,48.68,70.0,46.0,45.0,4.0
2024-07-08,44.19,60.0,46.0,38.0,4.0
2024-07-09,45.29,65.0,46.0,38.0,4.0
2024-07-10,46.25,70.0,46.0,38.0,4.0
2024-07-11,50.13,85.0,46.0,38.0,4.0
2024-07-12,45.32,67.0,46.0,38.0,4.0
2024-07-15,53.41,67.0,46.0,70.0,4.0
2024-07-16,53.51,57.0,46.0,80.0,4.0
2024-07-18,51.84,67.0,46.0,65.0,4.0
2024-07-19,53.68,62.0,46.0,80.0,4.0
2024-07-22,56.72,72.0,46.0,80.0,4.0
2024-07-23,50.16,47.0,46.0,80.0,4.0
2024-07-24,54.62,62.0,46.0,80.0,4.0
2024-07-25,62.06,72.0,46.0,100.0,4.0
2024-07-26,52.44,52.0,46.0,80.0,4.0
2024-07-29,59.97,62.0,46.0,100.0,4.0
2024-07-30,58.93,57.0,46.0,100.0,4.0
2024-07-31,62.56,72.0,46.0,100.0,4.0
2024-08-01,57.16,52.0,46.0,100.0,4.0
2024-08-02,58.37,57.0,46.0,100.0,4.0
2024-08-05,52.14,60.0,46.0,95.0,9.0
2024-08-06,50.34,60.0,46.0,80.0,7.0
2024-08-07,58.53,70.0,46.0,100.0,7.0
2024-08-08,55.84,65.0,46.0,95.0,7.0
2024-08-09,58.61,70.0,46.0,100.0,7.0
2024-08-12,59.56,62.0,46.0,100.0,4.0
2024-08-13,58.67,60.0,46.0,100.0,4.0
2024-08-14,61.02,70.0,46.0,100.0,4.0
2024-08-16,55.77,60.0,46.0,100.0,7.0
2024-08-19,57.48,65.0,46.0,100.0,7.0
2024-08-20,56.35,60.0,46.0,100.0,7.0
2024-08-21,62.08,70.0,46.0,100.0,4.0
2024-08-22,56.72,60.0,46.0,100.0,7.0
2024-08-23,55.9,60.0,46.0,98.0,7.0
2024-08-26,59.08,70.0,46.0,100.0,7.0
2024-08-27,58.03,65.0,46.0,100.0,7.0
2024-08-28,60.81,65.0,46.0,100.0,4.0
2024-08-29,55.7,60.0,46.0,98.0,7.0
2024-08-30,62.45,72.0,46.0,100.0,4.0
2024-09-02,58.82,60.0,46.0,98.0,4.0
2024-09-03,60.96,65.0,46.0,100.0,4.0
2024-09-04,56.84,60.0,46.0,100.0,7.0
2024-09-05,56.76,60.0,46.0,100.0,7.0
2024-09-06,58.87,60.0,46.0,98.0,4.0
2024-09-09,56.11,60.0,46.0,88.0,4.0
2024-09-10,49.01,60.0,46.0,70.0,7.0
2024-09-11,48.71,42.0,46.0,88.0,7.0
2024-09-12,44.23,42.0,46.0,70.0,7.0
2024-09-13,45.83,47.0,46.0,70.0,7.0
2024-09-16,44.48,42.0,46.0,70.0,7.0
2024-09-17,44.28,42.0,46.0,70.0,7.0
2024-09-18,44.06,42.0,46.0,70.0,7.0
2024-09-19,45.53,38.0,46.0,70.0,4.0
2024-09-20,53.77,70.0,46.0,70.0,4.0
2024-09-23,60.91,80.0,46.0,88.0,4.0
2024-09-24,48.44,60.0,46.0,70.0,7.0
2024-09-25,43.79,42.0,46.0,70.0,7.0
2024-09-26,39.78,27.0,46.0,70.0,7.0
2024-09-27,44.11,32.0,46.0,70.0,4.0
2024-09-30,44.22,32.0,46.0,70.0,4.0
2024-10-01,62.3,85.0,46.0,88.0,4.0
2024-10-03,61.55,85.0,46.0,88.0,4.0
2024-10-04,56.16,65.0,46.0,88.0,4.0
2024-10-07,41.51,47.0,46.0,70.0,9.0
2024-10-08,64.24,85.0,46.0,100.0,4.0
2024-10-09,61.67,75.0,46.0,100.0,4.0
2024-10-10,58.13,60.0,46.0,100.0,4.0
2024-10-11,55.13,60.0,46.0,100.0,7.0
2024-10-14,59.16,65.0,46.0,100.0,4.0
2024-10-15,55.12,60.0,46.0,100.0,7.0
2024-10-16,56.85,65.0,46.0,100.0,7.0
2024-10-17,55.01,60.0,46.0,100.0,7.0
2024-10-18,55.08,60.0,46.0,100.0,7.0
2024-10-21,49.67,42.0,46.0,98.0,7.0
2024-10-22,34.71,23.0,46.0,60.0,7.0
2024-10-23,39.46,28.0,46.0,73.0,7.0
2024-10-24,41.65,23.0,46.0,88.0,7.0
2024-10-25,23.1,23.0,46.0,35.0,12.0
2024-10-28,32.12,28.0,46.0,45.0,7.0
2024-10-29,28.25,23.0,46.0,35.0,7.0
2024-10-30,30.01,28.0,46.0,35.0,7.0
2024-10-31,28.85,23.0,46.0,35.0,7.0
2024-11-01,34.29,33.0,46.0,45.0,7.0
2024-11-04,31.6,23.0,46.0,45.0,7.0
2024-11-05,39.52,42.0,46.0,45.0,4.0
2024-11-06,47.03,70.0,46.0,45.0,4.0
2024-11-07,44.36,60.0,46.0,45.0,4.0
2024-11-08,34.34,32.0,46.0,35.0,4.0
2024-11-11,29.3,33.0,46.0,35.0,9.0
2024-11-12,31.54,23.0,46.0,35.0,4.0
2024-11-13,32.26,28.0,46.0,35.0,4.0
2024-11-14,36.35,43.0,46.0,35.0,4.0
2024-11-18,31.1,23.0,46.0,35.0,4.0
2024-11-19,29.53,28.0,46.0,35.0,7.0
2024-11-21,31.17,23.0,46.0,35.0,4.0
2024-11-22,33.84,33.0,46.0,35.0,4.0
2024-11-25,32.91,28.0,46.0,35.0,4.0
2024-11-26,38.58,42.0,46.0,43.0,4.0
2024-11-27,38.34,40.0,46.0,43.0,4.0
2024-11-28,43.57,50.0,46.0,53.0,4.0
2024-11-29,44.82,55.0,46.0,53.0,4.0
2024-12-02,59.35,85.0,46.0,80.0,4.0
2024-12-03,46.6,60.0,46.0,53.0,4.0
2024-12-04,56.04,70.0,46.0,80.0,4.0
2024-12-05,58.22,80.0,46.0,80.0,4.0
2024-12-06,57.81,70.0,46.0,88.0,4.0
2024-12-09,59.53,70.0,46.0,95.0,4.0
