scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-08-24,26.65,21.0,80.0,0.0,11.0
2026-08-25,28.65,21.0,80.0,8.0,11.0
2026-08-26,28.56,21.0,80.0,8.0,11.0
2026-08-27,31.5,21.0,80.0,8.0,8.0
2026-08-28,29.66,21.0,80.0,0.0,8.0
2026-08-29,31.5,21.0,80.0,8.0,8.0
2026-08-31,28.39,16.0,80.0,0.0,8.0
2026-09-01,26.42,21.0,80.0,0.0,11.0
2026-09-02,28.05,16.0,80.0,0.0,8.0
2026-09-03,25.11,16.0,80.0,0.0,11.0
2026-09-04,25.48,16.0,80.0,0.0,11.0
2026-09-07,29.49,16.0,80.0,0.0,8.0
2026-09-08,30.19,19.0,80.0,0.0,8.0
2026-09-09,27.6,9.0,80.0,0.0,8.0
2026-09-10,22.05,19.0,80.0,0.0,16.0
2026-09-11,34.22,36.0,80.0,0.0,8.0
2026-09-14,34.22,36.0,80.0,0.0,8.0
2026-09-15,28.83,16.0,80.0,0.0,8.0
2026-09-16,35.01,41.0,80.0,0.0,8.0
2026-09-17,30.16,21.0,80.0,0.0,8.0
2026-09-18,33.13,31.0,80.0,0.0,8.0
2026-09-21,26.17,16.0,80.0,0.0,11.0
2026-09-22,27.49,21.0,80.0,0.0,11.0
2026-09-23,30.74,21.0,80.0,0.0,8.0
