scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,20.82,55.0,8.0,55.0,17.0
2023-09-05,14.81,50.0,8.0,48.0,20.0
2023-09-06,14.82,50.0,8.0,48.0,20.0
2023-09-07,20.9,55.0,8.0,55.0,17.0
2023-09-08,20.88,55.0,8.0,55.0,17.0
2023-09-11,16.54,50.0,8.0,55.0,20.0
2023-09-12,0.0,27.0,8.0,35.0,30.0
2023-09-13,2.09,27.0,8.0,55.0,28.0
2023-09-14,18.59,60.0,8.0,55.0,20.0
2023-09-15,20.39,55.0,8.0,55.0,17.0
2023-09-18,17.22,55.0,8.0,55.0,20.0
2023-09-20,23.31,75.0,8.0,48.0,17.0
2023-09-21,19.23,60.0,8.0,48.0,17.0
2023-09-22,13.74,50.0,8.0,48.0,20.0
2023-09-25,14.2,50.0,8.0,38.0,17.0
2023-09-26,12.23,42.0,8.0,38.0,17.0
2023-09-27,4.72,42.0,8.0,20.0,20.0
2023-09-28,0.0,27.0,8.0,10.0,28.0
2023-09-29,6.63,47.0,8.0,10.0,17.0
2023-10-03,2.57,42.0,8.0,10.0,20.0
2023-10-04,0.0,8.0,8.0,10.0,25.0
2023-10-05,13.52,65.0,8.0,20.0,17.0
2023-10-06,11.18,55.0,8.0,20.0,17.0
2023-10-09,9.67,52.0,8.0,20.0,17.0
2023-10-10,13.32,65.0,8.0,20.0,17.0
2023-10-11,16.88,60.0,8.0,38.0,17.0
2023-10-12,17.33,50.0,8.0,48.0,17.0
2023-10-13,26.1,70.0,8.0,63.0,17.0
2023-10-16,24.76,65.0,8.0,63.0,17.0
2023-10-17,21.21,50.0,8.0,63.0,17.0
2023-10-18,23.44,60.0,8.0,63.0,17.0
2023-10-19,18.55,50.0,8.0,53.0,17.0
2023-10-20,30.15,62.0,8.0,88.0,17.0
2023-10-23,20.96,65.0,8.0,73.0,22.0
2023-10-25,19.59,50.0,8.0,63.0,17.0
2023-10-26,22.15,60.0,8.0,63.0,17.0
2023-10-27,22.58,55.0,8.0,80.0,20.0
2023-10-30,30.49,60.0,8.0,95.0,17.0
2023-10-31,21.21,50.0,8.0,80.0,20.0
2023-11-01,30.32,60.0,8.0,95.0,17.0
2023-11-02,25.07,50.0,8.0,95.0,20.0
2023-11-03,25.26,50.0,8.0,95.0,20.0
2023-11-06,17.31,50.0,8.0,63.0,20.0
2023-11-07,24.79,60.0,8.0,70.0,17.0
2023-11-08,18.33,42.0,8.0,63.0,17.0
2023-11-09,3.5,23.0,8.0,35.0,20.0
2023-11-10,9.08,28.0,8.0,53.0,20.0
2023-11-13,3.55,23.0,8.0,35.0,20.0
2023-11-15,16.56,52.0,8.0,45.0,17.0
2023-11-16,30.5,65.0,8.0,88.0,17.0
2023-11-17,30.54,55.0,8.0,98.0,17.0
2023-11-20,21.46,50.0,8.0,78.0,20.0
2023-11-21,27.58,70.0,8.0,70.0,17.0
2023-11-22,29.75,70.0,8.0,78.0,17.0
2023-11-23,22.37,65.0,8.0,53.0,17.0
2023-11-24,13.42,47.0,8.0,35.0,17.0
2023-11-28,9.77,33.0,8.0,35.0,17.0
2023-11-29,5.85,33.0,8.0,20.0,17.0
2023-11-30,2.17,28.0,8.0,10.0,17.0
2023-12-01,0.88,23.0,8.0,10.0,17.0
2023-12-04,4.65,38.0,8.0,10.0,17.0
2023-12-05,0.62,23.0,8.0,10.0,17.0
2023-12-06,3.07,33.0,8.0,10.0,17.0
2023-12-07,0.89,23.0,8.0,10.0,17.0
2023-12-08,0.64,23.0,8.0,10.0,17.0
2023-12-11,0.83,23.0,8.0,10.0,17.0
