scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,60.76,47.0,57.0,100.0,4.0
2023-09-05,60.99,60.0,57.0,100.0,7.0
2023-09-06,60.93,60.0,57.0,100.0,7.0
2023-09-07,66.71,70.0,57.0,100.0,4.0
2023-09-08,59.29,52.0,57.0,100.0,7.0
2023-09-11,68.18,75.0,57.0,100.0,4.0
2023-09-12,60.64,60.0,57.0,100.0,7.0
2023-09-13,60.76,60.0,57.0,100.0,7.0
2023-09-14,58.4,50.0,57.0,88.0,4.0
2023-09-15,61.14,60.0,57.0,88.0,4.0
2023-09-18,53.5,42.0,57.0,88.0,7.0
2023-09-20,48.66,42.0,57.0,70.0,7.0
2023-09-21,51.1,52.0,57.0,70.0,7.0
2023-09-22,48.54,42.0,57.0,70.0,7.0
2023-09-25,51.75,55.0,57.0,70.0,7.0
2023-09-26,48.48,42.0,57.0,70.0,7.0
2023-09-27,50.77,38.0,57.0,70.0,4.0
2023-09-28,51.08,52.0,57.0,70.0,7.0
2023-09-29,48.63,42.0,57.0,70.0,7.0
2023-10-03,48.47,42.0,57.0,70.0,7.0
2023-10-04,52.68,48.0,57.0,70.0,4.0
2023-10-05,50.62,38.0,57.0,70.0,4.0
2023-10-06,43.83,23.0,57.0,70.0,7.0
2023-10-09,46.13,23.0,57.0,70.0,4.0
2023-10-10,43.41,23.0,57.0,70.0,7.0
2023-10-11,43.64,23.0,57.0,70.0,7.0
2023-10-12,43.68,23.0,57.0,70.0,7.0
2023-10-13,51.57,43.0,57.0,70.0,4.0
2023-10-16,49.94,37.0,57.0,70.0,4.0
2023-10-17,51.88,45.0,57.0,70.0,4.0
2023-10-18,44.37,27.0,57.0,70.0,7.0
2023-10-19,45.63,32.0,57.0,70.0,7.0
2023-10-20,46.12,23.0,57.0,70.0,4.0
2023-10-23,45.42,23.0,57.0,70.0,4.0
2023-10-25,49.13,38.0,57.0,70.0,4.0
2023-10-26,48.31,34.0,57.0,70.0,4.0
2023-10-27,45.45,33.0,57.0,70.0,7.0
2023-10-30,42.82,23.0,57.0,70.0,7.0
2023-10-31,42.92,23.0,57.0,70.0,7.0
2023-11-01,54.93,60.0,57.0,70.0,4.0
2023-11-02,55.51,45.0,57.0,98.0,7.0
2023-11-03,53.59,35.0,57.0,88.0,4.0
2023-11-06,55.78,45.0,57.0,98.0,7.0
2023-11-07,53.4,35.0,57.0,98.0,7.0
2023-11-08,53.37,35.0,57.0,98.0,7.0
2023-11-09,54.48,40.0,57.0,98.0,7.0
2023-11-10,56.9,35.0,57.0,100.0,4.0
2023-11-13,53.78,35.0,57.0,98.0,7.0
2023-11-15,38.69,27.0,57.0,45.0,7.0
2023-11-16,36.25,27.0,57.0,35.0,7.0
2023-11-17,36.04,27.0,57.0,35.0,7.0
2023-11-20,42.59,45.0,57.0,43.0,7.0
2023-11-21,40.09,35.0,57.0,43.0,7.0
2023-11-22,50.72,60.0,57.0,60.0,7.0
2023-11-23,52.45,55.0,57.0,60.0,4.0
2023-11-24,48.31,50.0,57.0,60.0,7.0
2023-11-28,48.18,50.0,57.0,60.0,7.0
2023-11-29,48.07,37.0,57.0,60.0,4.0
2023-11-30,42.53,27.0,57.0,60.0,7.0
2023-12-01,36.33,27.0,57.0,35.0,7.0
2023-12-04,47.6,60.0,57.0,35.0,4.0
2023-12-05,45.92,55.0,57.0,35.0,4.0
2023-12-06,44.64,50.0,57.0,35.0,4.0
2023-12-07,41.83,50.0,57.0,35.0,7.0
2023-12-08,46.61,57.0,57.0,35.0,4.0
2023-12-11,40.78,33.0,57.0,35.0,4.0
2023-12-12,37.44,32.0,57.0,35.0,7.0
2023-12-13,53.18,75.0,57.0,43.0,4.0
2023-12-14,47.86,52.0,57.0,43.0,4.0
2023-12-15,50.42,62.0,57.0,43.0,4.0
2023-12-18,43.86,37.0,57.0,43.0,4.0
2023-12-19,42.05,38.0,57.0,35.0,4.0
2023-12-20,38.94,28.0,57.0,35.0,4.0
2023-12-21,40.47,33.0,57.0,35.0,4.0
2023-12-22,38.13,23.0,57.0,35.0,4.0
2023-12-26,42.02,38.0,57.0,35.0,4.0
2023-12-27,35.18,23.0,57.0,35.0,7.0
