scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,67.29,65.0,60.0,88.0,0.0
2023-09-06,69.73,65.0,60.0,98.0,0.0
2023-09-07,68.76,60.0,60.0,98.0,0.0
2023-09-08,66.34,60.0,60.0,88.0,0.0
2023-09-11,63.98,60.0,60.0,78.0,0.0
2023-09-12,46.94,48.0,60.0,45.0,5.0
2023-09-13,50.81,43.0,60.0,45.0,0.0
2023-09-14,54.45,57.0,60.0,45.0,0.0
2023-09-15,66.19,85.0,60.0,63.0,0.0
2023-09-18,66.05,70.0,60.0,78.0,0.0
2023-09-20,64.46,65.0,60.0,78.0,0.0
2023-09-21,63.15,60.0,60.0,78.0,0.0
2023-09-22,63.84,65.0,60.0,88.0,3.0
2023-09-25,65.55,70.0,60.0,78.0,0.0
2023-09-26,63.03,60.0,60.0,78.0,0.0
2023-09-27,61.57,65.0,60.0,78.0,3.0
2023-09-28,63.13,60.0,60.0,78.0,0.0
2023-09-29,51.18,42.0,60.0,60.0,3.0
2023-10-03,51.02,42.0,60.0,60.0,3.0
2023-10-04,48.98,23.0,60.0,60.0,0.0
2023-10-05,58.17,70.0,60.0,60.0,3.0
2023-10-06,47.38,27.0,60.0,60.0,3.0
2023-10-09,48.68,23.0,60.0,60.0,0.0
2023-10-10,47.21,28.0,60.0,60.0,3.0
2023-10-11,52.94,38.0,60.0,60.0,0.0
2023-10-12,55.98,32.0,60.0,78.0,0.0
2023-10-13,51.12,28.0,60.0,63.0,0.0
2023-10-16,45.24,23.0,60.0,45.0,0.0
2023-10-17,48.93,38.0,60.0,45.0,0.0
2023-10-18,56.17,52.0,60.0,60.0,0.0
2023-10-19,46.18,27.0,60.0,45.0,0.0
2023-10-20,44.92,23.0,60.0,45.0,0.0
2023-10-23,41.72,33.0,60.0,45.0,5.0
2023-10-25,45.43,28.0,60.0,45.0,0.0
2023-10-26,50.61,33.0,60.0,60.0,0.0
2023-10-27,49.75,28.0,60.0,60.0,0.0
2023-10-30,49.37,52.0,60.0,35.0,0.0
2023-10-31,49.47,42.0,60.0,45.0,0.0
2023-11-01,42.98,27.0,60.0,35.0,0.0
2023-11-02,42.31,23.0,60.0,35.0,0.0
2023-11-03,40.64,28.0,60.0,35.0,3.0
2023-11-06,44.83,32.0,60.0,35.0,0.0
2023-11-07,40.7,27.0,60.0,35.0,3.0
2023-11-08,40.67,27.0,60.0,35.0,3.0
2023-11-09,46.03,37.0,60.0,35.0,0.0
2023-11-10,38.2,27.0,60.0,25.0,3.0
2023-11-13,39.83,32.0,60.0,25.0,3.0
2023-11-15,50.74,55.0,60.0,33.0,0.0
2023-11-16,53.3,65.0,60.0,33.0,0.0
2023-11-17,49.84,60.0,60.0,25.0,0.0
2023-11-20,50.14,45.0,60.0,53.0,3.0
2023-11-21,58.14,65.0,60.0,53.0,0.0
2023-11-22,59.52,65.0,60.0,70.0,3.0
2023-11-23,57.0,60.0,60.0,53.0,0.0
2023-11-24,59.61,70.0,60.0,53.0,0.0
2023-11-28,56.98,60.0,60.0,53.0,0.0
2023-11-29,52.12,60.0,60.0,33.0,0.0
2023-11-30,63.33,85.0,60.0,53.0,0.0
2023-12-01,66.38,80.0,60.0,70.0,0.0
2023-12-04,59.4,67.0,60.0,55.0,0.0
2023-12-05,57.22,60.0,60.0,55.0,0.0
2023-12-06,55.94,65.0,60.0,45.0,0.0
2023-12-07,51.88,60.0,60.0,45.0,3.0
2023-12-08,62.41,65.0,60.0,70.0,0.0
2023-12-11,66.83,72.0,60.0,80.0,0.0
2023-12-12,61.74,52.0,60.0,80.0,0.0
2023-12-13,62.98,57.0,60.0,80.0,0.0
2023-12-14,63.41,52.0,60.0,85.0,0.0
2023-12-15,70.97,72.0,60.0,95.0,0.0
2023-12-18,64.4,47.0,60.0,95.0,0.0
2023-12-19,57.6,47.0,60.0,80.0,3.0
2023-12-20,54.49,60.0,60.0,45.0,0.0
2023-12-21,53.02,65.0,60.0,45.0,3.0
2023-12-22,65.43,67.0,60.0,80.0,0.0
2023-12-26,61.82,52.0,60.0,80.0,0.0
2023-12-27,61.73,52.0,60.0,80.0,0.0
2023-12-28,58.59,52.0,60.0,80.0,3.0
2023-12-29,58.49,52.0,60.0,80.0,3.0
2024-01-01,55.25,47.0,60.0,70.0,3.0
2024-01-02,62.25,70.0,60.0,63.0,0.0
2024-01-03,66.46,70.0,60.0,80.0,0.0
2024-01-04,59.42,60.0,60.0,73.0,3.0
2024-01-05,62.51,65.0,60.0,80.0,3.0
2024-01-08,59.31,60.0,60.0,73.0,3.0
2024-01-09,58.3,65.0,60.0,63.0,3.0
2024-01-10,60.08,60.0,60.0,63.0,0.0
2024-01-11,60.09,60.0,60.0,63.0,0.0
2024-01-12,64.37,75.0,60.0,63.0,0.0
2024-01-15,67.94,65.0,60.0,88.0,0.0
2024-01-16,72.77,85.0,60.0,88.0,0.0
2024-01-17,71.3,70.0,60.0,98.0,0.0
2024-01-18,68.64,57.0,60.0,100.0,0.0
2024-01-19,72.54,72.0,60.0,100.0,0.0
2024-01-23,68.3,60.0,60.0,98.0,0.0
2024-01-24,68.57,57.0,60.0,100.0,0.0
2024-01-25,68.77,60.0,60.0,98.0,0.0
2024-01-29,70.13,65.0,60.0,98.0,0.0
2024-01-30,68.94,60.0,60.0,98.0,0.0
2024-01-31,71.59,70.0,60.0,98.0,0.0
2024-02-01,63.51,60.0,60.0,88.0,3.0
2024-02-02,67.19,65.0,60.0,98.0,3.0
2024-02-05,74.32,80.0,60.0,100.0,0.0
2024-02-06,74.46,80.0,60.0,100.0,0.0
2024-02-07,72.43,72.0,60.0,100.0,0.0
2024-02-08,71.27,67.0,60.0,100.0,0.0
2024-02-09,68.95,60.0,60.0,100.0,0.0
2024-02-12,63.24,60.0,60.0,100.0,5.0
2024-02-13,65.15,60.0,60.0,100.0,3.0
2024-02-14,65.11,60.0,60.0,100.0,3.0
2024-02-15,64.88,60.0,60.0,98.0,3.0
2024-02-16,67.51,70.0,60.0,98.0,3.0
2024-02-19,56.24,60.0,60.0,63.0,3.0
2024-02-20,46.95,42.0,60.0,45.0,3.0
2024-02-21,58.97,47.0,60.0,88.0,3.0
2024-02-22,46.81,42.0,60.0,45.0,3.0
2024-02-23,71.75,85.0,60.0,88.0,0.0
2024-02-26,73.48,80.0,60.0,100.0,0.0
2024-02-27,74.67,85.0,60.0,100.0,0.0
2024-02-28,71.53,75.0,60.0,100.0,0.0
2024-02-29,70.94,72.0,60.0,100.0,0.0
2024-03-01,65.91,52.0,60.0,100.0,0.0
2024-03-04,64.31,47.0,60.0,100.0,0.0
2024-03-05,64.3,60.0,60.0,100.0,3.0
2024-03-06,63.86,60.0,60.0,88.0,0.0
2024-03-07,62.3,65.0,60.0,88.0,3.0
2024-03-11,67.37,65.0,60.0,98.0,0.0
2024-03-12,69.85,75.0,60.0,100.0,0.0
2024-03-13,67.32,67.0,60.0,100.0,0.0
2024-03-14,68.24,67.0,60.0,100.0,0.0
2024-03-15,66.0,60.0,60.0,100.0,0.0
2024-03-18,63.09,60.0,60.0,100.0,3.0
2024-03-19,65.85,60.0,60.0,100.0,0.0
2024-03-20,61.41,42.0,60.0,100.0,0.0
2024-03-21,71.27,80.0,60.0,100.0,0.0
2024-03-22,67.71,65.0,60.0,100.0,0.0
2024-03-26,67.52,65.0,60.0,100.0,0.0
2024-03-27,65.86,70.0,60.0,100.0,3.0
2024-03-28,60.31,60.0,60.0,88.0,3.0
2024-04-01,67.28,60.0,76.0,88.0,3.0
2024-04-02,64.18,65.0,76.0,70.0,3.0
2024-04-03,64.49,65.0,76.0,70.0,3.0
2024-04-04,69.12,65.0,76.0,88.0,3.0
2024-04-05,66.5,60.0,76.0,70.0,0.0
2024-04-08,58.83,42.0,76.0,70.0,3.0
2024-04-09,57.8,38.0,76.0,70.0,3.0
2024-04-10,53.95,23.0,76.0,70.0,3.0
2024-04-12,57.01,23.0,76.0,70.0,0.0
2024-04-15,63.02,48.0,76.0,70.0,0.0
2024-04-16,62.83,47.0,76.0,70.0,0.0
2024-04-18,56.73,23.0,76.0,70.0,0.0
2024-04-19,53.42,23.0,76.0,70.0,3.0
2024-04-22,51.63,23.0,76.0,60.0,3.0
2024-04-23,51.72,23.0,76.0,60.0,3.0
2024-04-24,58.17,37.0,76.0,60.0,0.0
2024-04-25,62.54,70.0,76.0,45.0,0.0
2024-04-26,64.04,60.0,76.0,60.0,0.0
2024-04-29,70.28,85.0,76.0,60.0,0.0
2024-04-30,61.05,60.0,76.0,60.0,3.0
2024-05-02,66.34,60.0,76.0,70.0,0.0
2024-05-03,59.77,45.0,76.0,60.0,0.0
2024-05-06,56.23,45.0,76.0,60.0,3.0
2024-05-07,54.73,27.0,76.0,60.0,0.0
2024-05-08,52.91,32.0,76.0,60.0,3.0
2024-05-09,52.95,37.0,76.0,45.0,0.0
2024-05-10,45.12,34.0,76.0,35.0,5.0
2024-05-13,48.79,29.0,76.0,35.0,0.0
2024-05-14,43.67,19.0,76.0,35.0,3.0
2024-05-15,43.75,19.0,76.0,35.0,3.0
2024-05-16,43.94,19.0,76.0,35.0,3.0
2024-05-17,46.21,28.0,76.0,35.0,3.0
2024-05-21,49.26,28.0,76.0,35.0,0.0
2024-05-22,49.11,28.0,76.0,35.0,0.0
2024-05-23,42.05,28.0,76.0,20.0,3.0
2024-05-24,38.14,23.0,76.0,10.0,3.0
2024-05-27,41.8,28.0,76.0,20.0,3.0
2024-05-28,43.18,23.0,76.0,20.0,0.0
2024-05-29,43.26,23.0,76.0,20.0,0.0
2024-05-30,37.49,23.0,76.0,10.0,3.0
2024-05-31,49.49,33.0,76.0,35.0,0.0
2024-06-03,37.66,23.0,76.0,10.0,3.0
2024-06-04,46.44,33.0,76.0,25.0,0.0
2024-06-05,43.89,33.0,76.0,25.0,3.0
2024-06-06,44.51,37.0,76.0,10.0,0.0
2024-06-07,47.39,45.0,76.0,10.0,0.0
2024-06-10,67.57,75.0,76.0,60.0,0.0
2024-06-11,66.48,70.0,76.0,60.0,0.0
2024-06-12,67.98,75.0,76.0,60.0,0.0
2024-06-13,67.56,72.0,76.0,60.0,0.0
2024-06-14,64.95,62.0,76.0,60.0,0.0
2024-06-18,64.77,60.0,76.0,60.0,0.0
2024-06-19,65.82,65.0,76.0,60.0,0.0
2024-06-20,61.64,60.0,76.0,60.0,3.0
2024-06-21,66.02,65.0,76.0,60.0,0.0
2024-06-24,76.09,85.0,76.0,80.0,0.0
2024-06-25,73.42,75.0,76.0,80.0,0.0
2024-06-26,64.42,60.0,76.0,60.0,0.0
2024-06-27,64.28,60.0,76.0,60.0,0.0
2024-06-28,67.02,70.0,76.0,60.0,0.0
2024-07-01,70.02,80.0,76.0,60.0,0.0
2024-07-02,66.14,65.0,76.0,60.0,0.0
2024-07-03,68.39,65.0,76.0,80.0,3.0
2024-07-04,68.26,65.0,76.0,80.0,3.0
2024-07-05,62.01,60.0,76.0,60.0,3.0
2024-07-08,61.68,60.0,76.0,60.0,3.0
2024-07-09,62.39,60.0,76.0,63.0,3.0
2024-07-10,59.63,60.0,76.0,53.0,3.0
2024-07-11,63.52,65.0,76.0,63.0,3.0
2024-07-12,68.03,70.0,76.0,63.0,0.0
2024-07-15,63.81,65.0,76.0,63.0,3.0
2024-07-16,67.93,70.0,76.0,63.0,0.0
2024-07-18,65.1,60.0,76.0,63.0,0.0
2024-07-19,68.36,75.0,76.0,63.0,0.0
2024-07-22,48.48,38.0,76.0,20.0,0.0
2024-07-23,43.32,28.0,76.0,10.0,0.0
2024-07-24,43.35,28.0,76.0,20.0,3.0
2024-07-25,43.52,28.0,76.0,10.0,0.0
2024-07-26,43.87,28.0,76.0,10.0,0.0
2024-07-29,45.19,33.0,76.0,10.0,0.0
2024-07-30,42.65,23.0,76.0,10.0,0.0
2024-07-31,42.42,23.0,76.0,10.0,0.0
2024-08-01,42.17,23.0,76.0,10.0,0.0
2024-08-02,38.27,19.0,76.0,10.0,3.0
2024-08-05,20.66,4.0,76.0,10.0,16.0
2024-08-06,38.36,24.0,76.0,10.0,3.0
2024-08-07,41.24,33.0,76.0,10.0,3.0
2024-08-08,41.82,23.0,76.0,10.0,0.0
2024-08-09,45.71,28.0,76.0,20.0,0.0
2024-08-12,41.78,23.0,76.0,10.0,0.0
2024-08-13,42.73,28.0,76.0,10.0,0.0
2024-08-14,39.52,28.0,76.0,10.0,3.0
2024-08-16,43.06,28.0,76.0,10.0,0.0
2024-08-19,51.71,50.0,76.0,20.0,0.0
2024-08-20,49.11,40.0,76.0,20.0,0.0
2024-08-21,44.85,35.0,76.0,20.0,3.0
2024-08-22,47.83,35.0,76.0,20.0,0.0
2024-08-23,49.23,40.0,76.0,20.0,0.0
2024-08-26,46.33,40.0,76.0,20.0,3.0
2024-08-27,46.13,27.0,76.0,20.0,0.0
2024-08-28,57.75,55.0,76.0,38.0,0.0
2024-08-29,56.23,50.0,76.0,38.0,0.0
2024-08-30,49.65,35.0,76.0,38.0,3.0
