scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2024-11-19,34.92,27.0,74.0,0.0,3.0
2024-11-21,29.1,13.0,74.0,0.0,5.0
2024-11-22,36.71,23.0,74.0,0.0,0.0
2024-11-25,34.72,13.0,74.0,0.0,0.0
2024-11-26,44.89,18.0,74.0,35.0,0.0
2024-11-27,44.0,13.0,74.0,35.0,0.0
2024-11-28,39.83,8.0,74.0,35.0,3.0
2024-11-29,52.49,47.0,74.0,35.0,0.0
2024-12-02,50.89,40.0,74.0,35.0,0.0
2024-12-03,44.18,12.0,74.0,35.0,0.0
2024-12-04,53.89,50.0,74.0,35.0,0.0
2024-12-05,57.51,65.0,74.0,35.0,0.0
2024-12-06,56.38,60.0,74.0,35.0,0.0
2024-12-09,55.09,55.0,74.0,35.0,0.0
2024-12-10,54.61,45.0,74.0,43.0,0.0
2024-12-11,52.83,45.0,74.0,35.0,0.0
2024-12-12,55.63,50.0,74.0,43.0,0.0
2024-12-13,64.87,70.0,74.0,60.0,0.0
2024-12-16,54.55,45.0,74.0,43.0,0.0
2024-12-17,59.43,55.0,74.0,53.0,0.0
2024-12-18,56.69,45.0,74.0,53.0,0.0
2024-12-19,60.93,55.0,74.0,60.0,0.0
2024-12-20,57.95,45.0,74.0,60.0,0.0
2024-12-23,60.1,55.0,74.0,60.0,0.0
2024-12-24,63.91,70.0,74.0,60.0,0.0
2024-12-26,59.96,55.0,74.0,60.0,0.0
2024-12-27,58.8,50.0,74.0,60.0,0.0
2024-12-30,57.34,45.0,74.0,60.0,0.0
2024-12-31,28.83,50.0,11.0,60.0,7.0
2025-01-01,29.09,50.0,11.0,60.0,7.0
2025-01-02,34.58,60.0,11.0,60.0,4.0
2025-01-03,27.8,45.0,11.0,60.0,7.0
2025-01-06,28.29,45.0,11.0,53.0,4.0
2025-01-07,27.01,50.0,11.0,53.0,7.0
2025-01-08,25.27,45.0,11.0,53.0,7.0
2025-01-09,18.0,27.0,11.0,43.0,7.0
2025-01-10,5.22,18.0,11.0,10.0,9.0
2025-01-13,9.94,18.0,11.0,10.0,4.0
2025-01-14,12.56,27.0,11.0,10.0,4.0
2025-01-15,18.65,37.0,11.0,25.0,4.0
2025-01-16,24.31,50.0,11.0,33.0,4.0
2025-01-17,7.22,27.0,11.0,0.0,7.0
2025-01-20,22.84,55.0,11.0,33.0,7.0
2025-01-21,13.58,27.0,11.0,25.0,7.0
2025-01-22,6.3,12.0,11.0,0.0,4.0
2025-01-23,2.42,8.0,11.0,0.0,7.0
2025-01-24,2.14,8.0,11.0,0.0,7.0
2025-01-27,6.23,13.0,11.0,0.0,4.0
2025-01-28,17.28,32.0,11.0,25.0,4.0
2025-01-29,19.47,55.0,11.0,10.0,4.0
2025-01-30,5.93,12.0,11.0,0.0,4.0
2025-01-31,8.79,22.0,11.0,0.0,4.0
2025-02-01,5.15,8.0,11.0,0.0,4.0
2025-02-03,4.86,8.0,11.0,0.0,4.0
2025-02-04,5.59,22.0,11.0,0.0,7.0
2025-02-05,13.17,40.0,11.0,0.0,4.0
2025-02-06,5.22,12.0,11.0,8.0,7.0
2025-02-07,5.18,12.0,11.0,8.0,7.0
2025-02-10,4.91,8.0,11.0,0.0,4.0
2025-02-11,4.62,8.0,11.0,0.0,4.0
2025-02-12,6.18,13.0,11.0,0.0,4.0
2025-02-13,7.21,18.0,11.0,0.0,4.0
2025-02-14,8.21,23.0,11.0,0.0,4.0
2025-02-17,8.22,23.0,11.0,0.0,4.0
2025-02-18,4.34,8.0,11.0,0.0,4.0
2025-02-19,10.89,22.0,11.0,10.0,4.0
2025-02-20,9.61,17.0,11.0,10.0,4.0
2025-02-21,25.93,25.0,11.0,68.0,4.0
2025-02-24,23.79,25.0,11.0,60.0,4.0
2025-02-25,11.23,12.0,11.0,35.0,7.0
2025-02-27,8.6,12.0,11.0,25.0,7.0
2025-02-28,10.61,8.0,11.0,25.0,4.0
2025-03-03,9.41,23.0,11.0,25.0,9.0
2025-03-04,14.63,23.0,11.0,25.0,4.0
2025-03-05,14.62,22.0,11.0,25.0,4.0
2025-03-06,13.33,17.0,11.0,25.0,4.0
2025-03-07,13.36,17.0,11.0,25.0,4.0
2025-03-10,7.79,8.0,11.0,25.0,7.0
2025-03-11,10.82,8.0,11.0,25.0,4.0
2025-03-12,12.13,13.0,11.0,25.0,4.0
2025-03-13,10.89,8.0,11.0,25.0,4.0
2025-03-17,10.88,8.0,11.0,25.0,4.0
2025-03-18,9.64,8.0,11.0,33.0,7.0
2025-03-19,16.75,27.0,11.0,25.0,4.0
2025-03-20,21.92,40.0,11.0,33.0,4.0
2025-03-21,19.67,30.0,11.0,33.0,4.0
2025-03-24,15.13,20.0,11.0,25.0,4.0
2025-03-25,14.65,20.0,11.0,25.0,4.0
2025-03-26,12.36,12.0,11.0,25.0,4.0
2025-03-27,18.58,35.0,11.0,25.0,4.0
2025-03-28,14.61,20.0,11.0,25.0,4.0
2025-04-01,43.32,45.0,66.0,33.0,4.0
2025-04-02,48.97,50.0,66.0,50.0,4.0
2025-04-03,54.14,70.0,66.0,50.0,4.0
2025-04-04,37.87,45.0,66.0,33.0,9.0
2025-04-07,46.26,50.0,66.0,43.0,4.0
2025-04-08,50.85,60.0,66.0,50.0,4.0
2025-04-09,50.57,60.0,66.0,50.0,4.0
2025-04-11,62.46,70.0,66.0,85.0,4.0
2025-04-15,55.62,55.0,66.0,70.0,4.0
2025-04-16,54.42,50.0,66.0,70.0,4.0
2025-04-17,51.82,55.0,66.0,55.0,4.0
2025-04-21,59.73,70.0,66.0,70.0,4.0
2025-04-22,50.66,50.0,66.0,55.0,4.0
2025-04-23,49.34,45.0,66.0,55.0,4.0
2025-04-24,49.12,45.0,66.0,55.0,4.0
2025-04-25,54.83,55.0,66.0,70.0,4.0
2025-04-28,38.95,45.0,66.0,28.0,7.0
2025-04-29,43.43,35.0,66.0,55.0,7.0
2025-04-30,31.8,27.0,66.0,18.0,7.0
2025-05-02,51.08,55.0,66.0,55.0,4.0
2025-05-05,44.79,50.0,66.0,45.0,7.0
2025-05-06,41.45,35.0,66.0,38.0,4.0
2025-05-07,38.6,55.0,66.0,18.0,7.0
2025-05-08,31.48,27.0,66.0,18.0,7.0
2025-05-09,37.85,40.0,66.0,18.0,4.0
2025-05-12,47.82,55.0,66.0,38.0,4.0
2025-05-13,49.12,60.0,66.0,38.0,4.0
2025-05-14,55.67,70.0,66.0,53.0,4.0
2025-05-15,45.66,45.0,66.0,38.0,4.0
2025-05-16,53.33,50.0,66.0,63.0,4.0
2025-05-19,54.96,55.0,66.0,63.0,4.0
2025-05-20,57.07,50.0,66.0,78.0,4.0
2025-05-21,54.67,55.0,66.0,63.0,4.0
2025-05-22,64.54,57.0,66.0,100.0,4.0
2025-05-23,64.65,57.0,66.0,100.0,4.0
2025-05-26,55.83,32.0,66.0,100.0,7.0
2025-05-27,61.2,42.0,66.0,100.0,4.0
2025-05-28,55.57,32.0,66.0,100.0,7.0
2025-05-29,56.92,37.0,66.0,100.0,7.0
2025-05-30,63.62,52.0,66.0,100.0,4.0
2025-06-02,61.78,45.0,66.0,100.0,4.0
2025-06-03,60.18,50.0,66.0,100.0,7.0
2025-06-04,63.78,52.0,66.0,100.0,4.0
2025-06-05,57.22,37.0,66.0,100.0,7.0
2025-06-06,59.1,45.0,66.0,100.0,7.0
2025-06-09,60.47,50.0,66.0,100.0,7.0
2025-06-10,59.07,45.0,66.0,100.0,7.0
2025-06-11,61.97,45.0,66.0,100.0,4.0
2025-06-12,61.7,45.0,66.0,100.0,4.0
2025-06-13,65.26,60.0,66.0,100.0,4.0
2025-06-16,62.31,60.0,66.0,100.0,7.0
2025-06-17,60.91,60.0,66.0,95.0,7.0
2025-06-18,60.93,60.0,66.0,95.0,7.0
2025-06-19,47.18,42.0,66.0,60.0,7.0
2025-06-20,48.54,47.0,66.0,60.0,7.0
2025-06-23,58.71,70.0,66.0,78.0,7.0
2025-06-24,54.37,60.0,66.0,70.0,7.0
2025-06-25,52.15,60.0,66.0,60.0,7.0
2025-06-26,49.48,65.0,66.0,45.0,7.0
2025-06-27,49.71,65.0,66.0,45.0,7.0
2025-06-30,23.09,70.0,14.0,45.0,15.0
2025-07-01,30.21,65.0,14.0,78.0,15.0
2025-07-02,35.38,75.0,14.0,78.0,12.0
2025-07-03,24.19,60.0,14.0,60.0,15.0
2025-07-04,34.29,70.0,14.0,78.0,12.0
2025-07-07,28.58,60.0,14.0,78.0,15.0
2025-07-08,31.19,60.0,14.0,88.0,15.0
2025-07-09,31.31,60.0,14.0,88.0,15.0
2025-07-10,32.81,65.0,14.0,88.0,15.0
2025-07-11,34.25,60.0,14.0,88.0,12.0
2025-07-14,32.31,52.0,14.0,88.0,12.0
2025-07-15,35.97,65.0,14.0,88.0,12.0
2025-07-16,32.91,65.0,14.0,88.0,15.0
2025-07-17,27.74,42.0,14.0,78.0,12.0
2025-07-18,35.65,65.0,14.0,88.0,12.0
2025-07-21,43.14,85.0,14.0,98.0,12.0
2025-07-22,40.97,75.0,14.0,100.0,12.0
2025-07-23,37.19,60.0,14.0,100.0,12.0
2025-07-24,36.79,60.0,14.0,98.0,12.0
2025-07-25,38.74,70.0,14.0,98.0,12.0
2025-07-28,26.98,52.0,14.0,70.0,12.0
2025-07-29,27.42,52.0,14.0,70.0,12.0
2025-07-30,27.64,65.0,14.0,70.0,15.0
2025-07-31,23.61,37.0,14.0,70.0,12.0
2025-08-01,17.76,27.0,14.0,70.0,15.0
2025-08-04,23.57,37.0,14.0,70.0,12.0
2025-08-05,17.93,27.0,14.0,70.0,15.0
2025-08-06,25.6,47.0,14.0,70.0,12.0
2025-08-07,20.46,27.0,14.0,70.0,12.0
