scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,75.24,85.0,60.0,100.0,0.0
2023-09-05,69.08,60.0,60.0,100.0,0.0
2023-09-06,65.95,60.0,60.0,100.0,3.0
2023-09-07,70.25,65.0,60.0,100.0,0.0
2023-09-08,69.07,60.0,60.0,100.0,0.0
2023-09-11,74.1,80.0,60.0,100.0,0.0
2023-09-12,65.32,70.0,60.0,98.0,5.0
2023-09-13,69.6,65.0,60.0,100.0,0.0
2023-09-14,65.44,60.0,60.0,100.0,3.0
2023-09-15,60.55,60.0,60.0,80.0,3.0
2023-09-18,64.52,65.0,60.0,80.0,0.0
2023-09-20,66.39,65.0,60.0,88.0,0.0
2023-09-21,64.92,60.0,60.0,100.0,3.0
2023-09-22,57.82,42.0,60.0,78.0,0.0
2023-09-25,55.99,52.0,60.0,60.0,0.0
2023-09-26,53.55,42.0,60.0,60.0,0.0
2023-09-27,54.7,47.0,60.0,60.0,0.0
2023-09-28,50.37,42.0,60.0,60.0,3.0
2023-09-29,51.04,47.0,60.0,45.0,0.0
2023-10-03,50.67,42.0,60.0,60.0,3.0
2023-10-04,50.37,42.0,60.0,60.0,3.0
2023-10-05,60.55,70.0,60.0,60.0,0.0
2023-10-06,55.32,60.0,60.0,60.0,3.0
2023-10-09,46.51,27.0,60.0,60.0,3.0
2023-10-10,46.17,27.0,60.0,45.0,0.0
2023-10-11,45.08,23.0,60.0,45.0,0.0
2023-10-12,64.74,85.0,60.0,60.0,0.0
2023-10-13,44.12,38.0,60.0,45.0,5.0
2023-10-16,47.96,33.0,60.0,45.0,0.0
2023-10-17,51.72,47.0,60.0,45.0,0.0
2023-10-18,44.07,27.0,60.0,35.0,0.0
2023-10-19,50.32,42.0,60.0,45.0,0.0
2023-10-20,47.69,32.0,60.0,45.0,0.0
2023-10-23,41.95,23.0,60.0,35.0,0.0
2023-10-25,39.17,23.0,60.0,25.0,0.0
2023-10-26,41.77,23.0,60.0,35.0,0.0
2023-10-27,44.27,33.0,60.0,45.0,3.0
2023-10-30,52.0,37.0,60.0,60.0,0.0
2023-10-31,42.58,27.0,60.0,45.0,3.0
2023-11-01,42.45,27.0,60.0,45.0,3.0
2023-11-02,42.58,27.0,60.0,45.0,3.0
2023-11-03,42.13,23.0,60.0,35.0,0.0
2023-11-06,45.32,37.0,60.0,45.0,3.0
2023-11-07,43.98,32.0,60.0,45.0,3.0
2023-11-08,44.14,32.0,60.0,45.0,3.0
2023-11-09,40.21,27.0,60.0,35.0,3.0
2023-11-10,50.21,45.0,60.0,45.0,0.0
2023-11-13,47.5,27.0,60.0,63.0,3.0
2023-11-15,71.13,72.0,60.0,100.0,0.0
2023-11-16,71.75,75.0,60.0,100.0,0.0
2023-11-17,74.32,85.0,60.0,100.0,0.0
2023-11-20,67.98,60.0,60.0,100.0,0.0
2023-11-21,69.49,65.0,60.0,100.0,0.0
2023-11-22,71.15,72.0,60.0,100.0,0.0
2023-11-23,66.21,52.0,60.0,100.0,0.0
2023-11-24,67.18,60.0,60.0,95.0,0.0
2023-11-28,60.3,60.0,60.0,80.0,3.0
2023-11-29,70.72,75.0,60.0,95.0,0.0
2023-11-30,67.2,60.0,60.0,95.0,0.0
2023-12-01,68.41,65.0,60.0,95.0,0.0
2023-12-04,65.86,70.0,60.0,80.0,0.0
2023-12-05,60.59,70.0,60.0,80.0,5.0
2023-12-06,64.2,65.0,60.0,80.0,0.0
2023-12-07,60.16,60.0,60.0,80.0,3.0
2023-12-08,51.0,42.0,60.0,50.0,0.0
2023-12-11,58.17,52.0,60.0,80.0,3.0
2023-12-12,61.2,65.0,60.0,80.0,3.0
2023-12-13,55.25,60.0,60.0,60.0,3.0
2023-12-14,47.05,42.0,60.0,45.0,3.0
2023-12-15,48.27,47.0,60.0,45.0,3.0
2023-12-18,56.92,70.0,60.0,45.0,0.0
2023-12-19,51.3,60.0,60.0,45.0,3.0
2023-12-20,53.44,85.0,60.0,20.0,0.0
2023-12-21,56.53,70.0,60.0,45.0,0.0
2023-12-22,54.08,60.0,60.0,45.0,0.0
2023-12-26,51.3,60.0,60.0,45.0,3.0
2023-12-27,51.26,60.0,60.0,45.0,3.0
2023-12-28,51.18,60.0,60.0,45.0,3.0
2023-12-29,51.22,60.0,60.0,45.0,3.0
2024-01-01,52.66,65.0,60.0,45.0,3.0
2024-01-02,47.28,42.0,60.0,35.0,0.0
2024-01-03,50.82,65.0,60.0,38.0,3.0
2024-01-04,52.84,65.0,60.0,45.0,3.0
2024-01-05,57.46,65.0,60.0,63.0,3.0
2024-01-08,48.2,42.0,60.0,38.0,0.0
2024-01-09,40.38,28.0,60.0,20.0,0.0
2024-01-10,46.44,37.0,60.0,35.0,0.0
2024-01-11,65.58,85.0,60.0,63.0,0.0
2024-01-12,60.61,80.0,60.0,48.0,0.0
2024-01-15,64.95,60.0,60.0,98.0,3.0
2024-01-16,56.59,65.0,60.0,48.0,0.0
2024-01-17,44.34,27.0,60.0,38.0,0.0
2024-01-18,65.34,85.0,60.0,63.0,0.0
2024-01-19,48.51,60.0,60.0,20.0,0.0
2024-01-23,39.66,27.0,60.0,20.0,0.0
2024-01-24,56.02,65.0,60.0,45.0,0.0
2024-01-25,48.25,45.0,60.0,45.0,3.0
2024-01-29,73.3,80.0,60.0,98.0,0.0
2024-01-30,65.68,60.0,60.0,88.0,0.0
2024-01-31,65.92,65.0,60.0,83.0,0.0
2024-02-01,72.0,75.0,60.0,98.0,0.0
2024-02-02,74.81,85.0,60.0,100.0,0.0
2024-02-05,71.52,72.0,60.0,100.0,0.0
2024-02-06,66.76,52.0,60.0,100.0,0.0
2024-02-07,68.68,60.0,60.0,100.0,0.0
2024-02-08,71.52,72.0,60.0,100.0,0.0
2024-02-09,67.49,57.0,60.0,100.0,0.0
2024-02-12,46.7,37.0,60.0,60.0,5.0
2024-02-13,38.11,23.0,60.0,20.0,0.0
2024-02-14,48.08,52.0,60.0,30.0,0.0
2024-02-15,49.7,52.0,60.0,48.0,3.0
2024-02-16,41.08,27.0,60.0,38.0,3.0
2024-02-19,56.68,52.0,60.0,63.0,0.0
2024-02-20,50.99,42.0,60.0,63.0,3.0
2024-02-21,41.95,27.0,60.0,43.0,3.0
2024-02-22,40.14,32.0,60.0,18.0,0.0
2024-02-23,32.87,23.0,60.0,10.0,3.0
2024-02-26,32.78,23.0,60.0,10.0,3.0
2024-02-27,32.66,23.0,60.0,10.0,3.0
2024-02-28,32.22,23.0,60.0,10.0,3.0
2024-02-29,32.38,23.0,60.0,10.0,3.0
2024-03-01,35.03,33.0,60.0,10.0,3.0
2024-03-04,35.97,37.0,60.0,10.0,3.0
2024-03-05,32.21,23.0,60.0,10.0,3.0
2024-03-06,31.6,23.0,60.0,10.0,3.0
2024-03-07,30.72,28.0,60.0,0.0,3.0
2024-03-11,28.83,23.0,60.0,0.0,3.0
2024-03-12,14.84,8.0,60.0,0.0,13.0
2024-03-13,14.48,9.0,60.0,0.0,13.0
2024-03-14,23.62,23.0,60.0,0.0,8.0
2024-03-15,19.8,8.0,60.0,0.0,8.0
2024-03-18,23.54,23.0,60.0,0.0,8.0
2024-03-19,19.55,8.0,60.0,0.0,8.0
2024-03-20,20.71,13.0,60.0,0.0,8.0
2024-03-21,28.78,32.0,60.0,10.0,8.0
2024-03-22,21.26,12.0,60.0,0.0,8.0
2024-03-26,20.1,8.0,60.0,0.0,8.0
2024-03-27,20.32,8.0,60.0,0.0,8.0
2024-03-28,21.54,13.0,60.0,0.0,8.0
2024-04-01,45.86,55.0,74.0,18.0,5.0
2024-04-02,42.43,40.0,74.0,18.0,5.0
2024-04-03,42.61,40.0,74.0,18.0,5.0
2024-04-04,39.38,35.0,74.0,10.0,5.0
2024-04-05,42.89,40.0,74.0,18.0,5.0
2024-04-08,41.66,35.0,74.0,18.0,5.0
2024-04-09,42.67,40.0,74.0,18.0,5.0
2024-04-10,59.56,70.0,74.0,55.0,5.0
2024-04-12,50.78,35.0,74.0,55.0,5.0
2024-04-15,43.58,27.0,74.0,35.0,5.0
2024-04-16,47.08,40.0,74.0,35.0,5.0
2024-04-18,31.97,12.0,74.0,35.0,13.0
2024-04-19,44.29,37.0,74.0,28.0,5.0
2024-04-22,51.18,55.0,74.0,35.0,5.0
2024-04-23,43.24,35.0,74.0,35.0,8.0
2024-04-24,47.08,55.0,74.0,18.0,5.0
2024-04-25,48.28,50.0,74.0,28.0,5.0
2024-04-26,45.47,50.0,74.0,28.0,8.0
2024-04-29,53.88,65.0,74.0,35.0,5.0
2024-04-30,51.46,55.0,74.0,35.0,5.0
2024-05-02,54.56,75.0,74.0,28.0,5.0
2024-05-03,48.03,60.0,74.0,18.0,5.0
2024-05-06,44.99,50.0,74.0,18.0,5.0
2024-05-07,36.78,27.0,74.0,10.0,5.0
2024-05-08,39.12,47.0,74.0,10.0,8.0
2024-05-09,20.69,8.0,74.0,10.0,16.0
2024-05-10,25.18,13.0,74.0,10.0,13.0
2024-05-13,23.95,8.0,74.0,10.0,13.0
2024-05-14,25.05,22.0,74.0,10.0,16.0
2024-05-15,47.76,60.0,74.0,18.0,5.0
2024-05-16,43.73,55.0,74.0,18.0,8.0
2024-05-17,44.04,55.0,74.0,18.0,8.0
2024-05-21,21.42,13.0,74.0,10.0,18.0
2024-05-22,26.28,13.0,74.0,10.0,13.0
2024-05-23,19.42,8.0,74.0,0.0,16.0
2024-05-24,20.59,13.0,74.0,0.0,16.0
2024-05-27,22.17,8.0,74.0,0.0,13.0
2024-05-28,22.02,8.0,74.0,0.0,13.0
2024-05-29,21.56,18.0,74.0,0.0,16.0
2024-05-30,18.72,8.0,74.0,0.0,16.0
2024-05-31,20.18,13.0,74.0,0.0,16.0
2024-06-03,22.18,8.0,74.0,0.0,13.0
2024-06-04,17.23,13.0,74.0,0.0,18.0
2024-06-05,24.02,18.0,74.0,0.0,13.0
2024-06-06,24.56,18.0,74.0,0.0,13.0
2024-06-07,24.6,17.0,74.0,0.0,13.0
2024-06-10,24.83,17.0,74.0,0.0,13.0
2024-06-11,23.96,12.0,74.0,0.0,13.0
2024-06-12,25.19,17.0,74.0,0.0,13.0
2024-06-13,24.03,12.0,74.0,0.0,13.0
2024-06-14,38.74,60.0,74.0,10.0,13.0
2024-06-18,33.88,25.0,74.0,25.0,13.0
2024-06-19,31.87,25.0,74.0,18.0,13.0
2024-06-20,33.21,30.0,74.0,18.0,13.0
2024-06-21,30.75,20.0,74.0,18.0,13.0
2024-06-24,32.0,25.0,74.0,18.0,13.0
2024-06-25,30.73,20.0,74.0,18.0,13.0
