scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,60.39,72.0,27.0,100.0,0.0
2023-09-05,57.77,62.0,27.0,100.0,0.0
2023-09-06,58.66,65.0,27.0,100.0,0.0
2023-09-07,60.32,72.0,27.0,100.0,0.0
2023-09-08,60.37,72.0,27.0,100.0,0.0
2023-09-11,59.15,67.0,27.0,100.0,0.0
2023-09-12,57.69,65.0,27.0,100.0,0.0
2023-09-13,55.94,57.0,27.0,100.0,0.0
2023-09-14,54.12,60.0,27.0,100.0,3.0
2023-09-15,53.89,60.0,27.0,100.0,3.0
2023-09-18,53.72,60.0,27.0,100.0,3.0
2023-09-20,51.06,50.0,27.0,100.0,3.0
2023-09-21,58.8,70.0,27.0,100.0,0.0
2023-09-22,55.84,70.0,27.0,100.0,3.0
2023-09-25,53.37,60.0,27.0,100.0,3.0
2023-09-26,50.82,50.0,27.0,100.0,3.0
2023-09-27,52.16,55.0,27.0,100.0,3.0
2023-09-28,48.15,42.0,27.0,98.0,3.0
2023-09-29,53.53,60.0,27.0,100.0,3.0
2023-10-03,53.0,60.0,27.0,98.0,3.0
2023-10-04,43.11,50.0,27.0,70.0,3.0
2023-10-05,55.97,70.0,27.0,88.0,0.0
2023-10-06,59.02,70.0,27.0,100.0,0.0
2023-10-09,57.8,70.0,27.0,98.0,0.0
2023-10-10,54.54,65.0,27.0,88.0,0.0
2023-10-11,49.12,60.0,27.0,70.0,0.0
2023-10-12,49.26,60.0,27.0,70.0,0.0
2023-10-13,49.32,60.0,27.0,70.0,0.0
2023-10-16,49.26,60.0,27.0,70.0,0.0
2023-10-17,50.67,65.0,27.0,70.0,0.0
2023-10-18,49.23,60.0,27.0,70.0,0.0
2023-10-19,57.59,65.0,27.0,98.0,0.0
2023-10-20,53.64,60.0,27.0,88.0,0.0
2023-10-23,42.41,38.0,27.0,70.0,0.0
2023-10-25,37.11,28.0,27.0,60.0,0.0
2023-10-26,42.24,38.0,27.0,70.0,0.0
2023-10-27,38.35,33.0,27.0,70.0,3.0
2023-10-30,40.79,23.0,27.0,78.0,0.0
2023-10-31,37.54,28.0,27.0,60.0,0.0
2023-11-01,35.98,23.0,27.0,60.0,0.0
2023-11-02,38.73,32.0,27.0,60.0,0.0
2023-11-03,44.55,45.0,27.0,70.0,0.0
2023-11-06,48.04,70.0,27.0,70.0,3.0
2023-11-07,54.93,85.0,27.0,70.0,0.0
2023-11-08,51.32,70.0,27.0,70.0,0.0
2023-11-09,48.42,60.0,27.0,70.0,0.0
2023-11-10,45.48,60.0,27.0,70.0,3.0
2023-11-13,61.87,85.0,27.0,98.0,0.0
2023-11-15,59.23,72.0,27.0,100.0,0.0
2023-11-16,56.57,62.0,27.0,100.0,0.0
2023-11-17,59.2,72.0,27.0,100.0,0.0
2023-11-20,52.32,57.0,27.0,100.0,3.0
2023-11-21,59.22,72.0,27.0,100.0,0.0
2023-11-22,56.81,62.0,27.0,100.0,0.0
2023-11-23,58.25,67.0,27.0,100.0,0.0
2023-11-24,55.63,57.0,27.0,100.0,0.0
2023-11-28,58.97,70.0,27.0,100.0,0.0
2023-11-29,57.69,65.0,27.0,100.0,0.0
2023-11-30,56.49,60.0,27.0,100.0,0.0
2023-12-01,53.55,60.0,27.0,100.0,3.0
2023-12-04,56.64,60.0,27.0,100.0,0.0
2023-12-05,59.06,70.0,27.0,100.0,0.0
2023-12-06,54.36,50.0,27.0,100.0,0.0
2023-12-07,53.09,50.0,27.0,95.0,0.0
2023-12-08,59.03,70.0,27.0,100.0,0.0
2023-12-11,59.27,70.0,27.0,100.0,0.0
2023-12-12,61.67,80.0,27.0,100.0,0.0
2023-12-13,60.4,75.0,27.0,100.0,0.0
2023-12-14,58.03,65.0,27.0,100.0,0.0
2023-12-15,57.46,62.0,27.0,100.0,0.0
2023-12-18,55.67,60.0,27.0,95.0,0.0
2023-12-19,54.05,60.0,27.0,88.0,0.0
2023-12-20,48.71,60.0,27.0,70.0,0.0
2023-12-21,53.05,75.0,27.0,70.0,0.0
2023-12-22,48.96,70.0,27.0,70.0,3.0
2023-12-26,46.75,60.0,27.0,70.0,3.0
2023-12-27,52.43,65.0,27.0,88.0,3.0
2023-12-28,46.55,60.0,27.0,70.0,3.0
2023-12-29,52.39,65.0,27.0,88.0,3.0
2024-01-01,57.01,70.0,27.0,88.0,0.0
2024-01-02,58.57,65.0,27.0,100.0,0.0
2024-01-03,51.33,60.0,27.0,88.0,3.0
2024-01-04,58.72,65.0,27.0,100.0,0.0
2024-01-05,54.21,60.0,27.0,100.0,3.0
2024-01-08,53.99,60.0,27.0,88.0,0.0
2024-01-09,51.22,60.0,27.0,88.0,3.0
2024-01-10,38.84,42.0,27.0,45.0,0.0
2024-01-11,35.92,42.0,27.0,45.0,3.0
2024-01-12,35.96,42.0,27.0,45.0,3.0
2024-01-15,34.06,23.0,27.0,45.0,0.0
2024-01-16,33.92,23.0,27.0,45.0,0.0
2024-01-17,35.5,28.0,27.0,60.0,3.0
2024-01-18,43.62,37.0,27.0,70.0,0.0
2024-01-19,58.02,75.0,27.0,88.0,0.0
2024-01-23,50.04,65.0,27.0,70.0,0.0
2024-01-24,42.22,32.0,27.0,70.0,0.0
2024-01-25,60.14,85.0,27.0,88.0,0.0
2024-01-29,62.84,85.0,27.0,98.0,0.0
2024-01-30,56.43,60.0,27.0,98.0,0.0
2024-01-31,49.63,60.0,27.0,70.0,0.0
2024-02-01,41.17,27.0,27.0,70.0,0.0
2024-02-02,60.13,85.0,27.0,88.0,0.0
2024-02-05,57.16,75.0,27.0,88.0,0.0
2024-02-06,62.27,85.0,27.0,98.0,0.0
2024-02-07,56.97,62.0,27.0,100.0,0.0
2024-02-08,59.31,72.0,27.0,100.0,0.0
2024-02-09,59.03,72.0,27.0,100.0,0.0
2024-02-12,58.08,70.0,27.0,100.0,0.0
2024-02-13,58.1,70.0,27.0,100.0,0.0
2024-02-14,55.27,70.0,27.0,100.0,3.0
2024-02-15,58.39,70.0,27.0,100.0,0.0
2024-02-16,58.47,70.0,27.0,100.0,0.0
2024-02-19,56.25,60.0,27.0,100.0,0.0
2024-02-20,57.44,65.0,27.0,100.0,0.0
2024-02-21,53.74,60.0,27.0,90.0,0.0
2024-02-22,57.47,65.0,27.0,100.0,0.0
2024-02-23,50.69,60.0,27.0,90.0,3.0
2024-02-26,48.0,60.0,27.0,80.0,3.0
2024-02-27,50.24,60.0,27.0,90.0,3.0
2024-02-28,45.68,42.0,27.0,80.0,0.0
2024-02-29,46.0,43.0,27.0,80.0,0.0
2024-03-01,50.44,52.0,27.0,100.0,3.0
2024-03-04,44.75,42.0,27.0,88.0,3.0
2024-03-05,40.58,42.0,27.0,60.0,0.0
2024-03-06,39.16,38.0,27.0,60.0,0.0
2024-03-07,36.15,38.0,27.0,60.0,3.0
2024-03-11,31.14,23.0,27.0,45.0,0.0
2024-03-12,30.79,23.0,27.0,45.0,0.0
2024-03-13,21.66,23.0,27.0,10.0,0.0
2024-03-14,25.94,38.0,27.0,10.0,0.0
2024-03-15,23.09,28.0,27.0,10.0,0.0
2024-03-18,24.48,33.0,27.0,10.0,0.0
2024-03-19,22.97,28.0,27.0,10.0,0.0
2024-03-20,33.92,47.0,27.0,35.0,0.0
2024-03-21,45.16,65.0,27.0,60.0,0.0
2024-03-22,37.82,50.0,27.0,45.0,0.0
2024-03-26,28.72,27.0,27.0,45.0,3.0
2024-03-27,32.1,28.0,27.0,45.0,0.0
2024-03-28,24.6,23.0,27.0,20.0,0.0
2024-04-01,36.65,37.0,39.0,45.0,3.0
2024-04-02,38.96,45.0,39.0,45.0,3.0
2024-04-03,46.09,60.0,39.0,45.0,0.0
2024-04-04,51.85,65.0,39.0,63.0,0.0
2024-04-05,49.48,55.0,39.0,63.0,0.0
2024-04-08,39.73,35.0,39.0,45.0,0.0
2024-04-09,37.59,27.0,39.0,45.0,0.0
2024-04-10,45.93,40.0,39.0,63.0,0.0
2024-04-12,42.13,27.0,39.0,73.0,3.0
2024-04-15,37.72,23.0,39.0,48.0,0.0
2024-04-16,43.75,37.0,39.0,70.0,3.0
2024-04-18,51.67,32.0,39.0,95.0,0.0
2024-04-19,46.13,27.0,39.0,78.0,0.0
2024-04-22,45.6,23.0,39.0,78.0,0.0
2024-04-23,41.02,37.0,39.0,45.0,0.0
2024-04-24,49.34,55.0,39.0,60.0,0.0
2024-04-25,57.44,70.0,39.0,78.0,0.0
2024-04-26,60.23,70.0,39.0,88.0,0.0
2024-04-29,66.88,85.0,39.0,100.0,0.0
2024-04-30,56.94,65.0,39.0,80.0,0.0
2024-05-02,45.43,37.0,39.0,63.0,0.0
2024-05-03,38.12,27.0,39.0,45.0,0.0
2024-05-06,41.47,42.0,39.0,45.0,0.0
2024-05-07,38.5,32.0,39.0,45.0,0.0
2024-05-08,33.4,23.0,39.0,45.0,3.0
2024-05-09,30.22,23.0,39.0,35.0,3.0
2024-05-10,30.49,23.0,39.0,35.0,3.0
2024-05-13,30.42,23.0,39.0,35.0,3.0
2024-05-14,30.7,33.0,39.0,25.0,3.0
2024-05-15,26.11,28.0,39.0,10.0,3.0
2024-05-16,24.73,23.0,39.0,10.0,3.0
2024-05-17,32.6,28.0,39.0,35.0,3.0
2024-05-21,27.93,23.0,39.0,10.0,0.0
2024-05-22,27.81,23.0,39.0,10.0,0.0
2024-05-23,25.82,28.0,39.0,10.0,3.0
2024-05-24,27.39,23.0,39.0,10.0,0.0
2024-05-27,24.16,23.0,39.0,10.0,3.0
2024-05-28,24.38,23.0,39.0,0.0,0.0
2024-05-29,22.81,28.0,39.0,0.0,3.0
2024-05-30,24.18,23.0,39.0,0.0,0.0
2024-05-31,24.24,23.0,39.0,0.0,0.0
2024-06-03,29.7,43.0,39.0,0.0,0.0
2024-06-04,13.21,13.0,39.0,0.0,8.0
2024-06-05,16.46,23.0,39.0,0.0,8.0
2024-06-06,29.96,33.0,39.0,10.0,0.0
2024-06-07,37.2,60.0,39.0,10.0,0.0
2024-06-10,34.83,40.0,39.0,18.0,0.0
2024-06-11,35.48,42.0,39.0,18.0,0.0
2024-06-12,29.68,27.0,39.0,10.0,0.0
2024-06-13,30.14,27.0,39.0,10.0,0.0
2024-06-14,31.54,32.0,39.0,10.0,0.0
2024-06-18,33.33,28.0,39.0,20.0,0.0
2024-06-19,15.23,8.0,39.0,0.0,8.0
2024-06-20,19.55,13.0,39.0,10.0,8.0
2024-06-21,16.69,13.0,39.0,0.0,8.0
2024-06-24,44.64,75.0,39.0,18.0,0.0
2024-06-25,53.79,75.0,39.0,55.0,0.0
2024-06-26,39.77,55.0,39.0,18.0,0.0
