scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,46.82,60.0,18.0,100.0,7.0
2023-09-05,48.06,65.0,18.0,100.0,7.0
2023-09-06,46.82,60.0,18.0,100.0,7.0
2023-09-07,46.9,60.0,18.0,100.0,7.0
2023-09-08,48.12,65.0,18.0,100.0,7.0
2023-09-11,46.79,60.0,18.0,100.0,7.0
2023-09-12,41.33,42.0,18.0,100.0,7.0
2023-09-13,44.34,65.0,18.0,88.0,7.0
2023-09-14,44.59,65.0,18.0,88.0,7.0
2023-09-15,50.14,75.0,18.0,88.0,4.0
2023-09-18,38.72,60.0,18.0,70.0,7.0
2023-09-20,38.56,60.0,18.0,70.0,7.0
2023-09-21,33.73,42.0,18.0,70.0,7.0
2023-09-22,28.99,23.0,18.0,70.0,7.0
2023-09-25,28.95,23.0,18.0,70.0,7.0
2023-09-26,31.98,23.0,18.0,70.0,4.0
2023-09-27,22.72,23.0,18.0,45.0,7.0
2023-09-28,25.68,23.0,18.0,45.0,4.0
2023-09-29,21.63,28.0,18.0,35.0,7.0
2023-10-03,23.57,23.0,18.0,35.0,4.0
2023-10-04,22.12,19.0,18.0,35.0,4.0
2023-10-05,25.77,33.0,18.0,35.0,4.0
2023-10-06,24.68,28.0,18.0,35.0,4.0
2023-10-09,18.67,19.0,18.0,35.0,7.0
2023-10-10,23.32,24.0,18.0,35.0,4.0
2023-10-11,22.88,33.0,18.0,35.0,7.0
2023-10-12,20.83,23.0,18.0,35.0,7.0
2023-10-13,22.1,28.0,18.0,35.0,7.0
2023-10-16,20.76,23.0,18.0,35.0,7.0
2023-10-17,22.21,28.0,18.0,35.0,7.0
2023-10-18,20.69,23.0,18.0,35.0,7.0
2023-10-19,20.8,23.0,18.0,35.0,7.0
2023-10-20,22.65,19.0,18.0,35.0,4.0
2023-10-23,14.71,24.0,18.0,35.0,12.0
2023-10-25,22.59,24.0,18.0,35.0,4.0
2023-10-26,13.4,19.0,18.0,35.0,12.0
2023-10-27,25.33,33.0,18.0,35.0,4.0
2023-10-30,23.99,28.0,18.0,35.0,4.0
2023-10-31,22.71,23.0,18.0,35.0,4.0
2023-11-01,20.82,28.0,18.0,35.0,7.0
2023-11-02,24.07,28.0,18.0,35.0,4.0
2023-11-03,24.26,28.0,18.0,35.0,4.0
2023-11-06,21.31,28.0,18.0,35.0,7.0
2023-11-07,24.54,28.0,18.0,35.0,4.0
2023-11-08,24.33,28.0,18.0,35.0,4.0
2023-11-09,23.0,23.0,18.0,35.0,4.0
2023-11-10,22.83,23.0,18.0,35.0,4.0
2023-11-13,24.3,28.0,18.0,35.0,4.0
2023-11-15,23.31,23.0,18.0,35.0,4.0
2023-11-16,24.5,28.0,18.0,35.0,4.0
2023-11-17,23.3,23.0,18.0,35.0,4.0
2023-11-20,34.71,60.0,18.0,43.0,4.0
2023-11-21,41.08,75.0,18.0,53.0,4.0
2023-11-22,35.5,45.0,18.0,60.0,4.0
2023-11-23,28.87,35.0,18.0,43.0,4.0
2023-11-24,30.17,40.0,18.0,43.0,4.0
2023-11-28,28.77,35.0,18.0,43.0,4.0
2023-11-29,28.6,35.0,18.0,43.0,4.0
2023-11-30,26.67,27.0,18.0,43.0,4.0
2023-12-01,27.88,32.0,18.0,43.0,4.0
2023-12-04,33.65,55.0,18.0,43.0,4.0
2023-12-05,35.87,65.0,18.0,43.0,4.0
2023-12-06,34.57,60.0,18.0,43.0,4.0
2023-12-07,37.39,70.0,18.0,43.0,4.0
2023-12-08,34.64,60.0,18.0,43.0,4.0
2023-12-11,40.33,75.0,18.0,50.0,4.0
2023-12-12,41.9,72.0,18.0,60.0,4.0
2023-12-13,39.38,62.0,18.0,60.0,4.0
2023-12-14,35.68,47.0,18.0,60.0,4.0
2023-12-15,38.18,57.0,18.0,60.0,4.0
2023-12-18,39.1,60.0,18.0,60.0,4.0
2023-12-19,37.84,65.0,18.0,50.0,4.0
2023-12-20,37.64,75.0,18.0,43.0,4.0
2023-12-21,35.54,65.0,18.0,43.0,4.0
2023-12-22,40.47,67.0,18.0,60.0,4.0
2023-12-26,42.98,57.0,18.0,80.0,4.0
2023-12-27,41.19,60.0,18.0,70.0,4.0
