scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,10.08,40.0,20.0,8.0,17.0
2023-09-06,17.45,60.0,20.0,18.0,17.0
2023-09-07,28.5,62.0,20.0,28.0,9.0
2023-09-08,27.32,57.0,20.0,28.0,9.0
2023-09-11,26.85,55.0,20.0,28.0,9.0
2023-09-12,10.57,35.0,20.0,18.0,17.0
2023-09-13,8.85,40.0,20.0,18.0,20.0
2023-09-14,7.69,35.0,20.0,18.0,20.0
2023-09-15,10.8,35.0,20.0,18.0,17.0
2023-09-18,5.52,27.0,20.0,18.0,20.0
2023-09-20,8.64,40.0,20.0,18.0,20.0
2023-09-21,5.17,27.0,20.0,18.0,20.0
2023-09-22,6.32,32.0,20.0,18.0,20.0
2023-09-25,0.49,8.0,20.0,18.0,20.0
2023-09-26,0.0,13.0,20.0,8.0,20.0
2023-09-27,0.0,8.0,20.0,8.0,20.0
2023-09-28,0.0,8.0,20.0,0.0,20.0
2023-09-29,0.0,13.0,20.0,0.0,20.0
2023-10-03,0.42,17.0,20.0,8.0,20.0
2023-10-04,0.0,12.0,20.0,0.0,20.0
2023-10-05,0.0,8.0,20.0,0.0,20.0
2023-10-06,8.07,45.0,20.0,10.0,20.0
2023-10-09,0.0,8.0,20.0,0.0,17.0
2023-10-10,13.42,55.0,20.0,10.0,17.0
2023-10-11,12.08,50.0,20.0,10.0,17.0
2023-10-12,10.74,35.0,20.0,18.0,17.0
2023-10-13,8.62,35.0,20.0,10.0,17.0
2023-10-16,5.71,35.0,20.0,10.0,20.0
2023-10-17,3.23,12.0,20.0,10.0,17.0
2023-10-18,3.07,12.0,20.0,10.0,17.0
2023-10-19,1.82,17.0,20.0,0.0,17.0
2023-10-20,0.0,8.0,20.0,0.0,17.0
2023-10-23,2.2,23.0,20.0,0.0,17.0
2023-10-25,6.67,32.0,20.0,10.0,17.0
2023-10-26,4.52,23.0,20.0,10.0,17.0
2023-10-27,6.27,28.0,20.0,10.0,17.0
2023-10-30,1.25,8.0,20.0,10.0,17.0
2023-10-31,2.33,13.0,20.0,10.0,17.0
2023-11-01,0.0,13.0,20.0,10.0,20.0
2023-11-02,0.0,13.0,20.0,10.0,20.0
2023-11-03,3.38,17.0,20.0,10.0,17.0
2023-11-06,3.57,17.0,20.0,10.0,17.0
2023-11-07,0.0,8.0,20.0,0.0,17.0
2023-11-08,0.0,8.0,20.0,0.0,17.0
2023-11-09,0.0,8.0,20.0,0.0,17.0
2023-11-10,0.0,13.0,20.0,0.0,17.0
2023-11-13,14.5,60.0,20.0,10.0,17.0
2023-11-15,2.13,20.0,20.0,0.0,17.0
2023-11-16,2.5,22.0,20.0,0.0,17.0
2023-11-17,1.32,17.0,20.0,0.0,17.0
2023-11-20,0.0,12.0,20.0,0.0,20.0
2023-11-21,0.0,8.0,20.0,0.0,17.0
2023-11-22,0.0,13.0,20.0,8.0,20.0
2023-11-23,0.46,13.0,20.0,0.0,17.0
2023-11-24,0.68,13.0,20.0,0.0,17.0
2023-11-28,0.55,13.0,20.0,0.0,17.0
2023-11-29,2.97,23.0,20.0,0.0,17.0
2023-11-30,1.95,18.0,20.0,0.0,17.0
2023-12-01,1.91,18.0,20.0,0.0,17.0
2023-12-04,1.86,18.0,20.0,0.0,17.0
2023-12-05,0.34,13.0,20.0,0.0,17.0
2023-12-06,1.45,18.0,20.0,0.0,17.0
2023-12-07,2.91,23.0,20.0,0.0,17.0
2023-12-08,0.25,13.0,20.0,0.0,17.0
2023-12-11,1.67,18.0,20.0,0.0,17.0
2023-12-12,0.2,13.0,20.0,0.0,17.0
2023-12-13,4.25,28.0,20.0,0.0,17.0
2023-12-14,3.05,23.0,20.0,0.0,17.0
2023-12-15,3.02,23.0,20.0,0.0,17.0
2023-12-18,2.92,23.0,20.0,0.0,17.0
2023-12-19,10.3,45.0,20.0,8.0,17.0
2023-12-20,2.94,27.0,20.0,0.0,17.0
2023-12-21,3.78,28.0,20.0,0.0,17.0
2023-12-22,2.33,22.0,20.0,0.0,17.0
2023-12-26,14.05,60.0,20.0,8.0,17.0
2023-12-27,10.26,45.0,20.0,8.0,17.0
2023-12-28,3.93,20.0,20.0,8.0,17.0
2023-12-29,3.97,20.0,20.0,8.0,17.0
2024-01-01,1.41,17.0,20.0,0.0,17.0
2024-01-02,2.28,25.0,20.0,8.0,20.0
2024-01-03,0.0,12.0,20.0,8.0,20.0
2024-01-04,0.59,17.0,20.0,8.0,20.0
2024-01-05,6.46,40.0,20.0,8.0,20.0
2024-01-08,0.45,17.0,20.0,8.0,20.0
2024-01-09,0.63,17.0,20.0,8.0,20.0
2024-01-10,1.94,22.0,20.0,8.0,20.0
2024-01-11,3.82,17.0,20.0,8.0,17.0
2024-01-12,12.11,50.0,20.0,8.0,17.0
2024-01-15,2.45,12.0,20.0,8.0,17.0
2024-01-16,0.0,12.0,20.0,8.0,20.0
2024-01-17,0.0,17.0,20.0,0.0,20.0
2024-01-18,9.34,40.0,20.0,8.0,17.0
2024-01-19,3.76,17.0,20.0,8.0,17.0
2024-01-23,0.16,13.0,20.0,0.0,17.0
2024-01-24,3.02,22.0,20.0,0.0,17.0
2024-01-25,1.0,13.0,20.0,0.0,17.0
2024-01-29,7.05,37.0,20.0,0.0,17.0
2024-01-30,4.68,18.0,20.0,10.0,17.0
2024-01-31,3.67,13.0,20.0,10.0,17.0
2024-02-01,4.75,18.0,20.0,10.0,17.0
2024-02-02,0.81,13.0,20.0,0.0,17.0
2024-02-05,2.02,18.0,20.0,0.0,17.0
2024-02-06,1.01,13.0,20.0,0.0,17.0
2024-02-07,2.18,18.0,20.0,0.0,17.0
2024-02-08,0.0,13.0,20.0,0.0,20.0
2024-02-09,0.49,13.0,20.0,0.0,17.0
2024-02-12,0.0,9.0,20.0,0.0,30.0
2024-02-13,0.0,9.0,20.0,0.0,25.0
2024-02-14,2.34,23.0,20.0,0.0,17.0
2024-02-15,0.0,18.0,20.0,0.0,20.0
2024-02-16,0.0,13.0,20.0,0.0,20.0
2024-02-19,0.0,13.0,20.0,0.0,20.0
2024-02-20,0.0,13.0,20.0,0.0,20.0
2024-02-21,0.0,13.0,20.0,0.0,20.0
2024-02-22,3.64,28.0,20.0,0.0,17.0
2024-02-23,0.0,13.0,20.0,0.0,20.0
2024-02-26,0.53,16.0,20.0,0.0,17.0
2024-02-27,0.41,16.0,20.0,0.0,17.0
2024-02-28,0.0,9.0,20.0,0.0,17.0
2024-02-29,0.0,9.0,20.0,0.0,17.0
2024-03-01,1.53,21.0,20.0,0.0,17.0
2024-03-04,0.22,16.0,20.0,0.0,17.0
2024-03-05,0.0,16.0,20.0,0.0,17.0
2024-03-06,0.1,19.0,20.0,0.0,17.0
2024-03-07,0.0,9.0,20.0,0.0,17.0
2024-03-11,0.0,24.0,20.0,0.0,25.0
2024-03-12,0.0,24.0,20.0,0.0,25.0
2024-03-13,0.0,24.0,20.0,0.0,30.0
2024-03-14,0.0,24.0,20.0,0.0,25.0
2024-03-15,0.0,14.0,20.0,0.0,25.0
2024-03-18,0.0,19.0,20.0,0.0,17.0
2024-03-19,0.0,9.0,20.0,0.0,17.0
2024-03-20,0.0,14.0,20.0,0.0,25.0
2024-03-21,0.0,24.0,20.0,0.0,25.0
2024-03-22,0.01,19.0,20.0,0.0,17.0
2024-03-26,1.1,24.0,20.0,0.0,17.0
2024-03-27,2.57,29.0,20.0,0.0,17.0
2024-03-28,0.0,19.0,20.0,0.0,25.0
2024-04-01,12.46,36.0,25.0,0.0,12.0
2024-04-02,10.53,27.0,25.0,0.0,12.0
2024-04-03,8.21,17.0,25.0,0.0,12.0
2024-04-04,5.23,17.0,25.0,0.0,15.0
2024-04-05,9.74,22.0,25.0,0.0,12.0
2024-04-08,16.76,50.0,25.0,0.0,12.0
2024-04-09,8.27,17.0,25.0,0.0,12.0
2024-04-10,8.41,17.0,25.0,0.0,12.0
2024-04-12,9.38,21.0,25.0,0.0,12.0
2024-04-15,9.93,16.0,25.0,8.0,12.0
2024-04-16,13.93,31.0,25.0,8.0,12.0
2024-04-18,21.07,50.0,25.0,18.0,12.0
2024-04-19,10.14,17.0,25.0,8.0,12.0
2024-04-22,25.78,60.0,25.0,25.0,12.0
2024-04-23,25.84,60.0,25.0,25.0,12.0
2024-04-24,23.44,50.0,25.0,25.0,12.0
2024-04-25,16.63,35.0,25.0,25.0,15.0
2024-04-26,19.82,35.0,25.0,25.0,12.0
2024-04-29,16.73,35.0,25.0,25.0,15.0
2024-04-30,16.81,35.0,25.0,25.0,15.0
2024-05-02,22.16,45.0,25.0,25.0,12.0
2024-05-03,36.63,62.0,25.0,35.0,4.0
2024-05-06,22.59,50.0,25.0,25.0,12.0
2024-05-07,18.38,35.0,25.0,25.0,12.0
2024-05-08,15.72,35.0,25.0,25.0,15.0
2024-05-09,8.29,35.0,25.0,18.0,20.0
2024-05-10,15.28,35.0,25.0,25.0,15.0
2024-05-13,15.3,35.0,25.0,25.0,15.0
2024-05-14,18.4,45.0,25.0,25.0,15.0
2024-05-15,16.11,35.0,25.0,25.0,15.0
2024-05-16,18.83,35.0,25.0,35.0,15.0
2024-05-17,21.64,45.0,25.0,35.0,15.0
2024-05-21,17.77,40.0,25.0,25.0,15.0
2024-05-22,12.13,35.0,25.0,8.0,15.0
2024-05-23,10.02,35.0,25.0,0.0,15.0
2024-05-24,23.69,60.0,25.0,18.0,12.0
2024-05-27,22.27,55.0,25.0,18.0,12.0
2024-05-28,17.12,35.0,25.0,18.0,12.0
2024-05-29,22.16,45.0,25.0,28.0,12.0
2024-05-30,19.32,35.0,25.0,28.0,12.0
2024-05-31,14.03,35.0,25.0,18.0,15.0
2024-06-03,13.53,40.0,25.0,10.0,15.0
2024-06-04,2.33,18.0,25.0,0.0,17.0
2024-06-05,19.62,55.0,25.0,10.0,12.0
2024-06-06,23.41,60.0,25.0,18.0,12.0
2024-06-07,34.2,70.0,25.0,18.0,4.0
2024-06-10,17.68,35.0,25.0,18.0,12.0
2024-06-11,49.06,75.0,25.0,70.0,4.0
2024-06-12,49.04,65.0,25.0,80.0,4.0
2024-06-13,42.38,50.0,25.0,80.0,7.0
2024-06-14,45.59,50.0,25.0,80.0,4.0
2024-06-18,36.48,50.0,25.0,43.0,4.0
2024-06-19,33.22,50.0,25.0,43.0,7.0
2024-06-20,38.31,60.0,25.0,53.0,7.0
2024-06-21,40.85,50.0,25.0,73.0,7.0
2024-06-24,33.35,50.0,25.0,43.0,7.0
2024-06-25,47.58,75.0,25.0,63.0,4.0
2024-06-26,33.3,50.0,25.0,43.0,7.0
2024-06-27,33.04,50.0,25.0,43.0,7.0
2024-06-28,39.48,55.0,25.0,63.0,7.0
2024-07-01,33.63,50.0,25.0,43.0,7.0
2024-07-02,34.81,55.0,25.0,43.0,7.0
2024-07-03,38.04,50.0,25.0,60.0,7.0
2024-07-04,35.1,55.0,25.0,43.0,7.0
2024-07-05,31.77,42.0,25.0,43.0,7.0
2024-07-08,37.13,60.0,25.0,35.0,4.0
2024-07-09,33.6,50.0,25.0,43.0,7.0
2024-07-10,14.15,27.0,25.0,10.0,12.0
2024-07-11,43.16,75.0,25.0,45.0,4.0
2024-07-12,46.16,70.0,25.0,63.0,4.0
2024-07-15,42.36,55.0,25.0,63.0,4.0
2024-07-16,47.46,75.0,25.0,63.0,4.0
2024-07-18,40.83,50.0,25.0,63.0,4.0
2024-07-19,7.25,23.0,25.0,10.0,17.0
2024-07-22,16.25,13.0,25.0,35.0,12.0
2024-07-23,8.55,8.0,25.0,10.0,12.0
2024-07-24,9.61,22.0,25.0,10.0,15.0
2024-07-25,5.95,8.0,25.0,10.0,15.0
2024-07-26,20.26,32.0,25.0,10.0,7.0
2024-07-29,25.38,52.0,25.0,10.0,7.0
2024-07-30,38.62,65.0,25.0,38.0,4.0
2024-07-31,31.71,50.0,25.0,38.0,7.0
2024-08-01,26.41,50.0,25.0,18.0,7.0
2024-08-02,15.97,27.0,25.0,0.0,7.0
2024-08-05,2.41,8.0,25.0,0.0,15.0
2024-08-06,3.54,13.0,25.0,0.0,15.0
