scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,61.76,70.0,35.0,98.0,0.0
2023-09-06,57.52,65.0,35.0,98.0,3.0
2023-09-07,60.6,65.0,35.0,98.0,0.0
2023-09-08,59.32,60.0,35.0,98.0,0.0
2023-09-11,53.74,60.0,35.0,88.0,3.0
2023-09-12,51.28,42.0,35.0,88.0,0.0
2023-09-13,49.79,47.0,35.0,88.0,3.0
2023-09-14,51.79,42.0,35.0,88.0,0.0
2023-09-15,51.09,57.0,35.0,70.0,0.0
2023-09-18,47.17,42.0,35.0,70.0,0.0
2023-09-20,42.26,23.0,35.0,70.0,0.0
2023-09-21,40.18,28.0,35.0,70.0,3.0
2023-09-22,38.94,23.0,35.0,70.0,3.0
2023-09-25,49.15,52.0,35.0,70.0,0.0
2023-09-26,60.68,80.0,35.0,88.0,0.0
2023-09-27,56.92,75.0,35.0,78.0,0.0
2023-09-28,41.13,42.0,35.0,60.0,3.0
2023-09-29,41.33,42.0,35.0,60.0,3.0
2023-10-03,62.27,85.0,35.0,88.0,0.0
2023-10-04,41.82,60.0,35.0,45.0,3.0
2023-10-05,46.22,65.0,35.0,45.0,0.0
2023-10-06,50.13,65.0,35.0,60.0,0.0
2023-10-09,39.87,42.0,35.0,45.0,0.0
2023-10-10,38.52,47.0,35.0,45.0,3.0
2023-10-11,33.83,27.0,35.0,45.0,3.0
2023-10-12,43.78,47.0,35.0,63.0,3.0
2023-10-13,51.3,65.0,35.0,63.0,0.0
2023-10-16,57.46,80.0,35.0,73.0,0.0
2023-10-17,53.91,65.0,35.0,73.0,0.0
2023-10-18,53.64,65.0,35.0,73.0,0.0
2023-10-19,58.75,70.0,35.0,88.0,0.0
2023-10-20,49.35,60.0,35.0,73.0,3.0
2023-10-23,38.16,28.0,35.0,53.0,0.0
2023-10-25,29.29,23.0,35.0,35.0,3.0
2023-10-26,34.85,33.0,35.0,35.0,0.0
2023-10-27,38.78,37.0,35.0,45.0,0.0
2023-10-30,36.44,32.0,35.0,53.0,3.0
2023-10-31,47.66,55.0,35.0,63.0,0.0
2023-11-01,30.52,27.0,35.0,35.0,3.0
2023-11-02,34.52,32.0,35.0,45.0,3.0
2023-11-03,33.46,27.0,35.0,45.0,3.0
2023-11-06,37.76,32.0,35.0,45.0,0.0
2023-11-07,39.24,37.0,35.0,45.0,0.0
2023-11-08,37.78,32.0,35.0,45.0,0.0
2023-11-09,46.7,50.0,35.0,63.0,0.0
2023-11-10,35.28,23.0,35.0,45.0,0.0
2023-11-13,34.75,32.0,35.0,45.0,3.0
2023-11-15,36.76,27.0,35.0,45.0,0.0
2023-11-16,36.7,27.0,35.0,45.0,0.0
2023-11-17,36.99,28.0,35.0,45.0,0.0
2023-11-20,55.91,85.0,35.0,63.0,0.0
2023-11-21,49.03,75.0,35.0,45.0,0.0
2023-11-22,46.2,65.0,35.0,43.0,0.0
2023-11-23,33.82,27.0,35.0,43.0,3.0
2023-11-24,36.87,27.0,35.0,43.0,0.0
2023-11-28,51.22,65.0,35.0,63.0,0.0
2023-11-29,41.8,60.0,35.0,43.0,3.0
2023-11-30,34.62,27.0,35.0,35.0,0.0
2023-12-01,46.08,75.0,35.0,33.0,0.0
2023-12-04,28.35,27.0,35.0,10.0,0.0
2023-12-05,28.32,32.0,35.0,18.0,3.0
2023-12-06,25.02,27.0,35.0,10.0,3.0
2023-12-07,48.59,85.0,35.0,33.0,0.0
2023-12-08,38.34,60.0,35.0,18.0,0.0
2023-12-11,36.78,65.0,35.0,18.0,3.0
2023-12-12,42.1,60.0,35.0,33.0,0.0
2023-12-13,35.33,60.0,35.0,18.0,3.0
2023-12-14,32.13,27.0,35.0,38.0,3.0
2023-12-15,32.13,27.0,35.0,38.0,3.0
2023-12-18,52.3,70.0,35.0,63.0,0.0
2023-12-19,39.79,60.0,35.0,35.0,3.0
2023-12-20,25.09,38.0,35.0,10.0,5.0
2023-12-21,32.74,37.0,35.0,20.0,0.0
2023-12-22,28.67,32.0,35.0,20.0,3.0
2023-12-26,27.43,27.0,35.0,20.0,3.0
2023-12-27,26.89,23.0,35.0,10.0,0.0
2023-12-28,26.08,32.0,35.0,10.0,3.0
2023-12-29,24.04,23.0,35.0,10.0,3.0
2024-01-01,26.59,32.0,35.0,10.0,3.0
2024-01-02,26.62,32.0,35.0,10.0,3.0
2024-01-03,44.92,85.0,35.0,18.0,0.0
2024-01-04,45.23,65.0,35.0,38.0,0.0
2024-01-05,39.2,70.0,35.0,10.0,0.0
2024-01-08,33.65,60.0,35.0,10.0,3.0
2024-01-09,41.88,70.0,35.0,20.0,0.0
2024-01-10,36.56,60.0,35.0,20.0,3.0
2024-01-11,40.88,65.0,35.0,20.0,0.0
2024-01-12,43.99,60.0,35.0,38.0,0.0
2024-01-15,35.94,60.0,35.0,18.0,3.0
2024-01-16,38.01,65.0,35.0,10.0,0.0
2024-01-17,39.74,65.0,35.0,18.0,0.0
2024-01-18,34.34,42.0,35.0,18.0,0.0
2024-01-19,42.66,75.0,35.0,18.0,0.0
2024-01-23,40.96,70.0,35.0,18.0,0.0
2024-01-24,45.28,65.0,35.0,38.0,0.0
2024-01-25,51.66,80.0,35.0,48.0,0.0
2024-01-29,45.33,65.0,35.0,38.0,0.0
2024-01-30,49.02,70.0,35.0,48.0,0.0
2024-01-31,49.23,80.0,35.0,38.0,0.0
2024-02-01,52.7,85.0,35.0,48.0,0.0
2024-02-02,53.66,72.0,35.0,65.0,0.0
2024-02-05,46.63,75.0,35.0,55.0,5.0
2024-02-06,48.27,60.0,35.0,55.0,0.0
2024-02-07,49.0,70.0,35.0,48.0,0.0
