scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,32.58,55.0,25.0,20.0,3.0
2023-09-06,35.45,55.0,25.0,20.0,0.0
2023-09-07,38.75,50.0,25.0,38.0,0.0
2023-09-08,35.57,55.0,25.0,20.0,0.0
2023-09-11,35.1,53.0,25.0,20.0,0.0
2023-09-12,28.07,28.0,25.0,20.0,0.0
2023-09-13,34.1,52.0,25.0,20.0,0.0
2023-09-14,30.69,38.0,25.0,20.0,0.0
2023-09-15,43.3,70.0,25.0,38.0,0.0
2023-09-18,46.77,85.0,25.0,38.0,0.0
2023-09-20,56.39,72.0,25.0,90.0,0.0
2023-09-21,50.17,75.0,25.0,63.0,0.0
2023-09-22,58.57,72.0,25.0,100.0,0.0
2023-09-25,56.24,62.0,25.0,100.0,0.0
2023-09-26,48.8,52.0,25.0,80.0,0.0
2023-09-27,56.95,65.0,25.0,100.0,0.0
2023-09-28,50.62,60.0,25.0,80.0,0.0
2023-09-29,50.78,60.0,25.0,80.0,0.0
2023-10-03,56.42,62.0,25.0,100.0,0.0
2023-10-04,55.62,60.0,25.0,100.0,0.0
2023-10-05,54.55,60.0,25.0,95.0,0.0
2023-10-06,57.32,65.0,25.0,100.0,0.0
2023-10-09,55.51,65.0,25.0,95.0,0.0
2023-10-10,49.17,60.0,25.0,73.0,0.0
2023-10-11,49.08,65.0,25.0,80.0,3.0
2023-10-12,51.24,60.0,25.0,80.0,0.0
2023-10-13,57.37,70.0,25.0,95.0,0.0
2023-10-16,58.71,70.0,25.0,100.0,0.0
2023-10-17,50.48,60.0,25.0,88.0,3.0
2023-10-18,57.07,65.0,25.0,98.0,0.0
2023-10-19,47.82,60.0,25.0,78.0,3.0
2023-10-20,56.94,65.0,25.0,98.0,0.0
2023-10-23,46.45,65.0,25.0,60.0,0.0
2023-10-25,48.67,75.0,25.0,60.0,0.0
2023-10-26,57.52,72.0,25.0,98.0,0.0
2023-10-27,58.52,72.0,25.0,100.0,0.0
2023-10-30,57.25,67.0,25.0,100.0,0.0
2023-10-31,52.33,70.0,25.0,98.0,5.0
2023-11-01,56.95,67.0,25.0,100.0,0.0
2023-11-02,55.84,62.0,25.0,100.0,0.0
2023-11-03,55.88,62.0,25.0,100.0,0.0
2023-11-06,57.32,67.0,25.0,100.0,0.0
2023-11-07,55.98,62.0,25.0,100.0,0.0
2023-11-08,52.39,47.0,25.0,100.0,0.0
