scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,47.33,45.0,35.0,63.0,0.0
2023-09-06,39.45,32.0,35.0,45.0,0.0
2023-09-07,38.25,27.0,35.0,45.0,0.0
2023-09-08,39.57,32.0,35.0,45.0,0.0
2023-09-11,35.85,27.0,35.0,35.0,0.0
2023-09-12,36.57,33.0,35.0,35.0,0.0
2023-09-13,34.1,23.0,35.0,35.0,0.0
2023-09-14,37.44,28.0,35.0,43.0,0.0
2023-09-15,34.55,28.0,35.0,43.0,3.0
2023-09-18,34.02,23.0,35.0,35.0,0.0
2023-09-20,30.89,23.0,35.0,35.0,3.0
2023-09-21,31.92,28.0,35.0,35.0,3.0
2023-09-22,33.57,23.0,35.0,35.0,0.0
2023-09-25,33.74,23.0,35.0,35.0,0.0
2023-09-26,32.05,28.0,35.0,35.0,3.0
2023-09-27,34.95,28.0,35.0,35.0,0.0
2023-09-28,36.12,33.0,35.0,35.0,0.0
2023-09-29,33.78,23.0,35.0,35.0,0.0
2023-10-03,43.17,60.0,35.0,35.0,0.0
2023-10-04,46.62,75.0,35.0,35.0,0.0
2023-10-05,51.3,85.0,35.0,43.0,0.0
2023-10-06,57.57,72.0,35.0,80.0,0.0
2023-10-09,55.76,67.0,35.0,80.0,0.0
2023-10-10,56.17,67.0,35.0,80.0,0.0
2023-10-11,54.83,62.0,35.0,80.0,0.0
2023-10-12,51.74,60.0,35.0,80.0,3.0
2023-10-13,51.62,60.0,35.0,80.0,3.0
2023-10-16,55.21,62.0,35.0,80.0,0.0
2023-10-17,54.98,60.0,35.0,80.0,0.0
2023-10-18,54.82,60.0,35.0,80.0,0.0
2023-10-19,57.32,70.0,35.0,80.0,0.0
2023-10-20,51.69,60.0,35.0,80.0,3.0
2023-10-23,26.45,23.0,35.0,28.0,5.0
2023-10-25,34.92,23.0,35.0,43.0,0.0
2023-10-26,36.27,28.0,35.0,43.0,0.0
2023-10-27,36.02,52.0,35.0,28.0,3.0
2023-10-30,28.75,23.0,35.0,28.0,3.0
2023-10-31,29.83,28.0,35.0,28.0,3.0
2023-11-01,23.95,23.0,35.0,10.0,3.0
2023-11-02,30.08,37.0,35.0,20.0,3.0
