scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,57.47,60.0,49.0,70.0,0.0
2023-09-06,57.61,60.0,49.0,70.0,0.0
2023-09-07,53.02,42.0,49.0,70.0,0.0
2023-09-08,55.82,47.0,49.0,88.0,3.0
2023-09-11,68.35,85.0,49.0,88.0,0.0
2023-09-12,52.39,70.0,49.0,63.0,5.0
2023-09-13,49.89,42.0,49.0,60.0,0.0
2023-09-14,60.07,65.0,49.0,88.0,3.0
2023-09-15,59.84,65.0,49.0,88.0,3.0
2023-09-18,47.67,42.0,49.0,63.0,3.0
2023-09-20,43.01,42.0,49.0,45.0,3.0
2023-09-21,42.75,42.0,49.0,45.0,3.0
2023-09-22,42.79,42.0,49.0,45.0,3.0
2023-09-25,52.32,65.0,49.0,60.0,3.0
2023-09-26,46.52,42.0,49.0,60.0,3.0
2023-09-27,52.36,65.0,49.0,60.0,3.0
2023-09-28,46.35,42.0,49.0,60.0,3.0
2023-09-29,56.73,70.0,49.0,60.0,0.0
2023-10-03,49.7,42.0,49.0,60.0,0.0
2023-10-04,45.56,27.0,49.0,60.0,0.0
2023-10-05,47.17,32.0,49.0,60.0,0.0
2023-10-06,62.47,65.0,49.0,88.0,0.0
2023-10-09,45.5,28.0,49.0,60.0,0.0
2023-10-10,45.99,28.0,49.0,60.0,0.0
2023-10-11,48.82,38.0,49.0,60.0,0.0
2023-10-12,45.21,23.0,49.0,60.0,0.0
2023-10-13,46.52,28.0,49.0,60.0,0.0
2023-10-16,45.21,23.0,49.0,60.0,0.0
2023-10-17,63.37,85.0,49.0,70.0,0.0
2023-10-18,53.18,45.0,49.0,70.0,0.0
2023-10-19,70.29,85.0,49.0,98.0,0.0
2023-10-20,63.84,60.0,49.0,98.0,0.0
2023-10-23,41.11,32.0,49.0,60.0,5.0
2023-10-25,44.56,27.0,49.0,60.0,0.0
2023-10-26,45.94,32.0,49.0,60.0,0.0
2023-10-27,43.3,32.0,49.0,60.0,3.0
2023-10-30,39.49,32.0,49.0,45.0,3.0
2023-10-31,58.99,80.0,49.0,63.0,0.0
