scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,8.03,13.0,37.0,0.0,16.0
2023-09-05,11.62,28.0,37.0,0.0,16.0
2023-09-06,12.24,28.0,37.0,0.0,16.0
2023-09-07,9.25,17.0,37.0,0.0,16.0
2023-09-08,9.13,17.0,37.0,0.0,16.0
2023-09-11,20.78,55.0,37.0,8.0,16.0
2023-09-12,9.76,23.0,37.0,0.0,16.0
2023-09-13,9.99,23.0,37.0,0.0,16.0
2023-09-14,9.18,17.0,37.0,0.0,16.0
2023-09-15,9.1,18.0,37.0,0.0,16.0
2023-09-18,11.28,28.0,37.0,0.0,16.0
2023-09-20,9.89,22.0,37.0,0.0,16.0
2023-09-21,7.06,12.0,37.0,0.0,16.0
2023-09-22,8.3,17.0,37.0,0.0,16.0
2023-09-25,7.78,13.0,37.0,0.0,16.0
2023-09-26,12.49,32.0,37.0,0.0,16.0
2023-09-27,7.81,13.0,37.0,0.0,16.0
2023-09-28,7.72,13.0,37.0,0.0,16.0
2023-09-29,7.73,13.0,37.0,0.0,16.0
2023-10-03,11.45,18.0,37.0,10.0,16.0
2023-10-04,10.98,18.0,37.0,10.0,16.0
2023-10-05,11.11,18.0,37.0,10.0,16.0
2023-10-06,13.58,28.0,37.0,10.0,16.0
2023-10-09,8.92,13.0,37.0,10.0,16.0
2023-10-10,10.58,18.0,37.0,10.0,16.0
2023-10-11,10.61,18.0,37.0,10.0,16.0
2023-10-12,10.96,18.0,37.0,10.0,16.0
2023-10-13,11.27,19.0,37.0,10.0,16.0
2023-10-16,23.46,60.0,37.0,18.0,16.0
2023-10-17,36.02,47.0,37.0,80.0,16.0
2023-10-18,28.71,50.0,37.0,48.0,16.0
2023-10-19,25.96,40.0,37.0,48.0,16.0
2023-10-20,21.49,35.0,37.0,48.0,19.0
2023-10-23,1.49,17.0,37.0,0.0,21.0
2023-10-25,17.82,45.0,37.0,18.0,16.0
2023-10-26,16.79,40.0,37.0,18.0,16.0
2023-10-27,14.25,40.0,37.0,18.0,19.0
2023-10-30,18.58,45.0,37.0,18.0,16.0
2023-10-31,12.93,35.0,37.0,18.0,19.0
2023-11-01,13.83,27.0,37.0,18.0,16.0
2023-11-02,25.52,55.0,37.0,35.0,16.0
2023-11-03,23.02,45.0,37.0,35.0,16.0
2023-11-06,20.98,35.0,37.0,35.0,16.0
2023-11-07,29.93,50.0,37.0,55.0,16.0
2023-11-08,34.93,55.0,37.0,70.0,16.0
2023-11-09,20.96,35.0,37.0,35.0,16.0
2023-11-10,22.02,40.0,37.0,35.0,16.0
2023-11-13,24.76,50.0,37.0,35.0,16.0
2023-11-15,19.24,35.0,37.0,28.0,16.0
2023-11-16,15.93,40.0,37.0,10.0,16.0
2023-11-17,16.55,35.0,37.0,18.0,16.0
2023-11-20,47.95,75.0,37.0,70.0,8.0
2023-11-21,45.7,65.0,37.0,70.0,8.0
2023-11-22,30.14,35.0,37.0,70.0,16.0
2023-11-23,43.79,55.0,37.0,70.0,8.0
2023-11-24,47.13,70.0,37.0,70.0,8.0
2023-11-28,44.68,60.0,37.0,70.0,8.0
2023-11-29,34.1,50.0,37.0,38.0,8.0
2023-11-30,33.92,50.0,37.0,38.0,8.0
2023-12-01,32.78,50.0,37.0,45.0,11.0
2023-12-04,31.11,50.0,37.0,38.0,11.0
2023-12-05,37.72,65.0,37.0,38.0,8.0
2023-12-06,50.51,75.0,37.0,80.0,8.0
2023-12-07,52.31,62.0,37.0,100.0,8.0
2023-12-08,51.82,62.0,37.0,100.0,8.0
2023-12-11,46.95,42.0,37.0,100.0,8.0
2023-12-12,42.67,50.0,37.0,95.0,13.0
2023-12-13,40.97,50.0,37.0,80.0,11.0
2023-12-14,48.62,60.0,37.0,100.0,11.0
2023-12-15,44.74,50.0,37.0,95.0,11.0
2023-12-18,41.13,50.0,37.0,80.0,11.0
2023-12-19,38.54,50.0,37.0,70.0,11.0
2023-12-20,37.74,50.0,37.0,70.0,11.0
2023-12-21,43.27,60.0,37.0,80.0,11.0
2023-12-22,40.74,50.0,37.0,80.0,11.0
2023-12-26,38.35,50.0,37.0,70.0,11.0
2023-12-27,39.45,55.0,37.0,70.0,11.0
2023-12-28,40.67,50.0,37.0,80.0,11.0
2023-12-29,41.0,50.0,37.0,80.0,11.0
2024-01-01,42.38,55.0,37.0,80.0,11.0
2024-01-02,42.35,55.0,37.0,80.0,11.0
2024-01-03,48.78,60.0,37.0,100.0,11.0
2024-01-04,48.88,60.0,37.0,100.0,11.0
2024-01-05,38.94,50.0,37.0,70.0,11.0
2024-01-08,38.89,50.0,37.0,70.0,11.0
2024-01-09,38.8,50.0,37.0,70.0,11.0
2024-01-10,43.16,55.0,37.0,70.0,8.0
2024-01-11,42.02,50.0,37.0,70.0,8.0
2024-01-12,42.03,50.0,37.0,70.0,8.0
2024-01-15,41.86,50.0,37.0,70.0,8.0
2024-01-16,39.7,42.0,37.0,70.0,8.0
2024-01-17,29.78,38.0,37.0,35.0,8.0
2024-01-18,32.37,47.0,37.0,35.0,8.0
2024-01-19,23.34,38.0,37.0,20.0,11.0
2024-01-23,37.97,47.0,37.0,60.0,8.0
2024-01-24,32.36,23.0,37.0,60.0,8.0
2024-01-25,30.19,28.0,37.0,45.0,8.0
2024-01-29,25.46,23.0,37.0,30.0,8.0
2024-01-30,26.57,28.0,37.0,30.0,8.0
2024-01-31,28.17,33.0,37.0,30.0,8.0
2024-02-01,26.75,28.0,37.0,30.0,8.0
2024-02-02,26.7,28.0,37.0,30.0,8.0
2024-02-05,23.61,28.0,37.0,20.0,8.0
2024-02-06,22.57,23.0,37.0,20.0,8.0
2024-02-07,25.14,33.0,37.0,20.0,8.0
2024-02-08,23.45,28.0,37.0,20.0,8.0
2024-02-09,21.87,23.0,37.0,20.0,8.0
2024-02-12,21.2,23.0,37.0,20.0,8.0
2024-02-13,19.99,19.0,37.0,20.0,8.0
2024-02-14,25.14,38.0,37.0,20.0,8.0
2024-02-15,21.43,23.0,37.0,20.0,8.0
2024-02-16,19.62,28.0,37.0,20.0,11.0
2024-02-19,22.84,28.0,37.0,20.0,8.0
2024-02-20,16.05,23.0,37.0,10.0,11.0
2024-02-21,21.53,23.0,37.0,20.0,8.0
2024-02-22,22.66,28.0,37.0,20.0,8.0
2024-02-23,21.59,23.0,37.0,20.0,8.0
2024-02-26,21.38,23.0,37.0,20.0,8.0
2024-02-27,18.61,23.0,37.0,10.0,8.0
2024-02-28,20.64,23.0,37.0,20.0,8.0
2024-02-29,17.83,23.0,37.0,20.0,11.0
2024-03-01,24.91,38.0,37.0,20.0,8.0
2024-03-04,22.38,28.0,37.0,20.0,8.0
2024-03-05,20.5,23.0,37.0,20.0,8.0
2024-03-06,17.66,23.0,37.0,10.0,8.0
2024-03-07,17.8,23.0,37.0,10.0,8.0
2024-03-11,7.02,14.0,37.0,10.0,16.0
2024-03-12,7.94,19.0,37.0,10.0,16.0
2024-03-13,0.0,19.0,37.0,10.0,24.0
2024-03-14,10.43,28.0,37.0,10.0,16.0
2024-03-15,6.23,13.0,37.0,10.0,16.0
2024-03-18,38.32,75.0,37.0,43.0,8.0
2024-03-19,42.35,75.0,37.0,60.0,8.0
2024-03-20,24.3,65.0,37.0,18.0,13.0
2024-03-21,27.11,55.0,37.0,18.0,8.0
2024-03-22,20.27,35.0,37.0,10.0,8.0
2024-03-26,17.88,27.0,37.0,10.0,8.0
2024-03-27,17.97,27.0,37.0,10.0,8.0
2024-03-28,0.15,8.0,37.0,10.0,21.0
2024-04-01,33.34,65.0,45.0,18.0,8.0
2024-04-02,34.87,60.0,45.0,28.0,8.0
2024-04-03,32.38,50.0,45.0,28.0,8.0
2024-04-04,27.07,50.0,45.0,18.0,11.0
2024-04-05,27.18,50.0,45.0,18.0,11.0
2024-04-08,36.82,60.0,45.0,35.0,8.0
2024-04-09,29.62,50.0,45.0,28.0,11.0
2024-04-10,31.52,50.0,45.0,35.0,11.0
2024-04-12,31.35,50.0,45.0,35.0,11.0
2024-04-15,7.5,8.0,45.0,35.0,24.0
2024-04-16,26.18,37.0,45.0,28.0,11.0
2024-04-18,23.59,27.0,45.0,28.0,11.0
2024-04-19,19.2,27.0,45.0,10.0,11.0
2024-04-22,22.83,27.0,45.0,10.0,8.0
2024-04-23,24.32,32.0,45.0,10.0,8.0
2024-04-24,24.43,32.0,45.0,10.0,8.0
2024-04-25,25.14,47.0,45.0,10.0,11.0
2024-04-26,27.08,42.0,45.0,10.0,8.0
2024-04-29,22.86,27.0,45.0,18.0,11.0
2024-04-30,30.42,47.0,45.0,28.0,11.0
2024-05-02,20.5,27.0,45.0,10.0,11.0
2024-05-03,23.13,27.0,45.0,10.0,8.0
2024-05-06,9.79,8.0,45.0,10.0,16.0
2024-05-07,9.67,8.0,45.0,10.0,16.0
2024-05-08,33.6,70.0,45.0,10.0,8.0
2024-05-09,4.46,8.0,45.0,10.0,21.0
2024-05-10,10.83,13.0,45.0,10.0,16.0
2024-05-13,9.32,8.0,45.0,10.0,16.0
2024-05-14,12.06,17.0,45.0,10.0,16.0
2024-05-15,9.04,17.0,45.0,10.0,19.0
2024-05-16,7.44,8.0,45.0,0.0,16.0
2024-05-17,12.53,17.0,45.0,10.0,16.0
2024-05-21,11.14,12.0,45.0,10.0,16.0
2024-05-22,13.32,22.0,45.0,10.0,16.0
2024-05-23,28.19,50.0,45.0,10.0,8.0
2024-05-24,10.56,12.0,45.0,10.0,16.0
2024-05-27,10.23,12.0,45.0,10.0,16.0
2024-05-28,6.45,8.0,45.0,0.0,16.0
2024-05-29,4.77,13.0,45.0,0.0,19.0
2024-05-30,8.73,18.0,45.0,0.0,16.0
2024-05-31,9.97,22.0,45.0,0.0,16.0
2024-06-03,14.62,40.0,45.0,0.0,16.0
2024-06-04,3.23,18.0,45.0,0.0,21.0
2024-06-05,16.04,37.0,45.0,8.0,16.0
2024-06-06,10.38,12.0,45.0,10.0,16.0
2024-06-07,16.8,27.0,45.0,18.0,16.0
2024-06-10,17.5,30.0,45.0,18.0,16.0
2024-06-11,10.94,12.0,45.0,8.0,16.0
2024-06-12,16.66,25.0,45.0,18.0,16.0
2024-06-13,36.63,70.0,45.0,18.0,8.0
2024-06-14,46.06,75.0,45.0,50.0,8.0
2024-06-18,47.38,70.0,45.0,60.0,8.0
2024-06-19,41.01,55.0,45.0,50.0,8.0
2024-06-20,33.01,55.0,45.0,18.0,8.0
2024-06-21,34.48,60.0,45.0,18.0,8.0
2024-06-24,31.91,50.0,45.0,18.0,8.0
2024-06-25,31.28,50.0,45.0,28.0,11.0
2024-06-26,28.6,50.0,45.0,18.0,11.0
2024-06-27,25.57,50.0,45.0,8.0,11.0
2024-06-28,28.4,50.0,45.0,18.0,11.0
2024-07-01,30.22,55.0,45.0,18.0,11.0
2024-07-02,38.48,65.0,45.0,28.0,8.0
