scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,53.97,65.0,48.0,98.0,12.0
2023-09-05,45.52,42.0,48.0,88.0,12.0
2023-09-06,45.63,42.0,48.0,98.0,15.0
2023-09-07,41.91,27.0,48.0,88.0,12.0
2023-09-08,44.53,47.0,48.0,88.0,15.0
2023-09-11,39.3,27.0,48.0,88.0,15.0
2023-09-12,31.63,38.0,48.0,60.0,17.0
2023-09-13,38.52,33.0,48.0,70.0,12.0
2023-09-14,43.65,52.0,48.0,70.0,12.0
2023-09-15,52.16,65.0,48.0,88.0,12.0
2023-09-18,30.8,27.0,48.0,45.0,12.0
2023-09-20,29.51,23.0,48.0,45.0,12.0
2023-09-21,27.88,28.0,48.0,45.0,15.0
2023-09-22,31.48,32.0,48.0,45.0,12.0
2023-09-25,28.37,32.0,48.0,45.0,15.0
2023-09-26,24.9,27.0,48.0,35.0,15.0
2023-09-27,28.8,32.0,48.0,45.0,15.0
2023-09-28,28.89,32.0,48.0,45.0,15.0
2023-09-29,25.02,27.0,48.0,35.0,15.0
2023-10-03,39.1,70.0,48.0,35.0,12.0
2023-10-04,44.22,85.0,48.0,43.0,12.0
2023-10-05,44.48,65.0,48.0,63.0,12.0
2023-10-06,50.12,75.0,48.0,73.0,12.0
2023-10-09,50.21,80.0,48.0,73.0,12.0
2023-10-10,51.38,80.0,48.0,73.0,12.0
2023-10-11,46.35,70.0,48.0,63.0,12.0
2023-10-12,49.17,70.0,48.0,73.0,12.0
2023-10-13,47.12,65.0,48.0,73.0,12.0
2023-10-16,43.4,60.0,48.0,63.0,12.0
2023-10-17,41.19,60.0,48.0,63.0,15.0
2023-10-18,44.71,65.0,48.0,73.0,15.0
2023-10-19,38.12,27.0,48.0,73.0,12.0
2023-10-20,33.67,23.0,48.0,63.0,12.0
2023-10-23,26.63,28.0,48.0,35.0,12.0
2023-10-25,26.22,28.0,48.0,35.0,12.0
2023-10-26,24.9,23.0,48.0,35.0,12.0
2023-10-27,26.63,28.0,48.0,35.0,12.0
2023-10-30,26.69,28.0,48.0,35.0,12.0
2023-10-31,22.38,23.0,48.0,35.0,15.0
2023-11-01,23.78,28.0,48.0,35.0,15.0
2023-11-02,27.92,32.0,48.0,45.0,15.0
2023-11-03,44.37,85.0,48.0,45.0,12.0
2023-11-06,39.48,65.0,48.0,45.0,12.0
2023-11-07,38.24,60.0,48.0,45.0,12.0
2023-11-08,39.97,65.0,48.0,45.0,12.0
2023-11-09,52.87,72.0,48.0,88.0,12.0
2023-11-10,55.44,72.0,48.0,100.0,12.0
2023-11-13,52.17,57.0,48.0,100.0,12.0
2023-11-15,50.3,47.0,48.0,100.0,12.0
2023-11-16,55.23,67.0,48.0,100.0,12.0
2023-11-17,53.88,62.0,48.0,100.0,12.0
2023-11-20,56.18,72.0,48.0,100.0,12.0
2023-11-21,50.01,47.0,48.0,100.0,12.0
2023-11-22,50.25,47.0,48.0,100.0,12.0
2023-11-23,48.36,52.0,48.0,100.0,15.0
2023-11-24,51.28,52.0,48.0,100.0,12.0
2023-11-28,50.16,47.0,48.0,100.0,12.0
2023-11-29,50.44,47.0,48.0,100.0,12.0
2023-11-30,53.26,60.0,48.0,100.0,12.0
2023-12-01,50.57,60.0,48.0,100.0,15.0
2023-12-04,53.23,57.0,48.0,100.0,12.0
2023-12-05,51.72,52.0,48.0,100.0,12.0
2023-12-06,50.82,60.0,48.0,100.0,15.0
2023-12-07,51.14,60.0,48.0,100.0,15.0
2023-12-08,50.82,60.0,48.0,100.0,15.0
2023-12-11,56.08,67.0,48.0,100.0,12.0
2023-12-12,57.17,72.0,48.0,100.0,12.0
2023-12-13,52.09,52.0,48.0,100.0,12.0
2023-12-14,50.4,47.0,48.0,100.0,12.0
2023-12-15,50.34,47.0,48.0,100.0,12.0
2023-12-18,54.38,62.0,48.0,100.0,12.0
2023-12-19,53.9,65.0,48.0,95.0,12.0
2023-12-20,50.25,60.0,48.0,88.0,12.0
2023-12-21,55.94,80.0,48.0,88.0,12.0
2023-12-22,57.71,80.0,48.0,95.0,12.0
2023-12-26,50.97,60.0,48.0,88.0,12.0
2023-12-27,54.56,75.0,48.0,88.0,12.0
2023-12-28,58.83,85.0,48.0,95.0,12.0
2023-12-29,60.52,85.0,48.0,100.0,12.0
2024-01-01,56.84,70.0,48.0,100.0,12.0
2024-01-02,54.14,60.0,48.0,100.0,12.0
2024-01-03,51.01,60.0,48.0,100.0,15.0
2024-01-04,52.48,65.0,48.0,100.0,15.0
2024-01-05,55.45,65.0,48.0,100.0,12.0
2024-01-08,53.99,60.0,48.0,100.0,12.0
2024-01-09,52.43,65.0,48.0,100.0,15.0
2024-01-10,52.13,65.0,48.0,88.0,12.0
2024-01-11,56.59,70.0,48.0,100.0,12.0
2024-01-12,55.25,65.0,48.0,100.0,12.0
2024-01-15,50.87,60.0,48.0,100.0,15.0
2024-01-16,46.09,60.0,48.0,88.0,17.0
2024-01-17,51.56,65.0,48.0,98.0,15.0
2024-01-18,51.34,60.0,48.0,100.0,15.0
2024-01-19,51.98,65.0,48.0,98.0,15.0
2024-01-23,56.76,75.0,48.0,98.0,12.0
2024-01-24,55.58,65.0,48.0,100.0,12.0
2024-01-25,55.5,65.0,48.0,100.0,12.0
2024-01-29,55.02,62.0,48.0,100.0,12.0
2024-01-30,53.83,57.0,48.0,100.0,12.0
2024-01-31,56.06,67.0,48.0,100.0,12.0
2024-02-01,57.43,72.0,48.0,100.0,12.0
2024-02-02,50.42,57.0,48.0,100.0,15.0
2024-02-05,50.52,57.0,48.0,100.0,15.0
2024-02-06,57.51,72.0,48.0,100.0,12.0
2024-02-07,53.44,57.0,48.0,100.0,12.0
2024-02-08,53.66,57.0,48.0,100.0,12.0
2024-02-09,53.33,57.0,48.0,100.0,12.0
2024-02-12,50.42,50.0,48.0,100.0,12.0
2024-02-13,50.56,50.0,48.0,100.0,12.0
2024-02-14,55.99,70.0,48.0,100.0,12.0
2024-02-15,53.31,70.0,48.0,100.0,15.0
2024-02-16,52.47,70.0,48.0,100.0,15.0
2024-02-19,49.35,57.0,48.0,100.0,15.0
2024-02-20,53.28,62.0,48.0,100.0,12.0
2024-02-21,48.82,57.0,48.0,100.0,15.0
2024-02-22,51.76,57.0,48.0,100.0,12.0
2024-02-23,48.72,57.0,48.0,100.0,15.0
2024-02-26,53.02,62.0,48.0,100.0,12.0
2024-02-27,48.62,47.0,48.0,100.0,12.0
2024-02-28,51.44,60.0,48.0,100.0,12.0
2024-02-29,58.19,85.0,48.0,100.0,12.0
2024-03-01,55.45,75.0,48.0,100.0,12.0
2024-03-04,54.26,70.0,48.0,100.0,12.0
2024-03-05,50.57,60.0,48.0,98.0,12.0
2024-03-06,54.61,75.0,48.0,100.0,12.0
2024-03-07,52.24,65.0,48.0,100.0,12.0
2024-03-11,51.0,60.0,48.0,100.0,12.0
2024-03-12,50.66,60.0,48.0,100.0,12.0
2024-03-13,45.53,42.0,48.0,100.0,12.0
2024-03-14,48.37,52.0,48.0,100.0,12.0
2024-03-15,44.02,48.0,48.0,88.0,12.0
2024-03-18,41.99,52.0,48.0,88.0,15.0
2024-03-19,45.39,55.0,48.0,88.0,12.0
2024-03-20,37.52,42.0,48.0,70.0,12.0
2024-03-21,39.84,60.0,48.0,70.0,15.0
2024-03-22,38.27,42.0,48.0,70.0,12.0
2024-03-26,35.38,42.0,48.0,70.0,15.0
2024-03-27,36.61,47.0,48.0,70.0,15.0
2024-03-28,38.39,42.0,48.0,70.0,12.0
2024-04-01,47.74,60.0,59.0,70.0,12.0
2024-04-02,55.02,75.0,59.0,70.0,9.0
2024-04-03,51.59,60.0,59.0,70.0,9.0
2024-04-04,51.98,60.0,59.0,70.0,9.0
2024-04-05,57.21,60.0,59.0,88.0,9.0
2024-04-08,60.66,75.0,59.0,88.0,9.0
2024-04-09,61.44,80.0,59.0,88.0,9.0
2024-04-10,56.48,60.0,59.0,88.0,9.0
2024-04-12,63.8,80.0,59.0,98.0,9.0
2024-04-15,61.31,70.0,59.0,98.0,9.0
2024-04-16,62.11,70.0,59.0,100.0,9.0
2024-04-18,65.52,85.0,59.0,100.0,9.0
2024-04-19,61.8,70.0,59.0,100.0,9.0
2024-04-22,62.32,70.0,59.0,100.0,9.0
2024-04-23,59.43,70.0,59.0,100.0,12.0
2024-04-24,63.04,72.0,59.0,100.0,9.0
2024-04-25,60.24,62.0,59.0,100.0,9.0
2024-04-26,57.03,60.0,59.0,100.0,12.0
2024-04-29,57.16,60.0,59.0,100.0,12.0
2024-04-30,57.03,60.0,59.0,100.0,12.0
2024-05-02,64.91,80.0,59.0,100.0,9.0
2024-05-03,62.06,70.0,59.0,100.0,9.0
2024-05-06,64.21,80.0,59.0,100.0,9.0
2024-05-07,63.44,80.0,59.0,100.0,9.0
2024-05-08,61.44,70.0,59.0,100.0,9.0
2024-05-09,57.52,60.0,59.0,98.0,9.0
2024-05-10,57.74,60.0,59.0,98.0,9.0
2024-05-13,50.11,42.0,59.0,88.0,9.0
2024-05-14,57.97,70.0,59.0,98.0,12.0
2024-05-15,61.21,70.0,59.0,100.0,9.0
2024-05-16,59.19,60.0,59.0,100.0,9.0
2024-05-17,59.07,60.0,59.0,98.0,9.0
2024-05-21,60.82,65.0,59.0,100.0,9.0
2024-05-22,55.63,60.0,59.0,88.0,9.0
2024-05-23,52.55,65.0,59.0,70.0,9.0
2024-05-24,48.39,60.0,59.0,70.0,12.0
2024-05-27,43.64,42.0,59.0,60.0,9.0
2024-05-28,38.3,38.0,59.0,45.0,9.0
2024-05-29,40.75,47.0,59.0,45.0,9.0
2024-05-30,31.28,23.0,59.0,35.0,9.0
2024-05-31,41.66,52.0,59.0,45.0,9.0
2024-06-03,46.6,65.0,59.0,45.0,9.0
2024-06-04,33.69,23.0,59.0,45.0,9.0
2024-06-05,32.72,28.0,59.0,35.0,9.0
2024-06-06,40.96,47.0,59.0,45.0,9.0
2024-06-07,47.61,70.0,59.0,45.0,9.0
2024-06-10,36.25,27.0,59.0,45.0,9.0
2024-06-11,46.76,47.0,59.0,63.0,9.0
2024-06-12,52.81,70.0,59.0,63.0,9.0
2024-06-13,45.82,60.0,59.0,45.0,9.0
2024-06-14,45.96,60.0,59.0,45.0,9.0
2024-06-18,41.27,27.0,59.0,60.0,9.0
2024-06-19,40.33,27.0,59.0,70.0,12.0
2024-06-20,40.76,27.0,59.0,70.0,12.0
2024-06-21,37.36,27.0,59.0,45.0,9.0
2024-06-24,33.54,23.0,59.0,45.0,12.0
2024-06-25,33.37,23.0,59.0,45.0,12.0
2024-06-26,33.39,23.0,59.0,45.0,12.0
2024-06-27,36.54,23.0,59.0,45.0,9.0
2024-06-28,54.57,60.0,59.0,78.0,9.0
2024-07-01,39.59,32.0,59.0,45.0,9.0
2024-07-02,38.17,27.0,59.0,45.0,9.0
2024-07-03,51.06,60.0,59.0,63.0,9.0
2024-07-04,42.47,27.0,59.0,63.0,9.0
2024-07-05,42.89,27.0,59.0,63.0,9.0
2024-07-08,53.64,70.0,59.0,63.0,9.0
2024-07-09,56.38,80.0,59.0,63.0,9.0
2024-07-10,50.8,60.0,59.0,63.0,9.0
2024-07-11,47.52,65.0,59.0,45.0,9.0
2024-07-12,50.2,60.0,59.0,63.0,9.0
2024-07-15,57.09,85.0,59.0,63.0,9.0
2024-07-16,62.93,72.0,59.0,100.0,9.0
2024-07-18,62.78,72.0,59.0,100.0,9.0
2024-07-19,54.64,65.0,59.0,80.0,9.0
2024-07-22,56.06,75.0,59.0,73.0,9.0
