scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,64.62,65.0,53.0,88.0,0.0
2023-09-05,64.64,65.0,53.0,88.0,0.0
2023-09-06,64.54,65.0,53.0,88.0,0.0
2023-09-07,65.73,70.0,53.0,88.0,0.0
2023-09-08,68.43,80.0,53.0,88.0,0.0
2023-09-11,69.06,72.0,53.0,98.0,0.0
2023-09-12,59.92,70.0,53.0,88.0,5.0
2023-09-13,65.34,70.0,53.0,88.0,0.0
2023-09-14,64.34,65.0,53.0,88.0,0.0
2023-09-15,63.14,60.0,53.0,88.0,0.0
2023-09-18,69.13,85.0,53.0,88.0,0.0
2023-09-20,71.51,85.0,53.0,98.0,0.0
2023-09-21,64.0,65.0,53.0,88.0,0.0
2023-09-22,64.06,65.0,53.0,88.0,0.0
2023-09-25,70.96,80.0,53.0,100.0,0.0
2023-09-26,65.37,60.0,53.0,98.0,0.0
2023-09-27,62.6,60.0,53.0,98.0,3.0
2023-09-28,67.17,65.0,53.0,100.0,0.0
2023-09-29,63.15,60.0,53.0,100.0,3.0
2023-10-03,64.5,65.0,53.0,100.0,3.0
2023-10-04,62.81,60.0,53.0,100.0,3.0
2023-10-05,64.39,65.0,53.0,100.0,3.0
2023-10-06,64.48,65.0,53.0,100.0,3.0
2023-10-09,62.11,60.0,53.0,98.0,3.0
2023-10-10,63.79,65.0,53.0,98.0,3.0
2023-10-11,53.1,60.0,53.0,60.0,3.0
2023-10-12,64.34,65.0,53.0,98.0,3.0
2023-10-13,64.29,65.0,53.0,98.0,3.0
2023-10-16,63.02,60.0,53.0,98.0,3.0
2023-10-17,64.41,65.0,53.0,98.0,3.0
2023-10-18,63.48,70.0,53.0,78.0,0.0
2023-10-19,51.85,42.0,53.0,60.0,0.0
2023-10-20,51.82,42.0,53.0,60.0,0.0
2023-10-23,47.13,28.0,53.0,60.0,0.0
2023-10-25,48.02,33.0,53.0,60.0,0.0
2023-10-26,46.79,28.0,53.0,60.0,0.0
2023-10-27,60.33,80.0,53.0,60.0,0.0
2023-10-30,46.97,27.0,53.0,60.0,0.0
2023-10-31,47.0,27.0,53.0,60.0,0.0
2023-11-01,53.16,52.0,53.0,60.0,0.0
2023-11-02,44.92,38.0,53.0,60.0,5.0
2023-11-03,45.11,33.0,53.0,45.0,0.0
2023-11-06,42.57,23.0,53.0,45.0,0.0
2023-11-07,43.83,28.0,53.0,45.0,0.0
2023-11-08,43.85,38.0,53.0,35.0,0.0
2023-11-09,43.6,28.0,53.0,45.0,0.0
2023-11-10,36.92,23.0,53.0,35.0,3.0
2023-11-13,45.11,42.0,53.0,35.0,0.0
2023-11-15,45.08,32.0,53.0,45.0,0.0
2023-11-16,40.72,27.0,53.0,45.0,3.0
2023-11-17,40.28,23.0,53.0,35.0,0.0
2023-11-20,39.58,32.0,53.0,35.0,3.0
2023-11-21,39.57,32.0,53.0,35.0,3.0
2023-11-22,40.37,23.0,53.0,35.0,0.0
2023-11-23,37.54,23.0,53.0,35.0,3.0
2023-11-24,40.55,23.0,53.0,35.0,0.0
2023-11-28,40.44,23.0,53.0,35.0,0.0
2023-11-29,41.59,28.0,53.0,35.0,0.0
2023-11-30,45.0,42.0,53.0,35.0,0.0
2023-12-01,41.28,27.0,53.0,35.0,0.0
2023-12-04,51.07,37.0,53.0,63.0,0.0
2023-12-05,54.16,50.0,53.0,63.0,0.0
2023-12-06,48.39,27.0,53.0,63.0,0.0
2023-12-07,43.46,27.0,53.0,43.0,0.0
2023-12-08,47.19,42.0,53.0,43.0,0.0
2023-12-11,51.84,60.0,53.0,43.0,0.0
2023-12-12,62.96,85.0,53.0,63.0,0.0
2023-12-13,54.59,72.0,53.0,43.0,0.0
2023-12-14,59.32,70.0,53.0,63.0,0.0
2023-12-15,56.87,60.0,53.0,63.0,0.0
2023-12-18,58.63,60.0,53.0,70.0,0.0
2023-12-19,56.65,60.0,53.0,63.0,0.0
2023-12-20,50.88,60.0,53.0,43.0,0.0
2023-12-21,52.53,65.0,53.0,43.0,0.0
2023-12-22,52.5,70.0,53.0,50.0,3.0
2023-12-26,50.0,60.0,53.0,50.0,3.0
2023-12-27,49.97,60.0,53.0,50.0,3.0
2023-12-28,52.45,65.0,53.0,43.0,0.0
2023-12-29,48.2,60.0,53.0,43.0,3.0
2024-01-01,52.92,65.0,53.0,43.0,0.0
2024-01-02,42.13,60.0,53.0,18.0,3.0
2024-01-03,46.52,65.0,53.0,18.0,0.0
2024-01-04,47.94,65.0,53.0,33.0,3.0
2024-01-05,46.94,65.0,53.0,18.0,0.0
2024-01-08,45.48,60.0,53.0,18.0,0.0
2024-01-09,53.12,70.0,53.0,38.0,0.0
2024-01-10,50.49,65.0,53.0,33.0,0.0
2024-01-11,63.32,85.0,53.0,63.0,0.0
2024-01-12,64.33,72.0,53.0,80.0,0.0
2024-01-15,63.01,67.0,53.0,80.0,0.0
2024-01-16,59.26,52.0,53.0,80.0,0.0
2024-01-17,58.79,52.0,53.0,80.0,0.0
2024-01-18,61.85,62.0,53.0,80.0,0.0
2024-01-19,59.59,52.0,53.0,80.0,0.0
