scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,53.43,70.0,23.0,98.0,4.0
2023-09-06,49.76,55.0,23.0,98.0,4.0
2023-09-07,45.59,50.0,23.0,98.0,7.0
2023-09-08,49.87,55.0,23.0,98.0,4.0
2023-09-11,46.8,55.0,23.0,98.0,7.0
2023-09-12,45.11,50.0,23.0,88.0,4.0
2023-09-13,43.66,55.0,23.0,88.0,7.0
2023-09-14,42.63,50.0,23.0,88.0,7.0
2023-09-15,36.37,50.0,23.0,63.0,7.0
2023-09-18,42.93,55.0,23.0,73.0,4.0
2023-09-20,36.05,50.0,23.0,63.0,7.0
2023-09-21,36.81,42.0,23.0,63.0,4.0
2023-09-22,32.08,23.0,23.0,63.0,4.0
2023-09-25,31.24,32.0,23.0,63.0,7.0
2023-09-26,34.34,32.0,23.0,63.0,4.0
2023-09-27,34.59,33.0,23.0,63.0,4.0
2023-09-28,25.82,28.0,23.0,45.0,7.0
2023-09-29,28.98,28.0,23.0,45.0,4.0
2023-10-03,22.41,23.0,23.0,35.0,7.0
2023-10-04,28.75,23.0,23.0,50.0,4.0
2023-10-05,23.42,28.0,23.0,35.0,7.0
2023-10-06,24.63,32.0,23.0,35.0,7.0
2023-10-09,21.6,23.0,23.0,35.0,7.0
2023-10-10,28.54,37.0,23.0,35.0,4.0
2023-10-11,30.71,45.0,23.0,35.0,4.0
2023-10-12,45.67,75.0,23.0,63.0,4.0
2023-10-13,41.82,70.0,23.0,53.0,4.0
2023-10-16,45.56,75.0,23.0,63.0,4.0
2023-10-17,40.75,55.0,23.0,63.0,4.0
2023-10-18,34.76,60.0,23.0,35.0,4.0
2023-10-19,34.39,55.0,23.0,38.0,4.0
2023-10-20,37.94,60.0,23.0,48.0,4.0
2023-10-23,24.74,42.0,23.0,18.0,4.0
2023-10-25,46.63,70.0,23.0,78.0,4.0
2023-10-26,37.96,50.0,23.0,63.0,4.0
2023-10-27,45.91,65.0,23.0,78.0,4.0
2023-10-30,47.08,70.0,23.0,78.0,4.0
2023-10-31,45.81,55.0,23.0,88.0,4.0
2023-11-01,40.71,50.0,23.0,73.0,4.0
2023-11-02,40.14,47.0,23.0,73.0,4.0
2023-11-03,42.28,55.0,23.0,73.0,4.0
2023-11-06,38.1,50.0,23.0,73.0,7.0
2023-11-07,53.56,72.0,23.0,100.0,4.0
2023-11-08,53.34,72.0,23.0,100.0,4.0
2023-11-09,47.67,70.0,23.0,100.0,9.0
2023-11-10,47.01,60.0,23.0,88.0,4.0
2023-11-13,48.5,70.0,23.0,95.0,7.0
2023-11-15,44.92,60.0,23.0,78.0,4.0
2023-11-16,56.57,85.0,23.0,100.0,4.0
2023-11-17,50.39,60.0,23.0,100.0,4.0
2023-11-20,51.74,65.0,23.0,100.0,4.0
2023-11-21,46.34,60.0,23.0,95.0,7.0
2023-11-22,53.29,70.0,23.0,100.0,4.0
2023-11-23,50.94,60.0,23.0,100.0,4.0
2023-11-24,50.97,60.0,23.0,100.0,4.0
2023-11-28,52.07,65.0,23.0,100.0,4.0
2023-11-29,48.91,65.0,23.0,100.0,7.0
2023-11-30,55.79,80.0,23.0,100.0,4.0
2023-12-01,50.73,60.0,23.0,100.0,4.0
2023-12-04,49.02,65.0,23.0,100.0,7.0
2023-12-05,45.53,60.0,23.0,80.0,4.0
2023-12-06,46.25,60.0,23.0,95.0,7.0
2023-12-07,37.04,60.0,23.0,45.0,4.0
2023-12-08,33.84,60.0,23.0,45.0,7.0
2023-12-11,52.78,80.0,23.0,88.0,4.0
2023-12-12,47.62,60.0,23.0,100.0,7.0
2023-12-13,46.32,60.0,23.0,95.0,7.0
2023-12-14,48.85,65.0,23.0,100.0,7.0
2023-12-15,48.79,65.0,23.0,88.0,4.0
2023-12-18,47.72,60.0,23.0,88.0,4.0
2023-12-19,45.93,65.0,23.0,88.0,7.0
2023-12-20,31.71,42.0,23.0,78.0,12.0
2023-12-21,36.29,47.0,23.0,70.0,7.0
2023-12-22,46.75,70.0,23.0,88.0,7.0
2023-12-26,44.24,60.0,23.0,88.0,7.0
2023-12-27,35.27,42.0,23.0,70.0,7.0
2023-12-28,56.41,85.0,23.0,100.0,4.0
2023-12-29,46.05,75.0,23.0,88.0,9.0
2024-01-01,47.58,60.0,23.0,88.0,4.0
2024-01-02,47.69,60.0,23.0,88.0,4.0
2024-01-03,52.77,70.0,23.0,98.0,4.0
2024-01-04,50.5,60.0,23.0,98.0,4.0
2024-01-05,50.28,60.0,23.0,98.0,4.0
2024-01-08,55.75,80.0,23.0,100.0,4.0
2024-01-09,51.75,65.0,23.0,98.0,4.0
2024-01-10,48.92,65.0,23.0,98.0,7.0
2024-01-11,47.67,60.0,23.0,98.0,7.0
2024-01-12,45.1,60.0,23.0,88.0,7.0
2024-01-15,45.07,60.0,23.0,88.0,7.0
2024-01-16,51.61,65.0,23.0,98.0,4.0
2024-01-17,47.1,60.0,23.0,98.0,7.0
2024-01-18,47.96,60.0,23.0,100.0,7.0
2024-01-19,50.58,70.0,23.0,100.0,7.0
2024-01-23,35.06,42.0,23.0,88.0,12.0
2024-01-24,45.56,52.0,23.0,98.0,7.0
2024-01-25,49.52,65.0,23.0,100.0,7.0
2024-01-29,42.03,65.0,23.0,70.0,7.0
2024-01-30,45.28,60.0,23.0,88.0,7.0
2024-01-31,52.18,65.0,23.0,98.0,4.0
2024-02-01,51.99,65.0,23.0,98.0,4.0
2024-02-02,49.44,65.0,23.0,88.0,4.0
2024-02-05,53.95,72.0,23.0,100.0,4.0
2024-02-06,54.22,72.0,23.0,100.0,4.0
2024-02-07,53.02,67.0,23.0,100.0,4.0
2024-02-08,47.64,47.0,23.0,100.0,4.0
2024-02-09,47.28,47.0,23.0,100.0,4.0
2024-02-12,52.95,72.0,23.0,100.0,4.0
2024-02-13,52.98,72.0,23.0,100.0,4.0
2024-02-14,49.04,75.0,23.0,100.0,9.0
2024-02-15,51.53,65.0,23.0,100.0,4.0
2024-02-16,44.97,50.0,23.0,100.0,7.0
2024-02-19,45.15,50.0,23.0,100.0,7.0
2024-02-20,50.09,70.0,23.0,100.0,7.0
2024-02-21,47.48,60.0,23.0,100.0,7.0
2024-02-22,47.39,60.0,23.0,100.0,7.0
2024-02-23,47.46,60.0,23.0,100.0,7.0
2024-02-26,44.99,50.0,23.0,100.0,7.0
2024-02-27,48.51,65.0,23.0,100.0,7.0
2024-02-28,44.39,50.0,23.0,100.0,7.0
2024-02-29,44.43,50.0,23.0,100.0,7.0
2024-03-01,45.85,55.0,23.0,100.0,7.0
2024-03-04,45.75,55.0,23.0,100.0,7.0
2024-03-05,36.72,50.0,23.0,70.0,7.0
2024-03-06,34.14,42.0,23.0,70.0,7.0
2024-03-07,38.86,60.0,23.0,70.0,7.0
2024-03-11,38.34,42.0,23.0,88.0,7.0
2024-03-12,33.49,42.0,23.0,70.0,7.0
2024-03-13,31.94,38.0,23.0,70.0,7.0
2024-03-14,40.32,57.0,23.0,70.0,4.0
2024-03-15,32.38,38.0,23.0,70.0,7.0
2024-03-18,41.61,62.0,23.0,70.0,4.0
2024-03-19,33.32,42.0,23.0,70.0,7.0
2024-03-20,35.85,52.0,23.0,70.0,7.0
2024-03-21,39.22,52.0,23.0,70.0,4.0
2024-03-22,37.85,47.0,23.0,70.0,4.0
2024-03-26,36.35,42.0,23.0,70.0,4.0
2024-03-27,42.71,67.0,23.0,70.0,4.0
2024-03-28,39.77,55.0,23.0,70.0,4.0
2024-04-01,47.47,65.0,45.0,88.0,12.0
2024-04-02,45.15,55.0,45.0,88.0,12.0
2024-04-03,49.21,70.0,45.0,88.0,12.0
2024-04-04,49.22,70.0,45.0,88.0,12.0
2024-04-05,50.46,65.0,45.0,98.0,12.0
2024-04-08,49.18,60.0,45.0,98.0,12.0
2024-04-09,50.31,65.0,45.0,98.0,12.0
2024-04-10,47.93,65.0,45.0,100.0,15.0
2024-04-12,49.68,60.0,45.0,100.0,12.0
2024-04-15,46.95,50.0,45.0,100.0,12.0
2024-04-16,45.33,55.0,45.0,100.0,15.0
2024-04-18,53.42,75.0,45.0,100.0,12.0
2024-04-19,55.66,85.0,45.0,100.0,12.0
2024-04-22,49.16,57.0,45.0,100.0,12.0
2024-04-23,52.63,70.0,45.0,100.0,12.0
2024-04-24,51.38,65.0,45.0,100.0,12.0
2024-04-25,50.45,62.0,45.0,100.0,12.0
2024-04-26,53.09,72.0,45.0,100.0,12.0
2024-04-29,51.83,67.0,45.0,100.0,12.0
2024-04-30,50.65,62.0,45.0,100.0,12.0
2024-05-02,51.64,67.0,45.0,100.0,12.0
2024-05-03,43.44,47.0,45.0,100.0,15.0
2024-05-06,42.94,47.0,45.0,100.0,15.0
2024-05-07,45.87,60.0,45.0,100.0,15.0
2024-05-08,46.03,60.0,45.0,100.0,15.0
2024-05-09,45.55,60.0,45.0,100.0,15.0
2024-05-10,44.58,60.0,45.0,95.0,15.0
2024-05-13,42.63,60.0,45.0,88.0,15.0
2024-05-14,38.49,42.0,45.0,88.0,15.0
2024-05-15,40.72,38.0,45.0,88.0,12.0
2024-05-16,34.02,38.0,45.0,73.0,15.0
2024-05-17,32.31,48.0,45.0,43.0,12.0
2024-05-21,42.72,70.0,45.0,63.0,12.0
2024-05-22,28.12,42.0,45.0,45.0,15.0
