scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,46.18,60.0,27.0,55.0,0.0
2023-09-06,41.82,55.0,27.0,55.0,3.0
2023-09-07,44.84,42.0,27.0,80.0,3.0
2023-09-08,44.86,42.0,27.0,80.0,3.0
2023-09-11,51.72,57.0,27.0,80.0,0.0
2023-09-12,41.15,50.0,27.0,60.0,3.0
2023-09-13,47.21,42.0,27.0,80.0,0.0
2023-09-14,46.85,52.0,27.0,80.0,3.0
2023-09-15,49.96,52.0,27.0,80.0,0.0
2023-09-18,51.74,60.0,27.0,80.0,0.0
2023-09-20,49.79,65.0,27.0,80.0,3.0
2023-09-21,44.04,50.0,27.0,73.0,3.0
2023-09-22,44.03,50.0,27.0,73.0,3.0
2023-09-25,44.64,50.0,27.0,63.0,0.0
2023-09-26,39.68,42.0,27.0,63.0,3.0
2023-09-27,34.15,38.0,27.0,45.0,3.0
2023-09-28,37.73,38.0,27.0,60.0,3.0
2023-09-29,35.41,43.0,27.0,45.0,3.0
2023-10-03,33.51,23.0,27.0,45.0,0.0
2023-10-04,43.23,48.0,27.0,60.0,0.0
2023-10-05,37.93,38.0,27.0,60.0,3.0
2023-10-06,43.37,47.0,27.0,60.0,0.0
2023-10-09,46.52,62.0,27.0,60.0,0.0
2023-10-10,51.47,70.0,27.0,70.0,0.0
2023-10-11,51.45,70.0,27.0,70.0,0.0
2023-10-12,50.65,65.0,27.0,70.0,0.0
2023-10-13,50.5,65.0,27.0,70.0,0.0
2023-10-16,35.07,33.0,27.0,60.0,5.0
2023-10-17,41.6,38.0,27.0,60.0,0.0
2023-10-18,38.94,28.0,27.0,60.0,0.0
2023-10-19,36.06,28.0,27.0,60.0,3.0
2023-10-20,38.95,28.0,27.0,60.0,0.0
2023-10-23,33.69,23.0,27.0,60.0,3.0
2023-10-25,30.83,28.0,27.0,45.0,3.0
2023-10-26,35.91,33.0,27.0,60.0,3.0
2023-10-27,37.34,37.0,27.0,60.0,3.0
2023-10-30,33.74,23.0,27.0,60.0,3.0
2023-10-31,36.7,23.0,27.0,60.0,0.0
2023-11-01,29.77,23.0,27.0,45.0,3.0
2023-11-02,29.97,23.0,27.0,45.0,3.0
2023-11-03,31.26,28.0,27.0,45.0,3.0
2023-11-06,34.46,28.0,27.0,45.0,0.0
2023-11-07,21.4,8.0,27.0,45.0,8.0
2023-11-08,37.01,38.0,27.0,45.0,0.0
2023-11-09,36.78,48.0,27.0,35.0,0.0
2023-11-10,30.54,23.0,27.0,35.0,0.0
2023-11-13,29.59,33.0,27.0,20.0,0.0
2023-11-15,15.42,8.0,27.0,20.0,8.0
2023-11-16,12.84,8.0,27.0,10.0,8.0
2023-11-17,14.2,23.0,27.0,0.0,8.0
2023-11-20,25.68,37.0,27.0,0.0,0.0
2023-11-21,22.37,23.0,27.0,0.0,0.0
2023-11-22,7.59,8.0,27.0,0.0,11.0
2023-11-23,7.67,8.0,27.0,0.0,11.0
2023-11-24,7.74,8.0,27.0,0.0,11.0
2023-11-28,8.92,13.0,27.0,0.0,11.0
2023-11-29,8.87,13.0,27.0,0.0,11.0
2023-11-30,10.76,8.0,27.0,0.0,8.0
2023-12-01,9.01,13.0,27.0,0.0,11.0
2023-12-04,7.7,8.0,27.0,0.0,11.0
2023-12-05,6.45,4.0,27.0,0.0,11.0
2023-12-06,14.18,23.0,27.0,0.0,8.0
2023-12-07,16.06,22.0,27.0,8.0,8.0
2023-12-08,8.35,12.0,27.0,0.0,11.0
2023-12-11,11.61,12.0,27.0,0.0,8.0
2023-12-12,10.39,8.0,27.0,0.0,8.0
2023-12-13,7.65,8.0,27.0,0.0,11.0
2023-12-14,5.75,8.0,27.0,0.0,13.0
2023-12-15,11.91,13.0,27.0,0.0,8.0
2023-12-18,11.88,13.0,27.0,0.0,8.0
2023-12-19,16.76,33.0,27.0,0.0,8.0
2023-12-20,9.66,8.0,27.0,0.0,8.0
2023-12-21,7.24,8.0,27.0,0.0,11.0
2023-12-22,5.34,8.0,27.0,0.0,13.0
2023-12-26,13.03,18.0,27.0,0.0,8.0
2023-12-27,8.72,13.0,27.0,0.0,11.0
2023-12-28,25.36,60.0,27.0,8.0,8.0
2023-12-29,22.93,50.0,27.0,8.0,8.0
2024-01-01,10.63,20.0,27.0,0.0,11.0
2024-01-02,8.5,12.0,27.0,0.0,11.0
2024-01-03,39.14,65.0,27.0,25.0,0.0
2024-01-04,10.62,27.0,27.0,0.0,13.0
2024-01-05,9.63,23.0,27.0,0.0,13.0
2024-01-08,9.42,23.0,27.0,0.0,13.0
2024-01-09,14.58,23.0,27.0,0.0,8.0
2024-01-10,14.62,23.0,27.0,0.0,8.0
2024-01-11,14.77,23.0,27.0,0.0,8.0
2024-01-12,15.96,28.0,27.0,0.0,8.0
2024-01-15,7.86,8.0,27.0,0.0,11.0
2024-01-16,7.63,8.0,27.0,0.0,11.0
2024-01-17,7.44,8.0,27.0,0.0,11.0
2024-01-18,7.67,8.0,27.0,0.0,11.0
2024-01-19,9.05,13.0,27.0,0.0,11.0
2024-01-23,2.22,8.0,27.0,0.0,16.0
2024-01-24,10.25,18.0,27.0,0.0,11.0
2024-01-25,5.9,8.0,27.0,0.0,13.0
2024-01-29,8.0,8.0,27.0,0.0,11.0
2024-01-30,11.11,9.0,27.0,0.0,8.0
2024-01-31,11.34,9.0,27.0,0.0,8.0
2024-02-01,11.19,9.0,27.0,0.0,8.0
2024-02-02,11.08,9.0,27.0,0.0,8.0
2024-02-05,13.26,18.0,27.0,0.0,8.0
2024-02-06,5.92,8.0,27.0,0.0,13.0
2024-02-07,9.86,4.0,27.0,0.0,8.0
2024-02-08,6.71,4.0,27.0,0.0,11.0
2024-02-09,15.39,28.0,27.0,0.0,8.0
2024-02-12,9.88,9.0,27.0,0.0,8.0
2024-02-13,5.56,4.0,27.0,0.0,11.0
2024-02-14,5.83,4.0,27.0,0.0,11.0
2024-02-15,9.47,18.0,27.0,0.0,11.0
2024-02-16,9.62,18.0,27.0,0.0,11.0
2024-02-19,8.57,13.0,27.0,0.0,11.0
2024-02-20,8.46,13.0,27.0,0.0,11.0
2024-02-21,6.9,8.0,27.0,0.0,11.0
2024-02-22,6.99,8.0,27.0,0.0,11.0
2024-02-23,6.96,8.0,27.0,0.0,11.0
2024-02-26,8.17,13.0,27.0,0.0,11.0
2024-02-27,8.06,13.0,27.0,0.0,11.0
2024-02-28,6.27,8.0,27.0,0.0,11.0
2024-02-29,7.63,13.0,27.0,0.0,11.0
2024-03-01,7.76,13.0,27.0,0.0,11.0
2024-03-04,6.4,8.0,27.0,0.0,11.0
2024-03-05,7.4,13.0,27.0,0.0,11.0
2024-03-06,5.58,8.0,27.0,0.0,11.0
