scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,68.86,50.0,70.0,98.0,0.0
2023-09-05,67.63,45.0,70.0,98.0,0.0
2023-09-06,60.71,27.0,70.0,88.0,0.0
2023-09-07,61.04,40.0,70.0,88.0,3.0
2023-09-08,60.82,27.0,70.0,88.0,0.0
2023-09-11,64.0,40.0,70.0,88.0,0.0
2023-09-12,54.31,27.0,70.0,78.0,3.0
2023-09-13,55.86,32.0,70.0,78.0,3.0
2023-09-14,58.58,32.0,70.0,88.0,3.0
2023-09-15,64.82,45.0,70.0,88.0,0.0
2023-09-18,67.13,80.0,70.0,63.0,0.0
2023-09-20,62.75,65.0,70.0,73.0,3.0
2023-09-21,61.26,60.0,70.0,73.0,3.0
2023-09-22,55.03,45.0,70.0,63.0,3.0
2023-09-25,45.44,27.0,70.0,43.0,3.0
2023-09-26,56.29,70.0,70.0,43.0,3.0
2023-09-27,57.54,65.0,70.0,53.0,3.0
2023-09-28,56.27,60.0,70.0,53.0,3.0
2023-09-29,55.18,65.0,70.0,43.0,3.0
2023-10-03,55.11,60.0,70.0,35.0,0.0
2023-10-04,52.95,65.0,70.0,35.0,3.0
2023-10-05,57.37,70.0,70.0,35.0,0.0
2023-10-06,57.08,60.0,70.0,43.0,0.0
2023-10-09,51.8,42.0,70.0,43.0,0.0
2023-10-10,61.74,70.0,70.0,53.0,0.0
2023-10-11,56.91,60.0,70.0,43.0,0.0
2023-10-12,59.87,60.0,70.0,53.0,0.0
2023-10-13,58.02,65.0,70.0,53.0,3.0
2023-10-16,49.01,52.0,70.0,18.0,0.0
2023-10-17,47.95,47.0,70.0,18.0,0.0
2023-10-18,45.71,47.0,70.0,10.0,0.0
2023-10-19,50.34,65.0,70.0,10.0,0.0
2023-10-20,60.89,85.0,70.0,33.0,0.0
2023-10-23,41.94,37.0,70.0,10.0,0.0
2023-10-25,40.83,33.0,70.0,10.0,0.0
2023-10-26,39.66,28.0,70.0,10.0,0.0
2023-10-27,52.36,62.0,70.0,25.0,0.0
2023-10-30,61.28,70.0,70.0,53.0,0.0
2023-10-31,66.26,80.0,70.0,63.0,0.0
2023-11-01,68.66,80.0,70.0,73.0,0.0
2023-11-02,63.84,70.0,70.0,63.0,0.0
2023-11-03,61.48,60.0,70.0,63.0,0.0
2023-11-06,74.05,85.0,70.0,88.0,0.0
2023-11-07,69.26,65.0,70.0,88.0,0.0
2023-11-08,67.79,60.0,70.0,88.0,0.0
2023-11-09,67.62,60.0,70.0,88.0,0.0
2023-11-10,64.46,60.0,70.0,88.0,3.0
2023-11-13,65.94,65.0,70.0,88.0,3.0
2023-11-15,69.12,65.0,70.0,88.0,0.0
2023-11-16,64.02,60.0,70.0,73.0,0.0
2023-11-17,69.09,65.0,70.0,88.0,0.0
2023-11-20,75.94,85.0,70.0,95.0,0.0
2023-11-21,68.04,60.0,70.0,88.0,0.0
2023-11-22,66.99,60.0,70.0,95.0,3.0
2023-11-23,72.64,70.0,70.0,95.0,0.0
2023-11-24,72.67,70.0,70.0,95.0,0.0
2023-11-28,68.27,60.0,70.0,88.0,0.0
2023-11-29,66.86,65.0,70.0,78.0,0.0
2023-11-30,76.24,85.0,70.0,95.0,0.0
2023-12-01,69.43,65.0,70.0,88.0,0.0
2023-12-04,63.72,60.0,70.0,70.0,0.0
2023-12-05,64.73,65.0,70.0,70.0,0.0
2023-12-06,61.7,60.0,70.0,63.0,0.0
2023-12-07,60.24,65.0,70.0,63.0,3.0
2023-12-08,70.54,80.0,70.0,78.0,0.0
2023-12-11,74.23,72.0,70.0,100.0,0.0
2023-12-12,71.57,62.0,70.0,100.0,0.0
2023-12-13,69.03,52.0,70.0,100.0,0.0
2023-12-14,69.05,52.0,70.0,100.0,0.0
2023-12-15,64.74,47.0,70.0,100.0,3.0
2023-12-18,67.92,47.0,70.0,100.0,0.0
2023-12-19,66.13,52.0,70.0,100.0,3.0
2023-12-20,60.91,65.0,70.0,78.0,5.0
2023-12-21,69.99,70.0,70.0,100.0,3.0
2023-12-22,68.95,65.0,70.0,100.0,3.0
2023-12-26,69.44,60.0,70.0,95.0,0.0
2023-12-27,61.47,65.0,70.0,70.0,3.0
2023-12-28,61.36,65.0,70.0,70.0,3.0
2023-12-29,52.25,60.0,70.0,38.0,3.0
2024-01-01,52.53,60.0,70.0,38.0,3.0
2024-01-02,53.89,65.0,70.0,38.0,3.0
2024-01-03,63.22,65.0,70.0,63.0,0.0
2024-01-04,63.44,65.0,70.0,63.0,0.0
2024-01-05,55.23,60.0,70.0,48.0,3.0
2024-01-08,58.95,60.0,70.0,63.0,3.0
2024-01-09,63.45,65.0,70.0,63.0,0.0
2024-01-10,61.62,75.0,70.0,45.0,0.0
2024-01-11,66.12,75.0,70.0,63.0,0.0
2024-01-12,65.3,72.0,70.0,63.0,0.0
2024-01-15,62.27,60.0,70.0,63.0,0.0
2024-01-16,60.06,70.0,70.0,45.0,0.0
2024-01-17,57.3,60.0,70.0,45.0,0.0
2024-01-18,63.41,65.0,70.0,63.0,0.0
2024-01-19,63.53,65.0,70.0,63.0,0.0
2024-01-23,58.51,65.0,70.0,45.0,0.0
2024-01-24,63.51,65.0,70.0,63.0,0.0
2024-01-25,62.47,60.0,70.0,63.0,0.0
2024-01-29,64.98,70.0,70.0,63.0,0.0
2024-01-30,61.73,57.0,70.0,63.0,0.0
2024-01-31,58.13,57.0,70.0,48.0,0.0
2024-02-01,59.94,65.0,70.0,48.0,0.0
2024-02-02,51.64,42.0,70.0,38.0,0.0
2024-02-05,44.65,33.0,70.0,20.0,0.0
2024-02-06,44.67,32.0,70.0,20.0,0.0
2024-02-07,49.96,47.0,70.0,38.0,3.0
2024-02-08,43.84,42.0,70.0,20.0,3.0
2024-02-09,43.48,27.0,70.0,35.0,3.0
2024-02-12,41.15,23.0,70.0,20.0,0.0
2024-02-13,42.43,28.0,70.0,20.0,0.0
2024-02-14,42.99,29.0,70.0,20.0,0.0
2024-02-15,43.98,33.0,70.0,20.0,0.0
2024-02-16,42.92,28.0,70.0,20.0,0.0
2024-02-19,41.85,23.0,70.0,20.0,0.0
2024-02-20,41.79,23.0,70.0,20.0,0.0
2024-02-21,42.94,28.0,70.0,20.0,0.0
2024-02-22,41.59,23.0,70.0,20.0,0.0
2024-02-23,42.91,28.0,70.0,20.0,0.0
2024-02-26,41.69,23.0,70.0,20.0,0.0
2024-02-27,38.46,23.0,70.0,20.0,3.0
2024-02-28,42.34,28.0,70.0,20.0,0.0
2024-02-29,38.63,23.0,70.0,10.0,0.0
2024-03-01,42.55,38.0,70.0,10.0,0.0
2024-03-04,38.7,23.0,70.0,10.0,0.0
2024-03-05,39.67,28.0,70.0,10.0,0.0
2024-03-06,37.84,23.0,70.0,10.0,0.0
2024-03-07,44.31,48.0,70.0,10.0,0.0
2024-03-11,38.79,28.0,70.0,10.0,0.0
2024-03-12,37.19,23.0,70.0,10.0,0.0
2024-03-13,40.39,38.0,70.0,10.0,0.0
2024-03-14,42.77,37.0,70.0,18.0,0.0
2024-03-15,35.08,27.0,70.0,10.0,3.0
2024-03-18,37.31,23.0,70.0,10.0,0.0
2024-03-19,37.02,23.0,70.0,10.0,0.0
2024-03-20,39.3,32.0,70.0,10.0,0.0
2024-03-21,44.92,45.0,70.0,18.0,0.0
2024-03-22,43.55,40.0,70.0,18.0,0.0
2024-03-26,54.55,75.0,70.0,28.0,0.0
2024-03-27,52.16,65.0,70.0,28.0,0.0
2024-03-28,52.22,65.0,70.0,28.0,0.0
2024-04-01,54.47,70.0,70.0,28.0,0.0
2024-04-02,60.15,65.0,70.0,55.0,0.0
2024-04-03,58.71,65.0,70.0,48.0,0.0
2024-04-04,57.47,60.0,70.0,48.0,0.0
2024-04-05,61.2,75.0,70.0,48.0,0.0
2024-04-08,55.43,65.0,70.0,35.0,0.0
2024-04-09,59.81,70.0,70.0,48.0,0.0
2024-04-10,54.18,60.0,70.0,35.0,0.0
2024-04-12,55.43,65.0,70.0,35.0,0.0
2024-04-15,56.45,70.0,70.0,35.0,0.0
2024-04-16,59.08,80.0,70.0,35.0,0.0
2024-04-18,54.17,60.0,70.0,35.0,0.0
2024-04-19,50.91,60.0,70.0,35.0,3.0
2024-04-22,56.91,70.0,70.0,35.0,0.0
2024-04-23,64.63,65.0,70.0,70.0,0.0
2024-04-24,54.63,60.0,70.0,35.0,0.0
2024-04-25,52.7,60.0,70.0,28.0,0.0
2024-04-26,55.34,60.0,70.0,38.0,0.0
2024-04-29,55.33,60.0,70.0,38.0,0.0
2024-04-30,54.15,75.0,70.0,18.0,0.0
2024-05-02,55.14,70.0,70.0,28.0,0.0
2024-05-03,69.94,85.0,70.0,73.0,0.0
2024-05-06,54.44,60.0,70.0,38.0,0.0
2024-05-07,49.12,60.0,70.0,18.0,0.0
2024-05-08,52.53,65.0,70.0,38.0,3.0
2024-05-09,41.8,42.0,70.0,20.0,3.0
2024-05-10,45.08,42.0,70.0,20.0,0.0
2024-05-13,41.38,42.0,70.0,18.0,3.0
2024-05-14,53.74,70.0,70.0,38.0,3.0
2024-05-15,51.48,60.0,70.0,38.0,3.0
2024-05-16,42.52,42.0,70.0,20.0,3.0
2024-05-17,42.81,42.0,70.0,20.0,3.0
2024-05-21,59.72,80.0,70.0,38.0,0.0
2024-05-22,52.62,70.0,70.0,20.0,0.0
2024-05-23,51.23,65.0,70.0,20.0,0.0
2024-05-24,45.24,42.0,70.0,20.0,0.0
2024-05-27,45.23,42.0,70.0,20.0,0.0
2024-05-28,40.11,23.0,70.0,20.0,0.0
2024-05-29,46.08,47.0,70.0,20.0,0.0
2024-05-30,39.88,23.0,70.0,20.0,0.0
2024-05-31,42.44,33.0,70.0,20.0,0.0
2024-06-03,42.58,33.0,70.0,20.0,0.0
2024-06-04,25.33,19.0,70.0,20.0,13.0
2024-06-05,44.99,43.0,70.0,20.0,0.0
2024-06-06,41.62,28.0,70.0,20.0,0.0
2024-06-07,44.23,37.0,70.0,20.0,0.0
2024-06-10,41.94,27.0,70.0,20.0,0.0
2024-06-11,43.43,32.0,70.0,20.0,0.0
2024-06-12,42.24,27.0,70.0,20.0,0.0
2024-06-13,50.62,60.0,70.0,20.0,0.0
2024-06-14,47.16,45.0,70.0,20.0,0.0
2024-06-18,42.95,37.0,70.0,10.0,0.0
2024-06-19,45.9,50.0,70.0,10.0,0.0
2024-06-20,47.4,55.0,70.0,10.0,0.0
2024-06-21,46.12,50.0,70.0,10.0,0.0
2024-06-24,53.2,70.0,70.0,18.0,0.0
2024-06-25,51.91,65.0,70.0,18.0,0.0
2024-06-26,53.2,70.0,70.0,18.0,0.0
