scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,49.44,50.0,49.0,60.0,3.0
2023-09-05,46.93,55.0,49.0,45.0,3.0
2023-09-06,39.82,27.0,49.0,45.0,3.0
2023-09-07,41.09,32.0,49.0,45.0,3.0
2023-09-08,46.61,55.0,49.0,45.0,3.0
2023-09-11,45.33,50.0,49.0,45.0,3.0
2023-09-12,39.02,27.0,49.0,45.0,3.0
2023-09-13,38.44,23.0,49.0,45.0,3.0
2023-09-14,38.62,23.0,49.0,45.0,3.0
2023-09-15,45.43,32.0,49.0,63.0,3.0
2023-09-18,42.83,23.0,49.0,63.0,3.0
2023-09-20,44.84,32.0,49.0,63.0,3.0
2023-09-21,45.45,23.0,49.0,63.0,0.0
2023-09-22,42.45,23.0,49.0,63.0,3.0
2023-09-25,43.67,28.0,49.0,63.0,3.0
2023-09-26,40.82,23.0,49.0,45.0,0.0
2023-09-27,38.1,23.0,49.0,45.0,3.0
2023-09-28,38.08,23.0,49.0,45.0,3.0
2023-09-29,39.67,28.0,49.0,45.0,3.0
2023-10-03,38.33,23.0,49.0,45.0,3.0
2023-10-04,39.34,28.0,49.0,45.0,3.0
2023-10-05,41.19,23.0,49.0,45.0,0.0
2023-10-06,43.5,32.0,49.0,45.0,0.0
2023-10-09,43.14,33.0,49.0,45.0,0.0
2023-10-10,46.93,47.0,49.0,45.0,0.0
2023-10-11,49.03,55.0,49.0,45.0,0.0
2023-10-12,55.21,60.0,49.0,63.0,0.0
2023-10-13,56.37,55.0,49.0,73.0,0.0
2023-10-16,52.49,60.0,49.0,53.0,0.0
2023-10-17,48.78,55.0,49.0,43.0,0.0
2023-10-18,48.72,55.0,49.0,43.0,0.0
2023-10-19,51.19,65.0,49.0,43.0,0.0
2023-10-20,45.88,45.0,49.0,43.0,0.0
2023-10-23,38.67,28.0,49.0,35.0,0.0
2023-10-25,37.17,23.0,49.0,35.0,0.0
2023-10-26,35.87,28.0,49.0,25.0,0.0
2023-10-27,41.17,38.0,49.0,35.0,0.0
2023-10-30,41.64,32.0,49.0,43.0,0.0
2023-10-31,39.9,33.0,49.0,35.0,0.0
2023-11-01,55.05,75.0,49.0,53.0,0.0
