scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,43.99,60.0,41.0,55.0,7.0
2023-09-05,45.08,52.0,41.0,55.0,4.0
2023-09-06,47.48,47.0,41.0,70.0,4.0
2023-09-07,38.24,37.0,41.0,55.0,7.0
2023-09-08,36.51,50.0,41.0,35.0,7.0
2023-09-11,36.62,50.0,41.0,35.0,7.0
2023-09-12,19.55,35.0,41.0,25.0,17.0
2023-09-13,26.61,45.0,41.0,35.0,15.0
2023-09-14,25.5,40.0,41.0,35.0,15.0
2023-09-15,37.36,55.0,41.0,35.0,7.0
2023-09-18,24.14,35.0,41.0,35.0,15.0
2023-09-20,25.19,40.0,41.0,35.0,15.0
2023-09-21,23.69,35.0,41.0,35.0,15.0
2023-09-22,19.93,27.0,41.0,28.0,15.0
2023-09-25,21.29,32.0,41.0,28.0,15.0
2023-09-26,20.08,27.0,41.0,28.0,15.0
2023-09-27,17.55,27.0,41.0,18.0,15.0
2023-09-28,15.38,27.0,41.0,10.0,15.0
2023-09-29,16.81,32.0,41.0,10.0,15.0
2023-10-03,20.16,45.0,41.0,10.0,15.0
2023-10-04,37.13,70.0,41.0,10.0,4.0
2023-10-05,36.08,55.0,41.0,20.0,4.0
2023-10-06,29.52,50.0,41.0,10.0,7.0
2023-10-09,21.42,40.0,41.0,10.0,12.0
2023-10-10,38.62,65.0,41.0,20.0,4.0
2023-10-11,37.35,60.0,41.0,20.0,4.0
2023-10-12,47.3,70.0,41.0,48.0,4.0
2023-10-13,53.9,75.0,41.0,70.0,4.0
2023-10-16,49.47,57.0,41.0,70.0,4.0
2023-10-17,48.75,60.0,41.0,63.0,4.0
2023-10-18,54.09,75.0,41.0,70.0,4.0
2023-10-19,55.96,72.0,41.0,80.0,4.0
2023-10-20,55.85,72.0,41.0,80.0,4.0
2023-10-23,59.84,72.0,41.0,100.0,4.0
2023-10-25,59.48,72.0,41.0,100.0,4.0
2023-10-26,49.56,52.0,41.0,100.0,9.0
2023-10-27,50.74,47.0,41.0,100.0,7.0
2023-10-30,53.14,57.0,41.0,100.0,7.0
2023-10-31,50.6,47.0,41.0,100.0,7.0
2023-11-01,53.67,60.0,41.0,100.0,7.0
2023-11-02,53.12,57.0,41.0,100.0,7.0
2023-11-03,53.16,57.0,41.0,100.0,7.0
2023-11-06,53.36,57.0,41.0,100.0,7.0
2023-11-07,53.3,57.0,41.0,100.0,7.0
2023-11-08,53.41,57.0,41.0,100.0,7.0
2023-11-09,50.68,47.0,41.0,100.0,7.0
2023-11-10,50.69,47.0,41.0,100.0,7.0
2023-11-13,53.49,57.0,41.0,100.0,7.0
2023-11-15,51.07,47.0,41.0,100.0,7.0
2023-11-16,54.24,60.0,41.0,100.0,7.0
2023-11-17,54.35,60.0,41.0,100.0,7.0
2023-11-20,55.58,65.0,41.0,100.0,7.0
2023-11-21,55.77,65.0,41.0,100.0,7.0
2023-11-22,52.49,52.0,41.0,100.0,7.0
2023-11-23,52.57,52.0,41.0,100.0,7.0
2023-11-24,55.64,52.0,41.0,100.0,4.0
2023-11-28,52.57,52.0,41.0,100.0,7.0
2023-11-29,55.52,52.0,41.0,100.0,4.0
2023-11-30,52.66,52.0,41.0,100.0,7.0
2023-12-01,55.66,52.0,41.0,100.0,4.0
2023-12-04,52.6,52.0,41.0,100.0,7.0
2023-12-05,52.35,52.0,41.0,100.0,7.0
2023-12-06,51.08,47.0,41.0,100.0,7.0
2023-12-07,51.21,47.0,41.0,100.0,7.0
2023-12-08,55.5,65.0,41.0,88.0,4.0
2023-12-11,60.01,75.0,41.0,95.0,4.0
2023-12-12,55.29,52.0,41.0,100.0,4.0
2023-12-13,56.8,57.0,41.0,100.0,4.0
2023-12-14,55.65,52.0,41.0,100.0,4.0
2023-12-15,57.56,60.0,41.0,100.0,4.0
2023-12-18,57.53,60.0,41.0,100.0,4.0
2023-12-19,59.92,70.0,41.0,100.0,4.0
2023-12-20,53.56,60.0,41.0,100.0,7.0
2023-12-21,52.89,60.0,41.0,95.0,7.0
2023-12-22,59.74,75.0,41.0,95.0,4.0
2023-12-26,51.43,60.0,41.0,88.0,7.0
2023-12-27,51.37,60.0,41.0,88.0,7.0
2023-12-28,45.26,42.0,41.0,70.0,4.0
2023-12-29,45.33,42.0,41.0,70.0,4.0
2024-01-01,56.28,85.0,41.0,70.0,4.0
2024-01-02,60.65,85.0,41.0,88.0,4.0
2024-01-03,59.54,80.0,41.0,88.0,4.0
2024-01-04,63.52,85.0,41.0,98.0,4.0
2024-01-05,59.53,67.0,41.0,100.0,4.0
2024-01-08,60.07,70.0,41.0,100.0,4.0
2024-01-09,62.73,80.0,41.0,100.0,4.0
2024-01-10,60.77,72.0,41.0,100.0,4.0
2024-01-11,60.92,72.0,41.0,100.0,4.0
2024-01-12,55.86,52.0,41.0,100.0,4.0
2024-01-15,57.76,60.0,41.0,100.0,4.0
2024-01-16,61.28,75.0,41.0,100.0,4.0
2024-01-17,58.59,65.0,41.0,100.0,4.0
2024-01-18,58.82,65.0,41.0,100.0,4.0
2024-01-19,60.2,70.0,41.0,100.0,4.0
2024-01-23,58.37,65.0,41.0,100.0,4.0
2024-01-24,60.15,70.0,41.0,100.0,4.0
2024-01-25,56.05,65.0,41.0,100.0,7.0
2024-01-29,64.15,85.0,41.0,100.0,4.0
2024-01-30,57.01,57.0,41.0,100.0,4.0
2024-01-31,54.24,57.0,41.0,100.0,7.0
2024-02-01,52.84,52.0,41.0,100.0,7.0
2024-02-02,52.73,52.0,41.0,100.0,7.0
2024-02-05,52.66,52.0,41.0,100.0,7.0
2024-02-06,52.82,52.0,41.0,100.0,7.0
2024-02-07,52.76,52.0,41.0,100.0,7.0
2024-02-08,58.11,62.0,41.0,100.0,4.0
2024-02-09,55.29,52.0,41.0,100.0,4.0
2024-02-12,53.53,60.0,41.0,100.0,7.0
2024-02-13,53.46,60.0,41.0,100.0,7.0
2024-02-14,53.73,60.0,41.0,100.0,7.0
2024-02-15,59.37,70.0,41.0,100.0,4.0
2024-02-16,58.27,65.0,41.0,100.0,4.0
2024-02-19,54.22,60.0,41.0,100.0,7.0
2024-02-20,54.11,60.0,41.0,100.0,7.0
2024-02-21,53.8,60.0,41.0,100.0,7.0
2024-02-22,53.89,60.0,41.0,100.0,7.0
2024-02-23,55.11,65.0,41.0,100.0,7.0
2024-02-26,60.07,75.0,41.0,98.0,4.0
2024-02-27,50.71,60.0,41.0,88.0,7.0
2024-02-28,48.67,60.0,41.0,70.0,4.0
2024-02-29,41.28,42.0,41.0,70.0,7.0
2024-03-01,40.41,38.0,41.0,70.0,7.0
2024-03-04,43.3,38.0,41.0,70.0,4.0
2024-03-05,44.3,43.0,41.0,70.0,4.0
2024-03-06,42.48,38.0,41.0,70.0,4.0
2024-03-07,44.02,43.0,41.0,70.0,4.0
2024-03-11,52.67,80.0,41.0,70.0,4.0
2024-03-12,53.67,85.0,41.0,70.0,4.0
2024-03-13,46.08,57.0,41.0,70.0,4.0
2024-03-14,47.99,62.0,41.0,70.0,4.0
2024-03-15,42.78,42.0,41.0,70.0,4.0
2024-03-18,49.82,70.0,41.0,70.0,4.0
2024-03-19,55.35,75.0,41.0,88.0,4.0
2024-03-20,56.6,70.0,41.0,98.0,4.0
2024-03-21,51.56,57.0,41.0,100.0,7.0
2024-03-22,53.3,52.0,41.0,100.0,4.0
2024-03-26,50.12,52.0,41.0,100.0,7.0
2024-03-27,49.17,47.0,41.0,100.0,7.0
2024-03-28,53.34,52.0,41.0,100.0,4.0
2024-04-01,68.56,52.0,78.0,100.0,3.0
2024-04-02,68.91,52.0,78.0,100.0,3.0
2024-04-03,69.11,52.0,78.0,100.0,3.0
2024-04-04,69.07,52.0,78.0,100.0,3.0
2024-04-05,72.29,52.0,78.0,100.0,0.0
2024-04-08,68.01,47.0,78.0,100.0,3.0
2024-04-09,67.79,47.0,78.0,100.0,3.0
2024-04-10,71.24,60.0,78.0,100.0,3.0
2024-04-12,72.23,52.0,78.0,100.0,0.0
2024-04-15,71.03,60.0,78.0,100.0,3.0
2024-04-16,75.47,65.0,78.0,100.0,0.0
2024-04-18,72.18,52.0,78.0,100.0,0.0
2024-04-19,70.75,47.0,78.0,100.0,0.0
2024-04-22,71.61,60.0,78.0,100.0,3.0
2024-04-23,74.69,60.0,78.0,100.0,0.0
2024-04-24,76.79,70.0,78.0,98.0,0.0
2024-04-25,71.74,60.0,78.0,88.0,0.0
2024-04-26,68.88,60.0,78.0,88.0,3.0
2024-04-29,79.83,80.0,78.0,100.0,0.0
2024-04-30,74.16,57.0,78.0,100.0,0.0
2024-05-02,73.99,57.0,78.0,100.0,0.0
