scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-07-16,35.49,31.0,69.0,8.0,3.0
2026-07-17,31.69,16.0,69.0,8.0,3.0
2026-07-20,35.66,40.0,69.0,0.0,3.0
2026-07-21,29.79,16.0,69.0,0.0,3.0
2026-07-22,32.67,16.0,69.0,0.0,0.0
2026-07-23,34.17,21.0,69.0,0.0,0.0
2026-07-24,34.01,21.0,69.0,0.0,0.0
2026-07-27,36.09,40.0,69.0,0.0,3.0
2026-07-28,32.88,16.0,69.0,0.0,0.0
2026-07-29,36.02,40.0,69.0,0.0,3.0
2026-07-30,33.62,20.0,69.0,0.0,0.0
2026-07-31,35.8,40.0,69.0,0.0,3.0
2026-08-03,44.54,63.0,69.0,0.0,0.0
2026-08-04,33.9,20.0,69.0,0.0,0.0
2026-08-05,40.72,58.0,69.0,0.0,3.0
2026-08-06,34.1,20.0,69.0,0.0,0.0
2026-08-07,40.27,35.0,69.0,10.0,0.0
2026-08-10,35.56,26.0,69.0,0.0,0.0
2026-08-11,35.4,26.0,69.0,0.0,0.0
2026-08-12,39.1,31.0,69.0,10.0,0.0
2026-08-13,36.78,21.0,69.0,10.0,0.0
2026-08-14,36.78,31.0,69.0,0.0,0.0
2026-08-17,34.12,21.0,69.0,0.0,0.0
2026-08-18,29.97,16.0,69.0,0.0,3.0
2026-08-19,32.69,16.0,69.0,0.0,0.0
2026-08-20,31.05,21.0,69.0,0.0,3.0
2026-08-21,29.86,16.0,69.0,0.0,3.0
2026-08-24,32.8,16.0,69.0,0.0,0.0
2026-08-25,32.73,16.0,69.0,0.0,0.0
2026-08-26,32.85,16.0,69.0,0.0,0.0
2026-08-27,30.94,21.0,69.0,0.0,3.0
2026-08-28,35.37,26.0,69.0,0.0,0.0
2026-08-31,29.83,16.0,69.0,0.0,3.0
2026-09-01,28.72,16.0,69.0,0.0,3.0
2026-09-03,7.91,21.0,10.0,0.0,4.0
