scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,35.74,52.0,26.0,55.0,8.0
2023-09-05,42.58,47.0,26.0,55.0,0.0
2023-09-06,42.48,47.0,26.0,55.0,0.0
2023-09-07,43.74,52.0,26.0,55.0,0.0
2023-09-08,41.26,42.0,26.0,55.0,0.0
2023-09-11,46.37,62.0,26.0,55.0,0.0
2023-09-12,39.55,55.0,26.0,38.0,0.0
2023-09-13,43.36,60.0,26.0,48.0,0.0
2023-09-14,39.25,55.0,26.0,48.0,3.0
2023-09-15,39.86,55.0,26.0,38.0,0.0
2023-09-18,40.89,60.0,26.0,38.0,0.0
2023-09-20,40.69,60.0,26.0,38.0,0.0
2023-09-21,25.44,32.0,26.0,38.0,8.0
2023-09-22,24.43,28.0,26.0,38.0,8.0
2023-09-25,23.79,37.0,26.0,38.0,11.0
2023-09-26,17.08,28.0,26.0,20.0,11.0
2023-09-27,17.05,28.0,26.0,20.0,11.0
2023-09-28,16.88,16.0,26.0,20.0,8.0
2023-09-29,18.31,33.0,26.0,20.0,11.0
2023-10-03,19.41,37.0,26.0,20.0,11.0
2023-10-04,10.63,13.0,26.0,10.0,11.0
2023-10-05,14.58,16.0,26.0,10.0,8.0
2023-10-06,14.77,26.0,26.0,0.0,8.0
2023-10-09,12.42,19.0,26.0,0.0,8.0
2023-10-10,6.12,24.0,26.0,0.0,16.0
2023-10-11,6.1,24.0,26.0,0.0,16.0
2023-10-12,15.8,29.0,26.0,0.0,8.0
2023-10-13,18.65,41.0,26.0,0.0,8.0
2023-10-16,41.47,80.0,26.0,20.0,0.0
2023-10-17,21.25,40.0,26.0,10.0,8.0
2023-10-18,14.84,25.0,26.0,0.0,8.0
2023-10-19,13.21,20.0,26.0,10.0,11.0
2023-10-20,17.35,25.0,26.0,10.0,8.0
2023-10-23,11.59,16.0,26.0,0.0,8.0
2023-10-25,17.48,31.0,26.0,10.0,8.0
2023-10-26,11.31,16.0,26.0,0.0,8.0
2023-10-27,11.74,16.0,26.0,0.0,8.0
2023-10-30,8.64,16.0,26.0,0.0,11.0
2023-10-31,8.59,16.0,26.0,0.0,11.0
2023-11-01,12.67,21.0,26.0,0.0,8.0
2023-11-02,11.62,16.0,26.0,0.0,8.0
2023-11-03,9.91,21.0,26.0,0.0,11.0
