scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,46.74,62.0,21.0,80.0,4.0
2023-09-05,54.33,72.0,21.0,100.0,4.0
2023-09-06,51.72,62.0,21.0,100.0,4.0
2023-09-07,54.24,72.0,21.0,100.0,4.0
2023-09-08,53.01,67.0,21.0,100.0,4.0
2023-09-11,49.37,52.0,21.0,100.0,4.0
2023-09-12,45.55,60.0,21.0,100.0,9.0
2023-09-13,45.11,50.0,21.0,100.0,7.0
2023-09-14,46.5,55.0,21.0,100.0,7.0
2023-09-15,45.36,50.0,21.0,100.0,7.0
2023-09-18,46.39,55.0,21.0,100.0,7.0
2023-09-20,44.44,50.0,21.0,98.0,7.0
2023-09-21,44.69,50.0,21.0,100.0,7.0
2023-09-22,47.18,60.0,21.0,100.0,7.0
2023-09-25,47.29,60.0,21.0,100.0,7.0
2023-09-26,44.83,50.0,21.0,100.0,7.0
2023-09-27,44.8,50.0,21.0,100.0,7.0
2023-09-28,47.13,60.0,21.0,100.0,7.0
2023-09-29,52.81,70.0,21.0,100.0,4.0
2023-10-03,47.41,60.0,21.0,100.0,7.0
2023-10-04,49.63,70.0,21.0,100.0,7.0
2023-10-05,46.82,60.0,21.0,98.0,7.0
2023-10-06,53.02,70.0,21.0,100.0,4.0
2023-10-09,42.42,60.0,21.0,70.0,4.0
2023-10-10,41.12,65.0,21.0,70.0,7.0
2023-10-11,45.35,70.0,21.0,70.0,4.0
2023-10-12,51.55,65.0,21.0,98.0,4.0
2023-10-13,52.65,70.0,21.0,98.0,4.0
2023-10-16,50.22,60.0,21.0,98.0,4.0
2023-10-17,54.25,75.0,21.0,98.0,4.0
2023-10-18,55.84,80.0,21.0,100.0,4.0
2023-10-19,55.96,80.0,21.0,100.0,4.0
2023-10-20,52.1,65.0,21.0,100.0,4.0
2023-10-23,49.84,60.0,21.0,100.0,4.0
2023-10-25,45.98,60.0,21.0,98.0,7.0
2023-10-26,44.56,42.0,21.0,98.0,4.0
2023-10-27,49.49,70.0,21.0,100.0,7.0
2023-10-30,46.39,60.0,21.0,98.0,7.0
2023-10-31,48.84,70.0,21.0,98.0,7.0
2023-11-01,50.42,65.0,21.0,98.0,4.0
2023-11-02,45.12,65.0,21.0,88.0,7.0
2023-11-03,47.66,65.0,21.0,98.0,7.0
2023-11-06,45.36,65.0,21.0,88.0,7.0
2023-11-07,44.05,60.0,21.0,88.0,7.0
