scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,34.09,47.0,17.0,70.0,9.0
2023-09-05,31.18,47.0,17.0,70.0,12.0
2023-09-06,32.83,42.0,17.0,70.0,9.0
2023-09-07,29.84,42.0,17.0,70.0,12.0
2023-09-08,41.11,75.0,17.0,70.0,9.0
2023-09-11,38.72,65.0,17.0,70.0,9.0
2023-09-12,34.65,52.0,17.0,70.0,9.0
2023-09-13,29.71,32.0,17.0,70.0,9.0
2023-09-14,28.6,27.0,17.0,70.0,9.0
2023-09-15,25.21,23.0,17.0,60.0,9.0
2023-09-18,29.99,33.0,17.0,70.0,9.0
2023-09-20,24.79,23.0,17.0,60.0,9.0
2023-09-21,24.54,23.0,17.0,60.0,9.0
2023-09-22,28.28,28.0,17.0,70.0,9.0
2023-09-25,24.14,23.0,17.0,70.0,12.0
2023-09-26,24.18,23.0,17.0,70.0,12.0
2023-09-27,29.65,33.0,17.0,70.0,9.0
2023-09-28,24.48,23.0,17.0,60.0,9.0
2023-09-29,25.91,28.0,17.0,60.0,9.0
2023-10-03,29.76,33.0,17.0,70.0,9.0
2023-10-04,26.98,23.0,17.0,70.0,9.0
2023-10-05,25.42,28.0,17.0,70.0,12.0
2023-10-06,24.87,23.0,17.0,60.0,9.0
2023-10-09,20.52,23.0,17.0,45.0,9.0
2023-10-10,23.47,33.0,17.0,45.0,9.0
2023-10-11,28.95,55.0,17.0,45.0,9.0
2023-10-12,41.4,85.0,17.0,63.0,9.0
2023-10-13,47.5,85.0,17.0,88.0,9.0
2023-10-16,46.07,72.0,17.0,95.0,9.0
2023-10-17,45.1,62.0,17.0,100.0,9.0
2023-10-18,43.69,62.0,17.0,95.0,9.0
2023-10-19,47.56,72.0,17.0,100.0,9.0
2023-10-20,42.45,57.0,17.0,95.0,9.0
2023-10-23,42.19,60.0,17.0,95.0,9.0
2023-10-25,38.08,60.0,17.0,80.0,9.0
2023-10-26,45.66,75.0,17.0,95.0,9.0
2023-10-27,44.84,70.0,17.0,95.0,9.0
2023-10-30,47.24,80.0,17.0,95.0,9.0
2023-10-31,43.44,60.0,17.0,100.0,9.0
2023-11-01,44.52,65.0,17.0,100.0,9.0
2023-11-02,40.47,60.0,17.0,100.0,12.0
2023-11-03,40.51,65.0,17.0,95.0,12.0
2023-11-06,46.21,70.0,17.0,100.0,9.0
2023-11-07,46.65,72.0,17.0,100.0,9.0
2023-11-08,45.01,70.0,17.0,95.0,9.0
2023-11-09,43.53,65.0,17.0,95.0,9.0
2023-11-10,40.54,65.0,17.0,95.0,12.0
2023-11-13,42.09,65.0,17.0,100.0,12.0
2023-11-15,46.42,70.0,17.0,100.0,9.0
2023-11-16,40.84,60.0,17.0,100.0,12.0
2023-11-17,40.95,60.0,17.0,100.0,12.0
2023-11-20,45.93,70.0,17.0,98.0,9.0
2023-11-21,44.62,62.0,17.0,100.0,9.0
2023-11-22,45.84,67.0,17.0,100.0,9.0
2023-11-23,44.67,62.0,17.0,100.0,9.0
2023-11-24,40.99,47.0,17.0,100.0,9.0
2023-11-28,40.92,47.0,17.0,100.0,9.0
2023-11-29,42.12,52.0,17.0,100.0,9.0
2023-11-30,44.26,60.0,17.0,100.0,9.0
2023-12-01,44.26,60.0,17.0,100.0,9.0
2023-12-04,44.2,60.0,17.0,100.0,9.0
2023-12-05,43.95,60.0,17.0,100.0,9.0
2023-12-06,42.18,65.0,17.0,88.0,9.0
2023-12-07,43.56,70.0,17.0,88.0,9.0
2023-12-08,48.85,80.0,17.0,100.0,9.0
2023-12-11,45.86,67.0,17.0,100.0,9.0
2023-12-12,43.89,60.0,17.0,100.0,9.0
2023-12-13,46.65,70.0,17.0,100.0,9.0
2023-12-14,40.0,60.0,17.0,95.0,12.0
2023-12-15,42.91,60.0,17.0,95.0,9.0
2023-12-18,45.38,65.0,17.0,100.0,9.0
2023-12-19,41.02,60.0,17.0,88.0,9.0
2023-12-20,32.41,47.0,17.0,70.0,9.0
2023-12-21,43.24,70.0,17.0,88.0,9.0
2023-12-22,45.84,80.0,17.0,88.0,9.0
2023-12-26,44.78,75.0,17.0,88.0,9.0
2023-12-27,40.97,60.0,17.0,88.0,9.0
2023-12-28,40.86,60.0,17.0,88.0,9.0
2023-12-29,47.68,80.0,17.0,95.0,9.0
2024-01-01,45.38,65.0,17.0,100.0,9.0
2024-01-02,44.0,60.0,17.0,100.0,9.0
2024-01-03,44.14,60.0,17.0,100.0,9.0
2024-01-04,45.62,65.0,17.0,100.0,9.0
2024-01-05,41.38,60.0,17.0,88.0,9.0
2024-01-08,41.17,60.0,17.0,88.0,9.0
2024-01-09,42.58,65.0,17.0,88.0,9.0
2024-01-10,38.37,60.0,17.0,88.0,12.0
2024-01-11,42.77,65.0,17.0,88.0,9.0
2024-01-12,41.46,60.0,17.0,88.0,9.0
2024-01-15,38.36,60.0,17.0,88.0,12.0
2024-01-16,39.13,52.0,17.0,88.0,9.0
2024-01-17,35.44,38.0,17.0,88.0,9.0
2024-01-18,34.42,33.0,17.0,88.0,9.0
2024-01-19,39.3,52.0,17.0,88.0,9.0
2024-01-23,29.22,32.0,17.0,70.0,9.0
2024-01-24,33.5,47.0,17.0,70.0,9.0
2024-01-25,40.65,75.0,17.0,70.0,9.0
2024-01-29,37.0,60.0,17.0,70.0,9.0
2024-01-30,41.86,80.0,17.0,70.0,9.0
2024-01-31,46.58,80.0,17.0,88.0,9.0
2024-02-01,46.94,72.0,17.0,98.0,9.0
2024-02-02,47.33,72.0,17.0,100.0,9.0
2024-02-05,46.01,67.0,17.0,100.0,9.0
2024-02-06,42.42,52.0,17.0,100.0,9.0
2024-02-07,43.61,57.0,17.0,100.0,9.0
2024-02-08,44.21,60.0,17.0,100.0,9.0
2024-02-09,45.14,65.0,17.0,100.0,9.0
2024-02-12,43.88,65.0,17.0,98.0,9.0
2024-02-13,39.31,47.0,17.0,98.0,9.0
2024-02-14,33.58,48.0,17.0,73.0,9.0
2024-02-15,27.47,33.0,17.0,63.0,9.0
2024-02-16,44.87,65.0,17.0,100.0,9.0
2024-02-19,43.32,70.0,17.0,100.0,12.0
2024-02-20,49.96,85.0,17.0,100.0,9.0
2024-02-21,45.9,70.0,17.0,100.0,9.0
2024-02-22,45.99,70.0,17.0,100.0,9.0
2024-02-23,38.46,60.0,17.0,80.0,9.0
2024-02-26,35.42,60.0,17.0,80.0,12.0
2024-02-27,36.56,60.0,17.0,73.0,9.0
2024-02-28,24.52,42.0,17.0,45.0,9.0
2024-02-29,24.63,42.0,17.0,45.0,9.0
2024-03-01,26.01,47.0,17.0,45.0,9.0
2024-03-04,21.65,42.0,17.0,45.0,12.0
2024-03-05,33.15,52.0,17.0,70.0,9.0
2024-03-06,23.83,27.0,17.0,60.0,9.0
2024-03-07,21.62,32.0,17.0,45.0,9.0
2024-03-11,18.77,23.0,17.0,45.0,9.0
2024-03-12,16.02,23.0,17.0,35.0,9.0
2024-03-13,10.43,23.0,17.0,35.0,14.0
2024-03-14,21.09,43.0,17.0,35.0,9.0
2024-03-15,17.13,28.0,17.0,35.0,9.0
2024-03-18,15.42,33.0,17.0,35.0,12.0
2024-03-19,15.7,23.0,17.0,35.0,9.0
2024-03-20,15.7,23.0,17.0,35.0,9.0
2024-03-21,18.41,33.0,17.0,45.0,12.0
2024-03-22,16.4,23.0,17.0,35.0,9.0
2024-03-26,17.47,28.0,17.0,35.0,9.0
2024-03-27,19.02,33.0,17.0,35.0,9.0
2024-03-28,18.94,33.0,17.0,35.0,9.0
2024-04-01,30.51,42.0,40.0,35.0,9.0
2024-04-02,29.61,37.0,40.0,35.0,9.0
2024-04-03,33.06,50.0,40.0,35.0,9.0
2024-04-04,46.27,75.0,40.0,63.0,9.0
2024-04-05,36.99,55.0,40.0,45.0,9.0
2024-04-08,31.96,35.0,40.0,45.0,9.0
2024-04-09,27.24,27.0,40.0,35.0,9.0
2024-04-10,25.69,32.0,40.0,35.0,12.0
2024-04-12,29.43,27.0,40.0,43.0,9.0
2024-04-15,32.98,32.0,40.0,53.0,9.0
2024-04-16,33.17,32.0,40.0,53.0,9.0
2024-04-18,31.88,27.0,40.0,53.0,9.0
2024-04-19,26.2,23.0,40.0,35.0,9.0
2024-04-22,41.81,45.0,40.0,73.0,9.0
2024-04-23,37.39,27.0,40.0,73.0,9.0
2024-04-24,35.74,40.0,40.0,53.0,9.0
2024-04-25,49.94,70.0,40.0,80.0,9.0
2024-04-26,52.58,80.0,40.0,80.0,9.0
2024-04-29,52.53,80.0,40.0,80.0,9.0
2024-04-30,45.11,50.0,40.0,80.0,9.0
2024-05-02,46.94,65.0,40.0,73.0,9.0
2024-05-03,42.84,50.0,40.0,73.0,9.0
2024-05-06,28.27,32.0,40.0,35.0,9.0
2024-05-07,20.31,27.0,40.0,10.0,9.0
2024-05-08,19.58,23.0,40.0,10.0,9.0
2024-05-09,18.94,23.0,40.0,10.0,9.0
2024-05-10,20.48,28.0,40.0,10.0,9.0
2024-05-13,22.69,37.0,40.0,10.0,9.0
2024-05-14,24.06,32.0,40.0,18.0,9.0
2024-05-15,21.09,27.0,40.0,10.0,9.0
2024-05-16,18.23,27.0,40.0,10.0,12.0
2024-05-17,33.1,65.0,40.0,18.0,9.0
2024-05-21,52.29,80.0,40.0,80.0,9.0
2024-05-22,53.38,85.0,40.0,80.0,9.0
2024-05-23,40.74,60.0,40.0,55.0,9.0
2024-05-24,28.87,50.0,40.0,18.0,9.0
2024-05-27,28.7,50.0,40.0,18.0,9.0
2024-05-28,24.5,42.0,40.0,10.0,9.0
2024-05-29,25.79,47.0,40.0,10.0,9.0
2024-05-30,27.71,60.0,40.0,18.0,12.0
2024-05-31,37.2,75.0,40.0,28.0,9.0
2024-06-03,35.0,75.0,40.0,18.0,9.0
2024-06-04,31.31,55.0,40.0,28.0,9.0
2024-06-05,35.56,70.0,40.0,28.0,9.0
2024-06-06,45.42,80.0,40.0,55.0,9.0
2024-06-07,42.0,65.0,40.0,55.0,9.0
2024-06-10,42.2,65.0,40.0,55.0,9.0
2024-06-11,57.64,85.0,40.0,95.0,9.0
2024-06-12,55.73,72.0,40.0,100.0,9.0
2024-06-13,55.83,72.0,40.0,100.0,9.0
2024-06-14,56.02,72.0,40.0,100.0,9.0
