scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,53.43,62.0,51.0,48.0,0.0
2023-09-05,49.87,47.0,51.0,48.0,0.0
2023-09-06,54.46,65.0,51.0,48.0,0.0
2023-09-07,51.17,52.0,51.0,48.0,0.0
2023-09-08,51.1,52.0,51.0,48.0,0.0
2023-09-11,54.26,57.0,51.0,55.0,0.0
2023-09-12,52.57,52.0,51.0,55.0,0.0
2023-09-13,51.35,47.0,51.0,55.0,0.0
2023-09-14,52.93,52.0,51.0,55.0,0.0
2023-09-15,53.14,52.0,51.0,55.0,0.0
2023-09-18,51.55,47.0,51.0,55.0,0.0
2023-09-20,52.88,60.0,51.0,48.0,0.0
2023-09-21,52.36,60.0,51.0,48.0,0.0
2023-09-22,59.22,80.0,51.0,55.0,0.0
2023-09-25,56.74,70.0,51.0,55.0,0.0
2023-09-26,52.51,60.0,51.0,48.0,0.0
2023-09-27,58.28,65.0,51.0,65.0,0.0
2023-09-28,52.39,60.0,51.0,48.0,0.0
2023-09-29,53.78,65.0,51.0,48.0,0.0
2023-10-03,51.14,65.0,51.0,38.0,0.0
2023-10-04,39.17,38.0,51.0,20.0,0.0
2023-10-05,41.74,47.0,51.0,20.0,0.0
2023-10-06,50.94,65.0,51.0,38.0,0.0
2023-10-09,37.03,42.0,51.0,20.0,3.0
2023-10-10,50.71,65.0,51.0,38.0,0.0
2023-10-11,43.46,65.0,51.0,20.0,3.0
2023-10-12,52.52,70.0,51.0,38.0,0.0
2023-10-13,56.02,70.0,51.0,53.0,0.0
2023-10-16,53.49,60.0,51.0,53.0,0.0
2023-10-17,55.01,65.0,51.0,53.0,0.0
2023-10-18,54.47,65.0,51.0,53.0,0.0
2023-10-19,55.96,60.0,51.0,63.0,0.0
2023-10-20,59.5,60.0,51.0,78.0,0.0
2023-10-23,56.24,60.0,51.0,68.0,0.0
2023-10-25,58.63,70.0,51.0,68.0,0.0
2023-10-26,48.29,47.0,51.0,50.0,0.0
2023-10-27,56.86,80.0,51.0,50.0,0.0
2023-10-30,51.0,57.0,51.0,50.0,0.0
2023-10-31,43.24,42.0,51.0,35.0,0.0
2023-11-01,40.97,33.0,51.0,35.0,0.0
2023-11-02,42.11,33.0,51.0,38.0,0.0
2023-11-03,40.87,28.0,51.0,38.0,0.0
2023-11-06,38.05,33.0,51.0,20.0,0.0
2023-11-07,40.09,23.0,51.0,38.0,0.0
2023-11-08,37.87,32.0,51.0,20.0,0.0
2023-11-09,41.65,32.0,51.0,35.0,0.0
2023-11-10,36.96,27.0,51.0,35.0,3.0
2023-11-13,41.23,32.0,51.0,35.0,0.0
2023-11-15,50.05,65.0,51.0,35.0,0.0
2023-11-16,47.38,70.0,51.0,20.0,0.0
2023-11-17,50.15,65.0,51.0,35.0,0.0
2023-11-20,46.36,65.0,51.0,20.0,0.0
2023-11-21,45.21,60.0,51.0,20.0,0.0
2023-11-22,45.23,60.0,51.0,20.0,0.0
2023-11-23,45.42,60.0,51.0,20.0,0.0
2023-11-24,51.08,65.0,51.0,38.0,0.0
2023-11-28,46.41,65.0,51.0,20.0,0.0
2023-11-29,51.13,65.0,51.0,38.0,0.0
2023-11-30,53.96,75.0,51.0,38.0,0.0
2023-12-01,52.53,70.0,51.0,38.0,0.0
2023-12-04,53.83,75.0,51.0,38.0,0.0
2023-12-05,53.75,75.0,51.0,38.0,0.0
2023-12-06,50.98,65.0,51.0,38.0,0.0
2023-12-07,53.65,75.0,51.0,38.0,0.0
2023-12-08,50.95,65.0,51.0,38.0,0.0
2023-12-11,51.03,65.0,51.0,38.0,0.0
2023-12-12,39.58,38.0,51.0,20.0,0.0
2023-12-13,35.9,33.0,51.0,10.0,0.0
2023-12-14,34.8,28.0,51.0,10.0,0.0
2023-12-15,37.26,38.0,51.0,10.0,0.0
