scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,19.99,55.0,24.0,48.0,22.0
2023-09-06,11.89,35.0,24.0,48.0,25.0
2023-09-07,16.08,40.0,24.0,48.0,22.0
2023-09-08,11.28,40.0,24.0,28.0,22.0
2023-09-11,14.91,47.0,24.0,35.0,22.0
2023-09-12,13.77,47.0,24.0,35.0,22.0
2023-09-13,32.19,62.0,24.0,60.0,14.0
2023-09-14,36.19,57.0,24.0,60.0,9.0
2023-09-15,42.49,62.0,24.0,80.0,9.0
2023-09-18,39.74,52.0,24.0,80.0,9.0
2023-09-20,32.86,37.0,24.0,80.0,12.0
2023-09-21,31.1,50.0,24.0,80.0,17.0
2023-09-22,31.16,50.0,24.0,80.0,17.0
2023-09-25,31.31,50.0,24.0,80.0,17.0
2023-09-26,31.22,50.0,24.0,80.0,17.0
2023-09-27,31.45,50.0,24.0,80.0,17.0
2023-09-28,31.27,50.0,24.0,80.0,17.0
2023-09-29,34.5,50.0,24.0,80.0,14.0
2023-10-03,31.6,50.0,24.0,80.0,17.0
2023-10-04,29.41,50.0,24.0,73.0,17.0
2023-10-05,38.24,57.0,24.0,88.0,14.0
2023-10-06,31.58,42.0,24.0,88.0,17.0
2023-10-09,30.96,42.0,24.0,88.0,17.0
2023-10-10,25.14,42.0,24.0,63.0,17.0
2023-10-11,21.95,42.0,24.0,38.0,14.0
2023-10-12,13.94,38.0,24.0,20.0,17.0
2023-10-13,13.14,23.0,24.0,20.0,14.0
2023-10-16,2.62,23.0,24.0,10.0,22.0
2023-10-17,0.26,13.0,24.0,10.0,22.0
2023-10-18,0.0,4.0,24.0,0.0,25.0
2023-10-19,0.0,9.0,24.0,0.0,22.0
2023-10-20,0.0,4.0,24.0,0.0,25.0
2023-10-23,0.0,4.0,24.0,0.0,30.0
2023-10-25,0.0,4.0,24.0,0.0,33.0
2023-10-26,0.0,4.0,24.0,10.0,33.0
2023-10-27,0.0,4.0,24.0,10.0,33.0
2023-10-30,0.0,19.0,24.0,10.0,30.0
2023-10-31,0.0,4.0,24.0,0.0,33.0
2023-11-01,0.0,14.0,24.0,0.0,30.0
2023-11-02,0.0,9.0,24.0,0.0,33.0
2023-11-03,0.0,4.0,24.0,0.0,33.0
2023-11-06,0.0,24.0,24.0,0.0,30.0
2023-11-07,0.0,9.0,24.0,0.0,33.0
2023-11-08,0.0,9.0,24.0,0.0,33.0
2023-11-09,0.0,9.0,24.0,0.0,33.0
2023-11-10,0.0,9.0,24.0,0.0,33.0
2023-11-13,0.0,9.0,24.0,0.0,33.0
2023-11-15,0.0,9.0,24.0,0.0,33.0
2023-11-16,0.0,29.0,24.0,0.0,30.0
2023-11-17,0.0,9.0,24.0,0.0,33.0
2023-11-20,0.0,23.0,24.0,0.0,22.0
2023-11-21,2.42,35.0,24.0,0.0,22.0
2023-11-22,8.22,40.0,24.0,18.0,22.0
2023-11-23,25.64,47.0,24.0,48.0,14.0
2023-11-24,17.65,37.0,24.0,38.0,17.0
2023-11-28,21.79,37.0,24.0,55.0,17.0
2023-11-29,28.44,52.0,24.0,55.0,14.0
