scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,63.41,62.0,48.0,95.0,0.0
2023-09-05,59.93,60.0,48.0,95.0,3.0
2023-09-06,61.26,60.0,48.0,100.0,3.0
2023-09-07,63.84,70.0,48.0,100.0,3.0
2023-09-08,61.37,60.0,48.0,100.0,3.0
2023-09-11,62.55,65.0,48.0,100.0,3.0
2023-09-12,62.11,60.0,48.0,95.0,0.0
2023-09-13,61.91,65.0,48.0,100.0,3.0
2023-09-14,65.13,70.0,48.0,95.0,0.0
2023-09-15,59.12,65.0,48.0,88.0,3.0
2023-09-18,54.43,60.0,48.0,63.0,0.0
2023-09-20,55.55,65.0,48.0,63.0,0.0
2023-09-21,46.56,42.0,48.0,63.0,3.0
2023-09-22,56.08,65.0,48.0,78.0,3.0
2023-09-25,46.49,42.0,48.0,63.0,3.0
2023-09-26,56.09,65.0,48.0,78.0,3.0
2023-09-27,50.34,42.0,48.0,78.0,3.0
2023-09-28,59.07,65.0,48.0,78.0,0.0
2023-09-29,56.23,65.0,48.0,78.0,3.0
2023-10-03,49.16,42.0,48.0,60.0,0.0
2023-10-04,50.0,47.0,48.0,60.0,0.0
2023-10-05,50.17,47.0,48.0,60.0,0.0
2023-10-06,58.63,80.0,48.0,60.0,0.0
2023-10-09,48.35,42.0,48.0,60.0,0.0
2023-10-10,55.79,85.0,48.0,45.0,0.0
2023-10-11,59.71,85.0,48.0,60.0,0.0
2023-10-12,60.92,70.0,48.0,78.0,0.0
2023-10-13,52.82,60.0,48.0,68.0,3.0
2023-10-16,48.31,60.0,48.0,50.0,3.0
2023-10-17,52.25,65.0,48.0,60.0,3.0
2023-10-18,57.01,65.0,48.0,68.0,0.0
2023-10-19,69.64,85.0,48.0,98.0,0.0
2023-10-20,63.19,70.0,48.0,88.0,0.0
2023-10-23,29.24,27.0,48.0,20.0,5.0
2023-10-25,39.88,32.0,48.0,38.0,0.0
2023-10-26,46.71,47.0,48.0,50.0,0.0
2023-10-27,54.91,65.0,48.0,63.0,0.0
