scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,71.19,72.0,58.0,100.0,0.0
2023-09-05,71.28,72.0,58.0,100.0,0.0
2023-09-06,71.18,72.0,58.0,100.0,0.0
2023-09-07,68.69,62.0,58.0,100.0,0.0
2023-09-08,64.96,47.0,58.0,100.0,0.0
2023-09-11,65.07,47.0,58.0,100.0,0.0
2023-09-12,60.0,50.0,58.0,100.0,5.0
2023-09-13,63.31,55.0,58.0,100.0,3.0
2023-09-14,70.2,70.0,58.0,100.0,0.0
2023-09-15,66.06,65.0,58.0,100.0,3.0
2023-09-18,64.59,60.0,58.0,100.0,3.0
2023-09-20,61.89,50.0,58.0,100.0,3.0
2023-09-21,61.64,50.0,58.0,100.0,3.0
2023-09-22,61.63,50.0,58.0,100.0,3.0
2023-09-25,64.24,60.0,58.0,100.0,3.0
2023-09-26,61.78,50.0,58.0,100.0,3.0
2023-09-27,61.75,50.0,58.0,100.0,3.0
2023-09-28,61.58,50.0,58.0,100.0,3.0
2023-09-29,63.01,55.0,58.0,100.0,3.0
2023-10-03,64.36,60.0,58.0,100.0,3.0
2023-10-04,61.58,50.0,58.0,100.0,3.0
2023-10-05,54.28,50.0,58.0,70.0,3.0
2023-10-06,55.72,55.0,58.0,70.0,3.0
2023-10-09,51.87,50.0,58.0,70.0,5.0
2023-10-10,59.82,60.0,58.0,70.0,0.0
2023-10-11,59.8,60.0,58.0,70.0,0.0
2023-10-12,70.75,72.0,58.0,100.0,0.0
2023-10-13,70.6,72.0,58.0,100.0,0.0
2023-10-16,70.67,72.0,58.0,100.0,0.0
2023-10-17,69.7,67.0,58.0,100.0,0.0
2023-10-18,62.79,60.0,58.0,100.0,5.0
2023-10-19,57.41,50.0,58.0,100.0,8.0
2023-10-20,60.3,52.0,58.0,98.0,5.0
2023-10-23,58.79,42.0,58.0,98.0,3.0
2023-10-25,50.43,38.0,58.0,70.0,3.0
2023-10-26,46.76,23.0,58.0,70.0,3.0
2023-10-27,51.44,28.0,58.0,70.0,0.0
2023-10-30,49.59,33.0,58.0,70.0,3.0
2023-10-31,48.29,28.0,58.0,70.0,3.0
2023-11-01,46.87,23.0,58.0,70.0,3.0
2023-11-02,48.32,28.0,58.0,70.0,3.0
2023-11-03,47.11,23.0,58.0,70.0,3.0
2023-11-06,48.56,28.0,58.0,70.0,3.0
2023-11-07,47.25,23.0,58.0,70.0,3.0
2023-11-08,47.36,23.0,58.0,70.0,3.0
2023-11-09,47.13,23.0,58.0,70.0,3.0
2023-11-10,47.14,23.0,58.0,70.0,3.0
2023-11-13,49.94,33.0,58.0,70.0,3.0
2023-11-15,47.52,23.0,58.0,70.0,3.0
2023-11-16,48.69,28.0,58.0,70.0,3.0
2023-11-17,47.55,23.0,58.0,70.0,3.0
2023-11-20,47.53,23.0,58.0,70.0,3.0
2023-11-21,51.97,28.0,58.0,70.0,0.0
2023-11-22,54.44,38.0,58.0,70.0,0.0
2023-11-23,45.27,23.0,58.0,60.0,3.0
2023-11-24,47.84,23.0,58.0,70.0,3.0
2023-11-28,47.77,23.0,58.0,70.0,3.0
2023-11-29,48.22,23.0,58.0,60.0,0.0
2023-11-30,49.61,28.0,58.0,60.0,0.0
2023-12-01,55.86,43.0,58.0,70.0,0.0
2023-12-04,52.05,28.0,58.0,70.0,0.0
2023-12-05,45.55,28.0,58.0,45.0,0.0
2023-12-06,41.78,23.0,58.0,35.0,0.0
2023-12-07,53.16,60.0,58.0,43.0,0.0
2023-12-08,58.45,75.0,58.0,50.0,0.0
2023-12-11,53.71,55.0,58.0,50.0,0.0
2023-12-12,60.99,75.0,58.0,60.0,0.0
2023-12-13,60.0,70.0,58.0,60.0,0.0
2023-12-14,60.1,50.0,58.0,80.0,0.0
2023-12-15,61.26,55.0,58.0,80.0,0.0
2023-12-18,56.23,55.0,58.0,60.0,0.0
2023-12-19,51.86,50.0,58.0,60.0,3.0
2023-12-20,41.01,35.0,58.0,43.0,5.0
2023-12-21,54.59,60.0,58.0,50.0,0.0
2023-12-22,57.94,55.0,58.0,80.0,3.0
2023-12-26,62.38,60.0,58.0,80.0,0.0
2023-12-27,58.07,55.0,58.0,80.0,3.0
2023-12-28,56.71,50.0,58.0,80.0,3.0
2023-12-29,58.03,55.0,58.0,80.0,3.0
2024-01-01,58.23,55.0,58.0,80.0,3.0
2024-01-02,56.85,50.0,58.0,80.0,3.0
2024-01-03,51.99,50.0,58.0,60.0,3.0
2024-01-04,66.47,75.0,58.0,80.0,0.0
2024-01-05,62.73,60.0,58.0,80.0,0.0
2024-01-08,63.02,62.0,58.0,80.0,0.0
2024-01-09,60.18,50.0,58.0,80.0,0.0
2024-01-10,61.47,55.0,58.0,80.0,0.0
2024-01-11,60.87,52.0,58.0,80.0,0.0
2024-01-12,55.31,50.0,58.0,60.0,0.0
2024-01-15,58.21,62.0,58.0,60.0,0.0
2024-01-16,56.23,55.0,58.0,60.0,0.0
2024-01-17,56.04,55.0,58.0,60.0,0.0
2024-01-18,55.02,50.0,58.0,60.0,0.0
2024-01-19,56.4,55.0,58.0,60.0,0.0
2024-01-23,63.32,65.0,58.0,80.0,0.0
2024-01-24,66.85,57.0,58.0,100.0,0.0
2024-01-25,64.5,47.0,58.0,100.0,0.0
2024-01-29,70.85,72.0,58.0,100.0,0.0
2024-01-30,64.46,47.0,58.0,100.0,0.0
2024-01-31,67.18,57.0,58.0,100.0,0.0
2024-02-01,64.54,47.0,58.0,100.0,0.0
2024-02-02,69.43,67.0,58.0,100.0,0.0
2024-02-05,69.36,67.0,58.0,100.0,0.0
2024-02-06,69.52,67.0,58.0,100.0,0.0
2024-02-07,64.46,47.0,58.0,100.0,0.0
2024-02-08,67.56,60.0,58.0,100.0,0.0
2024-02-09,61.74,50.0,58.0,100.0,3.0
2024-02-12,60.98,50.0,58.0,100.0,3.0
2024-02-13,60.91,50.0,58.0,100.0,3.0
2024-02-14,63.43,47.0,58.0,100.0,0.0
2024-02-15,63.82,60.0,58.0,100.0,3.0
2024-02-16,64.47,50.0,58.0,100.0,0.0
2024-02-19,64.17,60.0,58.0,100.0,3.0
2024-02-20,67.06,60.0,58.0,100.0,0.0
2024-02-21,64.25,50.0,58.0,100.0,0.0
2024-02-22,61.34,50.0,58.0,100.0,3.0
2024-02-23,60.81,50.0,58.0,98.0,3.0
2024-02-26,53.77,50.0,58.0,70.0,3.0
2024-02-27,51.66,42.0,58.0,70.0,3.0
2024-02-28,54.12,42.0,58.0,70.0,0.0
2024-02-29,55.48,47.0,58.0,70.0,0.0
2024-03-01,52.61,47.0,58.0,70.0,3.0
2024-03-04,51.25,42.0,58.0,70.0,3.0
2024-03-05,58.5,60.0,58.0,70.0,0.0
2024-03-06,53.43,42.0,58.0,70.0,0.0
2024-03-07,49.72,38.0,58.0,70.0,3.0
2024-03-11,42.12,23.0,58.0,45.0,0.0
2024-03-12,41.87,23.0,58.0,45.0,0.0
2024-03-13,32.53,23.0,58.0,10.0,0.0
2024-03-14,39.44,38.0,58.0,20.0,0.0
2024-03-15,35.48,23.0,58.0,20.0,0.0
2024-03-18,35.52,23.0,58.0,20.0,0.0
2024-03-19,35.3,23.0,58.0,20.0,0.0
2024-03-20,32.29,23.0,58.0,20.0,3.0
2024-03-21,42.26,33.0,58.0,35.0,0.0
2024-03-22,41.0,28.0,58.0,35.0,0.0
2024-03-26,35.82,23.0,58.0,20.0,0.0
2024-03-27,39.87,38.0,58.0,20.0,0.0
2024-03-28,37.29,28.0,58.0,20.0,0.0
2024-04-01,16.21,37.0,37.0,35.0,21.0
2024-04-02,21.06,45.0,37.0,45.0,21.0
2024-04-03,31.26,60.0,37.0,70.0,21.0
2024-04-04,28.72,50.0,37.0,70.0,21.0
2024-04-05,35.19,75.0,37.0,70.0,21.0
2024-04-08,16.41,35.0,37.0,35.0,21.0
2024-04-09,16.19,35.0,37.0,35.0,21.0
2024-04-10,22.14,45.0,37.0,48.0,21.0
2024-04-12,19.63,35.0,37.0,48.0,21.0
2024-04-15,13.68,32.0,37.0,48.0,26.0
2024-04-16,16.37,32.0,37.0,38.0,21.0
2024-04-18,17.58,27.0,37.0,48.0,21.0
2024-04-19,17.4,27.0,37.0,48.0,21.0
2024-04-22,17.26,37.0,37.0,35.0,21.0
2024-04-23,21.84,55.0,37.0,35.0,21.0
2024-04-24,23.19,60.0,37.0,35.0,21.0
2024-04-25,20.64,50.0,37.0,35.0,21.0
2024-04-26,32.03,75.0,37.0,55.0,21.0
2024-04-29,25.73,50.0,37.0,55.0,21.0
2024-04-30,17.06,35.0,37.0,35.0,21.0
2024-05-02,22.64,55.0,37.0,38.0,21.0
2024-05-03,18.54,35.0,37.0,43.0,21.0
2024-05-06,13.97,27.0,37.0,35.0,21.0
2024-05-07,6.26,23.0,37.0,10.0,21.0
2024-05-08,7.78,28.0,37.0,10.0,21.0
2024-05-09,5.89,23.0,37.0,10.0,21.0
2024-05-10,7.43,28.0,37.0,10.0,21.0
2024-05-13,7.39,28.0,37.0,10.0,21.0
2024-05-14,16.51,37.0,37.0,35.0,21.0
2024-05-15,25.79,65.0,37.0,43.0,21.0
2024-05-16,14.43,27.0,37.0,35.0,21.0
2024-05-17,27.55,70.0,37.0,43.0,21.0
2024-05-21,26.24,65.0,37.0,43.0,21.0
2024-05-22,26.08,65.0,37.0,43.0,21.0
2024-05-23,22.19,50.0,37.0,43.0,21.0
2024-05-24,22.57,60.0,37.0,35.0,21.0
2024-05-27,19.9,50.0,37.0,35.0,21.0
2024-05-28,17.7,42.0,37.0,35.0,21.0
2024-05-29,18.99,47.0,37.0,35.0,21.0
2024-05-30,12.66,23.0,37.0,35.0,21.0
2024-05-31,14.15,28.0,37.0,35.0,21.0
2024-06-03,23.7,65.0,37.0,35.0,21.0
2024-06-04,9.51,33.0,37.0,35.0,26.0
2024-06-05,12.51,23.0,37.0,35.0,21.0
2024-06-06,16.87,38.0,37.0,35.0,21.0
2024-06-07,20.2,42.0,37.0,43.0,21.0
2024-06-10,20.4,42.0,37.0,43.0,21.0
2024-06-11,27.84,70.0,37.0,43.0,21.0
2024-06-12,34.18,75.0,37.0,63.0,21.0
2024-06-13,30.53,60.0,37.0,63.0,21.0
2024-06-14,28.22,50.0,37.0,63.0,21.0
2024-06-18,43.89,75.0,37.0,100.0,21.0
2024-06-19,41.05,65.0,37.0,100.0,21.0
2024-06-20,38.24,55.0,37.0,98.0,21.0
2024-06-21,34.56,50.0,37.0,88.0,21.0
2024-06-24,42.6,70.0,37.0,100.0,21.0
2024-06-25,34.6,50.0,37.0,100.0,24.0
2024-06-26,34.55,50.0,37.0,100.0,24.0
2024-06-27,28.79,50.0,37.0,78.0,24.0
2024-06-28,35.69,55.0,37.0,100.0,24.0
2024-07-01,27.32,50.0,37.0,70.0,24.0
2024-07-02,30.51,55.0,37.0,78.0,24.0
