scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-02-10,0.0,25.0,18.0,0.0,19.0
2026-02-11,3.68,45.0,18.0,8.0,19.0
2026-02-12,0.0,25.0,18.0,0.0,16.0
2026-02-13,5.73,45.0,18.0,18.0,19.0
2026-02-16,8.6,45.0,18.0,18.0,16.0
2026-02-17,0.0,17.0,18.0,8.0,19.0
2026-02-18,6.56,45.0,18.0,8.0,16.0
2026-02-19,0.0,17.0,18.0,8.0,16.0
2026-02-20,0.0,22.0,18.0,8.0,19.0
2026-02-23,0.0,22.0,18.0,8.0,19.0
2026-02-24,0.0,17.0,18.0,8.0,19.0
2026-02-25,0.0,17.0,18.0,8.0,19.0
2026-02-26,0.0,22.0,18.0,8.0,19.0
2026-02-27,0.0,17.0,18.0,0.0,19.0
2026-03-02,0.0,13.0,18.0,0.0,19.0
2026-03-04,0.0,16.0,18.0,0.0,19.0
2026-03-05,0.0,18.0,18.0,0.0,19.0
2026-03-06,0.0,22.0,18.0,0.0,19.0
2026-03-09,0.0,27.0,18.0,0.0,16.0
2026-03-10,0.0,21.0,18.0,0.0,16.0
2026-03-11,0.0,16.0,18.0,0.0,16.0
2026-03-12,0.0,21.0,18.0,0.0,16.0
2026-03-13,0.0,16.0,18.0,0.0,16.0
2026-03-16,0.0,9.0,18.0,0.0,16.0
2026-03-17,1.0,33.0,18.0,0.0,16.0
2026-03-18,2.3,37.0,18.0,0.0,16.0
2026-03-19,0.4,32.0,18.0,0.0,16.0
2026-03-20,7.67,50.0,18.0,10.0,16.0
2026-03-23,0.0,16.0,18.0,10.0,16.0
2026-03-24,0.0,16.0,18.0,0.0,16.0
2026-03-25,0.0,27.0,18.0,0.0,19.0
2026-03-27,0.17,31.0,18.0,0.0,16.0
2026-03-30,0.0,16.0,18.0,0.0,16.0
2026-04-01,19.87,21.0,66.0,0.0,12.0
2026-04-02,25.39,31.0,66.0,0.0,9.0
2026-04-06,19.99,21.0,66.0,0.0,12.0
2026-04-07,25.74,31.0,66.0,0.0,9.0
2026-04-08,24.49,22.0,66.0,0.0,9.0
2026-04-09,20.69,20.0,66.0,0.0,12.0
2026-04-10,25.79,26.0,66.0,0.0,9.0
2026-04-13,19.78,16.0,66.0,0.0,12.0
2026-04-15,24.81,21.0,66.0,0.0,9.0
2026-04-16,24.18,22.0,66.0,8.0,12.0
2026-04-17,41.08,60.0,66.0,25.0,9.0
2026-04-20,42.27,55.0,66.0,35.0,9.0
2026-04-21,39.84,42.0,66.0,50.0,12.0
2026-04-22,43.09,42.0,66.0,50.0,9.0
2026-04-23,44.28,47.0,66.0,50.0,9.0
2026-04-24,37.62,32.0,66.0,50.0,12.0
2026-04-27,49.94,57.0,66.0,60.0,9.0
2026-04-28,47.04,47.0,66.0,60.0,9.0
2026-04-29,40.64,32.0,66.0,60.0,12.0
2026-04-30,47.27,47.0,66.0,60.0,9.0
2026-05-01,46.98,47.0,66.0,60.0,9.0
2026-05-04,50.01,57.0,66.0,60.0,9.0
2026-05-05,43.01,60.0,66.0,50.0,14.0
2026-05-06,44.57,45.0,66.0,50.0,9.0
2026-05-07,45.88,50.0,66.0,50.0,9.0
2026-05-08,48.32,60.0,66.0,50.0,9.0
2026-05-11,43.86,45.0,66.0,50.0,9.0
2026-05-12,47.04,60.0,66.0,50.0,9.0
2026-05-13,48.38,65.0,66.0,50.0,9.0
2026-05-14,40.17,45.0,66.0,50.0,12.0
2026-05-15,43.02,45.0,66.0,50.0,9.0
2026-05-18,33.14,27.0,66.0,43.0,12.0
2026-05-19,36.59,27.0,66.0,43.0,9.0
2026-05-20,29.16,27.0,66.0,25.0,12.0
