scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,44.28,47.0,25.0,100.0,9.0
2023-09-06,44.17,47.0,25.0,100.0,9.0
2023-09-07,42.94,42.0,25.0,100.0,9.0
2023-09-08,44.71,50.0,25.0,100.0,9.0
2023-09-11,44.68,50.0,25.0,100.0,9.0
2023-09-12,34.37,43.0,25.0,88.0,14.0
2023-09-13,39.54,60.0,25.0,70.0,9.0
2023-09-14,38.72,50.0,25.0,88.0,12.0
2023-09-15,43.03,55.0,25.0,88.0,9.0
2023-09-18,35.93,50.0,25.0,78.0,12.0
2023-09-20,29.19,42.0,25.0,60.0,12.0
2023-09-21,29.05,42.0,25.0,60.0,12.0
2023-09-22,34.55,42.0,25.0,70.0,9.0
2023-09-25,29.02,42.0,25.0,60.0,12.0
2023-09-26,30.17,47.0,25.0,60.0,12.0
2023-09-27,39.2,60.0,25.0,70.0,9.0
2023-09-28,29.18,42.0,25.0,60.0,12.0
2023-09-29,39.52,60.0,25.0,70.0,9.0
2023-10-03,34.93,42.0,25.0,70.0,9.0
2023-10-04,34.69,42.0,25.0,70.0,9.0
2023-10-05,32.29,42.0,25.0,60.0,9.0
2023-10-06,27.6,23.0,25.0,60.0,9.0
2023-10-09,24.49,23.0,25.0,50.0,9.0
2023-10-10,29.78,33.0,25.0,60.0,9.0
2023-10-11,27.38,23.0,25.0,60.0,9.0
2023-10-12,31.56,28.0,25.0,70.0,9.0
2023-10-13,30.22,23.0,25.0,70.0,9.0
2023-10-16,25.09,23.0,25.0,50.0,9.0
2023-10-17,29.88,32.0,25.0,60.0,9.0
2023-10-18,26.07,27.0,25.0,50.0,9.0
2023-10-19,27.54,23.0,25.0,60.0,9.0
2023-10-20,29.73,23.0,25.0,70.0,9.0
2023-10-23,20.02,28.0,25.0,50.0,14.0
2023-10-25,25.02,29.0,25.0,50.0,9.0
2023-10-26,22.22,33.0,25.0,35.0,9.0
2023-10-27,21.27,28.0,25.0,35.0,9.0
2023-10-30,24.99,28.0,25.0,50.0,9.0
2023-10-31,20.0,23.0,25.0,35.0,9.0
2023-11-01,25.15,28.0,25.0,50.0,9.0
2023-11-02,33.47,60.0,25.0,50.0,9.0
2023-11-03,34.76,55.0,25.0,60.0,9.0
2023-11-06,29.99,35.0,25.0,60.0,9.0
2023-11-07,30.89,35.0,25.0,63.0,9.0
2023-11-08,34.86,50.0,25.0,63.0,9.0
2023-11-09,26.14,35.0,25.0,43.0,9.0
2023-11-10,43.54,75.0,25.0,73.0,9.0
2023-11-13,44.89,65.0,25.0,88.0,9.0
2023-11-15,38.61,55.0,25.0,73.0,9.0
2023-11-16,41.34,65.0,25.0,73.0,9.0
2023-11-17,43.03,65.0,25.0,80.0,9.0
2023-11-20,43.28,65.0,25.0,80.0,9.0
2023-11-21,43.32,65.0,25.0,80.0,9.0
2023-11-22,49.0,72.0,25.0,95.0,9.0
2023-11-23,47.54,67.0,25.0,95.0,9.0
2023-11-24,47.91,67.0,25.0,95.0,9.0
2023-11-28,49.02,67.0,25.0,100.0,9.0
2023-11-29,47.56,62.0,25.0,100.0,9.0
2023-11-30,42.68,47.0,25.0,95.0,9.0
2023-12-01,38.85,47.0,25.0,80.0,9.0
2023-12-04,38.83,47.0,25.0,80.0,9.0
2023-12-05,41.85,60.0,25.0,80.0,9.0
2023-12-06,38.65,60.0,25.0,80.0,12.0
2023-12-07,39.98,65.0,25.0,80.0,12.0
2023-12-08,38.51,60.0,25.0,80.0,12.0
2023-12-11,43.96,70.0,25.0,80.0,9.0
2023-12-12,35.69,60.0,25.0,70.0,12.0
2023-12-13,40.96,70.0,25.0,80.0,12.0
2023-12-14,43.37,60.0,25.0,100.0,12.0
2023-12-15,51.68,80.0,25.0,100.0,9.0
2023-12-18,47.95,65.0,25.0,100.0,9.0
2023-12-19,49.06,70.0,25.0,100.0,9.0
2023-12-20,44.55,75.0,25.0,100.0,14.0
2023-12-21,50.3,80.0,25.0,95.0,9.0
2023-12-22,49.18,75.0,25.0,95.0,9.0
2023-12-26,49.92,72.0,25.0,100.0,9.0
2023-12-27,44.96,65.0,25.0,88.0,9.0
2023-12-28,43.61,60.0,25.0,88.0,9.0
2023-12-29,43.57,60.0,25.0,88.0,9.0
2024-01-01,41.94,65.0,25.0,88.0,12.0
2024-01-02,45.49,65.0,25.0,88.0,9.0
2024-01-03,52.41,80.0,25.0,100.0,9.0
2024-01-04,47.39,60.0,25.0,100.0,9.0
2024-01-05,47.37,60.0,25.0,100.0,9.0
2024-01-08,47.16,60.0,25.0,100.0,9.0
2024-01-09,48.48,65.0,25.0,100.0,9.0
2024-01-10,44.17,60.0,25.0,100.0,12.0
2024-01-11,44.38,60.0,25.0,100.0,12.0
2024-01-12,45.44,65.0,25.0,100.0,12.0
2024-01-15,41.08,60.0,25.0,88.0,12.0
2024-01-16,36.36,42.0,25.0,88.0,12.0
2024-01-17,30.51,38.0,25.0,70.0,12.0
2024-01-18,40.58,47.0,25.0,88.0,9.0
2024-01-19,30.78,38.0,25.0,70.0,12.0
2024-01-23,29.58,23.0,25.0,70.0,9.0
2024-01-24,32.39,33.0,25.0,70.0,9.0
2024-01-25,26.7,23.0,25.0,70.0,12.0
2024-01-29,37.17,52.0,25.0,70.0,9.0
2024-01-30,36.05,47.0,25.0,70.0,9.0
2024-01-31,52.76,85.0,25.0,98.0,9.0
2024-02-01,51.16,80.0,25.0,98.0,9.0
2024-02-02,47.23,75.0,25.0,88.0,9.0
2024-02-05,45.9,70.0,25.0,88.0,9.0
2024-02-06,51.24,80.0,25.0,98.0,9.0
2024-02-07,44.36,52.0,25.0,98.0,9.0
2024-02-08,46.3,60.0,25.0,98.0,9.0
2024-02-09,43.45,60.0,25.0,88.0,9.0
2024-02-12,28.74,42.0,25.0,70.0,14.0
2024-02-13,45.36,70.0,25.0,88.0,9.0
