scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,48.67,60.0,27.0,98.0,8.0
2023-09-06,53.07,75.0,27.0,100.0,8.0
2023-09-07,51.76,70.0,27.0,100.0,8.0
2023-09-08,43.26,60.0,27.0,88.0,11.0
2023-09-11,43.01,65.0,27.0,70.0,8.0
2023-09-12,40.72,60.0,27.0,70.0,8.0
2023-09-13,44.86,75.0,27.0,70.0,8.0
2023-09-14,46.45,80.0,27.0,70.0,8.0
2023-09-15,45.03,75.0,27.0,70.0,8.0
2023-09-18,46.1,80.0,27.0,70.0,8.0
2023-09-20,47.93,70.0,27.0,88.0,8.0
2023-09-21,43.31,65.0,27.0,88.0,11.0
2023-09-22,45.63,52.0,27.0,98.0,8.0
2023-09-25,51.2,72.0,27.0,100.0,8.0
2023-09-26,51.23,72.0,27.0,100.0,8.0
2023-09-27,51.27,72.0,27.0,100.0,8.0
2023-09-28,51.07,72.0,27.0,100.0,8.0
2023-09-29,44.65,57.0,27.0,100.0,11.0
2023-10-03,44.54,57.0,27.0,100.0,11.0
2023-10-04,47.18,57.0,27.0,100.0,8.0
2023-10-05,49.92,67.0,27.0,100.0,8.0
2023-10-06,47.46,57.0,27.0,100.0,8.0
2023-10-09,41.22,47.0,27.0,100.0,11.0
2023-10-10,41.7,47.0,27.0,100.0,11.0
2023-10-11,48.88,62.0,27.0,100.0,8.0
2023-10-12,43.59,52.0,27.0,100.0,11.0
2023-10-13,43.54,52.0,27.0,100.0,11.0
2023-10-16,43.57,52.0,27.0,100.0,11.0
2023-10-17,43.71,52.0,27.0,100.0,11.0
2023-10-18,49.0,62.0,27.0,100.0,8.0
2023-10-19,43.57,52.0,27.0,100.0,11.0
2023-10-20,43.36,52.0,27.0,100.0,11.0
2023-10-23,46.41,57.0,27.0,100.0,8.0
2023-10-25,40.73,47.0,27.0,100.0,11.0
2023-10-26,44.09,60.0,27.0,100.0,11.0
2023-10-27,48.7,65.0,27.0,100.0,8.0
2023-10-30,44.36,60.0,27.0,100.0,11.0
2023-10-31,43.86,60.0,27.0,98.0,11.0
2023-11-01,39.57,60.0,27.0,70.0,8.0
2023-11-02,36.71,47.0,27.0,70.0,8.0
2023-11-03,36.85,47.0,27.0,70.0,8.0
2023-11-06,42.83,70.0,27.0,70.0,8.0
2023-11-07,35.94,42.0,27.0,70.0,8.0
2023-11-08,34.9,38.0,27.0,70.0,8.0
2023-11-09,37.08,48.0,27.0,70.0,8.0
2023-11-10,31.54,38.0,27.0,70.0,11.0
2023-11-13,46.4,85.0,27.0,70.0,8.0
2023-11-15,47.24,70.0,27.0,88.0,8.0
2023-11-16,46.64,70.0,27.0,98.0,11.0
2023-11-17,43.51,57.0,27.0,98.0,11.0
2023-11-20,50.67,72.0,27.0,100.0,8.0
2023-11-21,49.62,67.0,27.0,100.0,8.0
2023-11-22,41.68,47.0,27.0,100.0,11.0
2023-11-23,41.8,47.0,27.0,100.0,11.0
2023-11-24,48.45,62.0,27.0,100.0,8.0
2023-11-28,49.3,65.0,27.0,100.0,8.0
2023-11-29,48.05,60.0,27.0,100.0,8.0
2023-11-30,45.03,60.0,27.0,100.0,11.0
2023-12-01,49.37,65.0,27.0,100.0,8.0
2023-12-04,49.52,65.0,27.0,100.0,8.0
2023-12-05,49.46,65.0,27.0,100.0,8.0
2023-12-06,46.49,52.0,27.0,100.0,8.0
2023-12-07,45.45,60.0,27.0,100.0,11.0
2023-12-08,45.1,60.0,27.0,100.0,11.0
2023-12-11,45.37,60.0,27.0,100.0,11.0
2023-12-12,48.29,60.0,27.0,100.0,8.0
2023-12-13,49.57,65.0,27.0,100.0,8.0
2023-12-14,50.94,70.0,27.0,100.0,8.0
2023-12-15,48.58,65.0,27.0,95.0,8.0
2023-12-18,43.8,65.0,27.0,88.0,11.0
2023-12-19,48.15,70.0,27.0,88.0,8.0
2023-12-20,48.51,75.0,27.0,88.0,8.0
2023-12-21,45.33,60.0,27.0,88.0,8.0
2023-12-22,43.78,65.0,27.0,88.0,11.0
2023-12-26,40.83,52.0,27.0,88.0,11.0
2023-12-27,42.62,52.0,27.0,95.0,11.0
2023-12-28,48.72,65.0,27.0,95.0,8.0
2023-12-29,47.5,60.0,27.0,95.0,8.0
2024-01-01,49.14,65.0,27.0,95.0,8.0
2024-01-02,43.09,60.0,27.0,88.0,11.0
2024-01-03,46.02,60.0,27.0,88.0,8.0
2024-01-04,48.67,70.0,27.0,88.0,8.0
2024-01-05,47.2,65.0,27.0,88.0,8.0
2024-01-08,51.24,70.0,27.0,100.0,8.0
2024-01-09,50.13,65.0,27.0,100.0,8.0
2024-01-10,45.79,60.0,27.0,100.0,11.0
2024-01-11,45.93,60.0,27.0,100.0,11.0
2024-01-12,45.86,60.0,27.0,88.0,8.0
2024-01-15,51.99,75.0,27.0,98.0,8.0
2024-01-16,49.34,65.0,27.0,98.0,8.0
2024-01-17,47.69,60.0,27.0,98.0,8.0
2024-01-18,45.54,60.0,27.0,88.0,8.0
2024-01-19,44.1,65.0,27.0,88.0,11.0
2024-01-23,51.13,72.0,27.0,100.0,8.0
2024-01-24,51.56,72.0,27.0,100.0,8.0
2024-01-25,51.74,72.0,27.0,100.0,8.0
2024-01-29,51.9,72.0,27.0,100.0,8.0
2024-01-30,51.77,72.0,27.0,100.0,8.0
2024-01-31,50.75,67.0,27.0,100.0,8.0
2024-02-01,45.4,47.0,27.0,100.0,8.0
2024-02-02,45.39,47.0,27.0,100.0,8.0
2024-02-05,50.74,70.0,27.0,100.0,8.0
2024-02-06,50.87,70.0,27.0,100.0,8.0
2024-02-07,50.79,70.0,27.0,100.0,8.0
2024-02-08,49.36,65.0,27.0,100.0,8.0
2024-02-09,44.8,60.0,27.0,100.0,11.0
2024-02-12,44.26,60.0,27.0,100.0,11.0
2024-02-13,44.26,60.0,27.0,100.0,11.0
2024-02-14,48.74,65.0,27.0,100.0,8.0
2024-02-15,45.94,65.0,27.0,100.0,11.0
2024-02-16,46.0,65.0,27.0,100.0,11.0
2024-02-19,46.22,65.0,27.0,100.0,11.0
2024-02-20,49.11,65.0,27.0,100.0,8.0
2024-02-21,44.84,60.0,27.0,100.0,11.0
2024-02-22,43.1,65.0,27.0,88.0,11.0
2024-02-23,43.05,65.0,27.0,88.0,11.0
2024-02-26,45.87,65.0,27.0,88.0,8.0
2024-02-27,45.58,65.0,27.0,88.0,8.0
2024-02-28,43.08,75.0,27.0,70.0,8.0
2024-02-29,39.45,60.0,27.0,70.0,8.0
2024-03-01,42.4,65.0,27.0,88.0,11.0
2024-03-04,40.98,60.0,27.0,88.0,11.0
2024-03-05,45.03,65.0,27.0,88.0,8.0
2024-03-06,40.31,60.0,27.0,88.0,11.0
2024-03-07,44.61,65.0,27.0,88.0,8.0
2024-03-11,38.34,42.0,27.0,88.0,8.0
2024-03-12,20.8,23.0,27.0,70.0,16.0
2024-03-13,25.37,23.0,27.0,70.0,11.0
2024-03-14,18.69,19.0,27.0,45.0,11.0
2024-03-15,18.36,19.0,27.0,45.0,11.0
2024-03-18,28.72,48.0,27.0,45.0,8.0
2024-03-19,25.91,38.0,27.0,45.0,8.0
2024-03-20,22.39,34.0,27.0,35.0,8.0
2024-03-21,22.97,34.0,27.0,35.0,8.0
2024-03-22,26.59,38.0,27.0,45.0,8.0
2024-03-26,22.93,37.0,27.0,45.0,11.0
2024-03-27,41.86,85.0,27.0,60.0,8.0
2024-03-28,44.32,85.0,27.0,70.0,8.0
2024-04-01,57.44,80.0,42.0,70.0,0.0
2024-04-02,52.69,60.0,42.0,70.0,0.0
2024-04-03,50.62,60.0,42.0,60.0,0.0
2024-04-04,51.28,65.0,42.0,70.0,3.0
2024-04-05,53.19,60.0,42.0,70.0,0.0
2024-04-08,46.66,45.0,42.0,60.0,0.0
2024-04-09,47.79,50.0,42.0,60.0,0.0
2024-04-10,47.16,45.0,42.0,60.0,0.0
2024-04-12,44.56,32.0,42.0,63.0,0.0
2024-04-15,42.12,23.0,42.0,63.0,0.0
2024-04-16,45.89,28.0,42.0,73.0,0.0
2024-04-18,49.27,32.0,42.0,95.0,3.0
2024-04-19,41.46,23.0,42.0,73.0,3.0
2024-04-22,45.01,28.0,42.0,80.0,3.0
2024-04-23,49.24,32.0,42.0,80.0,0.0
2024-04-24,50.66,37.0,42.0,80.0,0.0
2024-04-25,49.22,32.0,42.0,80.0,0.0
2024-04-26,38.89,27.0,42.0,43.0,0.0
2024-04-29,41.86,47.0,42.0,35.0,0.0
2024-04-30,36.89,27.0,42.0,35.0,0.0
2024-05-02,37.88,32.0,42.0,35.0,0.0
2024-05-03,35.28,23.0,42.0,35.0,0.0
2024-05-06,37.3,33.0,42.0,35.0,0.0
2024-05-07,36.87,33.0,42.0,35.0,0.0
2024-05-08,39.56,43.0,42.0,35.0,0.0
2024-05-09,36.37,33.0,42.0,35.0,0.0
2024-05-10,36.65,33.0,42.0,35.0,0.0
2024-05-13,35.31,28.0,42.0,35.0,0.0
2024-05-14,32.67,28.0,42.0,35.0,3.0
2024-05-15,34.78,23.0,42.0,35.0,0.0
2024-05-16,35.94,28.0,42.0,35.0,0.0
2024-05-17,36.37,28.0,42.0,35.0,0.0
2024-05-21,45.05,55.0,42.0,43.0,0.0
2024-05-22,39.03,40.0,42.0,35.0,0.0
2024-05-23,41.29,50.0,42.0,35.0,0.0
2024-05-24,41.13,50.0,42.0,35.0,0.0
2024-05-27,28.92,27.0,42.0,10.0,0.0
2024-05-28,28.65,27.0,42.0,10.0,0.0
2024-05-29,24.76,23.0,42.0,10.0,3.0
2024-05-30,29.93,33.0,42.0,10.0,0.0
2024-05-31,31.26,38.0,42.0,10.0,0.0
2024-06-03,29.21,28.0,42.0,10.0,0.0
2024-06-04,28.22,28.0,42.0,10.0,0.0
2024-06-05,32.67,43.0,42.0,10.0,0.0
2024-06-06,31.93,38.0,42.0,10.0,0.0
2024-06-07,29.77,28.0,42.0,10.0,0.0
2024-06-10,31.46,32.0,42.0,10.0,0.0
2024-06-11,31.6,32.0,42.0,10.0,0.0
2024-06-12,40.57,60.0,42.0,18.0,0.0
2024-06-13,42.22,65.0,42.0,18.0,0.0
2024-06-14,42.44,65.0,42.0,18.0,0.0
2024-06-18,39.0,50.0,42.0,18.0,0.0
2024-06-19,35.58,35.0,42.0,20.0,0.0
2024-06-20,46.94,60.0,42.0,38.0,0.0
2024-06-21,35.91,35.0,42.0,20.0,0.0
2024-06-24,35.86,35.0,42.0,20.0,0.0
2024-06-25,40.75,55.0,42.0,20.0,0.0
2024-06-26,46.63,60.0,42.0,38.0,0.0
2024-06-27,39.27,32.0,42.0,38.0,0.0
2024-06-28,31.44,32.0,42.0,18.0,3.0
2024-07-01,34.88,32.0,42.0,18.0,0.0
2024-07-02,48.23,75.0,42.0,28.0,0.0
2024-07-03,50.03,75.0,42.0,35.0,0.0
2024-07-04,44.99,55.0,42.0,35.0,0.0
2024-07-05,52.25,85.0,42.0,35.0,0.0
2024-07-08,44.57,55.0,42.0,35.0,0.0
2024-07-09,38.87,50.0,42.0,18.0,0.0
2024-07-10,44.87,65.0,42.0,28.0,0.0
2024-07-11,43.8,70.0,42.0,18.0,0.0
2024-07-12,38.51,50.0,42.0,18.0,0.0
2024-07-15,35.56,50.0,42.0,18.0,3.0
2024-07-16,41.92,55.0,42.0,38.0,3.0
2024-07-18,35.24,50.0,42.0,18.0,3.0
2024-07-19,33.5,42.0,42.0,10.0,0.0
2024-07-22,36.05,42.0,42.0,18.0,0.0
2024-07-23,32.67,42.0,42.0,18.0,3.0
2024-07-24,29.65,23.0,42.0,10.0,0.0
2024-07-25,28.77,32.0,42.0,10.0,3.0
2024-07-26,48.68,70.0,42.0,38.0,0.0
2024-07-29,54.22,75.0,42.0,55.0,0.0
2024-07-30,53.15,70.0,42.0,55.0,0.0
2024-07-31,46.81,57.0,42.0,55.0,3.0
2024-08-01,59.33,72.0,42.0,80.0,0.0
2024-08-02,59.25,72.0,42.0,80.0,0.0
2024-08-05,57.22,67.0,42.0,80.0,0.0
2024-08-06,54.65,57.0,42.0,80.0,0.0
2024-08-07,54.12,52.0,42.0,80.0,0.0
2024-08-08,52.63,47.0,42.0,80.0,0.0
2024-08-09,52.94,47.0,42.0,80.0,0.0
2024-08-12,54.12,52.0,42.0,80.0,0.0
2024-08-13,55.61,60.0,42.0,80.0,0.0
2024-08-14,52.43,60.0,42.0,80.0,3.0
2024-08-16,58.23,70.0,42.0,80.0,0.0
2024-08-19,55.78,70.0,42.0,80.0,3.0
2024-08-20,57.59,57.0,42.0,100.0,3.0
2024-08-21,57.84,57.0,42.0,100.0,3.0
2024-08-22,58.03,57.0,42.0,100.0,3.0
2024-08-23,64.48,72.0,42.0,100.0,0.0
2024-08-26,63.35,67.0,42.0,100.0,0.0
2024-08-27,59.82,52.0,42.0,100.0,0.0
2024-08-28,58.35,47.0,42.0,100.0,0.0
2024-08-29,53.32,60.0,42.0,100.0,8.0
2024-08-30,63.96,70.0,42.0,100.0,0.0
2024-09-02,62.58,65.0,42.0,100.0,0.0
2024-09-03,53.7,60.0,42.0,80.0,3.0
2024-09-04,53.85,60.0,42.0,80.0,3.0
2024-09-05,62.3,62.0,42.0,100.0,0.0
2024-09-06,64.44,72.0,42.0,100.0,0.0
2024-09-09,62.84,67.0,42.0,100.0,0.0
2024-09-10,60.78,57.0,42.0,100.0,0.0
2024-09-11,62.54,65.0,42.0,100.0,0.0
2024-09-12,62.52,65.0,42.0,100.0,0.0
2024-09-13,62.09,62.0,42.0,100.0,0.0
2024-09-16,57.88,57.0,42.0,100.0,3.0
2024-09-17,57.69,57.0,42.0,100.0,3.0
2024-09-18,57.45,57.0,42.0,100.0,3.0
2024-09-19,62.46,67.0,42.0,100.0,0.0
2024-09-20,60.16,57.0,42.0,100.0,0.0
2024-09-23,61.56,62.0,42.0,100.0,0.0
2024-09-24,61.58,62.0,42.0,100.0,0.0
2024-09-25,62.67,67.0,42.0,100.0,0.0
2024-09-26,57.37,47.0,42.0,100.0,0.0
2024-09-27,55.7,60.0,42.0,100.0,5.0
2024-09-30,53.3,50.0,42.0,100.0,5.0
2024-10-01,63.63,70.0,42.0,100.0,0.0
2024-10-03,60.38,60.0,42.0,100.0,0.0
2024-10-04,54.54,50.0,42.0,100.0,3.0
2024-10-07,53.9,50.0,42.0,100.0,3.0
2024-10-08,57.08,60.0,42.0,100.0,3.0
2024-10-09,55.79,55.0,42.0,100.0,3.0
2024-10-10,56.05,55.0,42.0,100.0,3.0
2024-10-11,56.1,55.0,42.0,100.0,3.0
2024-10-14,54.73,50.0,42.0,100.0,3.0
2024-10-15,52.31,42.0,42.0,98.0,3.0
2024-10-16,45.74,42.0,42.0,70.0,3.0
2024-10-17,45.26,42.0,42.0,70.0,3.0
2024-10-18,47.31,38.0,42.0,70.0,0.0
2024-10-21,43.13,23.0,42.0,70.0,0.0
2024-10-22,37.46,23.0,42.0,70.0,5.0
2024-10-23,43.97,28.0,42.0,70.0,0.0
2024-10-24,39.4,23.0,42.0,70.0,3.0
2024-10-25,36.13,19.0,42.0,70.0,5.0
2024-10-28,47.45,43.0,42.0,70.0,0.0
2024-10-29,41.33,19.0,42.0,70.0,0.0
2024-10-30,45.41,33.0,42.0,70.0,0.0
2024-10-31,45.52,33.0,42.0,70.0,0.0
2024-11-01,46.95,37.0,42.0,70.0,0.0
2024-11-04,49.97,50.0,42.0,70.0,0.0
2024-11-05,47.66,40.0,42.0,70.0,0.0
2024-11-06,48.12,40.0,42.0,70.0,0.0
2024-11-07,44.74,27.0,42.0,70.0,0.0
2024-11-08,43.18,23.0,42.0,70.0,0.0
2024-11-11,42.92,23.0,42.0,70.0,0.0
2024-11-12,42.66,23.0,42.0,70.0,0.0
2024-11-13,39.68,23.0,42.0,60.0,0.0
2024-11-14,39.92,23.0,42.0,60.0,0.0
2024-11-18,43.51,38.0,42.0,60.0,0.0
2024-11-19,39.89,23.0,42.0,60.0,0.0
2024-11-21,33.52,23.0,42.0,35.0,0.0
2024-11-22,36.21,33.0,42.0,35.0,0.0
2024-11-25,35.25,28.0,42.0,35.0,0.0
2024-11-26,40.96,32.0,42.0,53.0,0.0
2024-11-27,49.48,45.0,42.0,73.0,0.0
2024-11-28,55.18,45.0,42.0,95.0,0.0
2024-11-29,47.94,35.0,42.0,88.0,3.0
2024-12-02,48.7,35.0,42.0,78.0,0.0
2024-12-03,47.24,40.0,42.0,78.0,3.0
2024-12-04,48.44,50.0,42.0,60.0,0.0
2024-12-05,40.68,35.0,42.0,45.0,0.0
2024-12-06,44.49,50.0,42.0,45.0,0.0
2024-12-09,39.45,40.0,42.0,35.0,0.0
2024-12-10,41.58,40.0,42.0,43.0,0.0
2024-12-11,48.0,45.0,42.0,63.0,0.0
2024-12-12,38.02,27.0,42.0,43.0,0.0
2024-12-13,53.07,70.0,42.0,60.0,0.0
2024-12-16,49.41,55.0,42.0,60.0,0.0
2024-12-17,49.25,55.0,42.0,60.0,0.0
2024-12-18,44.78,50.0,42.0,60.0,3.0
2024-12-19,47.84,50.0,42.0,60.0,0.0
2024-12-20,52.34,70.0,42.0,60.0,0.0
2024-12-23,43.37,42.0,42.0,53.0,0.0
2024-12-24,39.8,27.0,42.0,53.0,0.0
