scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,36.08,42.0,27.0,35.0,0.0
2023-09-06,27.66,45.0,27.0,10.0,3.0
2023-09-07,34.49,45.0,27.0,25.0,0.0
2023-09-08,23.27,27.0,27.0,10.0,3.0
2023-09-11,33.2,55.0,27.0,10.0,0.0
2023-09-12,29.01,42.0,27.0,10.0,0.0
2023-09-13,24.56,23.0,27.0,10.0,0.0
2023-09-14,26.03,32.0,27.0,18.0,3.0
2023-09-15,32.77,37.0,27.0,28.0,0.0
2023-09-18,39.58,50.0,27.0,43.0,0.0
2023-09-20,40.7,55.0,27.0,43.0,0.0
2023-09-21,47.96,75.0,27.0,53.0,0.0
2023-09-22,51.48,62.0,27.0,80.0,0.0
2023-09-25,47.14,65.0,27.0,80.0,5.0
2023-09-26,49.74,55.0,27.0,80.0,0.0
2023-09-27,50.99,60.0,27.0,80.0,0.0
2023-09-28,53.47,70.0,27.0,80.0,0.0
2023-09-29,52.38,65.0,27.0,80.0,0.0
2023-10-03,52.56,65.0,27.0,80.0,0.0
2023-10-04,55.15,62.0,27.0,95.0,0.0
2023-10-05,51.57,47.0,27.0,95.0,0.0
2023-10-06,53.03,52.0,27.0,95.0,0.0
2023-10-09,43.0,50.0,27.0,80.0,5.0
2023-10-10,53.44,55.0,27.0,95.0,0.0
2023-10-11,50.61,55.0,27.0,95.0,3.0
2023-10-12,55.32,60.0,27.0,95.0,0.0
2023-10-13,52.72,50.0,27.0,95.0,0.0
2023-10-16,49.71,50.0,27.0,95.0,3.0
2023-10-17,55.4,55.0,27.0,100.0,0.0
2023-10-18,52.66,50.0,27.0,95.0,0.0
2023-10-19,51.04,50.0,27.0,100.0,3.0
2023-10-20,49.59,50.0,27.0,95.0,3.0
2023-10-23,34.64,50.0,27.0,60.0,8.0
2023-10-25,31.53,38.0,27.0,60.0,8.0
2023-10-26,40.11,52.0,27.0,60.0,3.0
2023-10-27,52.06,60.0,27.0,98.0,3.0
2023-10-30,46.98,50.0,27.0,88.0,3.0
2023-10-31,42.46,42.0,27.0,78.0,3.0
2023-11-01,54.86,60.0,27.0,98.0,0.0
