scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,51.08,72.0,26.0,100.0,9.0
2023-09-06,49.72,67.0,26.0,100.0,9.0
2023-09-07,44.74,47.0,26.0,100.0,9.0
2023-09-08,46.01,52.0,26.0,100.0,9.0
2023-09-11,46.12,52.0,26.0,100.0,9.0
2023-09-12,43.55,65.0,26.0,100.0,14.0
2023-09-13,49.86,70.0,26.0,100.0,9.0
2023-09-14,53.75,85.0,26.0,100.0,9.0
2023-09-15,47.61,60.0,26.0,100.0,9.0
2023-09-18,44.39,60.0,26.0,100.0,12.0
2023-09-20,48.44,65.0,26.0,100.0,9.0
2023-09-21,46.94,60.0,26.0,100.0,9.0
2023-09-22,48.18,65.0,26.0,100.0,9.0
2023-09-25,44.04,60.0,26.0,100.0,12.0
2023-09-26,44.08,60.0,26.0,100.0,12.0
2023-09-27,49.55,70.0,26.0,100.0,9.0
2023-09-28,46.88,60.0,26.0,100.0,9.0
2023-09-29,45.31,65.0,26.0,100.0,12.0
2023-10-03,44.16,60.0,26.0,100.0,12.0
2023-10-04,40.88,60.0,26.0,88.0,12.0
2023-10-05,37.83,65.0,26.0,70.0,12.0
2023-10-06,49.27,80.0,26.0,88.0,9.0
2023-10-09,34.17,60.0,26.0,70.0,14.0
2023-10-10,50.37,85.0,26.0,88.0,9.0
2023-10-11,47.85,75.0,26.0,88.0,9.0
2023-10-12,51.3,75.0,26.0,100.0,9.0
2023-10-13,47.4,60.0,26.0,100.0,9.0
2023-10-16,49.47,70.0,26.0,98.0,9.0
2023-10-17,48.5,65.0,26.0,98.0,9.0
2023-10-18,50.09,70.0,26.0,100.0,9.0
2023-10-19,50.71,72.0,26.0,100.0,9.0
2023-10-20,51.35,75.0,26.0,100.0,9.0
2023-10-23,41.09,60.0,26.0,98.0,14.0
2023-10-25,49.98,75.0,26.0,100.0,9.0
2023-10-26,48.81,70.0,26.0,100.0,9.0
2023-10-27,47.49,65.0,26.0,98.0,9.0
2023-10-30,50.39,75.0,26.0,100.0,9.0
2023-10-31,46.6,60.0,26.0,100.0,9.0
2023-11-01,44.67,65.0,26.0,100.0,12.0
2023-11-02,46.12,70.0,26.0,100.0,12.0
2023-11-03,43.66,60.0,26.0,100.0,12.0
2023-11-06,45.11,65.0,26.0,100.0,12.0
2023-11-07,45.05,65.0,26.0,100.0,12.0
2023-11-08,45.16,65.0,26.0,100.0,12.0
2023-11-09,43.18,60.0,26.0,98.0,12.0
2023-11-10,40.69,60.0,26.0,88.0,12.0
2023-11-13,48.99,70.0,26.0,98.0,9.0
2023-11-15,43.57,60.0,26.0,98.0,12.0
2023-11-16,40.99,60.0,26.0,88.0,12.0
2023-11-17,41.1,60.0,26.0,88.0,12.0
2023-11-20,37.83,65.0,26.0,70.0,12.0
2023-11-21,39.77,60.0,26.0,70.0,9.0
2023-11-22,41.24,60.0,26.0,88.0,12.0
2023-11-23,36.82,42.0,26.0,88.0,12.0
2023-11-24,36.89,42.0,26.0,88.0,12.0
2023-11-28,49.32,80.0,26.0,88.0,9.0
2023-11-29,50.52,85.0,26.0,88.0,9.0
2023-11-30,50.41,72.0,26.0,100.0,9.0
2023-12-01,49.91,70.0,26.0,100.0,9.0
2023-12-04,50.35,72.0,26.0,100.0,9.0
2023-12-05,47.1,60.0,26.0,100.0,9.0
2023-12-06,48.33,65.0,26.0,100.0,9.0
2023-12-07,48.96,67.0,26.0,100.0,9.0
2023-12-08,48.25,65.0,26.0,100.0,9.0
2023-12-11,49.76,70.0,26.0,100.0,9.0
2023-12-12,48.29,65.0,26.0,100.0,9.0
2023-12-13,44.3,60.0,26.0,100.0,12.0
2023-12-14,49.15,67.0,26.0,100.0,9.0
2023-12-15,45.31,52.0,26.0,100.0,9.0
2023-12-18,45.28,52.0,26.0,100.0,9.0
2023-12-19,44.16,60.0,26.0,100.0,12.0
2023-12-20,41.31,60.0,26.0,100.0,14.0
2023-12-21,49.39,70.0,26.0,100.0,9.0
2023-12-22,45.24,65.0,26.0,100.0,12.0
2023-12-26,44.18,60.0,26.0,100.0,12.0
2023-12-27,49.62,70.0,26.0,100.0,9.0
2023-12-28,53.26,85.0,26.0,100.0,9.0
2023-12-29,44.08,60.0,26.0,88.0,9.0
2024-01-01,42.53,65.0,26.0,88.0,12.0
2024-01-02,44.15,60.0,26.0,88.0,9.0
2024-01-03,53.54,85.0,26.0,100.0,9.0
2024-01-04,50.02,70.0,26.0,100.0,9.0
2024-01-05,44.53,60.0,26.0,88.0,9.0
2024-01-08,46.82,60.0,26.0,98.0,9.0
2024-01-09,53.73,85.0,26.0,100.0,9.0
2024-01-10,48.02,62.0,26.0,100.0,9.0
2024-01-11,44.42,47.0,26.0,100.0,9.0
2024-01-12,48.86,65.0,26.0,100.0,9.0
2024-01-15,48.76,65.0,26.0,100.0,9.0
2024-01-16,46.78,60.0,26.0,98.0,9.0
2024-01-17,46.59,60.0,26.0,98.0,9.0
2024-01-18,47.32,60.0,26.0,100.0,9.0
2024-01-19,53.7,85.0,26.0,100.0,9.0
2024-01-23,49.87,72.0,26.0,100.0,9.0
2024-01-24,49.15,67.0,26.0,100.0,9.0
2024-01-25,50.55,72.0,26.0,100.0,9.0
2024-01-29,50.65,72.0,26.0,100.0,9.0
2024-01-30,48.01,62.0,26.0,100.0,9.0
2024-01-31,45.74,52.0,26.0,100.0,9.0
2024-02-01,50.59,72.0,26.0,100.0,9.0
2024-02-02,50.48,72.0,26.0,100.0,9.0
2024-02-05,45.41,52.0,26.0,100.0,9.0
2024-02-06,39.32,47.0,26.0,100.0,14.0
2024-02-07,42.51,52.0,26.0,100.0,12.0
2024-02-08,41.11,47.0,26.0,100.0,12.0
2024-02-09,41.54,50.0,26.0,100.0,12.0
2024-02-12,35.78,50.0,26.0,100.0,17.0
2024-02-13,38.71,50.0,26.0,100.0,14.0
2024-02-14,43.48,60.0,26.0,100.0,12.0
2024-02-15,43.62,60.0,26.0,100.0,12.0
2024-02-16,41.27,50.0,26.0,100.0,12.0
2024-02-19,43.97,60.0,26.0,100.0,12.0
2024-02-20,42.61,55.0,26.0,100.0,12.0
2024-02-21,41.05,50.0,26.0,100.0,12.0
2024-02-22,43.64,60.0,26.0,100.0,12.0
2024-02-23,41.11,50.0,26.0,100.0,12.0
2024-02-26,40.57,50.0,26.0,98.0,12.0
2024-02-27,40.46,50.0,26.0,98.0,12.0
2024-02-28,37.42,50.0,26.0,88.0,12.0
2024-02-29,35.53,60.0,26.0,70.0,12.0
2024-03-01,33.16,50.0,26.0,70.0,12.0
2024-03-04,33.05,50.0,26.0,70.0,12.0
2024-03-05,34.05,55.0,26.0,70.0,12.0
2024-03-06,33.23,42.0,26.0,70.0,9.0
2024-03-07,30.52,42.0,26.0,70.0,12.0
2024-03-11,31.92,38.0,26.0,70.0,9.0
2024-03-12,27.92,23.0,26.0,70.0,9.0
2024-03-13,27.33,23.0,26.0,70.0,9.0
2024-03-14,32.99,43.0,26.0,70.0,9.0
2024-03-15,29.03,28.0,26.0,70.0,9.0
2024-03-18,27.82,23.0,26.0,70.0,9.0
2024-03-19,27.6,23.0,26.0,70.0,9.0
2024-03-20,27.6,23.0,26.0,70.0,9.0
2024-03-21,30.81,33.0,26.0,70.0,9.0
2024-03-22,30.8,33.0,26.0,70.0,9.0
2024-03-26,28.12,23.0,26.0,70.0,9.0
2024-03-27,29.67,28.0,26.0,70.0,9.0
2024-03-28,33.09,42.0,26.0,70.0,9.0
2024-04-01,44.56,45.0,53.0,70.0,9.0
2024-04-02,51.16,70.0,53.0,70.0,9.0
2024-04-03,42.61,35.0,53.0,70.0,9.0
2024-04-04,42.57,35.0,53.0,70.0,9.0
2024-04-05,57.29,75.0,53.0,88.0,9.0
2024-04-08,54.76,55.0,53.0,98.0,9.0
2024-04-09,57.04,65.0,53.0,98.0,9.0
2024-04-10,53.99,50.0,53.0,100.0,9.0
2024-04-12,53.98,50.0,53.0,100.0,9.0
2024-04-15,45.53,37.0,53.0,100.0,14.0
2024-04-16,47.72,27.0,53.0,98.0,9.0
2024-04-18,48.18,27.0,53.0,100.0,9.0
2024-04-19,50.5,37.0,53.0,100.0,9.0
2024-04-22,46.86,32.0,53.0,100.0,12.0
2024-04-23,60.69,75.0,53.0,100.0,9.0
2024-04-24,57.04,60.0,53.0,100.0,9.0
2024-04-25,54.49,50.0,53.0,100.0,9.0
2024-04-26,60.88,75.0,53.0,100.0,9.0
2024-04-29,60.83,75.0,53.0,100.0,9.0
2024-04-30,54.66,50.0,53.0,100.0,9.0
2024-05-02,49.49,50.0,53.0,80.0,9.0
2024-05-03,47.39,50.0,53.0,73.0,9.0
2024-05-06,44.32,50.0,53.0,63.0,9.0
2024-05-07,36.86,42.0,53.0,43.0,9.0
2024-05-08,40.88,65.0,53.0,35.0,9.0
2024-05-09,34.49,42.0,53.0,35.0,9.0
2024-05-10,38.03,55.0,53.0,35.0,9.0
2024-05-13,31.74,42.0,53.0,35.0,12.0
2024-05-14,41.86,60.0,53.0,43.0,9.0
2024-05-15,39.14,50.0,53.0,53.0,12.0
2024-05-16,48.53,55.0,53.0,73.0,9.0
2024-05-17,58.15,70.0,53.0,95.0,9.0
2024-05-21,59.34,75.0,53.0,95.0,9.0
2024-05-22,50.43,55.0,53.0,80.0,9.0
2024-05-23,51.54,60.0,53.0,80.0,9.0
2024-05-24,47.17,50.0,53.0,73.0,9.0
2024-05-27,47.0,50.0,53.0,73.0,9.0
2024-05-28,39.3,50.0,53.0,43.0,9.0
2024-05-29,44.34,70.0,53.0,43.0,9.0
2024-05-30,35.01,42.0,53.0,35.0,9.0
2024-05-31,48.0,65.0,53.0,63.0,9.0
2024-06-03,55.8,85.0,53.0,73.0,9.0
2024-06-04,38.86,52.0,53.0,63.0,14.0
2024-06-05,35.86,38.0,53.0,43.0,9.0
2024-06-06,48.22,65.0,53.0,63.0,9.0
2024-06-07,49.05,60.0,53.0,70.0,9.0
2024-06-10,45.0,50.0,53.0,63.0,9.0
2024-06-11,63.44,85.0,53.0,100.0,9.0
2024-06-12,61.03,75.0,53.0,100.0,9.0
2024-06-13,57.38,60.0,53.0,100.0,9.0
2024-06-14,62.57,80.0,53.0,100.0,9.0
2024-06-18,57.74,60.0,53.0,100.0,9.0
2024-06-19,56.9,70.0,53.0,88.0,9.0
2024-06-20,61.34,75.0,53.0,100.0,9.0
2024-06-21,61.41,75.0,53.0,100.0,9.0
2024-06-24,57.7,60.0,53.0,100.0,9.0
2024-06-25,54.7,60.0,53.0,100.0,12.0
2024-06-26,54.65,60.0,53.0,100.0,12.0
2024-06-27,58.64,65.0,53.0,100.0,9.0
2024-06-28,54.54,60.0,53.0,100.0,12.0
2024-07-01,51.92,60.0,53.0,88.0,12.0
2024-07-02,57.36,70.0,53.0,88.0,9.0
2024-07-03,63.06,80.0,53.0,100.0,9.0
2024-07-04,61.09,72.0,53.0,100.0,9.0
2024-07-05,58.44,62.0,53.0,100.0,9.0
2024-07-08,57.05,57.0,53.0,100.0,9.0
2024-07-09,54.53,47.0,53.0,100.0,9.0
2024-07-10,54.1,47.0,53.0,100.0,9.0
2024-07-11,58.07,62.0,53.0,100.0,9.0
2024-07-12,57.35,60.0,53.0,100.0,9.0
2024-07-15,54.34,60.0,53.0,100.0,12.0
