scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-11-03,10.04,13.0,14.0,0.0,4.0
2023-11-06,10.55,13.0,14.0,0.0,4.0
2023-11-07,10.7,13.0,14.0,0.0,4.0
2023-11-08,11.91,18.0,14.0,0.0,4.0
2023-11-09,14.21,18.0,14.0,10.0,4.0
2023-11-10,13.64,16.0,14.0,10.0,4.0
2023-11-13,15.03,21.0,14.0,10.0,4.0
2023-11-15,15.49,23.0,14.0,10.0,4.0
2023-11-16,15.2,22.0,14.0,10.0,4.0
2023-11-17,22.19,35.0,14.0,25.0,4.0
2023-11-20,11.24,17.0,14.0,10.0,7.0
2023-11-21,18.99,35.0,14.0,10.0,4.0
2023-11-22,18.43,25.0,14.0,18.0,4.0
2023-11-23,20.3,30.0,14.0,18.0,4.0
2023-11-24,15.63,25.0,14.0,18.0,7.0
2023-11-28,18.65,25.0,14.0,18.0,4.0
2023-11-29,22.28,40.0,14.0,18.0,4.0
2023-11-30,19.68,30.0,14.0,18.0,4.0
2023-12-01,16.45,17.0,14.0,18.0,4.0
2023-12-04,16.45,17.0,14.0,18.0,4.0
2023-12-05,16.33,17.0,14.0,18.0,4.0
2023-12-06,17.39,32.0,14.0,8.0,4.0
2023-12-07,18.21,35.0,14.0,8.0,4.0
2023-12-08,17.76,35.0,14.0,8.0,4.0
2023-12-11,25.4,55.0,14.0,18.0,4.0
2023-12-12,26.54,60.0,14.0,18.0,4.0
2023-12-13,22.81,45.0,14.0,18.0,4.0
2023-12-14,25.47,55.0,14.0,18.0,4.0
2023-12-15,24.61,55.0,14.0,15.0,4.0
2023-12-18,22.37,52.0,14.0,8.0,4.0
2023-12-19,20.44,45.0,14.0,8.0,4.0
2023-12-20,19.63,45.0,14.0,8.0,4.0
2023-12-21,23.95,50.0,14.0,18.0,4.0
2023-12-22,25.08,55.0,14.0,18.0,4.0
2023-12-26,25.65,50.0,14.0,25.0,4.0
2023-12-27,21.29,45.0,14.0,25.0,7.0
2023-12-28,19.98,35.0,14.0,18.0,4.0
2023-12-29,23.3,50.0,14.0,15.0,4.0
2024-01-01,24.74,45.0,14.0,25.0,4.0
2024-01-02,32.24,65.0,14.0,35.0,4.0
2024-01-03,27.35,45.0,14.0,35.0,4.0
2024-01-04,33.74,70.0,14.0,35.0,4.0
2024-01-05,28.8,50.0,14.0,35.0,4.0
2024-01-08,17.68,35.0,14.0,18.0,7.0
2024-01-09,20.67,35.0,14.0,18.0,4.0
2024-01-10,21.9,40.0,14.0,18.0,4.0
2024-01-11,21.55,50.0,14.0,18.0,7.0
2024-01-12,33.9,70.0,14.0,35.0,4.0
2024-01-15,24.48,45.0,14.0,35.0,7.0
2024-01-16,23.04,45.0,14.0,18.0,4.0
2024-01-17,22.89,45.0,14.0,18.0,4.0
2024-01-18,18.67,27.0,14.0,18.0,4.0
2024-01-19,19.95,32.0,14.0,18.0,4.0
2024-01-23,17.42,32.0,14.0,10.0,4.0
2024-01-24,14.79,32.0,14.0,10.0,7.0
2024-01-25,16.8,27.0,14.0,10.0,4.0
2024-01-29,18.26,32.0,14.0,10.0,4.0
2024-01-30,18.11,32.0,14.0,10.0,4.0
2024-01-31,35.0,70.0,14.0,38.0,4.0
2024-02-01,24.7,50.0,14.0,18.0,4.0
2024-02-02,23.48,45.0,14.0,18.0,4.0
2024-02-05,13.5,27.0,14.0,10.0,7.0
2024-02-06,25.7,55.0,14.0,18.0,4.0
2024-02-07,24.7,50.0,14.0,18.0,4.0
2024-02-08,39.84,70.0,14.0,60.0,4.0
2024-02-09,31.56,45.0,14.0,53.0,4.0
2024-02-12,33.47,55.0,14.0,53.0,4.0
2024-02-13,32.44,45.0,14.0,60.0,4.0
2024-02-14,32.88,45.0,14.0,60.0,4.0
2024-02-15,34.43,50.0,14.0,73.0,7.0
2024-02-16,45.54,55.0,14.0,100.0,4.0
2024-02-19,49.5,70.0,14.0,100.0,4.0
2024-02-20,44.98,52.0,14.0,100.0,4.0
2024-02-21,42.36,42.0,14.0,100.0,4.0
2024-02-22,43.03,45.0,14.0,100.0,4.0
2024-02-23,39.99,45.0,14.0,100.0,7.0
2024-02-26,39.71,45.0,14.0,100.0,7.0
2024-02-27,39.43,45.0,14.0,100.0,7.0
2024-02-28,43.24,50.0,14.0,100.0,4.0
2024-02-29,44.61,55.0,14.0,100.0,4.0
2024-03-01,39.43,45.0,14.0,100.0,7.0
2024-03-04,45.52,57.0,14.0,100.0,4.0
2024-03-05,41.86,45.0,14.0,100.0,4.0
2024-03-06,42.81,50.0,14.0,100.0,4.0
2024-03-07,46.65,65.0,14.0,100.0,4.0
2024-03-11,38.61,55.0,14.0,100.0,9.0
2024-03-12,31.51,45.0,14.0,63.0,4.0
2024-03-13,29.07,37.0,14.0,63.0,4.0
2024-03-14,23.68,23.0,14.0,53.0,4.0
2024-03-15,23.27,23.0,14.0,53.0,4.0
2024-03-18,16.77,8.0,14.0,53.0,7.0
2024-03-19,9.53,13.0,14.0,20.0,7.0
2024-03-20,12.58,13.0,14.0,20.0,4.0
2024-03-21,19.66,37.0,14.0,35.0,7.0
2024-03-22,18.52,32.0,14.0,35.0,7.0
2024-03-26,12.16,8.0,14.0,35.0,7.0
2024-03-27,33.27,55.0,14.0,60.0,4.0
2024-03-28,25.66,50.0,14.0,35.0,4.0
2024-04-01,30.52,50.0,14.0,50.0,4.0
2024-04-02,40.26,50.0,14.0,88.0,4.0
2024-04-03,32.84,55.0,14.0,53.0,4.0
2024-04-04,27.58,45.0,14.0,53.0,7.0
2024-04-05,23.19,45.0,14.0,35.0,7.0
2024-04-08,22.97,45.0,14.0,35.0,7.0
2024-04-09,19.34,45.0,14.0,20.0,7.0
2024-04-10,14.91,27.0,14.0,20.0,7.0
2024-04-12,18.43,27.0,14.0,35.0,7.0
2024-04-15,14.41,12.0,14.0,35.0,7.0
2024-04-16,28.59,50.0,14.0,53.0,7.0
2024-04-18,44.07,65.0,14.0,88.0,4.0
2024-04-19,24.52,27.0,14.0,48.0,4.0
2024-04-22,27.93,50.0,14.0,48.0,7.0
2024-04-23,25.59,50.0,14.0,38.0,7.0
2024-04-24,32.46,50.0,14.0,53.0,4.0
2024-04-25,31.93,50.0,14.0,63.0,7.0
2024-04-26,32.16,50.0,14.0,63.0,7.0
2024-04-29,29.9,45.0,14.0,45.0,4.0
2024-04-30,21.76,22.0,14.0,35.0,4.0
2024-05-02,12.8,23.0,14.0,20.0,9.0
2024-05-03,10.67,8.0,14.0,20.0,7.0
2024-05-06,16.94,23.0,14.0,20.0,4.0
2024-05-07,10.43,8.0,14.0,10.0,4.0
2024-05-08,11.62,13.0,14.0,20.0,7.0
2024-05-09,12.67,8.0,14.0,20.0,4.0
2024-05-10,8.84,4.0,14.0,20.0,7.0
2024-05-13,8.25,13.0,14.0,10.0,7.0
2024-05-14,8.84,13.0,14.0,10.0,7.0
2024-05-15,13.1,18.0,14.0,10.0,4.0
2024-05-16,8.95,13.0,14.0,10.0,7.0
2024-05-17,8.07,8.0,14.0,10.0,7.0
2024-05-21,10.78,8.0,14.0,10.0,4.0
2024-05-22,20.32,37.0,14.0,20.0,4.0
2024-05-23,12.89,18.0,14.0,10.0,4.0
2024-05-24,11.64,13.0,14.0,10.0,4.0
2024-05-27,10.07,8.0,14.0,10.0,4.0
2024-05-28,11.06,13.0,14.0,10.0,4.0
2024-05-29,14.88,28.0,14.0,10.0,4.0
2024-05-30,7.82,13.0,14.0,10.0,7.0
2024-05-31,13.52,23.0,14.0,10.0,4.0
2024-06-03,14.97,28.0,14.0,10.0,4.0
2024-06-04,15.43,33.0,14.0,10.0,4.0
2024-06-05,8.35,33.0,14.0,10.0,12.0
2024-06-06,4.76,18.0,14.0,10.0,12.0
2024-06-07,19.46,42.0,14.0,10.0,4.0
2024-06-10,13.86,32.0,14.0,10.0,7.0
2024-06-11,19.81,42.0,14.0,10.0,4.0
2024-06-12,21.8,50.0,14.0,10.0,4.0
2024-06-13,21.22,45.0,14.0,10.0,4.0
2024-06-14,13.92,27.0,14.0,10.0,7.0
2024-06-18,18.22,32.0,14.0,10.0,4.0
2024-06-19,18.14,32.0,14.0,10.0,4.0
2024-06-20,22.64,50.0,14.0,10.0,4.0
2024-06-21,33.62,65.0,14.0,38.0,4.0
2024-06-24,21.05,35.0,14.0,18.0,4.0
2024-06-25,17.96,35.0,14.0,18.0,7.0
2024-06-26,20.8,35.0,14.0,18.0,4.0
2024-06-27,18.32,27.0,14.0,18.0,4.0
2024-06-28,3.85,12.0,14.0,18.0,15.0
2024-07-01,26.19,55.0,14.0,18.0,4.0
2024-07-02,27.67,55.0,14.0,35.0,7.0
