scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,39.57,80.0,11.0,48.0,4.0
2023-09-06,37.22,70.0,11.0,48.0,4.0
2023-09-07,37.16,70.0,11.0,48.0,4.0
2023-09-08,40.91,85.0,11.0,48.0,4.0
2023-09-11,35.91,65.0,11.0,48.0,4.0
2023-09-12,31.12,60.0,11.0,38.0,4.0
2023-09-13,35.26,75.0,11.0,38.0,4.0
2023-09-14,29.35,50.0,11.0,38.0,4.0
2023-09-15,27.43,55.0,11.0,38.0,7.0
2023-09-18,27.25,55.0,11.0,38.0,7.0
2023-09-20,30.83,60.0,11.0,48.0,7.0
2023-09-21,29.21,55.0,11.0,48.0,7.0
2023-09-22,29.28,55.0,11.0,48.0,7.0
2023-09-25,27.35,47.0,11.0,48.0,7.0
2023-09-26,26.13,52.0,11.0,38.0,7.0
2023-09-27,24.92,47.0,11.0,38.0,7.0
2023-09-28,19.97,28.0,11.0,38.0,7.0
2023-09-29,25.3,48.0,11.0,38.0,7.0
2023-10-03,20.19,28.0,11.0,38.0,7.0
2023-10-04,19.83,28.0,11.0,38.0,7.0
2023-10-05,16.82,33.0,11.0,20.0,7.0
2023-10-06,15.61,28.0,11.0,20.0,7.0
2023-10-09,14.87,28.0,11.0,20.0,7.0
2023-10-10,15.35,28.0,11.0,20.0,7.0
2023-10-11,21.03,37.0,11.0,20.0,4.0
2023-10-12,35.74,80.0,11.0,35.0,4.0
2023-10-13,30.69,60.0,11.0,35.0,4.0
2023-10-16,26.47,55.0,11.0,35.0,7.0
2023-10-17,32.11,65.0,11.0,35.0,4.0
2023-10-18,31.9,65.0,11.0,35.0,4.0
2023-10-19,30.72,60.0,11.0,35.0,4.0
2023-10-20,23.51,32.0,11.0,35.0,4.0
2023-10-23,8.31,23.0,11.0,20.0,12.0
2023-10-25,6.88,18.0,11.0,20.0,12.0
2023-10-26,10.24,31.0,11.0,20.0,12.0
2023-10-27,20.35,38.0,11.0,20.0,4.0
2023-10-30,19.01,33.0,11.0,20.0,4.0
2023-10-31,16.01,33.0,11.0,20.0,7.0
2023-11-01,0.72,13.0,11.0,0.0,12.0
2023-11-02,2.36,18.0,11.0,0.0,12.0
2023-11-03,5.75,31.0,11.0,0.0,12.0
2023-11-06,4.73,26.0,11.0,0.0,12.0
2023-11-07,4.09,23.0,11.0,0.0,12.0
2023-11-08,15.55,37.0,11.0,0.0,4.0
2023-11-09,19.73,45.0,11.0,10.0,4.0
2023-11-10,17.19,45.0,11.0,0.0,4.0
2023-11-13,14.05,32.0,11.0,0.0,4.0
2023-11-15,17.39,45.0,11.0,0.0,4.0
2023-11-16,31.04,80.0,11.0,20.0,4.0
2023-11-17,38.16,80.0,11.0,48.0,4.0
2023-11-20,31.82,65.0,11.0,38.0,4.0
2023-11-21,33.27,70.0,11.0,38.0,4.0
2023-11-22,32.08,55.0,11.0,48.0,4.0
