scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-08-16,57.59,57.0,39.0,100.0,3.0
2023-08-17,61.13,60.0,39.0,100.0,0.0
2023-08-18,61.63,60.0,39.0,100.0,0.0
2023-08-21,63.07,65.0,39.0,100.0,0.0
2023-08-22,60.06,52.0,39.0,100.0,0.0
2023-08-23,58.49,47.0,39.0,100.0,0.0
2023-08-24,58.6,47.0,39.0,100.0,0.0
2023-08-25,55.56,60.0,39.0,88.0,3.0
2023-08-28,59.51,65.0,39.0,98.0,3.0
2023-08-29,60.19,65.0,39.0,88.0,0.0
2023-08-30,51.05,60.0,39.0,70.0,3.0
2023-08-31,58.64,70.0,39.0,78.0,0.0
2023-09-01,64.66,72.0,39.0,98.0,0.0
2023-09-04,63.54,67.0,39.0,98.0,0.0
2023-09-05,59.49,52.0,39.0,98.0,0.0
2023-09-06,60.14,52.0,39.0,98.0,0.0
2023-09-07,63.83,67.0,39.0,98.0,0.0
2023-09-08,64.32,67.0,39.0,100.0,0.0
2023-09-11,63.38,62.0,39.0,100.0,0.0
2023-09-12,64.21,70.0,39.0,100.0,0.0
2023-09-13,62.71,65.0,39.0,98.0,0.0
2023-09-14,60.7,65.0,39.0,100.0,3.0
2023-09-15,61.96,60.0,39.0,98.0,0.0
2023-09-18,64.72,70.0,39.0,100.0,0.0
2023-09-20,64.13,70.0,39.0,98.0,0.0
2023-09-21,61.19,60.0,39.0,98.0,0.0
2023-09-22,58.39,60.0,39.0,98.0,3.0
2023-09-25,62.52,65.0,39.0,98.0,0.0
2023-09-26,62.51,65.0,39.0,98.0,0.0
2023-09-27,61.1,60.0,39.0,98.0,0.0
2023-09-28,63.46,70.0,39.0,98.0,0.0
2023-09-29,66.95,80.0,39.0,100.0,0.0
2023-10-03,58.82,60.0,39.0,88.0,0.0
2023-10-04,56.43,70.0,39.0,70.0,0.0
2023-10-05,55.11,65.0,39.0,70.0,0.0
2023-10-06,59.64,65.0,39.0,88.0,0.0
2023-10-09,57.45,60.0,39.0,88.0,0.0
2023-10-10,54.56,65.0,39.0,70.0,0.0
2023-10-11,54.58,65.0,39.0,70.0,0.0
2023-10-12,59.63,65.0,39.0,88.0,0.0
2023-10-13,59.08,65.0,39.0,88.0,0.0
2023-10-16,56.19,65.0,39.0,88.0,3.0
2023-10-17,62.11,65.0,39.0,98.0,0.0
2023-10-18,54.64,60.0,39.0,88.0,3.0
2023-10-19,53.26,60.0,39.0,70.0,0.0
2023-10-20,58.55,65.0,39.0,88.0,0.0
2023-10-23,47.03,42.0,39.0,70.0,0.0
2023-10-25,42.0,33.0,39.0,60.0,0.0
2023-10-26,40.98,28.0,39.0,60.0,0.0
2023-10-27,47.4,52.0,39.0,60.0,0.0
2023-10-30,45.26,42.0,39.0,60.0,0.0
2023-10-31,46.18,47.0,39.0,60.0,0.0
2023-11-01,36.05,23.0,39.0,45.0,0.0
2023-11-02,51.79,47.0,39.0,78.0,0.0
2023-11-03,52.37,65.0,39.0,63.0,0.0
2023-11-06,56.41,65.0,39.0,78.0,0.0
2023-11-07,56.72,65.0,39.0,78.0,0.0
2023-11-08,55.59,60.0,39.0,78.0,0.0
2023-11-09,58.98,75.0,39.0,78.0,0.0
2023-11-10,57.72,70.0,39.0,78.0,0.0
2023-11-13,59.46,75.0,39.0,78.0,0.0
2023-11-15,58.22,70.0,39.0,78.0,0.0
2023-11-16,58.61,72.0,39.0,78.0,0.0
2023-11-17,55.74,60.0,39.0,78.0,0.0
2023-11-20,58.06,60.0,39.0,88.0,0.0
2023-11-21,55.89,60.0,39.0,78.0,0.0
2023-11-22,59.68,65.0,39.0,88.0,0.0
