scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,28.91,75.0,11.0,10.0,4.0
2023-09-05,35.82,75.0,11.0,38.0,4.0
2023-09-06,29.72,50.0,11.0,38.0,4.0
2023-09-07,30.91,55.0,11.0,38.0,4.0
2023-09-08,29.66,50.0,11.0,38.0,4.0
2023-09-11,29.66,50.0,11.0,38.0,4.0
2023-09-12,28.62,50.0,11.0,38.0,4.0
2023-09-13,29.76,55.0,11.0,48.0,7.0
2023-09-14,31.85,55.0,11.0,55.0,7.0
2023-09-15,30.43,50.0,11.0,55.0,7.0
2023-09-18,34.0,60.0,11.0,48.0,4.0
2023-09-20,25.83,50.0,11.0,38.0,7.0
2023-09-21,35.96,70.0,11.0,48.0,4.0
2023-09-22,34.78,65.0,11.0,48.0,4.0
2023-09-25,37.85,70.0,11.0,55.0,4.0
2023-09-26,36.63,65.0,11.0,55.0,4.0
2023-09-27,37.92,70.0,11.0,55.0,4.0
2023-09-28,32.72,50.0,11.0,55.0,4.0
2023-09-29,30.05,50.0,11.0,55.0,7.0
2023-10-03,32.44,55.0,11.0,48.0,4.0
2023-10-04,25.33,50.0,11.0,38.0,7.0
2023-10-05,24.07,50.0,11.0,20.0,4.0
2023-10-06,22.36,55.0,11.0,20.0,7.0
2023-10-09,14.87,28.0,11.0,20.0,7.0
2023-10-10,18.35,28.0,11.0,20.0,4.0
2023-10-11,23.78,60.0,11.0,20.0,7.0
2023-10-12,19.49,42.0,11.0,20.0,7.0
2023-10-13,20.69,47.0,11.0,20.0,7.0
2023-10-16,25.72,55.0,11.0,20.0,4.0
2023-10-17,29.11,50.0,11.0,38.0,4.0
2023-10-18,19.4,42.0,11.0,20.0,7.0
2023-10-19,20.72,47.0,11.0,20.0,7.0
2023-10-20,4.51,13.0,11.0,10.0,12.0
2023-10-23,5.81,13.0,11.0,20.0,12.0
2023-10-25,0.13,13.0,11.0,10.0,15.0
2023-10-26,0.24,13.0,11.0,10.0,15.0
2023-10-27,0.6,13.0,11.0,10.0,15.0
2023-10-30,1.76,18.0,11.0,10.0,15.0
2023-10-31,0.51,13.0,11.0,10.0,15.0
2023-11-01,4.47,18.0,11.0,10.0,12.0
2023-11-02,7.36,28.0,11.0,10.0,12.0
2023-11-03,8.75,33.0,11.0,10.0,12.0
2023-11-06,5.23,18.0,11.0,10.0,12.0
2023-11-07,4.09,13.0,11.0,10.0,12.0
