scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,37.58,65.0,12.0,55.0,4.0
2023-09-06,36.91,62.0,12.0,55.0,4.0
2023-09-07,40.74,62.0,12.0,70.0,4.0
2023-09-08,43.27,62.0,12.0,80.0,4.0
2023-09-11,39.45,57.0,12.0,70.0,4.0
2023-09-12,33.01,50.0,12.0,55.0,4.0
2023-09-13,33.31,50.0,12.0,55.0,4.0
2023-09-14,39.28,60.0,12.0,80.0,7.0
2023-09-15,36.02,50.0,12.0,65.0,4.0
2023-09-18,31.58,50.0,12.0,48.0,4.0
2023-09-20,28.95,50.0,12.0,38.0,4.0
2023-09-21,35.71,55.0,12.0,73.0,7.0
2023-09-22,32.48,42.0,12.0,73.0,7.0
2023-09-25,35.64,55.0,12.0,73.0,7.0
2023-09-26,35.74,55.0,12.0,73.0,7.0
2023-09-27,35.74,55.0,12.0,73.0,7.0
2023-09-28,40.47,55.0,12.0,80.0,4.0
2023-09-29,37.63,55.0,12.0,80.0,7.0
2023-10-03,35.31,50.0,12.0,63.0,4.0
2023-10-04,29.9,42.0,12.0,63.0,7.0
2023-10-05,41.32,60.0,12.0,78.0,4.0
2023-10-06,45.28,75.0,12.0,78.0,4.0
2023-10-09,33.75,50.0,12.0,60.0,4.0
2023-10-10,25.44,42.0,12.0,45.0,7.0
2023-10-11,38.11,65.0,12.0,60.0,4.0
2023-10-12,36.07,55.0,12.0,60.0,4.0
2023-10-13,40.47,55.0,12.0,78.0,4.0
2023-10-16,44.21,70.0,12.0,78.0,4.0
2023-10-17,40.65,55.0,12.0,78.0,4.0
2023-10-18,40.41,55.0,12.0,78.0,4.0
2023-10-19,45.54,65.0,12.0,88.0,4.0
2023-10-20,41.59,60.0,12.0,78.0,4.0
2023-10-23,33.39,47.0,12.0,63.0,4.0
2023-10-25,20.28,23.0,12.0,35.0,4.0
2023-10-26,20.36,23.0,12.0,35.0,4.0
2023-10-27,29.56,33.0,12.0,60.0,4.0
