scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,2.95,27.0,2.0,0.0,12.0
2023-09-06,1.21,20.0,2.0,0.0,12.0
2023-09-07,5.82,30.0,2.0,8.0,12.0
2023-09-08,0.0,20.0,2.0,0.0,15.0
2023-09-11,0.0,20.0,2.0,0.0,15.0
2023-09-12,0.0,16.0,2.0,0.0,20.0
2023-09-13,0.0,26.0,2.0,0.0,15.0
2023-09-14,0.0,21.0,2.0,0.0,15.0
2023-09-15,0.27,30.0,2.0,0.0,15.0
2023-09-18,0.0,20.0,2.0,0.0,15.0
2023-09-20,0.0,16.0,2.0,0.0,12.0
2023-09-21,0.0,16.0,2.0,0.0,12.0
2023-09-22,14.01,65.0,2.0,8.0,12.0
2023-09-25,18.43,65.0,2.0,25.0,12.0
2023-09-26,16.26,47.0,2.0,35.0,12.0
2023-09-27,39.52,62.0,2.0,80.0,4.0
2023-09-28,44.36,62.0,2.0,100.0,4.0
2023-09-29,44.8,62.0,2.0,100.0,4.0
2023-10-03,35.62,47.0,2.0,100.0,9.0
2023-10-04,37.42,37.0,2.0,100.0,4.0
2023-10-05,40.12,47.0,2.0,100.0,4.0
2023-10-06,34.76,37.0,2.0,100.0,7.0
2023-10-09,32.15,50.0,2.0,80.0,7.0
2023-10-10,37.8,47.0,2.0,100.0,7.0
2023-10-11,43.15,57.0,2.0,100.0,4.0
2023-10-12,41.03,47.0,2.0,100.0,4.0
2023-10-13,38.57,37.0,2.0,100.0,4.0
2023-10-16,35.76,37.0,2.0,100.0,7.0
2023-10-17,37.03,42.0,2.0,100.0,7.0
2023-10-18,35.32,37.0,2.0,100.0,7.0
2023-10-19,35.36,37.0,2.0,100.0,7.0
2023-10-20,38.5,50.0,2.0,100.0,7.0
2023-10-23,36.96,50.0,2.0,100.0,7.0
2023-10-25,32.15,50.0,2.0,100.0,12.0
2023-10-26,37.48,50.0,2.0,100.0,7.0
2023-10-27,40.68,60.0,2.0,100.0,7.0
2023-10-30,37.89,50.0,2.0,100.0,7.0
2023-10-31,30.47,50.0,2.0,70.0,7.0
2023-11-01,39.87,60.0,2.0,98.0,7.0
2023-11-02,44.97,65.0,2.0,100.0,4.0
2023-11-03,46.34,70.0,2.0,100.0,4.0
2023-11-06,42.86,55.0,2.0,100.0,4.0
2023-11-07,38.9,50.0,2.0,100.0,7.0
2023-11-08,38.37,50.0,2.0,98.0,7.0
2023-11-09,31.22,50.0,2.0,70.0,7.0
2023-11-10,30.93,50.0,2.0,70.0,7.0
2023-11-13,32.48,55.0,2.0,70.0,7.0
2023-11-15,31.56,50.0,2.0,70.0,7.0
2023-11-16,29.32,42.0,2.0,70.0,7.0
2023-11-17,35.69,55.0,2.0,70.0,4.0
2023-11-20,38.13,65.0,2.0,70.0,4.0
2023-11-21,37.11,60.0,2.0,70.0,4.0
2023-11-22,42.94,65.0,2.0,88.0,4.0
2023-11-23,40.64,55.0,2.0,100.0,7.0
2023-11-24,39.09,50.0,2.0,88.0,4.0
2023-11-28,32.47,42.0,2.0,70.0,4.0
2023-11-29,32.37,42.0,2.0,70.0,4.0
2023-11-30,39.33,52.0,2.0,88.0,4.0
2023-12-01,32.33,42.0,2.0,70.0,4.0
2023-12-04,39.5,70.0,2.0,70.0,4.0
2023-12-05,37.91,65.0,2.0,70.0,4.0
2023-12-06,31.97,42.0,2.0,70.0,4.0
2023-12-07,36.62,60.0,2.0,70.0,4.0
2023-12-08,29.65,32.0,2.0,70.0,4.0
2023-12-11,31.22,37.0,2.0,70.0,4.0
2023-12-12,28.32,27.0,2.0,70.0,4.0
2023-12-13,27.33,23.0,2.0,70.0,4.0
2023-12-14,38.19,47.0,2.0,88.0,4.0
2023-12-15,37.73,45.0,2.0,88.0,4.0
2023-12-18,43.87,70.0,2.0,88.0,4.0
2023-12-19,35.45,35.0,2.0,88.0,4.0
2023-12-20,26.96,23.0,2.0,70.0,4.0
2023-12-21,29.93,33.0,2.0,70.0,4.0
2023-12-22,31.98,42.0,2.0,70.0,4.0
2023-12-26,31.42,40.0,2.0,70.0,4.0
2023-12-27,24.96,27.0,2.0,70.0,7.0
2023-12-28,27.92,27.0,2.0,70.0,4.0
2023-12-29,20.99,23.0,2.0,45.0,4.0
2024-01-01,20.59,32.0,2.0,45.0,7.0
2024-01-02,15.72,23.0,2.0,35.0,7.0
2024-01-03,24.96,37.0,2.0,45.0,4.0
2024-01-04,40.02,75.0,2.0,63.0,4.0
2024-01-05,38.6,70.0,2.0,63.0,4.0
2024-01-08,33.33,50.0,2.0,63.0,4.0
2024-01-09,43.48,65.0,2.0,88.0,4.0
2024-01-10,42.88,70.0,2.0,80.0,4.0
2024-01-11,41.71,65.0,2.0,80.0,4.0
2024-01-12,43.49,72.0,2.0,80.0,4.0
2024-01-15,41.61,65.0,2.0,80.0,4.0
2024-01-16,33.56,60.0,2.0,53.0,4.0
2024-01-17,34.02,55.0,2.0,60.0,4.0
2024-01-18,41.92,65.0,2.0,80.0,4.0
2024-01-19,43.23,70.0,2.0,80.0,4.0
2024-01-23,32.69,50.0,2.0,80.0,9.0
2024-01-24,37.89,50.0,2.0,80.0,4.0
2024-01-25,44.92,70.0,2.0,100.0,7.0
2024-01-29,47.96,70.0,2.0,100.0,4.0
2024-01-30,45.49,60.0,2.0,100.0,4.0
2024-01-31,47.93,70.0,2.0,100.0,4.0
2024-02-01,49.12,75.0,2.0,100.0,4.0
2024-02-02,44.54,57.0,2.0,100.0,4.0
2024-02-05,45.31,60.0,2.0,100.0,4.0
2024-02-06,42.74,60.0,2.0,90.0,4.0
2024-02-07,45.57,62.0,2.0,100.0,4.0
2024-02-08,44.24,57.0,2.0,100.0,4.0
2024-02-09,44.7,60.0,2.0,100.0,4.0
2024-02-12,30.95,55.0,2.0,73.0,9.0
2024-02-13,36.42,42.0,2.0,88.0,4.0
2024-02-14,43.63,60.0,2.0,98.0,4.0
2024-02-15,47.0,70.0,2.0,100.0,4.0
2024-02-16,44.65,60.0,2.0,100.0,4.0
2024-02-19,49.72,80.0,2.0,100.0,4.0
2024-02-20,51.09,85.0,2.0,100.0,4.0
2024-02-21,44.79,60.0,2.0,100.0,4.0
2024-02-22,44.7,60.0,2.0,100.0,4.0
2024-02-23,44.71,60.0,2.0,100.0,4.0
2024-02-26,42.76,65.0,2.0,100.0,7.0
2024-02-27,36.17,60.0,2.0,88.0,9.0
2024-02-28,36.11,42.0,2.0,88.0,4.0
2024-02-29,30.0,47.0,2.0,70.0,7.0
2024-03-01,39.99,75.0,2.0,70.0,4.0
2024-03-04,37.48,65.0,2.0,70.0,4.0
2024-03-05,28.37,42.0,2.0,70.0,7.0
2024-03-06,29.73,38.0,2.0,70.0,4.0
2024-03-07,30.56,52.0,2.0,70.0,7.0
2024-03-11,22.66,23.0,2.0,70.0,7.0
2024-03-12,14.99,28.0,2.0,45.0,9.0
2024-03-13,14.33,28.0,2.0,45.0,9.0
2024-03-14,25.14,33.0,2.0,60.0,4.0
2024-03-15,18.37,23.0,2.0,45.0,4.0
2024-03-18,16.89,28.0,2.0,45.0,7.0
2024-03-19,18.21,23.0,2.0,45.0,4.0
2024-03-20,18.32,23.0,2.0,45.0,4.0
2024-03-21,25.19,33.0,2.0,60.0,4.0
2024-03-22,25.4,23.0,2.0,70.0,4.0
2024-03-26,21.27,33.0,2.0,45.0,4.0
2024-03-27,19.07,23.0,2.0,45.0,4.0
2024-03-28,28.81,47.0,2.0,60.0,4.0
2024-04-01,38.57,70.0,2.0,70.0,4.0
2024-04-02,36.16,60.0,2.0,70.0,4.0
2024-04-03,38.77,70.0,2.0,70.0,4.0
2024-04-04,33.9,50.0,2.0,70.0,4.0
2024-04-05,35.69,55.0,2.0,70.0,4.0
2024-04-08,40.04,55.0,2.0,88.0,4.0
2024-04-09,50.01,85.0,2.0,98.0,4.0
2024-04-10,41.18,50.0,2.0,98.0,4.0
2024-04-12,37.95,40.0,2.0,95.0,4.0
2024-04-15,29.69,35.0,2.0,80.0,7.0
2024-04-16,23.55,27.0,2.0,63.0,7.0
2024-04-18,14.51,27.0,2.0,28.0,7.0
2024-04-19,16.98,27.0,2.0,38.0,7.0
2024-04-22,14.48,23.0,2.0,18.0,4.0
2024-04-23,34.65,65.0,2.0,55.0,4.0
2024-04-24,31.76,60.0,2.0,48.0,4.0
2024-04-25,22.4,35.0,2.0,48.0,7.0
2024-04-26,28.59,40.0,2.0,55.0,4.0
2024-04-29,28.96,55.0,2.0,55.0,7.0
2024-04-30,25.96,50.0,2.0,48.0,7.0
2024-05-02,12.46,35.0,2.0,10.0,7.0
2024-05-03,10.18,27.0,2.0,10.0,7.0
2024-05-06,12.75,27.0,2.0,10.0,4.0
2024-05-07,12.49,28.0,2.0,10.0,4.0
2024-05-08,12.57,28.0,2.0,10.0,4.0
2024-05-09,10.71,23.0,2.0,10.0,4.0
2024-05-10,15.58,42.0,2.0,10.0,4.0
2024-05-13,7.78,23.0,2.0,10.0,7.0
2024-05-14,13.86,32.0,2.0,10.0,4.0
2024-05-15,9.83,27.0,2.0,10.0,7.0
2024-05-16,11.28,32.0,2.0,10.0,7.0
2024-05-17,14.2,32.0,2.0,10.0,4.0
2024-05-21,13.0,27.0,2.0,10.0,4.0
2024-05-22,12.99,32.0,2.0,18.0,7.0
2024-05-23,9.39,27.0,2.0,10.0,7.0
2024-05-24,15.9,42.0,2.0,10.0,4.0
2024-05-27,13.16,32.0,2.0,10.0,4.0
2024-05-28,13.25,33.0,2.0,10.0,4.0
2024-05-29,14.36,38.0,2.0,10.0,4.0
2024-05-30,19.68,60.0,2.0,10.0,4.0
2024-05-31,10.45,23.0,2.0,10.0,4.0
2024-06-03,17.68,50.0,2.0,10.0,4.0
2024-06-04,8.52,38.0,2.0,10.0,9.0
