scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,50.22,65.0,15.0,100.0,4.0
2023-09-06,45.62,60.0,15.0,98.0,7.0
2023-09-07,39.81,65.0,15.0,70.0,7.0
2023-09-08,41.56,60.0,15.0,70.0,4.0
2023-09-11,41.56,60.0,15.0,70.0,4.0
2023-09-12,31.27,43.0,15.0,70.0,9.0
2023-09-13,49.16,75.0,15.0,88.0,4.0
2023-09-14,42.75,60.0,15.0,88.0,7.0
2023-09-15,36.58,42.0,15.0,70.0,4.0
2023-09-18,33.4,42.0,15.0,70.0,7.0
2023-09-20,35.23,38.0,15.0,70.0,4.0
2023-09-21,32.36,28.0,15.0,70.0,4.0
2023-09-22,31.18,23.0,15.0,70.0,4.0
2023-09-25,33.75,33.0,15.0,70.0,4.0
2023-09-26,38.53,52.0,15.0,70.0,4.0
2023-09-27,31.32,23.0,15.0,70.0,4.0
2023-09-28,39.62,57.0,15.0,70.0,4.0
2023-09-29,41.95,65.0,15.0,70.0,4.0
2023-10-03,36.09,42.0,15.0,70.0,4.0
2023-10-04,31.98,27.0,15.0,70.0,4.0
2023-10-05,34.72,37.0,15.0,70.0,4.0
2023-10-06,32.26,27.0,15.0,70.0,4.0
2023-10-09,34.02,37.0,15.0,70.0,4.0
2023-10-10,34.5,37.0,15.0,70.0,4.0
2023-10-11,33.68,32.0,15.0,70.0,4.0
2023-10-12,54.14,85.0,15.0,98.0,4.0
2023-10-13,49.09,75.0,15.0,88.0,4.0
2023-10-16,46.62,65.0,15.0,88.0,4.0
2023-10-17,49.26,65.0,15.0,98.0,4.0
2023-10-18,51.3,72.0,15.0,100.0,4.0
2023-10-19,47.62,57.0,15.0,100.0,4.0
2023-10-20,48.16,60.0,15.0,100.0,4.0
2023-10-23,48.21,65.0,15.0,100.0,4.0
2023-10-25,48.03,65.0,15.0,100.0,4.0
2023-10-26,46.89,60.0,15.0,100.0,4.0
2023-10-27,48.5,65.0,15.0,100.0,4.0
2023-10-30,45.41,65.0,15.0,100.0,7.0
2023-10-31,44.16,60.0,15.0,100.0,7.0
2023-11-01,43.87,60.0,15.0,100.0,7.0
2023-11-02,44.26,60.0,15.0,100.0,7.0
2023-11-03,49.9,70.0,15.0,100.0,4.0
2023-11-06,50.13,70.0,15.0,100.0,4.0
2023-11-07,46.49,60.0,15.0,95.0,4.0
2023-11-08,47.7,65.0,15.0,95.0,4.0
2023-11-09,47.38,65.0,15.0,95.0,4.0
2023-11-10,39.34,60.0,15.0,80.0,7.0
2023-11-13,41.2,52.0,15.0,95.0,7.0
2023-11-15,46.79,57.0,15.0,100.0,4.0
2023-11-16,44.44,60.0,15.0,100.0,7.0
2023-11-17,48.31,65.0,15.0,98.0,4.0
2023-11-20,47.97,62.0,15.0,100.0,4.0
2023-11-21,45.67,52.0,15.0,100.0,4.0
2023-11-22,44.48,47.0,15.0,100.0,4.0
2023-11-23,45.85,52.0,15.0,100.0,4.0
2023-11-24,44.75,60.0,15.0,100.0,7.0
2023-11-28,50.85,72.0,15.0,100.0,4.0
2023-11-29,49.6,67.0,15.0,100.0,4.0
2023-11-30,50.83,72.0,15.0,100.0,4.0
2023-12-01,42.92,60.0,15.0,100.0,9.0
2023-12-04,48.57,62.0,15.0,100.0,4.0
2023-12-05,48.01,60.0,15.0,100.0,4.0
2023-12-06,45.29,60.0,15.0,100.0,7.0
2023-12-07,45.25,60.0,15.0,100.0,7.0
2023-12-08,44.9,60.0,15.0,100.0,7.0
2023-12-11,48.17,65.0,15.0,95.0,4.0
2023-12-12,43.84,60.0,15.0,95.0,7.0
2023-12-13,48.12,65.0,15.0,95.0,4.0
2023-12-14,51.49,85.0,15.0,88.0,4.0
2023-12-15,52.13,75.0,15.0,100.0,4.0
2023-12-18,46.6,65.0,15.0,100.0,7.0
2023-12-19,42.45,60.0,15.0,88.0,7.0
2023-12-20,40.06,42.0,15.0,88.0,4.0
2023-12-21,47.63,70.0,15.0,88.0,4.0
2023-12-22,42.33,60.0,15.0,88.0,7.0
2023-12-26,48.13,70.0,15.0,88.0,4.0
2023-12-27,45.67,60.0,15.0,88.0,4.0
2023-12-28,41.02,60.0,15.0,70.0,4.0
2023-12-29,44.8,75.0,15.0,70.0,4.0
2024-01-01,52.19,85.0,15.0,88.0,4.0
2024-01-02,52.14,85.0,15.0,88.0,4.0
2024-01-03,50.07,67.0,15.0,98.0,4.0
2024-01-04,48.22,57.0,15.0,100.0,4.0
2024-01-05,46.75,52.0,15.0,100.0,4.0
2024-01-08,43.54,52.0,15.0,100.0,7.0
2024-01-09,45.68,60.0,15.0,100.0,7.0
2024-01-10,45.59,60.0,15.0,100.0,7.0
2024-01-11,45.73,60.0,15.0,100.0,7.0
2024-01-12,53.66,80.0,15.0,100.0,4.0
2024-01-15,48.04,60.0,15.0,98.0,4.0
2024-01-16,42.39,60.0,15.0,88.0,7.0
2024-01-17,44.49,60.0,15.0,98.0,7.0
2024-01-18,49.59,65.0,15.0,100.0,4.0
2024-01-19,46.9,65.0,15.0,100.0,7.0
2024-01-23,37.93,42.0,15.0,98.0,9.0
2024-01-24,53.36,80.0,15.0,100.0,4.0
2024-01-25,45.04,60.0,15.0,98.0,7.0
2024-01-29,46.95,65.0,15.0,100.0,7.0
2024-01-30,49.82,65.0,15.0,100.0,4.0
2024-01-31,49.55,65.0,15.0,98.0,4.0
2024-02-01,50.45,70.0,15.0,98.0,4.0
2024-02-02,45.44,60.0,15.0,88.0,4.0
2024-02-05,38.54,52.0,15.0,70.0,4.0
2024-02-06,43.17,70.0,15.0,70.0,4.0
2024-02-07,37.59,60.0,15.0,70.0,7.0
2024-02-08,32.91,42.0,15.0,70.0,7.0
2024-02-09,35.6,42.0,15.0,70.0,4.0
2024-02-12,26.56,23.0,15.0,55.0,4.0
2024-02-13,21.06,23.0,15.0,45.0,7.0
2024-02-14,25.54,28.0,15.0,45.0,4.0
2024-02-15,31.74,52.0,15.0,45.0,4.0
2024-02-16,47.05,70.0,15.0,88.0,4.0
2024-02-19,46.02,65.0,15.0,88.0,4.0
2024-02-20,22.66,27.0,15.0,45.0,7.0
2024-02-21,30.39,28.0,15.0,63.0,4.0
2024-02-22,25.9,28.0,15.0,45.0,4.0
2024-02-23,17.1,38.0,15.0,20.0,9.0
2024-02-26,21.92,38.0,15.0,20.0,4.0
2024-02-27,17.88,33.0,15.0,10.0,4.0
2024-02-28,9.88,23.0,15.0,10.0,9.0
2024-02-29,15.0,23.0,15.0,10.0,4.0
2024-03-01,17.7,33.0,15.0,10.0,4.0
2024-03-04,12.04,23.0,15.0,10.0,7.0
2024-03-05,17.33,33.0,15.0,10.0,4.0
2024-03-06,16.86,33.0,15.0,10.0,4.0
2024-03-07,19.41,43.0,15.0,10.0,4.0
2024-03-11,13.89,23.0,15.0,10.0,4.0
2024-03-12,15.1,29.0,15.0,10.0,4.0
2024-03-13,14.67,29.0,15.0,10.0,4.0
2024-03-14,16.24,33.0,15.0,10.0,4.0
2024-03-15,13.41,23.0,15.0,10.0,4.0
