scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,36.76,65.0,12.0,50.0,4.0
2023-09-05,48.67,75.0,12.0,88.0,4.0
2023-09-06,50.07,70.0,12.0,98.0,4.0
2023-09-07,47.51,60.0,12.0,98.0,4.0
2023-09-08,42.51,50.0,12.0,88.0,4.0
2023-09-11,40.01,50.0,12.0,78.0,4.0
2023-09-12,31.97,37.0,12.0,63.0,4.0
2023-09-13,33.6,42.0,12.0,63.0,4.0
2023-09-14,33.45,40.0,12.0,63.0,4.0
2023-09-15,48.28,75.0,12.0,88.0,4.0
2023-09-18,53.6,85.0,12.0,100.0,4.0
2023-09-20,52.18,80.0,12.0,100.0,4.0
2023-09-21,46.81,60.0,12.0,100.0,4.0
2023-09-22,43.88,60.0,12.0,100.0,7.0
2023-09-25,51.95,80.0,12.0,100.0,4.0
2023-09-26,48.73,67.0,12.0,100.0,4.0
2023-09-27,47.02,60.0,12.0,100.0,4.0
2023-09-28,43.82,60.0,12.0,100.0,7.0
2023-09-29,47.15,60.0,12.0,100.0,4.0
2023-10-03,46.54,60.0,12.0,98.0,4.0
2023-10-04,43.18,60.0,12.0,98.0,7.0
2023-10-05,41.42,60.0,12.0,78.0,4.0
2023-10-06,35.96,65.0,12.0,63.0,7.0
2023-10-09,27.47,42.0,12.0,43.0,4.0
2023-10-10,37.45,70.0,12.0,53.0,4.0
2023-10-11,45.88,75.0,12.0,80.0,4.0
2023-10-12,47.34,80.0,12.0,80.0,4.0
2023-10-13,49.04,72.0,12.0,95.0,4.0
2023-10-16,49.07,67.0,12.0,100.0,4.0
2023-10-17,49.21,67.0,12.0,100.0,4.0
2023-10-18,49.0,67.0,12.0,100.0,4.0
2023-10-19,50.32,72.0,12.0,100.0,4.0
2023-10-20,42.61,62.0,12.0,100.0,9.0
2023-10-23,43.41,70.0,12.0,100.0,9.0
2023-10-25,46.98,65.0,12.0,100.0,4.0
2023-10-26,41.59,55.0,12.0,88.0,4.0
2023-10-27,48.7,70.0,12.0,100.0,4.0
2023-10-30,47.36,65.0,12.0,100.0,4.0
2023-10-31,43.11,60.0,12.0,100.0,7.0
2023-11-01,39.07,50.0,12.0,95.0,7.0
2023-11-02,44.46,65.0,12.0,100.0,7.0
2023-11-03,45.85,70.0,12.0,100.0,7.0
2023-11-06,50.33,75.0,12.0,100.0,4.0
2023-11-07,50.44,75.0,12.0,100.0,4.0
2023-11-08,48.4,67.0,12.0,100.0,4.0
2023-11-09,46.33,60.0,12.0,100.0,4.0
2023-11-10,47.54,65.0,12.0,100.0,4.0
2023-11-13,49.4,72.0,12.0,100.0,4.0
2023-11-15,49.49,72.0,12.0,100.0,4.0
2023-11-16,46.89,62.0,12.0,100.0,4.0
2023-11-17,43.26,47.0,12.0,100.0,4.0
2023-11-20,46.42,60.0,12.0,100.0,4.0
2023-11-21,46.62,60.0,12.0,100.0,4.0
2023-11-22,46.68,60.0,12.0,100.0,4.0
2023-11-23,46.3,70.0,12.0,100.0,7.0
2023-11-24,43.7,60.0,12.0,100.0,7.0
2023-11-28,49.3,70.0,12.0,100.0,4.0
2023-11-29,46.8,60.0,12.0,100.0,4.0
2023-11-30,43.78,60.0,12.0,100.0,7.0
2023-12-01,45.12,65.0,12.0,100.0,7.0
2023-12-04,45.27,65.0,12.0,100.0,7.0
2023-12-05,43.96,60.0,12.0,100.0,7.0
2023-12-06,45.49,65.0,12.0,100.0,7.0
2023-12-07,47.2,60.0,12.0,100.0,4.0
2023-12-08,39.34,42.0,12.0,88.0,4.0
2023-12-11,49.62,75.0,12.0,95.0,4.0
2023-12-12,47.04,65.0,12.0,95.0,4.0
2023-12-13,39.57,60.0,12.0,70.0,4.0
2023-12-14,37.94,65.0,12.0,70.0,7.0
2023-12-15,39.83,60.0,12.0,70.0,4.0
2023-12-18,39.8,60.0,12.0,70.0,4.0
2023-12-19,41.15,65.0,12.0,70.0,4.0
2023-12-20,33.51,38.0,12.0,70.0,4.0
2023-12-21,40.08,62.0,12.0,70.0,4.0
2023-12-22,35.28,42.0,12.0,70.0,4.0
2023-12-26,32.58,42.0,12.0,70.0,7.0
2023-12-27,36.87,47.0,12.0,70.0,4.0
2023-12-28,31.98,28.0,12.0,70.0,4.0
2023-12-29,33.25,33.0,12.0,70.0,4.0
2024-01-01,32.39,28.0,12.0,70.0,4.0
2024-01-02,46.59,85.0,12.0,70.0,4.0
2024-01-03,39.02,55.0,12.0,70.0,4.0
2024-01-04,37.92,50.0,12.0,70.0,4.0
2024-01-05,36.95,47.0,12.0,70.0,4.0
2024-01-08,44.49,60.0,12.0,88.0,4.0
2024-01-09,50.88,85.0,12.0,88.0,4.0
2024-01-10,48.29,75.0,12.0,88.0,4.0
2024-01-11,44.68,60.0,12.0,88.0,4.0
2024-01-12,45.86,65.0,12.0,88.0,4.0
2024-01-15,41.49,60.0,12.0,88.0,7.0
2024-01-16,44.34,60.0,12.0,88.0,4.0
2024-01-17,35.69,45.0,12.0,70.0,4.0
2024-01-18,36.04,27.0,12.0,88.0,4.0
2024-01-19,27.1,27.0,12.0,63.0,7.0
2024-01-23,23.88,23.0,12.0,45.0,4.0
2024-01-24,38.56,37.0,12.0,88.0,4.0
2024-01-25,36.24,27.0,12.0,88.0,4.0
2024-01-29,37.65,32.0,12.0,88.0,4.0
2024-01-30,42.02,40.0,12.0,98.0,4.0
2024-01-31,52.25,80.0,12.0,98.0,4.0
2024-02-01,46.9,70.0,12.0,88.0,4.0
2024-02-02,46.89,70.0,12.0,88.0,4.0
2024-02-05,47.74,75.0,12.0,88.0,4.0
2024-02-06,53.37,85.0,12.0,100.0,4.0
2024-02-07,50.04,72.0,12.0,100.0,4.0
2024-02-08,46.36,70.0,12.0,88.0,4.0
2024-02-09,39.8,70.0,12.0,63.0,4.0
2024-02-12,34.76,70.0,12.0,45.0,4.0
2024-02-13,18.01,23.0,12.0,45.0,9.0
2024-02-14,32.49,70.0,12.0,35.0,4.0
2024-02-15,30.44,65.0,12.0,43.0,7.0
2024-02-16,33.5,65.0,12.0,43.0,4.0
2024-02-19,30.72,65.0,12.0,43.0,7.0
2024-02-20,47.86,85.0,12.0,80.0,4.0
2024-02-21,39.09,70.0,12.0,80.0,9.0
2024-02-22,46.6,80.0,12.0,80.0,4.0
2024-02-23,44.05,70.0,12.0,80.0,4.0
2024-02-26,47.62,85.0,12.0,80.0,4.0
2024-02-27,46.58,72.0,12.0,90.0,4.0
