scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-01-30,9.4,26.0,11.0,0.0,4.0
2026-02-02,2.72,21.0,11.0,0.0,9.0
2026-02-03,9.18,24.0,11.0,0.0,4.0
2026-02-04,10.97,31.0,11.0,0.0,4.0
2026-02-05,9.35,26.0,11.0,0.0,4.0
2026-02-06,12.85,40.0,11.0,0.0,4.0
2026-02-09,6.82,25.0,11.0,0.0,7.0
2026-02-10,12.43,35.0,11.0,0.0,4.0
2026-02-11,10.02,26.0,11.0,0.0,4.0
2026-02-12,11.1,31.0,11.0,0.0,4.0
2026-02-13,7.09,16.0,11.0,0.0,4.0
2026-02-16,4.18,16.0,11.0,0.0,7.0
2026-02-17,11.0,31.0,11.0,0.0,4.0
2026-02-18,4.43,16.0,11.0,0.0,7.0
2026-02-19,14.41,45.0,11.0,0.0,4.0
2026-02-20,12.59,38.0,11.0,0.0,4.0
2026-02-23,11.5,33.0,11.0,0.0,4.0
2026-02-24,12.01,28.0,11.0,8.0,4.0
2026-02-25,21.33,55.0,11.0,18.0,4.0
2026-02-26,11.48,25.0,11.0,8.0,4.0
2026-02-27,6.43,25.0,11.0,0.0,7.0
2026-03-02,11.81,28.0,11.0,8.0,4.0
2026-03-04,12.51,20.0,11.0,18.0,4.0
2026-03-05,8.6,16.0,11.0,18.0,7.0
2026-03-06,17.41,40.0,11.0,18.0,4.0
2026-03-09,6.87,16.0,11.0,0.0,4.0
2026-03-10,7.27,16.0,11.0,0.0,4.0
2026-03-11,7.11,16.0,11.0,0.0,4.0
2026-03-12,7.78,21.0,11.0,10.0,7.0
2026-03-13,13.01,31.0,11.0,10.0,4.0
2026-03-16,11.21,16.0,11.0,18.0,4.0
2026-03-17,12.66,21.0,11.0,18.0,4.0
2026-03-18,15.27,30.0,11.0,18.0,4.0
2026-03-19,9.29,20.0,11.0,18.0,7.0
2026-03-20,11.04,33.0,11.0,10.0,7.0
2026-03-23,10.35,33.0,11.0,10.0,7.0
2026-03-24,20.1,50.0,11.0,18.0,4.0
2026-03-25,19.01,45.0,11.0,18.0,4.0
2026-03-27,20.73,45.0,11.0,25.0,4.0
2026-03-30,16.48,43.0,11.0,10.0,4.0
2026-04-01,19.18,50.0,11.0,18.0,7.0
2026-04-02,17.88,45.0,11.0,18.0,7.0
2026-04-06,18.22,45.0,11.0,18.0,7.0
2026-04-07,16.77,40.0,11.0,18.0,7.0
2026-04-08,25.26,50.0,11.0,28.0,4.0
2026-04-09,29.33,45.0,11.0,50.0,4.0
2026-04-10,26.58,32.0,11.0,50.0,4.0
2026-04-13,24.33,40.0,11.0,35.0,4.0
2026-04-15,32.48,55.0,11.0,50.0,4.0
2026-04-16,21.94,40.0,11.0,35.0,7.0
2026-04-17,30.57,45.0,11.0,50.0,4.0
2026-04-20,25.18,40.0,11.0,35.0,4.0
2026-04-21,22.33,40.0,11.0,35.0,7.0
2026-04-22,35.59,65.0,11.0,50.0,4.0
2026-04-23,35.5,65.0,11.0,50.0,4.0
2026-04-24,31.61,50.0,11.0,50.0,4.0
2026-04-27,27.71,55.0,11.0,40.0,7.0
2026-04-28,24.49,40.0,11.0,43.0,7.0
2026-04-29,25.84,55.0,11.0,33.0,7.0
2026-04-30,22.24,40.0,11.0,33.0,7.0
2026-05-01,21.92,40.0,11.0,33.0,7.0
2026-05-04,26.4,45.0,11.0,33.0,4.0
2026-05-05,29.01,55.0,11.0,33.0,4.0
2026-05-06,22.21,40.0,11.0,33.0,7.0
2026-05-07,22.21,40.0,11.0,33.0,7.0
2026-05-08,28.89,55.0,11.0,33.0,4.0
2026-05-11,24.85,40.0,11.0,33.0,4.0
2026-05-12,26.81,40.0,11.0,43.0,4.0
2026-05-13,20.41,32.0,11.0,25.0,4.0
2026-05-14,25.4,45.0,11.0,33.0,4.0
2026-05-15,19.87,32.0,11.0,25.0,4.0
2026-05-18,19.41,32.0,11.0,25.0,4.0
2026-05-19,16.72,32.0,11.0,25.0,7.0
2026-05-20,27.77,65.0,11.0,25.0,4.0
2026-05-21,29.12,70.0,11.0,25.0,4.0
2026-05-22,21.6,40.0,11.0,25.0,4.0
2026-05-25,19.85,32.0,11.0,25.0,4.0
2026-05-26,15.89,28.0,11.0,25.0,7.0
2026-05-27,15.17,13.0,11.0,25.0,4.0
2026-05-28,11.97,13.0,11.0,25.0,7.0
2026-05-29,12.02,13.0,11.0,25.0,7.0
2026-06-01,14.91,13.0,11.0,25.0,4.0
2026-06-02,17.22,22.0,11.0,25.0,4.0
2026-06-03,12.88,17.0,11.0,25.0,7.0
2026-06-04,18.75,30.0,11.0,35.0,7.0
2026-06-05,18.77,30.0,11.0,35.0,7.0
2026-06-08,15.43,17.0,11.0,35.0,7.0
2026-06-09,13.21,17.0,11.0,25.0,7.0
2026-06-10,14.27,13.0,11.0,35.0,7.0
2026-06-11,14.66,13.0,11.0,25.0,4.0
2026-06-12,12.26,13.0,11.0,25.0,7.0
2026-06-15,22.9,42.0,11.0,25.0,4.0
2026-06-16,30.51,45.0,11.0,53.0,4.0
2026-06-17,21.87,45.0,11.0,20.0,4.0
2026-06-18,22.04,45.0,11.0,20.0,4.0
2026-06-19,18.75,32.0,11.0,20.0,4.0
2026-06-22,18.03,28.0,11.0,20.0,4.0
2026-06-23,13.9,13.0,11.0,20.0,4.0
2026-06-24,8.46,13.0,11.0,10.0,7.0
2026-06-25,27.35,50.0,11.0,38.0,4.0
2026-06-26,17.91,25.0,11.0,38.0,7.0
2026-06-29,19.21,17.0,11.0,38.0,4.0
2026-06-30,11.73,17.0,11.0,10.0,4.0
2026-07-01,8.22,13.0,11.0,0.0,4.0
2026-07-02,17.53,40.0,11.0,10.0,4.0
2026-07-03,11.65,17.0,11.0,10.0,4.0
2026-07-06,8.38,13.0,11.0,0.0,4.0
2026-07-07,4.91,13.0,11.0,0.0,7.0
2026-07-08,10.06,23.0,11.0,0.0,4.0
2026-07-09,10.58,23.0,11.0,0.0,4.0
