scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,10.29,40.0,0.0,18.0,12.0
2023-09-05,7.78,30.0,0.0,18.0,12.0
2023-09-06,2.42,27.0,0.0,0.0,12.0
2023-09-07,7.69,40.0,0.0,8.0,12.0
2023-09-08,0.0,25.0,0.0,0.0,15.0
2023-09-11,2.18,27.0,0.0,0.0,12.0
2023-09-12,2.37,22.0,0.0,8.0,12.0
2023-09-13,1.04,23.0,0.0,0.0,12.0
2023-09-14,2.97,22.0,0.0,8.0,12.0
2023-09-15,0.0,17.0,0.0,8.0,15.0
2023-09-18,3.93,27.0,0.0,8.0,12.0
2023-09-20,2.44,22.0,0.0,8.0,12.0
2023-09-21,4.3,30.0,0.0,8.0,12.0
2023-09-22,7.3,32.0,0.0,18.0,12.0
2023-09-25,0.0,13.0,0.0,0.0,12.0
2023-09-26,0.0,13.0,0.0,0.0,15.0
2023-09-27,0.0,13.0,0.0,0.0,15.0
2023-09-28,0.0,18.0,0.0,10.0,15.0
2023-09-29,4.77,28.0,0.0,10.0,12.0
2023-10-03,4.43,27.0,0.0,10.0,12.0
2023-10-04,4.44,28.0,0.0,10.0,12.0
2023-10-05,5.54,32.0,0.0,10.0,12.0
2023-10-06,3.1,22.0,0.0,10.0,12.0
2023-10-09,13.99,60.0,0.0,18.0,12.0
2023-10-10,30.28,62.0,0.0,48.0,4.0
2023-10-11,19.38,50.0,0.0,48.0,12.0
2023-10-12,17.31,40.0,0.0,48.0,12.0
2023-10-13,10.97,35.0,0.0,28.0,12.0
2023-10-16,9.59,40.0,0.0,18.0,12.0
2023-10-17,33.88,75.0,0.0,48.0,4.0
2023-10-18,14.57,50.0,0.0,28.0,12.0
2023-10-19,18.29,45.0,0.0,48.0,12.0
2023-10-20,9.23,40.0,0.0,18.0,12.0
2023-10-23,0.0,23.0,0.0,0.0,12.0
2023-10-25,0.0,13.0,0.0,0.0,12.0
2023-10-26,0.0,23.0,0.0,0.0,12.0
2023-10-27,0.0,18.0,0.0,0.0,12.0
2023-10-30,0.0,13.0,0.0,0.0,12.0
2023-10-31,1.5,31.0,0.0,0.0,12.0
2023-11-01,2.9,36.0,0.0,0.0,12.0
2023-11-02,0.0,18.0,0.0,0.0,15.0
2023-11-03,0.0,16.0,0.0,0.0,15.0
2023-11-06,0.0,21.0,0.0,0.0,12.0
2023-11-07,0.0,16.0,0.0,0.0,12.0
2023-11-08,3.86,36.0,0.0,0.0,12.0
2023-11-09,0.0,18.0,0.0,0.0,12.0
2023-11-10,0.0,16.0,0.0,0.0,12.0
2023-11-13,3.64,35.0,0.0,0.0,12.0
2023-11-15,6.11,45.0,0.0,0.0,12.0
2023-11-16,5.09,40.0,0.0,0.0,12.0
2023-11-17,6.28,45.0,0.0,0.0,12.0
2023-11-20,0.0,25.0,0.0,0.0,15.0
2023-11-21,14.07,55.0,0.0,20.0,12.0
2023-11-22,20.0,60.0,0.0,38.0,12.0
2023-11-23,17.29,50.0,0.0,38.0,12.0
2023-11-24,17.66,45.0,0.0,55.0,15.0
2023-11-28,22.52,60.0,0.0,48.0,12.0
2023-11-29,24.06,60.0,0.0,55.0,12.0
2023-11-30,35.93,75.0,0.0,55.0,4.0
2023-12-01,33.35,65.0,0.0,55.0,4.0
2023-12-04,14.83,35.0,0.0,55.0,15.0
2023-12-05,8.35,40.0,0.0,25.0,15.0
2023-12-06,1.15,17.0,0.0,8.0,12.0
2023-12-07,13.23,50.0,0.0,35.0,15.0
2023-12-08,13.01,40.0,0.0,45.0,15.0
2023-12-11,3.71,40.0,0.0,8.0,15.0
2023-12-12,5.19,40.0,0.0,15.0,15.0
2023-12-13,3.71,40.0,0.0,8.0,15.0
2023-12-14,7.37,45.0,0.0,18.0,15.0
2023-12-15,27.93,75.0,0.0,25.0,4.0
2023-12-18,22.45,60.0,0.0,18.0,4.0
2023-12-19,21.06,60.0,0.0,25.0,7.0
2023-12-20,37.55,62.0,0.0,80.0,4.0
