scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,8.58,20.0,10.0,18.0,12.0
2023-09-05,7.09,25.0,10.0,8.0,12.0
2023-09-06,4.4,12.0,10.0,8.0,12.0
2023-09-07,11.7,40.0,10.0,10.0,12.0
2023-09-08,10.96,40.0,10.0,8.0,12.0
2023-09-11,11.26,40.0,10.0,8.0,12.0
2023-09-12,10.37,40.0,10.0,8.0,12.0
2023-09-13,7.36,35.0,10.0,0.0,12.0
2023-09-14,13.8,40.0,10.0,18.0,12.0
2023-09-15,7.22,27.0,10.0,18.0,15.0
2023-09-18,6.2,12.0,10.0,18.0,12.0
2023-09-20,4.26,12.0,10.0,10.0,12.0
2023-09-21,6.73,23.0,10.0,10.0,12.0
2023-09-22,11.23,33.0,10.0,18.0,12.0
2023-09-25,42.52,62.0,10.0,80.0,4.0
2023-09-26,36.16,52.0,10.0,65.0,4.0
2023-09-27,35.73,60.0,10.0,55.0,4.0
2023-09-28,33.15,50.0,10.0,55.0,4.0
2023-09-29,31.45,50.0,10.0,48.0,4.0
2023-10-03,31.3,50.0,10.0,48.0,4.0
2023-10-04,10.86,32.0,10.0,18.0,12.0
2023-10-05,9.67,27.0,10.0,18.0,12.0
2023-10-06,10.87,32.0,10.0,18.0,12.0
2023-10-09,13.88,27.0,10.0,38.0,12.0
2023-10-10,11.26,27.0,10.0,38.0,15.0
2023-10-11,18.87,45.0,10.0,38.0,12.0
2023-10-12,40.91,75.0,10.0,63.0,4.0
2023-10-13,36.39,50.0,10.0,70.0,4.0
2023-10-16,27.9,50.0,10.0,48.0,7.0
2023-10-17,28.09,50.0,10.0,48.0,7.0
2023-10-18,36.11,60.0,10.0,70.0,7.0
2023-10-19,27.72,50.0,10.0,48.0,7.0
2023-10-20,30.61,55.0,10.0,55.0,7.0
2023-10-23,2.7,8.0,10.0,48.0,20.0
2023-10-25,0.65,8.0,10.0,20.0,15.0
2023-10-26,0.0,8.0,10.0,10.0,15.0
2023-10-27,5.42,13.0,10.0,20.0,12.0
2023-10-30,39.71,75.0,10.0,63.0,4.0
2023-10-31,30.85,50.0,10.0,53.0,4.0
2023-11-01,21.33,42.0,10.0,35.0,7.0
2023-11-02,29.52,55.0,10.0,53.0,7.0
2023-11-03,28.14,55.0,10.0,48.0,7.0
2023-11-06,22.9,42.0,10.0,38.0,7.0
2023-11-07,33.05,55.0,10.0,53.0,4.0
2023-11-08,25.51,50.0,10.0,28.0,4.0
2023-11-09,42.06,75.0,10.0,70.0,4.0
2023-11-10,43.74,72.0,10.0,80.0,4.0
2023-11-13,48.88,72.0,10.0,100.0,4.0
2023-11-15,48.34,70.0,10.0,100.0,4.0
2023-11-16,43.3,50.0,10.0,100.0,4.0
2023-11-17,39.04,50.0,10.0,95.0,7.0
2023-11-20,33.84,50.0,10.0,73.0,7.0
2023-11-21,40.84,55.0,10.0,95.0,7.0
2023-11-22,33.28,50.0,10.0,70.0,7.0
2023-11-23,42.65,60.0,10.0,95.0,7.0
2023-11-24,39.73,50.0,10.0,95.0,7.0
2023-11-28,36.0,50.0,10.0,80.0,7.0
2023-11-29,30.38,55.0,10.0,53.0,7.0
2023-11-30,29.03,50.0,10.0,53.0,7.0
2023-12-01,32.05,55.0,10.0,60.0,7.0
2023-12-04,23.3,42.0,10.0,38.0,7.0
2023-12-05,24.43,47.0,10.0,38.0,7.0
2023-12-06,22.99,42.0,10.0,38.0,7.0
2023-12-07,23.06,42.0,10.0,38.0,7.0
2023-12-08,32.61,60.0,10.0,60.0,7.0
2023-12-11,17.75,50.0,10.0,10.0,7.0
2023-12-12,25.14,55.0,10.0,35.0,7.0
2023-12-13,20.16,50.0,10.0,20.0,7.0
2023-12-14,24.57,55.0,10.0,20.0,4.0
2023-12-15,28.21,55.0,10.0,35.0,4.0
2023-12-18,24.22,50.0,10.0,35.0,7.0
2023-12-19,17.54,37.0,10.0,10.0,4.0
2023-12-20,13.23,23.0,10.0,10.0,4.0
2023-12-21,15.05,28.0,10.0,10.0,4.0
2023-12-22,12.93,32.0,10.0,10.0,7.0
2023-12-26,13.75,23.0,10.0,10.0,4.0
2023-12-27,12.89,32.0,10.0,10.0,7.0
2023-12-28,13.58,23.0,10.0,10.0,4.0
2023-12-29,13.9,23.0,10.0,10.0,4.0
2024-01-01,15.84,32.0,10.0,20.0,7.0
2024-01-02,14.59,27.0,10.0,20.0,7.0
2024-01-03,16.7,23.0,10.0,20.0,4.0
2024-01-04,21.09,40.0,10.0,20.0,4.0
2024-01-05,22.64,40.0,10.0,38.0,7.0
2024-01-08,19.03,32.0,10.0,20.0,4.0
2024-01-09,19.02,32.0,10.0,20.0,4.0
2024-01-10,21.0,40.0,10.0,20.0,4.0
2024-01-11,17.9,27.0,10.0,20.0,4.0
2024-01-12,22.5,45.0,10.0,20.0,4.0
2024-01-15,21.08,40.0,10.0,20.0,4.0
2024-01-16,17.64,27.0,10.0,20.0,4.0
2024-01-17,14.49,27.0,10.0,20.0,7.0
2024-01-18,21.27,23.0,10.0,38.0,4.0
2024-01-19,26.05,42.0,10.0,38.0,4.0
2024-01-23,26.27,45.0,10.0,38.0,4.0
2024-01-24,17.89,28.0,10.0,20.0,4.0
2024-01-25,19.15,32.0,10.0,20.0,4.0
2024-01-29,25.11,37.0,10.0,38.0,4.0
2024-01-30,29.46,55.0,10.0,38.0,4.0
2024-01-31,34.85,75.0,10.0,38.0,4.0
2024-02-01,30.8,60.0,10.0,38.0,4.0
2024-02-02,37.08,75.0,10.0,48.0,4.0
2024-02-05,31.6,65.0,10.0,38.0,4.0
2024-02-06,30.55,60.0,10.0,38.0,4.0
2024-02-07,30.8,60.0,10.0,38.0,4.0
2024-02-08,27.94,50.0,10.0,38.0,4.0
2024-02-09,18.16,42.0,10.0,20.0,7.0
2024-02-12,12.32,23.0,10.0,18.0,7.0
2024-02-13,13.04,23.0,10.0,10.0,4.0
2024-02-14,28.48,75.0,10.0,18.0,4.0
2024-02-15,22.28,50.0,10.0,18.0,4.0
2024-02-16,27.39,70.0,10.0,18.0,4.0
2024-02-19,38.1,75.0,10.0,55.0,4.0
2024-02-20,41.08,62.0,10.0,80.0,4.0
2024-02-21,26.2,65.0,10.0,38.0,9.0
2024-02-22,29.88,60.0,10.0,38.0,4.0
2024-02-23,17.34,42.0,10.0,18.0,7.0
2024-02-26,13.31,27.0,10.0,18.0,7.0
2024-02-27,14.03,27.0,10.0,10.0,4.0
2024-02-28,9.59,23.0,10.0,10.0,7.0
2024-02-29,10.96,28.0,10.0,10.0,7.0
2024-03-01,13.03,23.0,10.0,10.0,4.0
2024-03-04,33.12,75.0,10.0,38.0,4.0
2024-03-05,31.21,70.0,10.0,38.0,4.0
2024-03-06,25.16,65.0,10.0,20.0,4.0
2024-03-07,27.25,55.0,10.0,38.0,4.0
2024-03-11,18.46,42.0,10.0,18.0,4.0
2024-03-12,8.36,23.0,10.0,10.0,7.0
2024-03-13,0.0,8.0,10.0,10.0,20.0
2024-03-14,14.03,33.0,10.0,10.0,4.0
2024-03-15,8.12,23.0,10.0,10.0,7.0
2024-03-18,10.62,32.0,10.0,10.0,7.0
2024-03-19,10.38,32.0,10.0,10.0,7.0
2024-03-20,8.18,23.0,10.0,10.0,7.0
2024-03-21,13.26,32.0,10.0,20.0,7.0
2024-03-22,16.62,45.0,10.0,20.0,7.0
2024-03-26,25.51,70.0,10.0,20.0,4.0
2024-03-27,23.37,55.0,10.0,38.0,7.0
2024-03-28,9.26,27.0,10.0,10.0,7.0
2024-04-01,28.62,60.0,10.0,38.0,4.0
2024-04-02,23.36,50.0,10.0,38.0,7.0
2024-04-03,35.19,75.0,10.0,48.0,4.0
2024-04-04,26.18,60.0,10.0,38.0,7.0
2024-04-05,31.79,70.0,10.0,38.0,4.0
2024-04-08,29.07,50.0,10.0,48.0,4.0
2024-04-09,26.69,50.0,10.0,38.0,4.0
2024-04-10,34.26,70.0,10.0,48.0,4.0
2024-04-12,30.78,50.0,10.0,55.0,4.0
2024-04-15,27.51,50.0,10.0,55.0,7.0
2024-04-16,30.69,50.0,10.0,55.0,4.0
2024-04-18,28.92,50.0,10.0,48.0,4.0
2024-04-19,28.87,50.0,10.0,48.0,4.0
2024-04-22,46.78,72.0,10.0,95.0,4.0
2024-04-23,33.94,65.0,10.0,70.0,9.0
2024-04-24,31.56,50.0,10.0,55.0,4.0
2024-04-25,32.78,55.0,10.0,55.0,4.0
2024-04-26,27.01,50.0,10.0,48.0,7.0
2024-04-29,30.5,50.0,10.0,48.0,4.0
2024-04-30,42.36,65.0,10.0,80.0,4.0
2024-05-02,33.4,50.0,10.0,73.0,7.0
2024-05-03,29.27,50.0,10.0,58.0,7.0
2024-05-06,43.54,60.0,10.0,95.0,4.0
2024-05-07,21.53,50.0,10.0,38.0,9.0
2024-05-08,23.98,50.0,10.0,38.0,7.0
2024-05-09,16.77,42.0,10.0,20.0,7.0
2024-05-10,27.19,55.0,10.0,48.0,7.0
2024-05-13,18.6,50.0,10.0,20.0,7.0
2024-05-14,23.69,50.0,10.0,38.0,7.0
2024-05-15,32.45,60.0,10.0,63.0,7.0
2024-05-16,23.8,50.0,10.0,38.0,7.0
2024-05-17,31.67,55.0,10.0,63.0,7.0
2024-05-21,18.88,50.0,10.0,18.0,7.0
2024-05-22,24.68,70.0,10.0,10.0,4.0
2024-05-23,19.49,50.0,10.0,10.0,4.0
2024-05-24,24.74,55.0,10.0,38.0,7.0
2024-05-27,22.42,55.0,10.0,18.0,4.0
2024-05-28,25.91,50.0,10.0,38.0,4.0
2024-05-29,24.23,55.0,10.0,38.0,7.0
2024-05-30,19.42,55.0,10.0,20.0,7.0
2024-05-31,18.37,50.0,10.0,20.0,7.0
2024-06-03,19.82,55.0,10.0,20.0,7.0
2024-06-04,9.03,23.0,10.0,20.0,9.0
2024-06-05,19.7,42.0,10.0,20.0,4.0
2024-06-06,35.11,70.0,10.0,53.0,4.0
2024-06-07,28.31,55.0,10.0,38.0,4.0
2024-06-10,26.96,50.0,10.0,38.0,4.0
2024-06-11,25.66,55.0,10.0,38.0,7.0
2024-06-12,22.9,32.0,10.0,38.0,4.0
2024-06-13,24.82,55.0,10.0,20.0,4.0
2024-06-14,29.52,55.0,10.0,38.0,4.0
2024-06-18,30.08,50.0,10.0,45.0,4.0
2024-06-19,33.24,55.0,10.0,53.0,4.0
2024-06-20,40.74,75.0,10.0,63.0,4.0
2024-06-21,39.72,70.0,10.0,63.0,4.0
2024-06-24,37.15,70.0,10.0,53.0,4.0
2024-06-25,33.31,55.0,10.0,53.0,4.0
2024-06-26,39.4,70.0,10.0,63.0,4.0
2024-06-27,30.17,60.0,10.0,38.0,4.0
2024-06-28,26.2,55.0,10.0,38.0,7.0
2024-07-01,33.54,70.0,10.0,38.0,4.0
2024-07-02,41.27,75.0,10.0,63.0,4.0
2024-07-03,31.61,55.0,10.0,45.0,4.0
2024-07-04,29.68,55.0,10.0,38.0,4.0
2024-07-05,29.04,65.0,10.0,38.0,7.0
2024-07-08,25.14,50.0,10.0,38.0,7.0
2024-07-09,28.56,50.0,10.0,38.0,4.0
2024-07-10,23.08,42.0,10.0,38.0,7.0
2024-07-11,29.65,55.0,10.0,38.0,4.0
2024-07-12,25.03,50.0,10.0,38.0,7.0
2024-07-15,29.35,55.0,10.0,38.0,4.0
2024-07-16,26.49,55.0,10.0,38.0,7.0
2024-07-18,25.05,50.0,10.0,38.0,7.0
2024-07-19,13.98,27.0,10.0,20.0,7.0
2024-07-22,22.26,47.0,10.0,20.0,4.0
2024-07-23,16.24,33.0,10.0,10.0,4.0
2024-07-24,19.65,43.0,10.0,10.0,4.0
2024-07-25,23.06,47.0,10.0,20.0,4.0
2024-07-26,26.42,60.0,10.0,20.0,4.0
2024-07-29,22.31,55.0,10.0,20.0,7.0
2024-07-30,19.22,42.0,10.0,20.0,7.0
2024-07-31,19.89,55.0,10.0,10.0,7.0
2024-08-01,26.39,55.0,10.0,38.0,7.0
2024-08-02,20.67,50.0,10.0,20.0,7.0
2024-08-05,5.53,23.0,10.0,10.0,12.0
2024-08-06,11.59,28.0,10.0,10.0,7.0
2024-08-07,17.22,37.0,10.0,20.0,7.0
2024-08-08,15.96,32.0,10.0,20.0,7.0
2024-08-09,15.07,27.0,10.0,20.0,7.0
2024-08-12,26.24,60.0,10.0,20.0,4.0
2024-08-13,14.62,27.0,10.0,20.0,7.0
2024-08-14,10.69,23.0,10.0,10.0,7.0
2024-08-16,11.08,23.0,10.0,10.0,7.0
2024-08-19,13.14,28.0,10.0,10.0,7.0
2024-08-20,18.04,37.0,10.0,20.0,7.0
2024-08-21,41.88,85.0,10.0,55.0,4.0
2024-08-22,36.75,65.0,10.0,55.0,4.0
2024-08-23,28.09,50.0,10.0,48.0,7.0
2024-08-26,28.55,50.0,10.0,38.0,4.0
2024-08-27,44.54,72.0,10.0,80.0,4.0
2024-08-28,27.77,50.0,10.0,55.0,9.0
2024-08-29,27.91,50.0,10.0,48.0,7.0
2024-08-30,28.45,50.0,10.0,48.0,7.0
2024-09-02,25.67,50.0,10.0,38.0,7.0
2024-09-03,31.48,55.0,10.0,55.0,7.0
2024-09-04,31.53,55.0,10.0,55.0,7.0
2024-09-05,31.37,55.0,10.0,55.0,7.0
2024-09-06,33.51,50.0,10.0,70.0,7.0
2024-09-09,27.71,50.0,10.0,48.0,7.0
2024-09-10,30.68,60.0,10.0,48.0,7.0
2024-09-11,23.38,42.0,10.0,38.0,7.0
2024-09-12,30.74,55.0,10.0,55.0,7.0
