scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-03-13,18.51,45.0,7.0,25.0,4.0
2026-03-16,16.69,45.0,7.0,18.0,4.0
2026-03-17,17.99,55.0,7.0,25.0,7.0
2026-03-18,21.58,55.0,7.0,25.0,4.0
2026-03-19,22.48,45.0,7.0,53.0,7.0
2026-03-20,28.36,55.0,7.0,53.0,4.0
2026-03-23,20.45,45.0,7.0,53.0,9.0
2026-03-24,30.97,65.0,7.0,53.0,4.0
2026-03-25,26.1,45.0,7.0,53.0,4.0
2026-03-27,25.84,45.0,7.0,53.0,4.0
2026-03-30,19.14,27.0,7.0,45.0,4.0
2026-04-01,30.31,55.0,7.0,53.0,4.0
2026-04-02,27.77,45.0,7.0,53.0,4.0
2026-04-06,26.29,50.0,7.0,53.0,7.0
2026-04-07,28.09,45.0,7.0,53.0,4.0
2026-04-08,31.03,65.0,7.0,43.0,4.0
2026-04-09,27.04,50.0,7.0,43.0,4.0
2026-04-10,31.09,65.0,7.0,43.0,4.0
2026-04-13,27.1,50.0,7.0,43.0,4.0
2026-04-15,29.09,55.0,7.0,43.0,4.0
2026-04-16,26.57,45.0,7.0,43.0,4.0
2026-04-17,36.07,65.0,7.0,60.0,4.0
2026-04-20,37.33,70.0,7.0,60.0,4.0
2026-04-21,33.3,55.0,7.0,60.0,4.0
2026-04-22,32.85,52.0,7.0,60.0,4.0
2026-04-23,32.52,50.0,7.0,60.0,4.0
2026-04-24,29.13,37.0,7.0,60.0,4.0
2026-04-27,30.85,42.0,7.0,60.0,4.0
2026-04-28,31.36,45.0,7.0,60.0,4.0
2026-04-29,32.64,50.0,7.0,60.0,4.0
2026-04-30,31.43,45.0,7.0,60.0,4.0
2026-05-01,28.14,45.0,7.0,60.0,7.0
2026-05-04,34.44,55.0,7.0,60.0,4.0
2026-05-05,28.78,45.0,7.0,60.0,7.0
2026-05-06,31.49,42.0,7.0,60.0,4.0
2026-05-07,29.9,37.0,7.0,60.0,4.0
2026-05-08,30.11,37.0,7.0,60.0,4.0
2026-05-11,35.17,57.0,7.0,60.0,4.0
2026-05-12,30.41,60.0,7.0,60.0,9.0
2026-05-13,34.18,55.0,7.0,60.0,4.0
2026-05-14,33.93,55.0,7.0,60.0,4.0
2026-05-15,31.42,45.0,7.0,60.0,4.0
2026-05-18,29.28,45.0,7.0,53.0,4.0
2026-05-19,34.0,55.0,7.0,60.0,4.0
2026-05-20,33.99,55.0,7.0,60.0,4.0
2026-05-21,31.62,45.0,7.0,60.0,4.0
2026-05-22,29.86,50.0,7.0,60.0,7.0
2026-05-25,35.04,57.0,7.0,60.0,4.0
2026-05-26,32.46,47.0,7.0,60.0,4.0
2026-05-27,28.86,32.0,7.0,60.0,4.0
2026-05-28,25.36,32.0,7.0,60.0,7.0
2026-05-29,30.03,37.0,7.0,60.0,4.0
2026-06-01,26.45,45.0,7.0,60.0,9.0
2026-06-02,31.02,55.0,7.0,60.0,7.0
2026-06-03,29.73,50.0,7.0,60.0,7.0
2026-06-04,28.52,45.0,7.0,60.0,7.0
2026-06-05,31.51,45.0,7.0,60.0,4.0
2026-06-08,30.71,50.0,7.0,53.0,4.0
2026-06-09,34.37,55.0,7.0,60.0,4.0
2026-06-10,31.39,45.0,7.0,60.0,4.0
2026-06-11,29.47,45.0,7.0,53.0,4.0
2026-06-12,34.53,55.0,7.0,60.0,4.0
2026-06-15,28.89,45.0,7.0,60.0,7.0
2026-06-16,29.98,45.0,7.0,53.0,4.0
2026-06-17,18.6,38.0,7.0,35.0,9.0
2026-06-18,21.35,28.0,7.0,35.0,4.0
2026-06-19,35.2,65.0,7.0,53.0,4.0
2026-06-22,44.2,65.0,7.0,88.0,4.0
2026-06-23,36.17,50.0,7.0,70.0,4.0
2026-06-24,40.53,50.0,7.0,88.0,4.0
2026-06-25,31.26,45.0,7.0,70.0,7.0
2026-06-26,31.17,45.0,7.0,70.0,7.0
2026-06-29,40.49,50.0,7.0,88.0,4.0
2026-06-30,44.95,70.0,7.0,88.0,4.0
2026-07-01,38.5,45.0,7.0,88.0,4.0
2026-07-02,41.05,55.0,7.0,88.0,4.0
2026-07-03,43.46,65.0,7.0,88.0,4.0
2026-07-06,38.15,45.0,7.0,88.0,4.0
2026-07-07,30.42,45.0,7.0,70.0,7.0
2026-07-08,29.98,32.0,7.0,70.0,4.0
2026-07-09,40.97,55.0,7.0,88.0,4.0
2026-07-10,38.27,45.0,7.0,88.0,4.0
2026-07-13,39.55,50.0,7.0,88.0,4.0
2026-07-14,37.7,45.0,7.0,98.0,7.0
2026-07-15,45.22,60.0,7.0,100.0,4.0
2026-07-16,41.36,45.0,7.0,100.0,4.0
2026-07-17,20.5,23.0,7.0,60.0,9.0
2026-07-20,32.96,42.0,7.0,70.0,4.0
2026-07-21,21.92,8.0,7.0,60.0,4.0
2026-07-22,33.15,55.0,7.0,60.0,4.0
2026-07-23,31.34,50.0,7.0,70.0,7.0
2026-07-24,23.29,27.0,7.0,60.0,7.0
2026-07-27,22.47,12.0,7.0,70.0,7.0
2026-07-28,21.89,12.0,7.0,70.0,7.0
2026-07-29,21.04,17.0,7.0,60.0,7.0
2026-07-30,20.67,17.0,7.0,60.0,7.0
2026-07-31,36.95,70.0,7.0,60.0,4.0
2026-08-03,38.03,55.0,7.0,78.0,4.0
2026-08-04,30.87,45.0,7.0,60.0,4.0
2026-08-05,32.94,50.0,7.0,63.0,4.0
2026-08-06,37.95,55.0,7.0,78.0,4.0
2026-08-07,35.38,45.0,7.0,78.0,4.0
2026-08-10,28.09,45.0,7.0,60.0,7.0
2026-08-11,25.28,22.0,7.0,60.0,4.0
2026-08-12,27.47,32.0,7.0,60.0,4.0
2026-08-13,19.57,12.0,7.0,60.0,7.0
2026-08-14,21.48,17.0,7.0,63.0,7.0
2026-08-17,17.5,8.0,7.0,45.0,4.0
2026-08-18,20.33,13.0,7.0,63.0,7.0
2026-08-19,14.91,8.0,7.0,35.0,4.0
2026-08-20,16.27,13.0,7.0,35.0,4.0
2026-08-21,16.34,13.0,7.0,35.0,4.0
2026-08-24,20.51,22.0,7.0,43.0,4.0
2026-08-25,28.72,55.0,7.0,43.0,4.0
2026-08-26,33.91,55.0,7.0,63.0,4.0
2026-08-27,32.66,50.0,7.0,63.0,4.0
2026-08-28,25.25,50.0,7.0,45.0,7.0
2026-08-31,27.02,45.0,7.0,45.0,4.0
2026-09-01,27.01,45.0,7.0,45.0,4.0
2026-09-03,49.37,70.0,47.0,35.0,0.0
2026-09-04,45.62,45.0,47.0,45.0,0.0
