scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,3.16,23.0,13.0,10.0,17.0
2023-09-05,10.68,45.0,13.0,18.0,17.0
2023-09-06,1.76,17.0,13.0,10.0,17.0
2023-09-07,1.34,17.0,13.0,8.0,17.0
2023-09-08,7.12,30.0,13.0,18.0,17.0
2023-09-11,4.55,20.0,13.0,18.0,17.0
2023-09-12,0.0,13.0,13.0,0.0,17.0
2023-09-13,3.16,17.0,13.0,18.0,17.0
2023-09-14,0.88,17.0,13.0,8.0,17.0
2023-09-15,0.0,12.0,13.0,8.0,17.0
2023-09-18,4.43,32.0,13.0,8.0,17.0
2023-09-20,1.05,17.0,13.0,10.0,17.0
2023-09-21,0.0,8.0,13.0,10.0,17.0
2023-09-22,0.0,13.0,13.0,10.0,17.0
2023-09-25,0.99,18.0,13.0,10.0,17.0
2023-09-26,0.0,13.0,13.0,10.0,17.0
2023-09-27,1.09,18.0,13.0,10.0,17.0
2023-09-28,0.0,18.0,13.0,0.0,17.0
2023-09-29,0.0,18.0,13.0,0.0,17.0
2023-10-03,0.0,13.0,13.0,0.0,17.0
2023-10-04,0.0,13.0,13.0,0.0,17.0
2023-10-05,0.0,18.0,13.0,0.0,17.0
2023-10-06,5.63,45.0,13.0,0.0,17.0
2023-10-09,0.35,27.0,13.0,0.0,17.0
2023-10-10,11.54,60.0,13.0,10.0,17.0
2023-10-11,6.71,40.0,13.0,10.0,17.0
2023-10-12,9.17,40.0,13.0,18.0,17.0
2023-10-13,18.32,60.0,13.0,35.0,17.0
2023-10-16,20.06,47.0,13.0,55.0,17.0
2023-10-17,39.5,62.0,13.0,85.0,9.0
2023-10-18,15.76,50.0,13.0,55.0,22.0
2023-10-19,23.39,45.0,13.0,70.0,17.0
2023-10-20,16.94,35.0,13.0,55.0,17.0
2023-10-23,5.74,35.0,13.0,35.0,22.0
2023-10-25,11.88,40.0,13.0,35.0,17.0
2023-10-26,10.71,35.0,13.0,35.0,17.0
2023-10-27,10.66,45.0,13.0,35.0,20.0
