scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,64.51,67.0,59.0,70.0,0.0
2023-09-06,65.45,62.0,59.0,80.0,0.0
2023-09-07,61.64,47.0,59.0,80.0,0.0
2023-09-08,62.86,52.0,59.0,80.0,0.0
2023-09-11,60.53,52.0,59.0,70.0,0.0
2023-09-12,58.71,47.0,59.0,70.0,0.0
2023-09-13,58.07,60.0,59.0,55.0,0.0
2023-09-14,66.67,57.0,59.0,90.0,0.0
2023-09-15,62.52,52.0,59.0,90.0,3.0
2023-09-18,64.57,60.0,59.0,80.0,0.0
2023-09-20,63.08,65.0,59.0,70.0,0.0
2023-09-21,62.02,60.0,59.0,70.0,0.0
2023-09-22,70.55,65.0,59.0,100.0,0.0
2023-09-25,71.84,70.0,59.0,100.0,0.0
2023-09-26,66.26,60.0,59.0,100.0,3.0
2023-09-27,66.85,60.0,59.0,100.0,3.0
2023-09-28,68.16,60.0,59.0,95.0,0.0
2023-09-29,69.95,75.0,59.0,88.0,0.0
2023-10-03,57.39,60.0,59.0,53.0,0.0
2023-10-04,53.61,65.0,59.0,35.0,0.0
2023-10-05,54.14,65.0,59.0,35.0,0.0
2023-10-06,54.19,65.0,59.0,35.0,0.0
2023-10-09,50.71,52.0,59.0,35.0,0.0
2023-10-10,60.73,80.0,59.0,45.0,0.0
2023-10-11,62.07,70.0,59.0,60.0,0.0
2023-10-12,60.67,65.0,59.0,60.0,0.0
2023-10-13,60.51,65.0,59.0,60.0,0.0
2023-10-16,60.37,65.0,59.0,60.0,0.0
2023-10-17,59.1,60.0,59.0,60.0,0.0
2023-10-18,62.92,75.0,59.0,60.0,0.0
2023-10-19,70.02,85.0,59.0,78.0,0.0
2023-10-20,68.56,70.0,59.0,88.0,0.0
2023-10-23,61.98,65.0,59.0,70.0,0.0
2023-10-25,64.29,75.0,59.0,70.0,0.0
2023-10-26,66.38,65.0,59.0,88.0,0.0
2023-10-27,74.26,85.0,59.0,98.0,0.0
2023-10-30,65.22,60.0,59.0,88.0,0.0
2023-10-31,70.1,70.0,59.0,98.0,0.0
2023-11-01,65.41,52.0,59.0,98.0,0.0
2023-11-02,65.65,52.0,59.0,98.0,0.0
2023-11-03,66.93,57.0,59.0,98.0,0.0
2023-11-06,67.63,60.0,59.0,98.0,0.0
2023-11-07,68.12,60.0,59.0,100.0,0.0
2023-11-08,65.91,65.0,59.0,98.0,3.0
2023-11-09,62.54,52.0,59.0,98.0,3.0
2023-11-10,64.58,60.0,59.0,98.0,3.0
2023-11-13,67.6,60.0,59.0,98.0,0.0
2023-11-15,72.38,75.0,59.0,98.0,0.0
2023-11-16,68.87,57.0,59.0,100.0,0.0
2023-11-17,69.13,60.0,59.0,100.0,0.0
2023-11-20,68.8,57.0,59.0,100.0,0.0
2023-11-21,64.39,52.0,59.0,88.0,0.0
2023-11-22,67.49,52.0,59.0,100.0,0.0
2023-11-23,66.58,70.0,59.0,78.0,0.0
2023-11-24,66.33,70.0,59.0,78.0,0.0
2023-11-28,66.21,70.0,59.0,78.0,0.0
2023-11-29,66.5,70.0,59.0,78.0,0.0
2023-11-30,68.12,75.0,59.0,78.0,0.0
2023-12-01,62.29,65.0,59.0,78.0,3.0
2023-12-04,58.86,65.0,59.0,53.0,0.0
2023-12-05,50.63,60.0,59.0,38.0,3.0
2023-12-06,50.62,60.0,59.0,38.0,3.0
2023-12-07,50.88,60.0,59.0,38.0,3.0
2023-12-08,60.22,70.0,59.0,53.0,0.0
2023-12-11,58.33,65.0,59.0,63.0,3.0
2023-12-12,61.33,65.0,59.0,63.0,0.0
2023-12-13,56.81,60.0,59.0,63.0,3.0
2023-12-14,64.81,62.0,59.0,78.0,0.0
2023-12-15,70.61,67.0,59.0,95.0,0.0
2023-12-18,62.07,47.0,59.0,95.0,3.0
2023-12-19,57.41,47.0,59.0,78.0,3.0
2023-12-20,60.77,60.0,59.0,78.0,3.0
2023-12-21,62.85,57.0,59.0,88.0,3.0
2023-12-22,69.0,57.0,59.0,100.0,0.0
2023-12-26,63.22,47.0,59.0,100.0,3.0
2023-12-27,64.53,52.0,59.0,100.0,3.0
2023-12-28,64.38,52.0,59.0,100.0,3.0
2023-12-29,69.32,60.0,59.0,100.0,0.0
2024-01-01,66.42,60.0,59.0,100.0,3.0
2024-01-02,67.45,65.0,59.0,100.0,3.0
2024-01-03,68.96,60.0,59.0,100.0,0.0
2024-01-04,69.19,60.0,59.0,100.0,0.0
2024-01-05,70.67,65.0,59.0,100.0,0.0
2024-01-08,65.84,60.0,59.0,100.0,3.0
2024-01-09,67.37,65.0,59.0,100.0,3.0
2024-01-10,67.43,65.0,59.0,100.0,3.0
2024-01-11,70.59,65.0,59.0,100.0,0.0
2024-01-12,71.68,67.0,59.0,100.0,0.0
2024-01-15,65.84,57.0,59.0,88.0,0.0
2024-01-16,66.4,60.0,59.0,88.0,0.0
2024-01-17,68.28,57.0,59.0,98.0,0.0
2024-01-18,69.96,62.0,59.0,100.0,0.0
2024-01-19,68.25,57.0,59.0,98.0,0.0
2024-01-23,71.9,72.0,59.0,100.0,0.0
2024-01-24,70.1,62.0,59.0,100.0,0.0
2024-01-25,65.92,47.0,59.0,100.0,0.0
2024-01-29,71.04,67.0,59.0,100.0,0.0
2024-01-30,67.21,52.0,59.0,100.0,0.0
2024-01-31,67.65,52.0,59.0,100.0,0.0
2024-02-01,66.24,60.0,59.0,100.0,3.0
2024-02-02,68.94,57.0,59.0,100.0,0.0
2024-02-05,67.34,52.0,59.0,100.0,0.0
2024-02-06,68.01,52.0,59.0,100.0,0.0
2024-02-07,64.59,52.0,59.0,100.0,3.0
2024-02-08,63.26,47.0,59.0,100.0,3.0
2024-02-09,64.03,52.0,59.0,100.0,3.0
2024-02-12,69.27,62.0,59.0,100.0,0.0
2024-02-13,62.43,47.0,59.0,100.0,3.0
2024-02-14,68.57,60.0,59.0,100.0,0.0
2024-02-15,66.93,52.0,59.0,100.0,0.0
2024-02-16,66.79,52.0,59.0,100.0,0.0
2024-02-19,68.85,60.0,59.0,100.0,0.0
2024-02-20,65.45,60.0,59.0,100.0,3.0
2024-02-21,65.53,60.0,59.0,88.0,0.0
2024-02-22,66.96,65.0,59.0,88.0,0.0
2024-02-23,67.2,65.0,59.0,88.0,0.0
2024-02-26,64.85,75.0,59.0,70.0,0.0
2024-02-27,66.83,65.0,59.0,88.0,0.0
2024-02-28,62.11,60.0,59.0,88.0,3.0
2024-02-29,69.34,75.0,59.0,88.0,0.0
2024-03-01,65.14,60.0,59.0,88.0,0.0
2024-03-04,63.03,70.0,59.0,70.0,0.0
2024-03-05,54.5,38.0,59.0,70.0,0.0
2024-03-06,59.19,57.0,59.0,70.0,0.0
2024-03-07,56.8,47.0,59.0,70.0,0.0
2024-03-11,55.41,43.0,59.0,70.0,0.0
2024-03-12,53.96,38.0,59.0,70.0,0.0
2024-03-13,50.84,28.0,59.0,70.0,0.0
2024-03-14,57.94,52.0,59.0,70.0,0.0
2024-03-15,63.6,75.0,59.0,70.0,0.0
2024-03-18,50.0,33.0,59.0,60.0,0.0
2024-03-19,48.24,28.0,59.0,60.0,0.0
2024-03-20,48.17,28.0,59.0,60.0,0.0
2024-03-21,51.19,37.0,59.0,60.0,0.0
2024-03-22,46.34,33.0,59.0,45.0,0.0
2024-03-26,46.11,33.0,59.0,45.0,0.0
2024-03-27,46.05,32.0,59.0,45.0,0.0
2024-03-28,46.39,33.0,59.0,45.0,0.0
2024-04-01,55.1,38.0,78.0,45.0,0.0
2024-04-02,51.46,23.0,78.0,45.0,0.0
2024-04-03,54.15,33.0,78.0,45.0,0.0
2024-04-04,56.5,42.0,78.0,45.0,0.0
2024-04-05,51.5,23.0,78.0,45.0,0.0
2024-04-08,52.75,28.0,78.0,45.0,0.0
2024-04-09,49.7,28.0,78.0,45.0,3.0
2024-04-10,49.65,28.0,78.0,45.0,3.0
2024-04-12,52.54,28.0,78.0,45.0,0.0
