scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,51.37,72.0,13.0,100.0,4.0
2023-09-05,46.39,52.0,13.0,100.0,4.0
2023-09-06,47.79,60.0,13.0,98.0,4.0
2023-09-07,47.73,60.0,13.0,98.0,4.0
2023-09-08,53.43,80.0,13.0,100.0,4.0
2023-09-11,49.81,65.0,13.0,100.0,4.0
2023-09-12,46.17,75.0,13.0,100.0,9.0
2023-09-13,50.34,70.0,13.0,100.0,4.0
2023-09-14,45.09,60.0,13.0,88.0,4.0
2023-09-15,43.39,65.0,13.0,88.0,7.0
2023-09-18,41.88,60.0,13.0,88.0,7.0
2023-09-20,43.01,65.0,13.0,88.0,7.0
2023-09-21,46.0,65.0,13.0,88.0,4.0
2023-09-22,52.81,80.0,13.0,100.0,4.0
2023-09-25,52.96,80.0,13.0,100.0,4.0
2023-09-26,49.12,65.0,13.0,100.0,4.0
2023-09-27,51.85,75.0,13.0,100.0,4.0
2023-09-28,44.92,60.0,13.0,88.0,4.0
2023-09-29,45.9,65.0,13.0,98.0,7.0
2023-10-03,45.25,60.0,13.0,88.0,4.0
2023-10-04,37.06,47.0,13.0,70.0,4.0
2023-10-05,38.89,65.0,13.0,70.0,7.0
2023-10-06,38.98,65.0,13.0,70.0,7.0
2023-10-09,32.61,42.0,13.0,70.0,7.0
2023-10-10,34.29,47.0,13.0,70.0,7.0
2023-10-11,34.35,47.0,13.0,70.0,7.0
2023-10-12,43.84,65.0,13.0,88.0,7.0
2023-10-13,41.04,60.0,13.0,70.0,4.0
2023-10-16,42.52,60.0,13.0,88.0,7.0
2023-10-17,46.91,65.0,13.0,88.0,4.0
2023-10-18,50.48,70.0,13.0,98.0,4.0
2023-10-19,47.85,60.0,13.0,98.0,4.0
2023-10-20,45.32,60.0,13.0,88.0,4.0
2023-10-23,26.63,28.0,13.0,70.0,9.0
2023-10-25,30.02,23.0,13.0,70.0,4.0
2023-10-26,31.29,28.0,13.0,70.0,4.0
2023-10-27,35.33,42.0,13.0,70.0,4.0
2023-10-30,50.47,85.0,13.0,88.0,4.0
2023-10-31,41.0,65.0,13.0,70.0,4.0
2023-11-01,31.41,27.0,13.0,70.0,4.0
2023-11-02,53.67,85.0,13.0,100.0,4.0
2023-11-03,52.61,80.0,13.0,100.0,4.0
2023-11-06,50.07,70.0,13.0,100.0,4.0
2023-11-07,47.58,60.0,13.0,100.0,4.0
2023-11-08,48.85,65.0,13.0,100.0,4.0
2023-11-09,51.1,75.0,13.0,100.0,4.0
2023-11-10,48.67,65.0,13.0,100.0,4.0
2023-11-13,50.36,70.0,13.0,100.0,4.0
2023-11-15,47.83,60.0,13.0,100.0,4.0
2023-11-16,48.97,65.0,13.0,100.0,4.0
2023-11-17,50.78,72.0,13.0,100.0,4.0
2023-11-20,47.83,60.0,13.0,100.0,4.0
2023-11-21,47.82,60.0,13.0,100.0,4.0
2023-11-22,46.12,65.0,13.0,100.0,7.0
2023-11-23,45.04,60.0,13.0,100.0,7.0
2023-11-24,45.05,60.0,13.0,100.0,7.0
2023-11-28,44.94,60.0,13.0,100.0,7.0
2023-11-29,47.34,70.0,13.0,100.0,7.0
2023-11-30,43.5,60.0,13.0,95.0,7.0
2023-12-01,46.03,70.0,13.0,95.0,7.0
2023-12-04,43.32,65.0,13.0,88.0,7.0
2023-12-05,39.41,60.0,13.0,78.0,7.0
2023-12-06,36.89,65.0,13.0,63.0,7.0
2023-12-07,41.21,70.0,13.0,63.0,4.0
2023-12-08,42.44,60.0,13.0,78.0,4.0
2023-12-11,43.34,65.0,13.0,88.0,7.0
2023-12-12,39.46,60.0,13.0,78.0,7.0
2023-12-13,50.84,72.0,13.0,100.0,4.0
2023-12-14,51.06,72.0,13.0,100.0,4.0
2023-12-15,44.87,47.0,13.0,100.0,4.0
2023-12-18,44.88,47.0,13.0,100.0,4.0
2023-12-19,47.15,57.0,13.0,100.0,4.0
2023-12-20,39.63,50.0,13.0,100.0,9.0
2023-12-21,50.03,70.0,13.0,100.0,4.0
2023-12-22,45.75,65.0,13.0,100.0,7.0
2023-12-26,44.5,60.0,13.0,100.0,7.0
2023-12-27,47.47,60.0,13.0,100.0,4.0
2023-12-28,45.7,65.0,13.0,100.0,7.0
2023-12-29,44.45,60.0,13.0,100.0,7.0
2024-01-01,50.42,70.0,13.0,100.0,4.0
2024-01-02,48.88,65.0,13.0,100.0,4.0
2024-01-03,44.77,60.0,13.0,100.0,7.0
2024-01-04,50.94,70.0,13.0,100.0,4.0
2024-01-05,48.19,60.0,13.0,100.0,4.0
2024-01-08,44.98,60.0,13.0,100.0,7.0
2024-01-09,46.37,65.0,13.0,100.0,7.0
2024-01-10,46.24,65.0,13.0,100.0,7.0
2024-01-11,47.82,70.0,13.0,88.0,4.0
2024-01-12,40.83,60.0,13.0,70.0,4.0
2024-01-15,40.76,60.0,13.0,70.0,4.0
2024-01-16,49.01,75.0,13.0,88.0,4.0
2024-01-17,45.29,80.0,13.0,70.0,4.0
2024-01-18,53.35,80.0,13.0,100.0,4.0
2024-01-19,54.84,85.0,13.0,100.0,4.0
2024-01-23,50.8,72.0,13.0,100.0,4.0
2024-01-24,51.35,72.0,13.0,100.0,4.0
2024-01-25,51.37,72.0,13.0,100.0,4.0
2024-01-29,51.54,72.0,13.0,100.0,4.0
2024-01-30,49.16,62.0,13.0,100.0,4.0
2024-01-31,46.75,52.0,13.0,100.0,4.0
2024-02-01,46.65,52.0,13.0,100.0,4.0
2024-02-02,45.48,47.0,13.0,100.0,4.0
2024-02-05,42.93,50.0,13.0,100.0,7.0
2024-02-06,48.5,60.0,13.0,100.0,4.0
2024-02-07,43.0,50.0,13.0,100.0,7.0
2024-02-08,42.88,50.0,13.0,100.0,7.0
2024-02-09,40.69,42.0,13.0,100.0,7.0
2024-02-12,38.21,38.0,13.0,98.0,7.0
2024-02-13,38.24,38.0,13.0,98.0,7.0
2024-02-14,42.6,52.0,13.0,100.0,7.0
2024-02-15,41.39,47.0,13.0,100.0,7.0
2024-02-16,41.55,47.0,13.0,100.0,7.0
2024-02-19,37.39,42.0,13.0,88.0,7.0
2024-02-20,31.64,38.0,13.0,70.0,7.0
2024-02-21,27.67,23.0,13.0,70.0,7.0
2024-02-22,27.67,23.0,13.0,70.0,7.0
2024-02-23,30.15,33.0,13.0,70.0,7.0
2024-02-26,34.83,52.0,13.0,70.0,7.0
2024-02-27,30.42,23.0,13.0,70.0,4.0
2024-02-28,29.85,23.0,13.0,70.0,4.0
2024-02-29,28.19,28.0,13.0,70.0,7.0
2024-03-01,28.35,28.0,13.0,70.0,7.0
2024-03-04,26.93,23.0,13.0,70.0,7.0
2024-03-05,29.86,23.0,13.0,70.0,4.0
2024-03-06,29.34,23.0,13.0,70.0,4.0
2024-03-07,27.84,28.0,13.0,70.0,7.0
