scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,45.78,57.0,9.0,100.0,4.0
2023-09-06,45.86,57.0,9.0,100.0,4.0
2023-09-07,40.44,47.0,9.0,100.0,7.0
2023-09-08,41.72,52.0,9.0,100.0,7.0
2023-09-11,40.4,47.0,9.0,100.0,7.0
2023-09-12,45.71,60.0,9.0,100.0,4.0
2023-09-13,42.26,57.0,9.0,100.0,7.0
2023-09-14,41.23,52.0,9.0,100.0,7.0
2023-09-15,39.97,47.0,9.0,100.0,7.0
2023-09-18,47.78,67.0,9.0,100.0,4.0
2023-09-20,42.9,60.0,9.0,100.0,7.0
2023-09-21,42.66,60.0,9.0,100.0,7.0
2023-09-22,43.93,65.0,9.0,100.0,7.0
2023-09-25,45.09,70.0,9.0,100.0,7.0
2023-09-26,42.69,60.0,9.0,100.0,7.0
2023-09-27,42.69,60.0,9.0,100.0,7.0
2023-09-28,48.17,70.0,9.0,100.0,4.0
2023-09-29,43.83,52.0,9.0,100.0,4.0
2023-10-03,45.26,57.0,9.0,100.0,4.0
2023-10-04,41.85,47.0,9.0,98.0,4.0
2023-10-05,40.27,52.0,9.0,98.0,7.0
2023-10-06,43.48,52.0,9.0,98.0,4.0
2023-10-09,42.2,60.0,9.0,88.0,4.0
2023-10-10,47.64,70.0,9.0,98.0,4.0
2023-10-11,47.56,67.0,9.0,100.0,4.0
2023-10-12,44.27,52.0,9.0,100.0,4.0
2023-10-13,47.92,67.0,9.0,100.0,4.0
2023-10-16,49.16,72.0,9.0,100.0,4.0
2023-10-17,49.35,72.0,9.0,100.0,4.0
2023-10-18,42.86,47.0,9.0,100.0,4.0
2023-10-19,45.49,57.0,9.0,100.0,4.0
2023-10-20,45.29,57.0,9.0,100.0,4.0
2023-10-23,38.59,47.0,9.0,100.0,7.0
2023-10-25,41.73,60.0,9.0,100.0,7.0
2023-10-26,39.31,50.0,9.0,100.0,7.0
2023-10-27,44.76,70.0,9.0,100.0,7.0
2023-10-30,44.68,70.0,9.0,100.0,7.0
2023-10-31,42.16,60.0,9.0,100.0,7.0
2023-11-01,39.56,50.0,9.0,100.0,7.0
2023-11-02,43.49,65.0,9.0,100.0,7.0
2023-11-03,39.88,50.0,9.0,100.0,7.0
2023-11-06,44.95,70.0,9.0,100.0,7.0
2023-11-07,45.16,70.0,9.0,100.0,7.0
2023-11-08,43.69,65.0,9.0,100.0,7.0
2023-11-09,46.52,65.0,9.0,100.0,4.0
2023-11-10,44.61,60.0,9.0,98.0,4.0
2023-11-13,43.1,65.0,9.0,98.0,7.0
2023-11-15,35.02,60.0,9.0,70.0,7.0
2023-11-16,36.17,65.0,9.0,70.0,7.0
2023-11-17,39.24,65.0,9.0,70.0,4.0
2023-11-20,40.59,70.0,9.0,70.0,4.0
2023-11-21,38.19,60.0,9.0,70.0,4.0
2023-11-22,35.39,60.0,9.0,70.0,7.0
2023-11-23,38.54,60.0,9.0,70.0,4.0
2023-11-24,40.07,60.0,9.0,88.0,7.0
2023-11-28,49.17,85.0,9.0,88.0,4.0
2023-11-29,35.26,60.0,9.0,70.0,7.0
2023-11-30,30.89,42.0,9.0,70.0,7.0
2023-12-01,41.08,65.0,9.0,88.0,7.0
2023-12-04,44.12,65.0,9.0,88.0,4.0
2023-12-05,42.63,60.0,9.0,88.0,4.0
2023-12-06,30.6,42.0,9.0,70.0,7.0
2023-12-07,30.89,42.0,9.0,70.0,7.0
2023-12-08,33.69,42.0,9.0,70.0,4.0
2023-12-11,39.63,65.0,9.0,70.0,4.0
2023-12-12,43.97,65.0,9.0,88.0,4.0
2023-12-13,35.17,60.0,9.0,70.0,7.0
2023-12-14,43.95,65.0,9.0,88.0,4.0
2023-12-15,46.39,75.0,9.0,88.0,4.0
2023-12-18,44.07,65.0,9.0,88.0,4.0
2023-12-19,39.78,60.0,9.0,88.0,7.0
2023-12-20,29.06,27.0,9.0,70.0,4.0
2023-12-21,27.64,32.0,9.0,70.0,7.0
2023-12-22,46.1,75.0,9.0,88.0,4.0
