scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-08-29,50.49,37.0,68.0,38.0,0.0
2023-08-30,48.06,27.0,68.0,38.0,0.0
2023-08-31,46.38,38.0,68.0,20.0,0.0
2023-09-01,42.8,23.0,68.0,20.0,0.0
2023-09-04,41.34,28.0,68.0,20.0,3.0
2023-09-05,41.64,28.0,68.0,10.0,0.0
2023-09-06,41.58,28.0,68.0,10.0,0.0
2023-09-07,46.33,37.0,68.0,20.0,0.0
2023-09-08,39.57,32.0,68.0,10.0,3.0
2023-09-11,42.6,32.0,68.0,10.0,0.0
2023-09-12,39.67,23.0,68.0,10.0,0.0
2023-09-13,42.41,32.0,68.0,10.0,0.0
2023-09-14,42.68,32.0,68.0,10.0,0.0
2023-09-15,42.51,32.0,68.0,10.0,0.0
2023-09-18,42.3,33.0,68.0,10.0,0.0
2023-09-20,41.89,33.0,68.0,10.0,0.0
2023-09-21,41.65,33.0,68.0,10.0,0.0
2023-09-22,41.85,34.0,68.0,10.0,0.0
2023-09-25,29.09,14.0,68.0,10.0,8.0
2023-09-26,29.05,14.0,68.0,10.0,8.0
2023-09-27,41.94,33.0,68.0,10.0,0.0
2023-09-28,29.55,18.0,68.0,10.0,8.0
2023-09-29,41.86,33.0,68.0,10.0,0.0
2023-10-03,40.39,28.0,68.0,10.0,0.0
2023-10-04,28.04,13.0,68.0,10.0,8.0
2023-10-05,28.09,13.0,68.0,10.0,8.0
2023-10-06,38.12,33.0,68.0,10.0,3.0
2023-10-09,40.5,33.0,68.0,10.0,0.0
2023-10-10,38.04,33.0,68.0,10.0,3.0
2023-10-11,43.59,42.0,68.0,10.0,0.0
2023-10-12,38.54,32.0,68.0,10.0,3.0
2023-10-13,41.15,32.0,68.0,10.0,0.0
2023-10-16,42.68,37.0,68.0,10.0,0.0
2023-10-17,47.23,55.0,68.0,10.0,0.0
2023-10-18,42.64,50.0,68.0,10.0,3.0
2023-10-19,38.13,32.0,68.0,10.0,3.0
2023-10-20,41.72,28.0,68.0,18.0,0.0
2023-10-23,27.15,13.0,68.0,10.0,8.0
2023-10-25,29.53,23.0,68.0,10.0,8.0
2023-10-26,28.33,19.0,68.0,10.0,8.0
2023-10-27,28.32,18.0,68.0,10.0,8.0
2023-10-30,25.83,18.0,68.0,0.0,8.0
2023-10-31,28.32,18.0,68.0,10.0,8.0
2023-11-01,26.76,23.0,68.0,0.0,8.0
2023-11-02,40.66,37.0,68.0,8.0,0.0
2023-11-03,50.47,65.0,68.0,18.0,0.0
2023-11-06,49.66,60.0,68.0,18.0,0.0
2023-11-07,52.12,70.0,68.0,18.0,0.0
2023-11-08,55.03,80.0,68.0,18.0,0.0
2023-11-09,57.08,80.0,68.0,28.0,0.0
2023-11-10,57.09,80.0,68.0,28.0,0.0
2023-11-13,52.34,60.0,68.0,28.0,0.0
2023-11-15,50.6,52.0,68.0,28.0,0.0
2023-11-16,50.0,60.0,68.0,18.0,0.0
2023-11-17,54.02,65.0,68.0,28.0,0.0
2023-11-20,49.43,60.0,68.0,28.0,3.0
2023-11-21,47.27,60.0,68.0,18.0,3.0
2023-11-22,47.17,60.0,68.0,18.0,3.0
2023-11-23,65.9,85.0,68.0,55.0,0.0
2023-11-24,63.44,75.0,68.0,55.0,0.0
2023-11-28,59.91,60.0,68.0,55.0,0.0
2023-11-29,61.15,65.0,68.0,55.0,0.0
2023-11-30,61.57,65.0,68.0,55.0,0.0
2023-12-01,61.45,65.0,68.0,55.0,0.0
2023-12-04,58.27,52.0,68.0,55.0,0.0
2023-12-05,57.12,65.0,68.0,38.0,0.0
2023-12-06,58.91,65.0,68.0,45.0,0.0
2023-12-07,52.74,60.0,68.0,38.0,3.0
2023-12-08,56.8,65.0,68.0,38.0,0.0
2023-12-11,57.01,65.0,68.0,38.0,0.0
2023-12-12,25.31,28.0,68.0,0.0,13.0
2023-12-13,30.33,28.0,68.0,0.0,8.0
2023-12-14,30.51,28.0,68.0,0.0,8.0
2023-12-15,31.87,33.0,68.0,0.0,8.0
2023-12-18,28.08,18.0,68.0,0.0,8.0
2023-12-19,26.66,13.0,68.0,0.0,8.0
2023-12-20,28.5,23.0,68.0,0.0,8.0
2023-12-21,27.9,18.0,68.0,0.0,8.0
2023-12-22,25.23,18.0,68.0,0.0,11.0
2023-12-26,27.8,18.0,68.0,10.0,11.0
2023-12-27,27.77,18.0,68.0,10.0,11.0
2023-12-28,27.75,18.0,68.0,10.0,11.0
2023-12-29,40.46,37.0,68.0,10.0,3.0
2024-01-01,29.48,13.0,68.0,10.0,8.0
2024-01-02,27.69,18.0,68.0,10.0,11.0
2024-01-03,26.38,13.0,68.0,10.0,11.0
2024-01-04,26.63,13.0,68.0,10.0,11.0
2024-01-05,27.6,18.0,68.0,10.0,11.0
2024-01-08,23.37,13.0,68.0,0.0,11.0
2024-01-09,30.14,18.0,68.0,10.0,8.0
2024-01-10,25.53,22.0,68.0,0.0,11.0
2024-01-11,30.74,22.0,68.0,8.0,8.0
2024-01-12,28.26,13.0,68.0,8.0,8.0
2024-01-15,30.32,22.0,68.0,8.0,8.0
2024-01-16,30.51,22.0,68.0,8.0,8.0
2024-01-17,27.65,13.0,68.0,8.0,8.0
2024-01-18,28.43,23.0,68.0,0.0,8.0
2024-01-19,27.73,18.0,68.0,0.0,8.0
2024-01-23,27.88,23.0,68.0,0.0,8.0
2024-01-24,27.41,18.0,68.0,0.0,8.0
2024-01-25,26.21,13.0,68.0,0.0,8.0
2024-01-29,30.16,18.0,68.0,10.0,8.0
2024-01-30,26.08,13.0,68.0,0.0,8.0
2024-01-31,32.76,27.0,68.0,10.0,8.0
2024-02-01,35.15,40.0,68.0,10.0,8.0
2024-02-02,27.13,17.0,68.0,0.0,8.0
2024-02-05,28.18,23.0,68.0,0.0,8.0
2024-02-06,27.23,18.0,68.0,0.0,8.0
2024-02-07,27.3,18.0,68.0,0.0,8.0
2024-02-08,39.54,60.0,68.0,8.0,8.0
2024-02-09,41.9,70.0,68.0,8.0,8.0
2024-02-12,31.85,40.0,68.0,0.0,8.0
2024-02-13,35.58,55.0,68.0,0.0,8.0
2024-02-14,31.99,40.0,68.0,0.0,8.0
2024-02-15,54.58,90.0,68.0,8.0,0.0
2024-02-16,52.3,80.0,68.0,8.0,0.0
2024-02-19,51.16,65.0,68.0,18.0,0.0
2024-02-20,51.0,65.0,68.0,18.0,0.0
2024-02-21,55.38,65.0,68.0,35.0,0.0
2024-02-22,51.21,60.0,68.0,35.0,3.0
2024-02-23,51.17,60.0,68.0,35.0,3.0
2024-02-26,52.06,65.0,68.0,35.0,3.0
2024-02-27,48.16,60.0,68.0,25.0,3.0
2024-02-28,51.43,60.0,68.0,28.0,0.0
2024-02-29,53.32,65.0,68.0,28.0,0.0
2024-03-01,48.06,65.0,68.0,18.0,3.0
2024-03-04,48.39,60.0,68.0,25.0,3.0
2024-03-05,50.25,65.0,68.0,28.0,3.0
2024-03-06,52.9,65.0,68.0,28.0,0.0
2024-03-07,49.46,60.0,68.0,18.0,0.0
2024-03-11,51.54,70.0,68.0,18.0,0.0
2024-03-12,48.52,60.0,68.0,18.0,0.0
2024-03-13,32.85,32.0,68.0,18.0,8.0
2024-03-14,57.24,65.0,68.0,48.0,0.0
2024-03-15,49.46,65.0,68.0,18.0,0.0
2024-03-18,56.0,70.0,68.0,38.0,0.0
2024-03-19,55.57,70.0,68.0,38.0,0.0
2024-03-20,48.34,70.0,68.0,10.0,0.0
2024-03-21,57.53,75.0,68.0,38.0,0.0
2024-03-22,55.07,65.0,68.0,38.0,0.0
2024-03-26,56.16,70.0,68.0,38.0,0.0
2024-03-27,58.81,80.0,68.0,38.0,0.0
2024-03-28,56.38,70.0,68.0,38.0,0.0
2024-04-01,64.23,65.0,90.0,38.0,0.0
2024-04-02,63.27,60.0,90.0,38.0,0.0
2024-04-03,68.29,70.0,90.0,48.0,0.0
2024-04-04,63.13,60.0,90.0,38.0,0.0
2024-04-05,66.94,65.0,90.0,48.0,0.0
2024-04-08,74.34,80.0,90.0,63.0,0.0
2024-04-09,65.49,60.0,90.0,48.0,0.0
2024-04-10,65.08,65.0,90.0,38.0,0.0
2024-04-12,66.14,60.0,90.0,48.0,0.0
2024-04-15,66.08,70.0,90.0,38.0,0.0
2024-04-16,58.8,42.0,90.0,38.0,0.0
2024-04-18,58.88,42.0,90.0,38.0,0.0
2024-04-19,50.4,38.0,90.0,20.0,3.0
2024-04-22,60.27,47.0,90.0,38.0,0.0
2024-04-23,58.3,38.0,90.0,38.0,0.0
2024-04-24,57.91,47.0,90.0,38.0,3.0
2024-04-25,53.16,47.0,90.0,20.0,3.0
2024-04-26,57.76,65.0,90.0,20.0,3.0
2024-04-29,56.16,47.0,90.0,20.0,0.0
2024-04-30,54.08,38.0,90.0,20.0,0.0
2024-05-02,50.2,23.0,90.0,20.0,0.0
2024-05-03,50.09,23.0,90.0,20.0,0.0
2024-05-06,50.9,28.0,90.0,20.0,0.0
2024-05-07,40.02,18.0,90.0,20.0,8.0
2024-05-08,42.64,28.0,90.0,20.0,8.0
2024-05-09,38.15,13.0,90.0,20.0,8.0
2024-05-10,36.81,18.0,90.0,20.0,11.0
2024-05-13,52.56,37.0,90.0,20.0,0.0
2024-05-14,48.78,32.0,90.0,20.0,3.0
2024-05-15,53.19,37.0,90.0,20.0,0.0
2024-05-16,50.81,28.0,90.0,20.0,0.0
2024-05-17,39.6,23.0,90.0,10.0,8.0
2024-05-21,37.19,13.0,90.0,10.0,8.0
2024-05-22,61.7,70.0,90.0,20.0,0.0
2024-05-23,52.58,45.0,90.0,10.0,0.0
2024-05-24,45.3,27.0,90.0,0.0,0.0
2024-05-27,47.66,37.0,90.0,0.0,0.0
2024-05-28,46.28,32.0,90.0,0.0,0.0
2024-05-29,32.26,8.0,90.0,0.0,8.0
2024-05-30,32.94,13.0,90.0,0.0,8.0
2024-05-31,36.93,28.0,90.0,0.0,8.0
2024-06-03,54.42,55.0,90.0,8.0,0.0
2024-06-04,48.42,37.0,90.0,8.0,0.0
2024-06-05,53.7,55.0,90.0,8.0,0.0
2024-06-06,51.71,45.0,90.0,8.0,0.0
2024-06-07,54.68,45.0,90.0,18.0,0.0
2024-06-10,57.56,55.0,90.0,18.0,0.0
2024-06-11,45.98,27.0,90.0,0.0,0.0
2024-06-12,54.3,50.0,90.0,10.0,0.0
2024-06-13,48.67,50.0,90.0,0.0,3.0
2024-06-14,54.0,50.0,90.0,8.0,0.0
2024-06-18,53.66,50.0,90.0,18.0,3.0
2024-06-19,60.33,45.0,90.0,38.0,0.0
2024-06-20,69.67,80.0,90.0,38.0,0.0
2024-06-21,65.81,65.0,90.0,38.0,0.0
2024-06-24,66.66,70.0,90.0,38.0,0.0
2024-06-25,63.93,60.0,90.0,38.0,0.0
2024-06-26,64.07,60.0,90.0,38.0,0.0
2024-06-27,68.9,80.0,90.0,38.0,0.0
2024-06-28,61.08,60.0,90.0,38.0,3.0
2024-07-01,60.79,65.0,90.0,18.0,0.0
2024-07-02,59.25,60.0,90.0,18.0,0.0
2024-07-03,60.93,65.0,90.0,18.0,0.0
2024-07-04,59.33,60.0,90.0,18.0,0.0
2024-07-05,56.28,60.0,90.0,18.0,3.0
2024-07-08,60.3,65.0,90.0,18.0,0.0
2024-07-09,64.1,80.0,90.0,18.0,0.0
2024-07-10,55.75,60.0,90.0,18.0,3.0
2024-07-11,57.1,65.0,90.0,18.0,3.0
2024-07-12,66.18,70.0,90.0,38.0,0.0
2024-07-15,63.81,60.0,90.0,38.0,0.0
2024-07-16,65.14,65.0,90.0,38.0,0.0
2024-07-18,64.83,65.0,90.0,38.0,0.0
2024-07-19,62.63,60.0,90.0,38.0,0.0
2024-07-22,69.53,85.0,90.0,38.0,0.0
2024-07-23,66.72,75.0,90.0,38.0,0.0
2024-07-24,62.98,60.0,90.0,38.0,0.0
2024-07-25,62.65,60.0,90.0,38.0,0.0
2024-07-26,70.66,72.0,90.0,55.0,0.0
2024-07-29,70.88,72.0,90.0,55.0,0.0
2024-07-30,70.92,47.0,90.0,80.0,0.0
2024-07-31,77.4,52.0,90.0,100.0,0.0
2024-08-01,75.87,47.0,90.0,100.0,0.0
2024-08-02,73.57,60.0,90.0,80.0,0.0
2024-08-05,72.96,70.0,90.0,70.0,0.0
2024-08-06,79.27,70.0,90.0,95.0,0.0
2024-08-07,83.84,85.0,90.0,95.0,0.0
2024-08-08,77.52,57.0,90.0,100.0,0.0
2024-08-09,76.42,52.0,90.0,100.0,0.0
2024-08-12,79.65,65.0,90.0,100.0,0.0
2024-08-13,76.73,60.0,90.0,95.0,0.0
2024-08-14,63.64,60.0,90.0,55.0,3.0
2024-08-16,72.82,70.0,90.0,80.0,3.0
2024-08-19,76.09,70.0,90.0,80.0,0.0
2024-08-20,72.98,65.0,90.0,73.0,0.0
2024-08-21,66.88,65.0,90.0,48.0,0.0
2024-08-22,75.3,65.0,90.0,80.0,0.0
2024-08-23,73.55,60.0,90.0,80.0,0.0
2024-08-26,69.35,60.0,90.0,63.0,0.0
2024-08-27,70.62,65.0,90.0,63.0,0.0
2024-08-28,70.45,65.0,90.0,63.0,0.0
2024-08-29,66.06,60.0,90.0,63.0,3.0
2024-08-30,71.93,70.0,90.0,63.0,0.0
2024-09-02,70.4,65.0,90.0,63.0,0.0
2024-09-03,69.59,60.0,90.0,63.0,0.0
2024-09-04,69.95,60.0,90.0,63.0,0.0
2024-09-05,67.96,65.0,90.0,63.0,3.0
2024-09-06,74.55,80.0,90.0,63.0,0.0
2024-09-09,76.77,75.0,90.0,78.0,0.0
2024-09-10,72.65,57.0,90.0,78.0,0.0
