scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-08-25,48.98,60.0,34.0,60.0,0.0
2023-08-28,58.72,70.0,34.0,88.0,0.0
2023-08-29,57.4,65.0,34.0,88.0,0.0
2023-08-30,59.82,65.0,34.0,98.0,0.0
2023-08-31,60.17,65.0,34.0,98.0,0.0
2023-09-01,65.78,85.0,34.0,100.0,0.0
2023-09-04,61.57,67.0,34.0,100.0,0.0
2023-09-05,59.17,57.0,34.0,100.0,0.0
2023-09-06,57.81,65.0,34.0,88.0,0.0
2023-09-07,60.6,65.0,34.0,98.0,0.0
2023-09-08,60.76,65.0,34.0,98.0,0.0
2023-09-11,61.97,67.0,34.0,100.0,0.0
2023-09-12,58.93,70.0,34.0,88.0,0.0
2023-09-13,62.91,72.0,34.0,100.0,0.0
2023-09-14,60.42,62.0,34.0,100.0,0.0
2023-09-15,59.3,57.0,34.0,100.0,0.0
2023-09-18,63.04,72.0,34.0,100.0,0.0
2023-09-20,57.78,52.0,34.0,100.0,0.0
2023-09-21,60.83,65.0,34.0,100.0,0.0
2023-09-22,60.33,62.0,34.0,100.0,0.0
2023-09-25,61.47,67.0,34.0,100.0,0.0
2023-09-26,56.16,47.0,34.0,100.0,0.0
2023-09-27,59.13,57.0,34.0,100.0,0.0
2023-09-28,62.08,70.0,34.0,100.0,0.0
2023-09-29,57.68,52.0,34.0,100.0,0.0
2023-10-03,58.89,57.0,34.0,100.0,0.0
2023-10-04,60.31,65.0,34.0,100.0,0.0
2023-10-05,61.67,70.0,34.0,100.0,0.0
2023-10-06,59.56,60.0,34.0,100.0,0.0
2023-10-09,54.41,42.0,34.0,100.0,0.0
2023-10-10,59.02,70.0,34.0,100.0,3.0
2023-10-11,60.05,65.0,34.0,98.0,0.0
2023-10-12,56.58,60.0,34.0,100.0,3.0
2023-10-13,55.9,60.0,34.0,98.0,3.0
2023-10-16,54.54,65.0,34.0,88.0,3.0
2023-10-17,54.81,65.0,34.0,88.0,3.0
2023-10-18,45.88,47.0,34.0,60.0,0.0
2023-10-19,44.71,42.0,34.0,60.0,0.0
2023-10-20,43.6,38.0,34.0,60.0,0.0
2023-10-23,39.02,23.0,34.0,60.0,0.0
2023-10-25,38.8,23.0,34.0,60.0,0.0
2023-10-26,42.24,38.0,34.0,60.0,0.0
2023-10-27,49.04,62.0,34.0,60.0,0.0
2023-10-30,43.66,42.0,34.0,60.0,0.0
2023-10-31,43.89,42.0,34.0,60.0,0.0
2023-11-01,43.54,42.0,34.0,60.0,0.0
2023-11-02,52.33,65.0,34.0,70.0,0.0
2023-11-03,52.48,65.0,34.0,70.0,0.0
2023-11-06,49.47,65.0,34.0,70.0,3.0
2023-11-07,57.3,65.0,34.0,88.0,0.0
2023-11-08,55.85,60.0,34.0,88.0,0.0
2023-11-09,52.4,65.0,34.0,70.0,0.0
2023-11-10,53.99,65.0,34.0,88.0,3.0
2023-11-13,62.55,75.0,34.0,98.0,0.0
2023-11-15,60.32,65.0,34.0,98.0,0.0
2023-11-16,60.03,65.0,34.0,98.0,0.0
2023-11-17,57.53,65.0,34.0,88.0,0.0
2023-11-20,59.8,65.0,34.0,98.0,0.0
2023-11-21,58.64,60.0,34.0,98.0,0.0
2023-11-22,58.52,60.0,34.0,98.0,0.0
2023-11-23,57.28,65.0,34.0,100.0,3.0
2023-11-24,53.05,60.0,34.0,88.0,3.0
2023-11-28,59.92,75.0,34.0,88.0,0.0
2023-11-29,58.85,70.0,34.0,88.0,0.0
2023-11-30,59.11,70.0,34.0,88.0,0.0
2023-12-01,64.46,85.0,34.0,95.0,0.0
2023-12-04,65.02,85.0,34.0,95.0,0.0
2023-12-05,60.29,62.0,34.0,100.0,0.0
2023-12-06,60.14,62.0,34.0,100.0,0.0
2023-12-07,59.09,57.0,34.0,100.0,0.0
2023-12-08,58.86,57.0,34.0,100.0,0.0
2023-12-11,60.12,62.0,34.0,100.0,0.0
2023-12-12,56.37,47.0,34.0,100.0,0.0
2023-12-13,56.27,52.0,34.0,95.0,0.0
2023-12-14,57.87,52.0,34.0,100.0,0.0
2023-12-15,59.09,57.0,34.0,100.0,0.0
2023-12-18,57.85,52.0,34.0,100.0,0.0
2023-12-19,57.64,52.0,34.0,100.0,0.0
2023-12-20,54.0,70.0,34.0,70.0,0.0
2023-12-21,61.85,75.0,34.0,95.0,0.0
2023-12-22,57.93,60.0,34.0,95.0,0.0
2023-12-26,54.0,60.0,34.0,80.0,0.0
2023-12-27,57.9,75.0,34.0,80.0,0.0
2023-12-28,59.63,72.0,34.0,90.0,0.0
2023-12-29,53.28,57.0,34.0,80.0,0.0
2024-01-01,58.31,57.0,34.0,100.0,0.0
2024-01-02,55.44,47.0,34.0,100.0,0.0
2024-01-03,51.93,52.0,34.0,80.0,0.0
2024-01-04,57.51,52.0,34.0,100.0,0.0
2024-01-05,56.1,47.0,34.0,100.0,0.0
2024-01-08,58.51,60.0,34.0,98.0,0.0
2024-01-09,56.07,60.0,34.0,88.0,0.0
2024-01-10,55.77,60.0,34.0,88.0,0.0
2024-01-11,57.39,65.0,34.0,88.0,0.0
2024-01-12,63.55,80.0,34.0,98.0,0.0
2024-01-15,57.23,65.0,34.0,88.0,0.0
2024-01-16,58.58,70.0,34.0,88.0,0.0
2024-01-17,60.58,70.0,34.0,98.0,0.0
2024-01-18,61.48,70.0,34.0,100.0,0.0
2024-01-19,60.88,67.0,34.0,100.0,0.0
2024-01-23,59.8,65.0,34.0,100.0,0.0
2024-01-24,61.48,70.0,34.0,100.0,0.0
2024-01-25,60.5,67.0,34.0,100.0,0.0
2024-01-29,60.81,67.0,34.0,100.0,0.0
2024-01-30,58.14,57.0,34.0,100.0,0.0
2024-01-31,61.1,67.0,34.0,100.0,0.0
2024-02-01,61.01,67.0,34.0,100.0,0.0
2024-02-02,62.24,72.0,34.0,100.0,0.0
2024-02-05,56.98,52.0,34.0,100.0,0.0
2024-02-06,57.13,52.0,34.0,100.0,0.0
2024-02-07,57.34,52.0,34.0,100.0,0.0
2024-02-08,57.19,52.0,34.0,100.0,0.0
2024-02-09,55.8,47.0,34.0,100.0,0.0
2024-02-12,58.27,60.0,34.0,100.0,0.0
2024-02-13,61.16,70.0,34.0,100.0,0.0
2024-02-14,60.22,65.0,34.0,100.0,0.0
2024-02-15,59.38,62.0,34.0,100.0,0.0
2024-02-16,58.2,57.0,34.0,100.0,0.0
2024-02-19,55.7,47.0,34.0,100.0,0.0
2024-02-20,53.87,52.0,34.0,100.0,3.0
2024-02-21,58.8,60.0,34.0,100.0,0.0
2024-02-22,56.87,52.0,34.0,100.0,0.0
2024-02-23,58.82,60.0,34.0,100.0,0.0
2024-02-26,58.84,60.0,34.0,100.0,0.0
2024-02-27,58.78,60.0,34.0,100.0,0.0
2024-02-28,55.06,60.0,34.0,88.0,0.0
2024-02-29,60.51,80.0,34.0,88.0,0.0
2024-03-01,53.64,70.0,34.0,70.0,0.0
2024-03-04,56.8,65.0,34.0,88.0,0.0
2024-03-05,57.93,70.0,34.0,88.0,0.0
2024-03-06,57.55,70.0,34.0,88.0,0.0
2024-03-07,55.02,60.0,34.0,88.0,0.0
2024-03-11,54.79,60.0,34.0,88.0,0.0
2024-03-12,54.64,60.0,34.0,88.0,0.0
2024-03-13,38.8,38.0,34.0,70.0,5.0
2024-03-14,46.37,47.0,34.0,70.0,0.0
2024-03-15,43.96,38.0,34.0,70.0,0.0
2024-03-18,42.97,47.0,34.0,70.0,3.0
2024-03-19,43.51,38.0,34.0,70.0,0.0
2024-03-20,44.71,43.0,34.0,70.0,0.0
2024-03-21,47.67,52.0,34.0,70.0,0.0
2024-03-22,50.85,65.0,34.0,70.0,0.0
2024-03-26,48.04,65.0,34.0,70.0,3.0
2024-03-27,50.01,60.0,34.0,70.0,0.0
2024-03-28,52.94,65.0,34.0,88.0,3.0
2024-04-01,49.24,65.0,44.0,88.0,12.0
2024-04-02,52.2,65.0,44.0,88.0,9.0
2024-04-03,60.08,85.0,44.0,98.0,9.0
2024-04-04,56.27,70.0,44.0,98.0,9.0
2024-04-05,52.61,65.0,44.0,88.0,9.0
2024-04-08,51.13,60.0,44.0,88.0,9.0
2024-04-09,51.12,60.0,44.0,88.0,9.0
2024-04-10,55.02,75.0,44.0,88.0,9.0
2024-04-12,53.76,60.0,44.0,98.0,9.0
2024-04-15,55.25,65.0,44.0,100.0,9.0
2024-04-16,54.58,65.0,44.0,98.0,9.0
2024-04-18,54.99,65.0,44.0,100.0,9.0
2024-04-19,53.12,60.0,44.0,98.0,9.0
2024-04-22,56.84,70.0,44.0,100.0,9.0
2024-04-23,54.35,60.0,44.0,100.0,9.0
2024-04-24,52.04,65.0,44.0,98.0,12.0
2024-04-25,59.5,80.0,44.0,100.0,9.0
2024-04-26,55.71,65.0,44.0,100.0,9.0
2024-04-29,57.09,70.0,44.0,100.0,9.0
2024-04-30,61.06,85.0,44.0,100.0,9.0
2024-05-02,55.19,65.0,44.0,98.0,9.0
2024-05-03,54.95,65.0,44.0,98.0,9.0
2024-05-06,29.13,38.0,44.0,45.0,14.0
2024-05-07,32.36,33.0,44.0,45.0,9.0
2024-05-08,32.5,43.0,44.0,35.0,9.0
2024-05-09,31.69,33.0,44.0,45.0,9.0
2024-05-10,30.8,28.0,44.0,45.0,9.0
2024-05-13,26.88,23.0,44.0,35.0,9.0
2024-05-14,33.17,37.0,44.0,45.0,9.0
2024-05-15,29.97,23.0,44.0,45.0,9.0
2024-05-16,31.42,28.0,44.0,45.0,9.0
2024-05-17,27.13,23.0,44.0,45.0,12.0
2024-05-21,32.44,32.0,44.0,45.0,9.0
2024-05-22,28.35,27.0,44.0,35.0,9.0
2024-05-23,26.94,32.0,44.0,35.0,12.0
2024-05-24,25.4,27.0,44.0,35.0,12.0
2024-05-27,43.2,75.0,44.0,45.0,9.0
2024-05-28,36.67,60.0,44.0,35.0,9.0
2024-05-29,36.37,60.0,44.0,35.0,9.0
2024-05-30,27.72,27.0,44.0,35.0,9.0
2024-05-31,42.82,75.0,44.0,45.0,9.0
2024-06-03,49.49,80.0,44.0,63.0,9.0
2024-06-04,24.97,38.0,44.0,35.0,14.0
2024-06-05,32.14,43.0,44.0,35.0,9.0
2024-06-06,31.24,37.0,44.0,35.0,9.0
2024-06-07,32.43,32.0,44.0,43.0,9.0
2024-06-10,32.39,32.0,44.0,43.0,9.0
2024-06-11,29.58,32.0,44.0,43.0,12.0
2024-06-12,37.42,50.0,44.0,43.0,9.0
2024-06-13,28.59,27.0,44.0,43.0,12.0
2024-06-14,42.63,50.0,44.0,63.0,9.0
2024-06-18,38.64,45.0,44.0,63.0,12.0
2024-06-19,42.6,50.0,44.0,63.0,9.0
2024-06-20,39.73,50.0,44.0,63.0,12.0
2024-06-21,38.18,45.0,44.0,63.0,12.0
2024-06-24,36.54,27.0,44.0,63.0,9.0
2024-06-25,29.07,27.0,44.0,45.0,12.0
2024-06-26,33.09,32.0,44.0,45.0,9.0
2024-06-27,32.08,38.0,44.0,35.0,9.0
2024-06-28,38.37,52.0,44.0,45.0,9.0
2024-07-01,32.26,27.0,44.0,45.0,9.0
2024-07-02,28.33,23.0,44.0,35.0,9.0
2024-07-03,33.14,32.0,44.0,43.0,9.0
2024-07-04,25.02,23.0,44.0,33.0,12.0
2024-07-05,30.28,32.0,44.0,33.0,9.0
2024-07-08,22.09,23.0,44.0,10.0,9.0
2024-07-09,24.37,32.0,44.0,10.0,9.0
2024-07-10,23.2,28.0,44.0,10.0,9.0
2024-07-11,23.06,28.0,44.0,10.0,9.0
2024-07-12,21.72,23.0,44.0,10.0,9.0
2024-07-15,25.63,37.0,44.0,10.0,9.0
2024-07-16,22.01,23.0,44.0,10.0,9.0
2024-07-18,22.04,23.0,44.0,10.0,9.0
2024-07-19,21.19,23.0,44.0,10.0,9.0
2024-07-22,22.88,28.0,44.0,10.0,9.0
2024-07-23,21.26,23.0,44.0,10.0,9.0
2024-07-24,21.65,23.0,44.0,10.0,9.0
2024-07-25,22.51,28.0,44.0,10.0,9.0
